Date,India VIX O,India VIX H,India VIX L,India VIX C,India VIX V
9/10/2018 3:29:00 PM,15.27,15.31,15.27,15.29,0
9/10/2018 3:28:00 PM,15.24,15.28,15.21,15.27,0
9/10/2018 3:27:00 PM,15.25,15.27,15.23,15.25,0
9/10/2018 3:26:00 PM,15.21,15.26,15.2,15.25,0
9/10/2018 3:25:00 PM,15.2,15.26,15.2,15.21,0
9/10/2018 3:24:00 PM,15.23,15.23,15.19,15.2,0
9/10/2018 3:23:00 PM,15.2,15.23,15.16,15.23,0
9/10/2018 3:22:00 PM,15.15,15.22,15.14,15.19,0
9/10/2018 3:21:00 PM,15.16,15.19,15.13,15.15,0
9/10/2018 3:20:00 PM,15.16,15.17,15.13,15.15,0
9/10/2018 3:19:00 PM,15.21,15.22,15.13,15.16,0
9/10/2018 3:18:00 PM,15.19,15.22,15.16,15.21,0
9/10/2018 3:17:00 PM,15.26,15.26,15.17,15.19,0
9/10/2018 3:16:00 PM,15.22,15.25,15.18,15.25,0
9/10/2018 3:15:00 PM,15.22,15.24,15.18,15.23,0
9/10/2018 3:14:00 PM,15.21,15.23,15.2,15.22,0
9/10/2018 3:13:00 PM,15.22,15.27,15.21,15.21,0
9/10/2018 3:12:00 PM,15.24,15.29,15.22,15.22,0
9/10/2018 3:11:00 PM,15.29,15.29,15.23,15.24,0
9/10/2018 3:10:00 PM,15.28,15.32,15.24,15.28,0
9/10/2018 3:09:00 PM,15.26,15.3,15.24,15.3,0
9/10/2018 3:08:00 PM,15.22,15.26,15.21,15.26,0
9/10/2018 3:07:00 PM,15.19,15.23,15.18,15.22,0
9/10/2018 3:06:00 PM,15.16,15.21,15.16,15.19,0
9/10/2018 3:05:00 PM,15.18,15.2,15.15,15.16,0
9/10/2018 3:04:00 PM,15.15,15.19,15.15,15.18,0
9/10/2018 3:03:00 PM,15.16,15.2,15.13,15.14,0
9/10/2018 3:02:00 PM,15.14,15.16,15.11,15.15,0
9/10/2018 3:01:00 PM,15.12,15.18,15.12,15.14,0
9/10/2018 3:00:00 PM,15.12,15.13,15.07,15.13,0
9/10/2018 2:59:00 PM,15.11,15.11,15.06,15.1,0
9/10/2018 2:58:00 PM,15.21,15.22,15.11,15.11,0
9/10/2018 2:57:00 PM,15.22,15.22,15.17,15.21,0
9/10/2018 2:56:00 PM,15.19,15.22,15.15,15.22,0
9/10/2018 2:55:00 PM,15.17,15.18,15.15,15.17,0
9/10/2018 2:54:00 PM,15.2,15.2,15.18,15.18,0
9/10/2018 2:53:00 PM,15.19,15.22,15.18,15.21,0
9/10/2018 2:52:00 PM,15.17,15.21,15.16,15.19,0
9/10/2018 2:51:00 PM,15.15,15.19,15.14,15.17,0
9/10/2018 2:50:00 PM,15.15,15.15,15.1,15.15,0
9/10/2018 2:49:00 PM,15.1,15.15,15.07,15.15,0
9/10/2018 2:48:00 PM,15.07,15.13,15.07,15.09,0
9/10/2018 2:47:00 PM,15.04,15.1,15.04,15.07,0
9/10/2018 2:46:00 PM,15.09,15.11,15.02,15.04,0
9/10/2018 2:45:00 PM,15.16,15.17,15.1,15.1,0
9/10/2018 2:44:00 PM,15.13,15.18,15.12,15.17,0
9/10/2018 2:43:00 PM,15.15,15.18,15.12,15.13,0
9/10/2018 2:42:00 PM,15.18,15.18,15.14,15.15,0
9/10/2018 2:41:00 PM,15.15,15.2,15.15,15.18,0
9/10/2018 2:40:00 PM,15.13,15.2,15.13,15.15,0
9/10/2018 2:39:00 PM,15.08,15.14,15.07,15.13,0
9/10/2018 2:38:00 PM,15.11,15.11,15.05,15.08,0
9/10/2018 2:37:00 PM,15.11,15.14,15.09,15.11,0
9/10/2018 2:36:00 PM,15.08,15.14,15.07,15.12,0
9/10/2018 2:35:00 PM,15.1,15.12,15.07,15.08,0
9/10/2018 2:34:00 PM,15.09,15.12,15.06,15.1,0
9/10/2018 2:33:00 PM,15.14,15.18,15.1,15.1,0
9/10/2018 2:32:00 PM,15.17,15.18,15.12,15.14,0
9/10/2018 2:31:00 PM,15.19,15.2,15.14,15.17,0
9/10/2018 2:30:00 PM,15.18,15.21,15.16,15.18,0
9/10/2018 2:29:00 PM,15.14,15.18,15.13,15.18,0
9/10/2018 2:28:00 PM,15.14,15.16,15.11,15.14,0
9/10/2018 2:27:00 PM,15.13,15.19,15.12,15.15,0
9/10/2018 2:26:00 PM,15.14,15.16,15.12,15.13,0
9/10/2018 2:25:00 PM,15.17,15.18,15.13,15.14,0
9/10/2018 2:24:00 PM,15.11,15.17,15.11,15.17,0
9/10/2018 2:23:00 PM,15.08,15.14,15.08,15.11,0
9/10/2018 2:22:00 PM,15.03,15.11,15.03,15.08,0
