Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
9/10/2018 3:29:00 PM,27202.85,27213.6,27199.8,27209.25,0
9/10/2018 3:28:00 PM,27185.9,27206.55,27184.8,27206.55,0
9/10/2018 3:27:00 PM,27173.1,27193.1,27173.05,27184.85,0
9/10/2018 3:26:00 PM,27178.95,27181.1,27169.65,27172.3,0
9/10/2018 3:25:00 PM,27185.9,27192.2,27175.1,27178.8,0
9/10/2018 3:24:00 PM,27192.3,27192.55,27178.8,27183.35,0
9/10/2018 3:23:00 PM,27208.05,27210.3,27186.1,27191.35,0
9/10/2018 3:22:00 PM,27204.15,27209.95,27196.4,27205.1,0
9/10/2018 3:21:00 PM,27206.15,27206.15,27190.2,27206.05,0
9/10/2018 3:20:00 PM,27206.8,27209.65,27194.25,27205.5,0
9/10/2018 3:19:00 PM,27198.55,27207.45,27198.5,27206.2,0
9/10/2018 3:18:00 PM,27204.2,27210.95,27200.85,27204.6,0
9/10/2018 3:17:00 PM,27202.6,27206.1,27198.6,27203.75,0
9/10/2018 3:16:00 PM,27213.65,27213.65,27198.25,27201.55,0
9/10/2018 3:15:00 PM,27209.75,27219.45,27208,27210.35,0
9/10/2018 3:14:00 PM,27209.2,27213.9,27207.2,27209.1,0
9/10/2018 3:13:00 PM,27207.9,27213.15,27201.65,27209,0
9/10/2018 3:12:00 PM,27214.55,27214.55,27197.3,27205.25,0
9/10/2018 3:11:00 PM,27208.95,27217.15,27207.6,27214.75,0
9/10/2018 3:10:00 PM,27202.2,27216.75,27202.2,27207.95,0
9/10/2018 3:09:00 PM,27212.45,27217.55,27195.6,27205.2,0
9/10/2018 3:08:00 PM,27217.35,27219.2,27211.7,27213.75,0
9/10/2018 3:07:00 PM,27226.8,27227.75,27216.85,27216.85,0
9/10/2018 3:06:00 PM,27220.2,27226.75,27215.95,27223.3,0
9/10/2018 3:05:00 PM,27215.05,27230.9,27211.85,27223.25,0
9/10/2018 3:04:00 PM,27218.25,27222.25,27212.85,27214,0
9/10/2018 3:03:00 PM,27214.9,27223.8,27212.35,27222.3,0
9/10/2018 3:02:00 PM,27218.6,27231.05,27213.65,27215.1,0
9/10/2018 3:01:00 PM,27221.45,27221.45,27208.05,27219.1,0
9/10/2018 3:00:00 PM,27234,27237.75,27216.6,27220.8,0
9/10/2018 2:59:00 PM,27224.35,27238.1,27224.35,27234.6,0
9/10/2018 2:58:00 PM,27215.4,27227.85,27212.8,27225.95,0
9/10/2018 2:57:00 PM,27208.1,27220.85,27208,27214.55,0
9/10/2018 2:56:00 PM,27200.4,27212.2,27200.4,27209.35,0
9/10/2018 2:55:00 PM,27211.8,27214.45,27199.15,27204.9,0
9/10/2018 2:54:00 PM,27213.2,27213.95,27200.7,27212,0
9/10/2018 2:53:00 PM,27188.5,27211.9,27182.6,27211.5,0
9/10/2018 2:52:00 PM,27210.7,27212.95,27182.85,27184.4,0
9/10/2018 2:51:00 PM,27228.8,27228.8,27198.25,27211.15,0
9/10/2018 2:50:00 PM,27222.1,27235.1,27222.1,27229.15,0
9/10/2018 2:49:00 PM,27233.7,27240.05,27222.3,27225.7,0
9/10/2018 2:48:00 PM,27241.1,27241.3,27225.65,27233.5,0
9/10/2018 2:47:00 PM,27242,27248.85,27237.4,27238.1,0
9/10/2018 2:46:00 PM,27233.35,27245.9,27233.35,27241.9,0
9/10/2018 2:45:00 PM,27221.05,27239.35,27219.55,27234.75,0
