Date,USDINR18NOVFUT O,USDINR18NOVFUT H,USDINR18NOVFUT L,USDINR18NOVFUT C,USDINR18NOVFUT V
9/10/2018 4:59:00 PM,73.1275,73.15,73.1275,73.15,61
9/10/2018 4:58:00 PM,73.12,73.1275,73.12,73.1275,12
9/10/2018 4:57:00 PM,73.1,73.12,73.1,73.12,77
9/10/2018 4:56:00 PM,73.09,73.1125,73.09,73.1,66
9/10/2018 4:55:00 PM,73.09,73.09,73.09,73.09,11
9/10/2018 4:54:00 PM,73.0925,73.1,73.09,73.09,37
9/10/2018 4:53:00 PM,73.085,73.0925,73.085,73.0925,25
9/10/2018 4:52:00 PM,73.085,73.09,73.085,73.085,101
9/10/2018 4:51:00 PM,73.065,73.0975,73.065,73.085,144
9/10/2018 4:50:00 PM,73.12,73.12,73.065,73.065,68
9/10/2018 4:49:00 PM,73.12,73.12,73.12,73.12,0
9/10/2018 4:48:00 PM,73.13,73.13,73.12,73.12,428
9/10/2018 4:47:00 PM,73.11,73.15,73.11,73.13,42
9/10/2018 4:46:00 PM,73.11,73.11,73.11,73.11,0
9/10/2018 4:45:00 PM,73.125,73.125,73.11,73.11,340
9/10/2018 4:44:00 PM,73.125,73.125,73.125,73.125,0
9/10/2018 4:43:00 PM,73.1325,73.14,73.125,73.125,3
9/10/2018 4:42:00 PM,73.15,73.15,73.1325,73.1325,1
9/10/2018 4:41:00 PM,73.155,73.155,73.15,73.15,1
9/10/2018 4:40:00 PM,73.155,73.155,73.155,73.155,0
9/10/2018 4:39:00 PM,73.165,73.165,73.155,73.155,1
9/10/2018 4:38:00 PM,73.16,73.1725,73.16,73.165,91
9/10/2018 4:37:00 PM,73.16,73.16,73.16,73.16,5
9/10/2018 4:36:00 PM,73.14,73.16,73.14,73.16,2
9/10/2018 4:35:00 PM,73.14,73.14,73.14,73.14,0
9/10/2018 4:34:00 PM,73.14,73.14,73.14,73.14,0
9/10/2018 4:33:00 PM,73.13,73.14,73.13,73.14,1
9/10/2018 4:32:00 PM,73.1325,73.1375,73.125,73.13,20
9/10/2018 4:31:00 PM,73.12,73.1325,73.12,73.1325,1
9/10/2018 4:30:00 PM,73.13,73.1325,73.12,73.12,7
9/10/2018 4:29:00 PM,73.135,73.135,73.13,73.13,1
9/10/2018 4:28:00 PM,73.145,73.145,73.135,73.135,5
9/10/2018 4:27:00 PM,73.1525,73.1525,73.145,73.145,1
9/10/2018 4:26:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:25:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:24:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:23:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:22:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:21:00 PM,73.15,73.1525,73.15,73.1525,13
9/10/2018 4:20:00 PM,73.1275,73.15,73.1275,73.15,2
9/10/2018 4:19:00 PM,73.1275,73.1275,73.1275,73.1275,0
9/10/2018 4:18:00 PM,73.1175,73.1275,73.1175,73.1275,5
9/10/2018 4:17:00 PM,73.1175,73.1175,73.1175,73.1175,2
9/10/2018 4:16:00 PM,73.125,73.125,73.1175,73.1175,1
9/10/2018 4:15:00 PM,73.1525,73.1525,73.12,73.125,36
9/10/2018 4:14:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:13:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:12:00 PM,73.1525,73.1525,73.1525,73.1525,10
9/10/2018 4:11:00 PM,73.1525,73.1525,73.1525,73.1525,0
9/10/2018 4:10:00 PM,73.175,73.175,73.1525,73.1525,35
9/10/2018 4:09:00 PM,73.2,73.2,73.175,73.175,50
9/10/2018 4:08:00 PM,73.1725,73.2,73.1725,73.2,14
9/10/2018 4:07:00 PM,73.2025,73.2025,73.1525,73.1725,75
9/10/2018 4:06:00 PM,73.2225,73.2225,73.2025,73.2025,1
9/10/2018 4:05:00 PM,73.1925,73.2225,73.1925,73.2225,122
9/10/2018 4:04:00 PM,73.1825,73.1925,73.18,73.1925,32
9/10/2018 4:03:00 PM,73.1975,73.1975,73.1825,73.1825,4
9/10/2018 4:02:00 PM,73.1925,73.1975,73.1925,73.1975,2
9/10/2018 4:01:00 PM,73.17,73.1925,73.17,73.1925,2
9/10/2018 4:00:00 PM,73.17,73.17,73.17,73.17,0
9/10/2018 3:59:00 PM,73.1775,73.1775,73.17,73.17,61
9/10/2018 3:58:00 PM,73.1925,73.1925,73.1775,73.1775,5
9/10/2018 3:57:00 PM,73.17,73.2225,73.17,73.19,218
9/10/2018 3:56:00 PM,73.125,73.17,73.125,73.17,152
