Date,USDINR18SEPFUT O,USDINR18SEPFUT H,USDINR18SEPFUT L,USDINR18SEPFUT C,USDINR18SEPFUT V
9/10/2018 4:59:00 PM,72.5725,72.59,72.57,72.585,12299
9/10/2018 4:58:00 PM,72.56,72.57,72.56,72.57,8343
9/10/2018 4:57:00 PM,72.55,72.5625,72.5425,72.56,7546
9/10/2018 4:56:00 PM,72.5275,72.55,72.5275,72.55,9741
9/10/2018 4:55:00 PM,72.5275,72.53,72.5175,72.5275,5337
9/10/2018 4:54:00 PM,72.52,72.5275,72.5175,72.5275,4103
9/10/2018 4:53:00 PM,72.535,72.5375,72.5175,72.52,3790
9/10/2018 4:52:00 PM,72.5175,72.535,72.5175,72.535,6836
9/10/2018 4:51:00 PM,72.5,72.53,72.5,72.5175,18289
9/10/2018 4:50:00 PM,72.55,72.5525,72.5,72.5,18932
9/10/2018 4:49:00 PM,72.555,72.5575,72.535,72.55,9441
9/10/2018 4:48:00 PM,72.5625,72.57,72.5525,72.555,7255
9/10/2018 4:47:00 PM,72.5725,72.58,72.56,72.56,1943
9/10/2018 4:46:00 PM,72.5575,72.5825,72.555,72.5825,6547
9/10/2018 4:45:00 PM,72.56,72.56,72.545,72.555,5891
9/10/2018 4:44:00 PM,72.5475,72.5625,72.5475,72.5575,2097
9/10/2018 4:43:00 PM,72.57,72.575,72.545,72.545,3936
9/10/2018 4:42:00 PM,72.5825,72.5825,72.56,72.565,5316
9/10/2018 4:41:00 PM,72.585,72.5875,72.58,72.58,4417
9/10/2018 4:40:00 PM,72.5875,72.59,72.575,72.5875,3563
9/10/2018 4:39:00 PM,72.585,72.59,72.5825,72.5825,2742
9/10/2018 4:38:00 PM,72.595,72.6,72.585,72.585,4524
9/10/2018 4:37:00 PM,72.585,72.6,72.585,72.595,5403
9/10/2018 4:36:00 PM,72.5875,72.59,72.5825,72.585,4508
9/10/2018 4:35:00 PM,72.57,72.59,72.57,72.59,2766
9/10/2018 4:34:00 PM,72.565,72.5775,72.565,72.57,2483
9/10/2018 4:33:00 PM,72.57,72.5725,72.56,72.565,1571
9/10/2018 4:32:00 PM,72.56,72.57,72.5575,72.57,6907
9/10/2018 4:31:00 PM,72.555,72.5625,72.545,72.5575,3792
9/10/2018 4:30:00 PM,72.56,72.5675,72.55,72.555,3598
9/10/2018 4:29:00 PM,72.5625,72.565,72.5525,72.56,3784
9/10/2018 4:28:00 PM,72.5625,72.5675,72.55,72.565,3759
9/10/2018 4:27:00 PM,72.5975,72.6,72.5625,72.5625,4340
9/10/2018 4:26:00 PM,72.5875,72.5975,72.5875,72.5975,453
9/10/2018 4:25:00 PM,72.5875,72.5975,72.585,72.5875,5237
9/10/2018 4:24:00 PM,72.5775,72.59,72.5775,72.5875,2715
9/10/2018 4:23:00 PM,72.585,72.585,72.5725,72.5775,2756
9/10/2018 4:22:00 PM,72.6,72.6,72.585,72.585,5287
9/10/2018 4:21:00 PM,72.585,72.6,72.5825,72.6,1962
9/10/2018 4:20:00 PM,72.58,72.59,72.575,72.585,1411
9/10/2018 4:19:00 PM,72.5675,72.58,72.5675,72.58,2153
9/10/2018 4:18:00 PM,72.5625,72.575,72.56,72.5675,1233
9/10/2018 4:17:00 PM,72.555,72.565,72.5525,72.5625,1557
9/10/2018 4:16:00 PM,72.55,72.56,72.5425,72.56,3203
9/10/2018 4:15:00 PM,72.5625,72.565,72.55,72.55,3731
9/10/2018 4:14:00 PM,72.58,72.58,72.56,72.5625,7071
9/10/2018 4:13:00 PM,72.585,72.595,72.5775,72.58,1507
9/10/2018 4:12:00 PM,72.58,72.59,72.58,72.585,1244
9/10/2018 4:11:00 PM,72.615,72.615,72.58,72.58,5163
9/10/2018 4:10:00 PM,72.595,72.6075,72.575,72.6075,5167
9/10/2018 4:09:00 PM,72.6225,72.625,72.585,72.595,5957
9/10/2018 4:08:00 PM,72.62,72.635,72.605,72.6225,4767
9/10/2018 4:07:00 PM,72.63,72.63,72.585,72.615,13278
9/10/2018 4:06:00 PM,72.645,72.645,72.6275,72.63,6261
9/10/2018 4:05:00 PM,72.6175,72.6575,72.6175,72.645,16384
9/10/2018 4:04:00 PM,72.6175,72.6175,72.6125,72.6175,766
9/10/2018 4:03:00 PM,72.62,72.62,72.615,72.6175,1130
9/10/2018 4:02:00 PM,72.6225,72.6275,72.6175,72.6175,3643
9/10/2018 4:01:00 PM,72.6125,72.63,72.61,72.625,1789
9/10/2018 4:00:00 PM,72.6,72.625,72.6,72.6125,3381
9/10/2018 3:59:00 PM,72.6075,72.6175,72.6,72.6025,3575
9/10/2018 3:58:00 PM,72.6275,72.6275,72.6025,72.6075,5642
9/10/2018 3:57:00 PM,72.605,72.6475,72.605,72.6225,24178
9/10/2018 3:56:00 PM,72.5625,72.6075,72.5625,72.605,21072
9/10/2018 3:55:00 PM,72.5275,72.565,72.5275,72.5625,7263
9/10/2018 3:54:00 PM,72.53,72.53,72.5225,72.5275,1314
9/10/2018 3:53:00 PM,72.525,72.53,72.515,72.53,1834
9/10/2018 3:52:00 PM,72.5375,72.5375,72.52,72.525,5084
9/10/2018 3:51:00 PM,72.5475,72.5475,72.5375,72.5375,1226
9/10/2018 3:50:00 PM,72.5525,72.5525,72.5425,72.545,2290
9/10/2018 3:49:00 PM,72.55,72.5525,72.545,72.55,1775
9/10/2018 3:48:00 PM,72.54,72.55,72.535,72.55,2255
9/10/2018 3:47:00 PM,72.5375,72.54,72.5325,72.54,1345
9/10/2018 3:46:00 PM,72.5325,72.54,72.525,72.5375,3341
9/10/2018 3:45:00 PM,72.5225,72.53,72.51,72.53,16588
9/10/2018 3:44:00 PM,72.52,72.5325,72.52,72.525,2637
9/10/2018 3:43:00 PM,72.5375,72.5375,72.52,72.52,2456
9/10/2018 3:42:00 PM,72.5375,72.5375,72.5325,72.535,1261
9/10/2018 3:41:00 PM,72.5575,72.56,72.5375,72.5375,5616
9/10/2018 3:40:00 PM,72.555,72.5575,72.545,72.5575,5560
9/10/2018 3:39:00 PM,72.56,72.575,72.5525,72.5525,3107
9/10/2018 3:38:00 PM,72.56,72.5725,72.56,72.56,6221
9/10/2018 3:37:00 PM,72.565,72.565,72.555,72.56,6371
9/10/2018 3:36:00 PM,72.555,72.57,72.555,72.565,2495
9/10/2018 3:35:00 PM,72.565,72.575,72.555,72.56,6551
9/10/2018 3:34:00 PM,72.545,72.57,72.54,72.5625,18284
9/10/2018 3:33:00 PM,72.54,72.555,72.5325,72.545,6883
9/10/2018 3:32:00 PM,72.5225,72.5675,72.52,72.54,30148
9/10/2018 3:31:00 PM,72.5075,72.525,72.505,72.5175,11513
9/10/2018 3:30:00 PM,72.4875,72.525,72.4825,72.51,15272
9/10/2018 3:29:00 PM,72.475,72.4875,72.4725,72.485,3697
9/10/2018 3:28:00 PM,72.4725,72.4825,72.4725,72.475,4511
9/10/2018 3:27:00 PM,72.4775,72.485,72.4725,72.4725,10574
9/10/2018 3:26:00 PM,72.4575,72.48,72.4525,72.4775,26927
9/10/2018 3:25:00 PM,72.45,72.46,72.4425,72.4575,5031
9/10/2018 3:24:00 PM,72.4425,72.455,72.4325,72.45,3036
9/10/2018 3:23:00 PM,72.4375,72.4475,72.435,72.4425,6161
9/10/2018 3:22:00 PM,72.42,72.45,72.42,72.435,11129
9/10/2018 3:21:00 PM,72.4275,72.4275,72.415,72.42,2845
9/10/2018 3:20:00 PM,72.4375,72.4375,72.415,72.415,10782
9/10/2018 3:19:00 PM,72.4175,72.435,72.415,72.435,5227
9/10/2018 3:18:00 PM,72.4125,72.4225,72.41,72.4175,2666
9/10/2018 3:17:00 PM,72.42,72.42,72.41,72.41,363
9/10/2018 3:16:00 PM,72.4125,72.4275,72.4125,72.425,4559
9/10/2018 3:15:00 PM,72.3975,72.415,72.3975,72.4125,3746
9/10/2018 3:14:00 PM,72.405,72.4075,72.395,72.3975,4505
9/10/2018 3:13:00 PM,72.4075,72.415,72.405,72.405,596
9/10/2018 3:12:00 PM,72.4125,72.42,72.4075,72.4075,2768
9/10/2018 3:11:00 PM,72.4175,72.4175,72.4125,72.4125,1230
9/10/2018 3:10:00 PM,72.41,72.4175,72.4,72.4175,6703
9/10/2018 3:09:00 PM,72.3925,72.41,72.39,72.41,3003
9/10/2018 3:08:00 PM,72.3825,72.395,72.38,72.3925,5814
9/10/2018 3:07:00 PM,72.38,72.3825,72.3775,72.3825,8794
9/10/2018 3:06:00 PM,72.37,72.3825,72.37,72.38,8402
9/10/2018 3:05:00 PM,72.36,72.3725,72.3575,72.3725,4138
9/10/2018 3:04:00 PM,72.355,72.365,72.35,72.36,8957
9/10/2018 3:03:00 PM,72.3575,72.365,72.35,72.36,4402
9/10/2018 3:02:00 PM,72.345,72.3575,72.345,72.3575,5342
9/10/2018 3:01:00 PM,72.3425,72.3475,72.33,72.345,18242
9/10/2018 3:00:00 PM,72.355,72.36,72.3425,72.3425,9530
9/10/2018 2:59:00 PM,72.3475,72.3575,72.3325,72.355,15298
9/10/2018 2:58:00 PM,72.36,72.3675,72.35,72.35,10288
9/10/2018 2:57:00 PM,72.3725,72.3725,72.35,72.36,28851
9/10/2018 2:56:00 PM,72.41,72.4175,72.3725,72.3725,17654
9/10/2018 2:55:00 PM,72.41,72.415,72.4,72.41,1928
9/10/2018 2:54:00 PM,72.4075,72.415,72.4025,72.41,6380
9/10/2018 2:53:00 PM,72.405,72.42,72.4025,72.4075,7244
9/10/2018 2:52:00 PM,72.3975,72.415,72.3975,72.4025,2718
9/10/2018 2:51:00 PM,72.41,72.41,72.395,72.3975,6510
9/10/2018 2:50:00 PM,72.415,72.4175,72.4075,72.41,3184
9/10/2018 2:49:00 PM,72.4075,72.42,72.405,72.415,1610
9/10/2018 2:48:00 PM,72.4175,72.4325,72.405,72.4075,6405
9/10/2018 2:47:00 PM,72.425,72.425,72.4075,72.415,3220
9/10/2018 2:46:00 PM,72.425,72.4275,72.42,72.425,1646
9/10/2018 2:45:00 PM,72.4225,72.4275,72.42,72.4275,3964
9/10/2018 2:44:00 PM,72.405,72.43,72.405,72.4225,3615
9/10/2018 2:43:00 PM,72.4275,72.4275,72.405,72.405,10256
9/10/2018 2:42:00 PM,72.4375,72.4375,72.425,72.4275,2808
9/10/2018 2:41:00 PM,72.455,72.4575,72.4325,72.4375,5620
9/10/2018 2:40:00 PM,72.475,72.4775,72.4525,72.455,2044
9/10/2018 2:39:00 PM,72.4725,72.475,72.465,72.475,4840
9/10/2018 2:38:00 PM,72.4625,72.475,72.4625,72.4725,1414
9/10/2018 2:37:00 PM,72.465,72.47,72.4625,72.4625,1564
9/10/2018 2:36:00 PM,72.4725,72.4725,72.4625,72.465,1342
9/10/2018 2:35:00 PM,72.46,72.48,72.45,72.48,5381
9/10/2018 2:34:00 PM,72.4525,72.4625,72.4525,72.46,4059
9/10/2018 2:33:00 PM,72.46,72.4675,72.455,72.4575,11235
9/10/2018 2:32:00 PM,72.4425,72.46,72.4425,72.4575,9383
9/10/2018 2:31:00 PM,72.4425,72.4475,72.44,72.4425,3327
9/10/2018 2:30:00 PM,72.44,72.4475,72.4375,72.4425,6301
9/10/2018 2:29:00 PM,72.4275,72.44,72.425,72.44,3293
9/10/2018 2:28:00 PM,72.4125,72.425,72.4,72.425,3747
9/10/2018 2:27:00 PM,72.4075,72.435,72.4075,72.41,4825
9/10/2018 2:26:00 PM,72.4075,72.4125,72.4025,72.4125,2245
9/10/2018 2:25:00 PM,72.3825,72.4075,72.3825,72.4075,776
9/10/2018 2:24:00 PM,72.3975,72.3975,72.385,72.385,2581
9/10/2018 2:23:00 PM,72.4,72.4025,72.3975,72.4025,3086
9/10/2018 2:22:00 PM,72.4,72.4,72.39,72.4,1255
9/10/2018 2:21:00 PM,72.41,72.41,72.3925,72.4,1474
9/10/2018 2:20:00 PM,72.4075,72.415,72.3825,72.41,12756
9/10/2018 2:19:00 PM,72.42,72.42,72.4,72.4075,1707
9/10/2018 2:18:00 PM,72.425,72.425,72.42,72.42,1919
9/10/2018 2:17:00 PM,72.42,72.4275,72.42,72.425,1000
9/10/2018 2:16:00 PM,72.43,72.43,72.4125,72.42,4399
9/10/2018 2:15:00 PM,72.435,72.435,72.43,72.43,1582
9/10/2018 2:14:00 PM,72.43,72.435,72.4275,72.4275,1054
9/10/2018 2:13:00 PM,72.415,72.4275,72.41,72.425,611
9/10/2018 2:12:00 PM,72.415,72.43,72.41,72.41,594
9/10/2018 2:11:00 PM,72.43,72.43,72.4225,72.43,752
9/10/2018 2:10:00 PM,72.4125,72.4325,72.4075,72.43,3656
9/10/2018 2:09:00 PM,72.43,72.43,72.4125,72.4125,3058
9/10/2018 2:08:00 PM,72.43,72.4425,72.43,72.43,3355
9/10/2018 2:07:00 PM,72.43,72.435,72.4275,72.4325,2274
9/10/2018 2:06:00 PM,72.4,72.4375,72.4,72.43,10425
9/10/2018 2:05:00 PM,72.4,72.405,72.39,72.4,2990
9/10/2018 2:04:00 PM,72.4125,72.415,72.4,72.4,729
9/10/2018 2:03:00 PM,72.405,72.4125,72.39,72.4125,2237
