Date,USDINR18OCTFUT O,USDINR18OCTFUT H,USDINR18OCTFUT L,USDINR18OCTFUT C,USDINR18OCTFUT V
9/11/2018 4:59:00 PM,73.1325,73.15,73.1275,73.1375,1185
9/11/2018 4:58:00 PM,73.12,73.135,73.115,73.13,701
9/11/2018 4:57:00 PM,73.165,73.165,73.115,73.12,5016
9/11/2018 4:56:00 PM,73.155,73.165,73.1525,73.165,1027
9/11/2018 4:55:00 PM,73.14,73.1625,73.14,73.155,1048
9/11/2018 4:54:00 PM,73.15,73.15,73.135,73.14,2480
9/11/2018 4:53:00 PM,73.135,73.15,73.135,73.15,500
9/11/2018 4:52:00 PM,73.135,73.1375,73.1225,73.1375,446
9/11/2018 4:51:00 PM,73.1225,73.135,73.1225,73.135,1307
9/11/2018 4:50:00 PM,73.1225,73.13,73.115,73.12,1224
9/11/2018 4:49:00 PM,73.1325,73.135,73.12,73.1225,1105
9/11/2018 4:48:00 PM,73.13,73.135,73.1275,73.1325,185
9/11/2018 4:47:00 PM,73.1225,73.13,73.1225,73.13,177
9/11/2018 4:46:00 PM,73.105,73.125,73.105,73.1225,221
9/11/2018 4:45:00 PM,73.1075,73.1125,73.105,73.105,135
9/11/2018 4:44:00 PM,73.11,73.1125,73.1025,73.1025,521
9/11/2018 4:43:00 PM,73.1075,73.11,73.1025,73.11,77
9/11/2018 4:42:00 PM,73.1075,73.115,73.105,73.1075,335
9/11/2018 4:41:00 PM,73.09,73.1075,73.09,73.1075,82
9/11/2018 4:40:00 PM,73.1075,73.1075,73.0875,73.09,337
9/11/2018 4:39:00 PM,73.09,73.1075,73.09,73.1075,382
9/11/2018 4:38:00 PM,73.1075,73.1075,73.09,73.09,190
9/11/2018 4:37:00 PM,73.085,73.1075,73.085,73.1075,119
9/11/2018 4:36:00 PM,73.0875,73.0875,73.08,73.08,27
9/11/2018 4:35:00 PM,73.125,73.125,73.0875,73.0875,663
9/11/2018 4:34:00 PM,73.12,73.125,73.12,73.125,5
9/11/2018 4:33:00 PM,73.115,73.1225,73.1125,73.12,70
9/11/2018 4:32:00 PM,73.1225,73.13,73.1125,73.115,1278
9/11/2018 4:31:00 PM,73.12,73.1275,73.1125,73.12,1195
9/11/2018 4:30:00 PM,73.125,73.1275,73.115,73.12,303
9/11/2018 4:29:00 PM,73.13,73.1375,73.12,73.1375,131
9/11/2018 4:28:00 PM,73.145,73.1475,73.13,73.13,580
9/11/2018 4:27:00 PM,73.145,73.15,73.14,73.145,741
9/11/2018 4:26:00 PM,73.1325,73.145,73.1325,73.145,214
9/11/2018 4:25:00 PM,73.125,73.1325,73.1225,73.1325,1102
9/11/2018 4:24:00 PM,73.125,73.13,73.12,73.12,185
9/11/2018 4:23:00 PM,73.1175,73.125,73.1175,73.125,622
9/11/2018 4:22:00 PM,73.1075,73.1175,73.1075,73.1175,28
9/11/2018 4:21:00 PM,73.12,73.1225,73.1075,73.1075,638
9/11/2018 4:20:00 PM,73.11,73.12,73.11,73.12,2097
9/11/2018 4:19:00 PM,73.0925,73.11,73.0875,73.11,937
9/11/2018 4:18:00 PM,73.0875,73.0975,73.0875,73.0925,1183
9/11/2018 4:17:00 PM,73.095,73.095,73.0775,73.09,332
