Date,BANKNIFTY12SEP1826500PE O,BANKNIFTY12SEP1826500PE H,BANKNIFTY12SEP1826500PE L,BANKNIFTY12SEP1826500PE C,BANKNIFTY12SEP1826500PE V
9/12/2018 3:29:00 PM,0.05,0.05,0.05,0.05,2720
9/12/2018 3:28:00 PM,0.05,0.05,0.05,0.05,1600
9/12/2018 3:27:00 PM,0.05,0.05,0.05,0.05,1080
9/12/2018 3:26:00 PM,0.05,0.05,0.05,0.05,960
9/12/2018 3:25:00 PM,0.05,0.05,0.05,0.05,2640
9/12/2018 3:24:00 PM,0.05,0.05,0.05,0.05,40
9/12/2018 3:23:00 PM,0.05,0.05,0.05,0.05,4440
9/12/2018 3:22:00 PM,0.05,0.1,0.05,0.05,8120
9/12/2018 3:21:00 PM,0.05,0.1,0.05,0.05,17400
9/12/2018 3:20:00 PM,0.1,0.1,0.05,0.05,71600
9/12/2018 3:19:00 PM,0.1,0.1,0.05,0.1,70040
9/12/2018 3:18:00 PM,0.05,0.1,0.05,0.1,15160
9/12/2018 3:17:00 PM,0.05,0.1,0.05,0.1,19080
9/12/2018 3:16:00 PM,0.05,0.1,0.05,0.05,9400
9/12/2018 3:15:00 PM,0.05,0.1,0.05,0.05,45280
9/12/2018 3:14:00 PM,0.1,0.1,0.05,0.05,22600
9/12/2018 3:13:00 PM,0.1,0.1,0.05,0.1,19160
9/12/2018 3:12:00 PM,0.05,0.1,0.05,0.1,17200
9/12/2018 3:11:00 PM,0.05,0.1,0.05,0.05,23520
9/12/2018 3:10:00 PM,0.1,0.1,0.05,0.05,32040
9/12/2018 3:09:00 PM,0.15,0.15,0.05,0.1,159200
9/12/2018 3:08:00 PM,0.1,0.15,0.1,0.1,57360
9/12/2018 3:07:00 PM,0.1,0.15,0.1,0.1,38960
9/12/2018 3:06:00 PM,0.15,0.2,0.1,0.1,88520
9/12/2018 3:05:00 PM,0.15,0.2,0.15,0.15,48360
9/12/2018 3:04:00 PM,0.15,0.2,0.15,0.15,13760
9/12/2018 3:03:00 PM,0.2,0.2,0.15,0.15,18320
9/12/2018 3:02:00 PM,0.2,0.25,0.15,0.2,49760
9/12/2018 3:01:00 PM,0.2,0.25,0.15,0.2,41360
