Date,BANKNIFTY18OCTFUT O,BANKNIFTY18OCTFUT H,BANKNIFTY18OCTFUT L,BANKNIFTY18OCTFUT C,BANKNIFTY18OCTFUT V
9/12/2018 3:29:00 PM,27116,27116,27090.85,27090.85,320
9/12/2018 3:28:00 PM,27115.05,27122.95,27109.8,27116,200
9/12/2018 3:27:00 PM,27110.55,27120,27110.55,27115.05,120
9/12/2018 3:26:00 PM,27096.15,27118.45,27096.15,27110.55,560
9/12/2018 3:25:00 PM,27100,27100,27090.8,27096.15,360
9/12/2018 3:24:00 PM,27107.25,27107.25,27090.55,27100,360
9/12/2018 3:23:00 PM,27106.7,27121.4,27106.7,27107.25,480
9/12/2018 3:22:00 PM,27109.9,27120,27105.25,27106.7,2680
9/12/2018 3:21:00 PM,27100,27109.85,27096.1,27109.85,2480
9/12/2018 3:20:00 PM,27097,27100,27094.35,27100,960
9/12/2018 3:19:00 PM,27083,27097,27083,27097,360
9/12/2018 3:18:00 PM,27068,27083,27068,27083,240
9/12/2018 3:17:00 PM,27082.3,27082.3,27068,27068,800
9/12/2018 3:16:00 PM,27083,27083,27082.3,27082.3,40
9/12/2018 3:15:00 PM,27065,27083,27060,27083,320
9/12/2018 3:14:00 PM,27065,27065,27065,27065,0
9/12/2018 3:13:00 PM,27055.65,27065,27055.65,27065,40
9/12/2018 3:12:00 PM,27050,27055.65,27044.65,27055.65,280
9/12/2018 3:11:00 PM,27050.55,27053.2,27050,27050,120
9/12/2018 3:10:00 PM,27024.45,27050.55,27024.45,27050.55,120
9/12/2018 3:09:00 PM,27021.3,27054.7,27021.3,27024.45,1200
9/12/2018 3:08:00 PM,27021.3,27021.3,27021.3,27021.3,0
9/12/2018 3:07:00 PM,27021.3,27021.3,27021.3,27021.3,0
9/12/2018 3:06:00 PM,27020,27025,27016.3,27021.3,200
9/12/2018 3:05:00 PM,27015,27020,27009.8,27020,360
9/12/2018 3:04:00 PM,27043,27043,27015,27015,120
9/12/2018 3:03:00 PM,27000,27043,27000,27043,40
9/12/2018 3:02:00 PM,27000,27000,26990.65,27000,200
9/12/2018 3:01:00 PM,27035,27035,27000,27000,680
9/12/2018 3:00:00 PM,27045,27045,27035,27035,80
9/12/2018 2:59:00 PM,27064.1,27064.1,27045,27045,120
9/12/2018 2:58:00 PM,27064.1,27064.1,27064.1,27064.1,0
9/12/2018 2:57:00 PM,27039,27064.1,27039,27064.1,80
9/12/2018 2:56:00 PM,27039,27039,27039,27039,0
9/12/2018 2:55:00 PM,27039,27039,27036.2,27039,80
9/12/2018 2:54:00 PM,27050,27050,27039,27039,480
9/12/2018 2:53:00 PM,27049,27050,27049,27050,400
9/12/2018 2:52:00 PM,27044.95,27049,27044.95,27049,40
9/12/2018 2:51:00 PM,27044.95,27044.95,27044.95,27044.95,0
9/12/2018 2:50:00 PM,27033.45,27044.95,27033.45,27044.95,40
9/12/2018 2:49:00 PM,27033.45,27033.45,27033.45,27033.45,0
9/12/2018 2:48:00 PM,27070,27070,27033.45,27033.45,200
9/12/2018 2:47:00 PM,27060,27070,27060,27070,40
9/12/2018 2:46:00 PM,27070,27070,27060,27060,40
9/12/2018 2:45:00 PM,27070,27070,27070,27070,0
9/12/2018 2:44:00 PM,27070,27070,27070,27070,0
9/12/2018 2:43:00 PM,27057.9,27070,27054.7,27070,160
9/12/2018 2:42:00 PM,27045,27057.9,27045,27057.9,80
9/12/2018 2:41:00 PM,27028,27040,27024.2,27024.2,280
9/12/2018 2:40:00 PM,27040,27040,27028,27028,520
9/12/2018 2:39:00 PM,27051.65,27060.45,27040,27040,120
9/12/2018 2:38:00 PM,27025,27053.8,27025,27051.65,120
9/12/2018 2:37:00 PM,27025,27025,27025,27025,40
9/12/2018 2:36:00 PM,27040,27040,27016,27025,1080
9/12/2018 2:35:00 PM,27040,27047.05,27040,27047.05,160
9/12/2018 2:34:00 PM,27066.2,27066.2,27040,27040,1160
9/12/2018 2:33:00 PM,27065.8,27071.3,27065.8,27066.2,80
9/12/2018 2:32:00 PM,27080.9,27080.9,27065.8,27065.8,1040
