Date,BANKNIFTY18SEPFUT O,BANKNIFTY18SEPFUT H,BANKNIFTY18SEPFUT L,BANKNIFTY18SEPFUT C,BANKNIFTY18SEPFUT V
9/12/2018 3:29:00 PM,27010.2,27014.55,26987.55,26990.3,45000
9/12/2018 3:28:00 PM,27021.55,27021.55,27009,27011.75,36360
9/12/2018 3:27:00 PM,27015.05,27025,27015.05,27020.95,36200
9/12/2018 3:26:00 PM,27008,27019.3,27008,27015.05,45920
9/12/2018 3:25:00 PM,26990.05,27009,26990,27005,28320
9/12/2018 3:24:00 PM,26998,27000,26990,26990,33640
9/12/2018 3:23:00 PM,27009.4,27015,26997.85,27000,52520
9/12/2018 3:22:00 PM,27009.75,27010,27003.65,27008,23480
9/12/2018 3:21:00 PM,27005.5,27008.85,27001.5,27008,23200
9/12/2018 3:20:00 PM,26999.35,27006.85,26995.4,27005.15,23440
9/12/2018 3:19:00 PM,26991.05,27000.3,26980.35,26997,31120
9/12/2018 3:18:00 PM,26975.8,26993.5,26972.1,26991.8,20200
9/12/2018 3:17:00 PM,26967,26978.65,26962.05,26976.4,24320
9/12/2018 3:16:00 PM,26974.55,26980,26967.05,26969.95,29400
9/12/2018 3:15:00 PM,26957.75,26974.95,26955.1,26974.95,24680
9/12/2018 3:14:00 PM,26952.15,26958.95,26941.6,26957.75,15880
9/12/2018 3:13:00 PM,26962.4,26973.85,26950,26952.15,20840
9/12/2018 3:12:00 PM,26950,26964.75,26946.35,26964.75,12480
9/12/2018 3:11:00 PM,26941,26950.7,26940,26950.2,9840
9/12/2018 3:10:00 PM,26932,26945.1,26932,26940,8960
9/12/2018 3:09:00 PM,26933.15,26949.8,26929.5,26931.9,16280
9/12/2018 3:08:00 PM,26929.2,26933.75,26923.65,26932.9,7440
9/12/2018 3:07:00 PM,26927,26935.5,26927,26930,7720
9/12/2018 3:06:00 PM,26904.8,26927,26904.8,26927,11280
9/12/2018 3:05:00 PM,26902,26922.7,26902,26908.45,9080
9/12/2018 3:04:00 PM,26926.9,26926.9,26902,26902,6520
9/12/2018 3:03:00 PM,26906.15,26935.6,26906.15,26923.7,10440
9/12/2018 3:02:00 PM,26893,26914.75,26892.05,26903.5,29080
9/12/2018 3:01:00 PM,26925.45,26929.9,26892.05,26897.95,30000
9/12/2018 3:00:00 PM,26946,26953.45,26930,26930,8960
9/12/2018 2:59:00 PM,26947.45,26960.9,26940.05,26942.15,3800
9/12/2018 2:58:00 PM,26973.9,26973.9,26950,26950.85,8200
