Date,BANKNIFTY19SEP1826900CE O,BANKNIFTY19SEP1826900CE H,BANKNIFTY19SEP1826900CE L,BANKNIFTY19SEP1826900CE C,BANKNIFTY19SEP1826900CE V
9/12/2018 3:29:00 PM,210,211,202.6,210,11520
9/12/2018 3:28:00 PM,211,211.15,208.4,210,8440
9/12/2018 3:27:00 PM,213.85,215,210.75,211.2,11760
9/12/2018 3:26:00 PM,210.85,213.95,210.1,213.85,12080
9/12/2018 3:25:00 PM,201.7,210.85,201.7,210.85,8040
9/12/2018 3:24:00 PM,205.3,205.75,202.4,203.5,10280
9/12/2018 3:23:00 PM,211,212.55,205.3,206.35,11040
9/12/2018 3:22:00 PM,212.55,212.55,209.15,209.8,9320
9/12/2018 3:21:00 PM,211.85,213.2,210.55,211.3,10920
9/12/2018 3:20:00 PM,210.55,212.4,210.3,211.85,5760
9/12/2018 3:19:00 PM,208.25,210.5,202.95,210,10000
9/12/2018 3:18:00 PM,199.05,207.7,199.05,207.7,15160
9/12/2018 3:17:00 PM,195,200,195,199.95,4160
9/12/2018 3:16:00 PM,201,202.1,196.45,197.45,8120
9/12/2018 3:15:00 PM,193.9,200.15,193.45,200.15,8600
9/12/2018 3:14:00 PM,195.25,195.25,190,193.9,5520
9/12/2018 3:13:00 PM,197.95,200.55,191.35,195.25,9040
9/12/2018 3:12:00 PM,191.95,197.7,189,197.7,9400
9/12/2018 3:11:00 PM,185.75,191.7,185.7,191.5,5560
9/12/2018 3:10:00 PM,179.45,187,179.4,185.75,5440
9/12/2018 3:09:00 PM,180.55,188.9,177.7,179.45,5120
9/12/2018 3:08:00 PM,182.65,182.65,177.95,180.45,4280
9/12/2018 3:07:00 PM,181.2,184.95,180.35,182.65,8920
9/12/2018 3:06:00 PM,174.2,181.2,174.15,181.2,8400
9/12/2018 3:05:00 PM,174.8,182.25,174,174.2,6040
9/12/2018 3:04:00 PM,183.25,183.25,174.85,174.85,3480
9/12/2018 3:03:00 PM,175.2,185.75,175.2,182.45,4400
9/12/2018 3:02:00 PM,171.35,177.7,169.2,175.2,6920
9/12/2018 3:01:00 PM,183.25,183.55,169.85,171.35,4400
9/12/2018 3:00:00 PM,193,197.45,184.5,184.5,6160
9/12/2018 2:59:00 PM,193.45,200,189.8,192.75,6800
9/12/2018 2:58:00 PM,202.95,202.95,193.05,193.75,6280
9/12/2018 2:57:00 PM,190,202.15,190,202.15,3720
9/12/2018 2:56:00 PM,186.2,191.55,186.2,189.2,2040
9/12/2018 2:55:00 PM,180.3,186.65,180.1,186.2,3720
9/12/2018 2:54:00 PM,187.7,188.2,180,180.95,5480
9/12/2018 2:53:00 PM,191.35,193,187.7,187.7,4560
9/12/2018 2:52:00 PM,190.4,195,190,191.35,3720
9/12/2018 2:51:00 PM,184.7,192.2,184.7,190.4,5920
9/12/2018 2:50:00 PM,191.65,192.35,184.25,184.7,2120
9/12/2018 2:49:00 PM,196.95,196.95,189.75,192.85,3240
9/12/2018 2:48:00 PM,196.3,196.3,183.8,194.5,4120
9/12/2018 2:47:00 PM,197.2,203.75,195.75,196.3,3000
9/12/2018 2:46:00 PM,201.35,202.85,195.15,197.2,2720
9/12/2018 2:45:00 PM,208.2,208.2,201,201.35,3120
9/12/2018 2:44:00 PM,198.15,208.6,198.15,208.2,3920
9/12/2018 2:43:00 PM,194.05,207.4,194.05,200.1,4440
