Trade ID,Fill time,Type,Instrument,Product,Qty.,Avg. Price,Value,Trades,Position
214268,9/12/2018 15:27,BUY,USDINR18SEP71.75PE,NRML,4,0.3175,1270,,3000
214267,9/12/2018 15:27,BUY,USDINR18SEP71.75PE,NRML,1,0.3175,317.5,,
213567,9/12/2018 15:27,BUY,USDINR18SEP72.5CE,NRML,5,0.2825,1412.5,,
55497587,9/12/2018 14:34,SELL,BANKNIFTY19SEP1826500PE,NRML,40,90.9,3636,498,
55497586,9/12/2018 14:34,SELL,BANKNIFTY19SEP1826500PE,NRML,40,90.95,3638,500,
55377845,9/12/2018 14:29,BUY,BANKNIFTY19SEP1826500PE,NRML,40,78.45,3138,,
55377844,9/12/2018 14:29,BUY,BANKNIFTY19SEP1826500PE,NRML,40,78.45,3138,,
55219878,9/12/2018 14:23,SELL,BANKNIFTY19SEP1826500PE,MIS,40,78.4,3136,-252,
55167437,9/12/2018 14:19,BUY,BANKNIFTY19SEP1826500PE,MIS,40,84.7,3388,,
54476162,9/12/2018 13:53,SELL,BANKNIFTY19SEP1826500PE,MIS,40,106.2,4248,400,
54342674,9/12/2018 13:49,BUY,BANKNIFTY19SEP1826500PE,MIS,40,96.2,3848,,
53967764,9/12/2018 13:30,SELL,BANKNIFTY19SEP1826500PE,MIS,40,140.4,5616,654,
53890095,9/12/2018 13:24,BUY,BANKNIFTY19SEP1826500PE,MIS,40,124.05,4962,,
51223238,9/12/2018 10:03,SELL,BANKNIFTY12SEP1826700PE,MIS,80,88.7,7096,1020,
51111691,9/12/2018 9:58,BUY,BANKNIFTY12SEP1826700PE,MIS,40,81.45,3258,,
51013987,9/12/2018 9:54,SELL,BANKNIFTY12SEP1826700CE,MIS,40,78.85,3154,-1078,
50912396,9/12/2018 9:46,BUY,BANKNIFTY12SEP1826700CE,MIS,40,105.8,4232,,
50892262,9/12/2018 9:45,BUY,BANKNIFTY12SEP1826700PE,MIS,40,70.45,2818,,
50766035,9/12/2018 9:39,BUY,BANKNIFTY19SEP1826900CE,NRML,40,174.4,6976,,15282
50729432,9/12/2018 9:37,BUY,BANKNIFTY19SEP1826800PE,NRML,40,207.65,8306,,
,,,,,,,,,
,,,,,,,NET,1742,18282
,,,,,,,CASH,,6082
,,,,,,,,,24364
