Date,ADANIPORTS-EQ O,ADANIPORTS-EQ H,ADANIPORTS-EQ L,ADANIPORTS-EQ C,ADANIPORTS-EQ V
9/14/2018 3:29:00 PM,382,382.6,381.65,381.65,10531
9/14/2018 3:28:00 PM,381.95,382.55,381.9,382,14982
9/14/2018 3:27:00 PM,382.55,382.55,381.95,381.95,9139
9/14/2018 3:26:00 PM,382.5,382.8,382.5,382.5,10794
9/14/2018 3:25:00 PM,382.25,382.9,382.25,382.55,9200
9/14/2018 3:24:00 PM,382.3,382.75,382.05,382.5,16388
9/14/2018 3:23:00 PM,382,382.35,381.75,382.35,13190
9/14/2018 3:22:00 PM,381.4,382.1,381.4,382,22883
9/14/2018 3:21:00 PM,381.35,381.75,381.35,381.5,15613
9/14/2018 3:20:00 PM,381,381.75,380.45,381.5,29075
9/14/2018 3:19:00 PM,380.95,381.35,380.75,381.15,26129
9/14/2018 3:18:00 PM,380.1,380.95,380.1,380.95,11543
9/14/2018 3:17:00 PM,379.8,380.45,379.8,380.3,24133
9/14/2018 3:16:00 PM,379.85,380,379.45,380,20047
9/14/2018 3:15:00 PM,379.5,379.9,379.35,379.65,15192
9/14/2018 3:14:00 PM,378.95,379.7,378.95,379.7,12987
9/14/2018 3:13:00 PM,379.05,379.45,378.8,379.15,29107
9/14/2018 3:12:00 PM,379.05,379.25,378.8,379.05,16412
9/14/2018 3:11:00 PM,379,379.2,378.8,379.15,19839
9/14/2018 3:10:00 PM,379.25,379.25,378.8,379,11138
9/14/2018 3:09:00 PM,379.25,379.5,379.1,379.25,15951
9/14/2018 3:08:00 PM,379.15,379.5,379.05,379.2,21585
9/14/2018 3:07:00 PM,378.9,379.45,378.85,379.2,14478
9/14/2018 3:06:00 PM,378.95,379.15,378.65,378.9,9655
9/14/2018 3:05:00 PM,378.75,379.4,378.65,379.1,21562
9/14/2018 3:04:00 PM,379.55,379.55,379.1,379.1,16921
9/14/2018 3:03:00 PM,379.1,379.55,379.1,379.55,25901
9/14/2018 3:02:00 PM,378.8,379,378.45,378.9,18286
9/14/2018 3:01:00 PM,378.7,379.15,378.6,378.8,23311
9/14/2018 3:00:00 PM,378.25,378.9,378.05,378.9,14202
9/14/2018 2:59:00 PM,378.6,378.9,378.25,378.25,9348
9/14/2018 2:58:00 PM,378.5,378.95,378.45,378.6,22604
9/14/2018 2:57:00 PM,378.05,378.5,377.9,378.5,13105
9/14/2018 2:56:00 PM,378.05,378.3,377.85,378.05,9414
9/14/2018 2:55:00 PM,378,378.15,377.75,378.05,6221
9/14/2018 2:54:00 PM,377.75,378.25,377.7,378,10695
9/14/2018 2:53:00 PM,377.9,377.9,377.6,377.75,9734
9/14/2018 2:52:00 PM,377.6,377.9,377.6,377.9,5570
9/14/2018 2:51:00 PM,377.4,377.95,377.4,377.6,10118
9/14/2018 2:50:00 PM,377.25,377.6,377.25,377.4,11485
9/14/2018 2:49:00 PM,376.8,377.3,376.8,377.25,11353
9/14/2018 2:48:00 PM,376.4,376.95,376.4,376.75,15584
9/14/2018 2:47:00 PM,376.35,376.55,376.3,376.4,4822
9/14/2018 2:46:00 PM,376.55,376.55,376.25,376.35,7330
9/14/2018 2:45:00 PM,376.25,376.7,376.2,376.55,13524
9/14/2018 2:44:00 PM,376.55,376.75,376.1,376.2,8573
9/14/2018 2:43:00 PM,376.4,376.75,376.2,376.55,8411
9/14/2018 2:42:00 PM,376.5,376.8,376.3,376.4,8890
9/14/2018 2:41:00 PM,376.55,376.85,376.4,376.5,9160
9/14/2018 2:40:00 PM,376.5,376.9,376.45,376.55,7430
9/14/2018 2:39:00 PM,376.95,376.95,376.25,376.55,9023
9/14/2018 2:38:00 PM,376.85,377.2,376.5,376.95,9947
9/14/2018 2:37:00 PM,377,377.25,376.6,376.85,7171
9/14/2018 2:36:00 PM,377.05,377.2,376.95,376.95,5926
9/14/2018 2:35:00 PM,377.15,377.15,376.65,377.05,9778
9/14/2018 2:34:00 PM,377.3,377.35,376.9,377.15,6856
9/14/2018 2:33:00 PM,376.6,377.3,376.6,377.3,12379
9/14/2018 2:32:00 PM,377.35,377.35,376.6,376.6,7115
9/14/2018 2:31:00 PM,376.7,377.35,376.55,377.35,11718
9/14/2018 2:30:00 PM,376.7,376.7,376.55,376.7,6614
9/14/2018 2:29:00 PM,376.4,376.85,376.35,376.7,13721
9/14/2018 2:28:00 PM,376.75,376.95,376.2,376.4,15833
9/14/2018 2:27:00 PM,377.3,377.3,376.35,376.75,45725
9/14/2018 2:26:00 PM,377.45,377.85,377.15,377.3,7193
9/14/2018 2:25:00 PM,377.85,378.1,377.25,377.45,21935
9/14/2018 2:24:00 PM,378.05,378.25,377.85,377.85,13791
9/14/2018 2:23:00 PM,378,378.25,377.9,378.2,1331
9/14/2018 2:22:00 PM,378.15,378.15,378,378.05,3559
