Date,AMBUJACEM-EQ O,AMBUJACEM-EQ H,AMBUJACEM-EQ L,AMBUJACEM-EQ C,AMBUJACEM-EQ V
9/14/2018 3:29:00 PM,229.35,229.7,229.25,229.25,8503
9/14/2018 3:28:00 PM,229.4,229.4,229.25,229.4,12140
9/14/2018 3:27:00 PM,229.65,229.85,229.25,229.4,13084
9/14/2018 3:26:00 PM,229.8,229.95,229.65,229.65,10573
9/14/2018 3:25:00 PM,229.6,229.85,229.6,229.8,9767
9/14/2018 3:24:00 PM,229.45,229.9,229.45,229.8,14720
9/14/2018 3:23:00 PM,230,230.15,229.5,229.5,23594
9/14/2018 3:22:00 PM,229.9,230.15,229.9,230.15,21632
9/14/2018 3:21:00 PM,229.9,229.95,229.75,229.9,10047
9/14/2018 3:20:00 PM,230.1,230.2,229.95,229.95,12571
9/14/2018 3:19:00 PM,230.1,230.15,229.85,230,10486
9/14/2018 3:18:00 PM,230,230.1,229.85,230,12023
9/14/2018 3:17:00 PM,230.1,230.15,229.9,230,10421
9/14/2018 3:16:00 PM,230,230.05,229.8,229.9,12541
9/14/2018 3:15:00 PM,229.65,230.15,229.55,230,49309
9/14/2018 3:14:00 PM,229.65,229.7,229.4,229.65,9750
9/14/2018 3:13:00 PM,229.8,229.85,229.4,229.65,10011
9/14/2018 3:12:00 PM,229.7,229.85,229.45,229.85,17893
9/14/2018 3:11:00 PM,229.75,229.9,229.7,229.75,8457
9/14/2018 3:10:00 PM,230.1,230.15,229.7,229.75,15436
9/14/2018 3:09:00 PM,230.2,230.4,229.95,230.05,10475
9/14/2018 3:08:00 PM,230.35,230.45,230.05,230.2,10648
9/14/2018 3:07:00 PM,230.2,230.5,230.2,230.2,13218
9/14/2018 3:06:00 PM,230,230.25,229.75,230.2,10790
9/14/2018 3:05:00 PM,229.8,230.05,229.8,229.8,12361
9/14/2018 3:04:00 PM,229.65,229.85,229.45,229.8,9858
9/14/2018 3:03:00 PM,229.65,229.8,229.35,229.8,8107
9/14/2018 3:02:00 PM,229.8,229.85,229.45,229.5,8544
9/14/2018 3:01:00 PM,229.65,229.85,229.45,229.8,10985
9/14/2018 3:00:00 PM,229.45,229.7,229.1,229.5,16654
9/14/2018 2:59:00 PM,229.45,229.55,229.3,229.4,5129
9/14/2018 2:58:00 PM,229.45,229.5,229.25,229.45,8079
9/14/2018 2:57:00 PM,229.4,229.45,229.3,229.45,4653
9/14/2018 2:56:00 PM,229.55,229.55,229.3,229.4,5819
9/14/2018 2:55:00 PM,229.35,229.6,229.3,229.55,7426
9/14/2018 2:54:00 PM,229.65,229.7,229.5,229.55,5513
9/14/2018 2:53:00 PM,229.6,229.65,229.45,229.65,5374
9/14/2018 2:52:00 PM,229.7,229.8,229.5,229.6,5727
9/14/2018 2:51:00 PM,229.8,229.8,229.45,229.7,6261
9/14/2018 2:50:00 PM,229.2,229.8,229.15,229.8,10133
9/14/2018 2:49:00 PM,229.2,229.45,229.2,229.2,5509
9/14/2018 2:48:00 PM,229.35,229.4,229.05,229.2,21929
9/14/2018 2:47:00 PM,229.6,229.6,229.2,229.35,11050
9/14/2018 2:46:00 PM,229.7,229.75,229.5,229.6,5473
9/14/2018 2:45:00 PM,229.5,229.9,229.5,229.7,8470
9/14/2018 2:44:00 PM,229.7,229.75,229.5,229.5,5875
9/14/2018 2:43:00 PM,229.95,229.95,229.55,229.7,5580
9/14/2018 2:42:00 PM,229.7,229.9,229.5,229.9,5016
9/14/2018 2:41:00 PM,229.7,229.7,229.5,229.6,4878
9/14/2018 2:40:00 PM,229.6,229.8,229.6,229.7,7852
9/14/2018 2:39:00 PM,229.6,229.75,229.5,229.6,6427
9/14/2018 2:38:00 PM,229.8,229.8,229.45,229.6,9806
9/14/2018 2:37:00 PM,230.15,230.15,229.8,229.8,4882
9/14/2018 2:36:00 PM,230.05,230.25,230,230.15,6879
9/14/2018 2:35:00 PM,230.1,230.2,230.05,230.1,4799
9/14/2018 2:34:00 PM,230,230.15,230,230.1,17597
9/14/2018 2:33:00 PM,230.25,230.35,230,230,7326
9/14/2018 2:32:00 PM,230.45,230.5,230.15,230.25,4759
