Date,ASIANPAINT-EQ O,ASIANPAINT-EQ H,ASIANPAINT-EQ L,ASIANPAINT-EQ C,ASIANPAINT-EQ V
9/14/2018 3:29:00 PM,1331.25,1332,1331,1332,1146
9/14/2018 3:28:00 PM,1331.9,1333,1330.4,1331.25,6895
9/14/2018 3:27:00 PM,1332.45,1332.7,1331.55,1332,4252
9/14/2018 3:26:00 PM,1333,1333,1332,1332.45,5817
9/14/2018 3:25:00 PM,1334.3,1334.95,1332.55,1332.75,18478
9/14/2018 3:24:00 PM,1334.05,1335.35,1333.8,1334.3,10455
9/14/2018 3:23:00 PM,1334,1335.45,1334,1334.55,24244
9/14/2018 3:22:00 PM,1334.05,1335.35,1334,1334.05,16883
9/14/2018 3:21:00 PM,1334.4,1334.8,1334,1334.65,15111
9/14/2018 3:20:00 PM,1333.6,1334.5,1333.4,1334.45,42181
9/14/2018 3:19:00 PM,1332.45,1333.6,1331,1333.6,21933
9/14/2018 3:18:00 PM,1332.65,1333,1331.65,1332.45,9892
9/14/2018 3:17:00 PM,1333.2,1333.2,1332.25,1332.65,4647
9/14/2018 3:16:00 PM,1333,1333.7,1332.05,1332.8,9056
9/14/2018 3:15:00 PM,1334,1334,1332.25,1333,13981
9/14/2018 3:14:00 PM,1333.75,1334.25,1333.05,1333.95,10798
9/14/2018 3:13:00 PM,1334.4,1334.45,1333.5,1333.8,4252
9/14/2018 3:12:00 PM,1334.2,1334.6,1333.05,1334.4,6655
9/14/2018 3:11:00 PM,1335.05,1335.25,1334,1334.1,9493
9/14/2018 3:10:00 PM,1335.85,1336.4,1335,1335.25,8283
9/14/2018 3:09:00 PM,1333.95,1336,1333.85,1335.95,19555
9/14/2018 3:08:00 PM,1333.05,1333.9,1333.05,1333.85,2269
9/14/2018 3:07:00 PM,1334.65,1334.95,1333.4,1333.4,4537
9/14/2018 3:06:00 PM,1335,1335.45,1334,1334.65,10100
9/14/2018 3:05:00 PM,1334.2,1335.9,1334.2,1335.1,26221
9/14/2018 3:04:00 PM,1334.05,1334.55,1333.25,1334.1,2731
9/14/2018 3:03:00 PM,1334.05,1334.7,1333.3,1334.2,4595
9/14/2018 3:02:00 PM,1332.95,1334.05,1332.95,1334.05,10661
9/14/2018 3:01:00 PM,1332.95,1333,1332.7,1333,2613
9/14/2018 3:00:00 PM,1332.15,1333.45,1332.15,1333,8992
9/14/2018 2:59:00 PM,1333.05,1333.1,1332.65,1332.85,1634
9/14/2018 2:58:00 PM,1333.05,1333.2,1333,1333,1006
9/14/2018 2:57:00 PM,1334.8,1334.9,1333,1333.05,2062
9/14/2018 2:56:00 PM,1333.2,1334.8,1333.15,1334.8,3450
9/14/2018 2:55:00 PM,1334,1334,1332.35,1333.25,2370
9/14/2018 2:54:00 PM,1333.5,1334,1333.35,1334,3509
9/14/2018 2:53:00 PM,1333.1,1333.45,1332,1332.9,4317
9/14/2018 2:52:00 PM,1331.05,1333.2,1330,1333.15,7486
9/14/2018 2:51:00 PM,1331.65,1331.65,1330.4,1331.05,5402
9/14/2018 2:50:00 PM,1332.15,1332.2,1331.15,1331.4,3210
9/14/2018 2:49:00 PM,1331.9,1332.2,1331.65,1332.15,3370
9/14/2018 2:48:00 PM,1330.8,1331.8,1330.65,1331.8,1757
9/14/2018 2:47:00 PM,1331.95,1331.95,1330.45,1330.8,3572
9/14/2018 2:46:00 PM,1331.25,1331.8,1331.25,1331.75,3326
9/14/2018 2:45:00 PM,1330.35,1331.3,1330.35,1331.25,2224
9/14/2018 2:44:00 PM,1329.4,1330.4,1329.4,1330.4,1955
9/14/2018 2:43:00 PM,1330.75,1330.95,1329.35,1329.35,3057
9/14/2018 2:42:00 PM,1330.2,1330.75,1330.2,1330.75,2488
9/14/2018 2:41:00 PM,1329.4,1330.2,1329.15,1330.2,1113
9/14/2018 2:40:00 PM,1330.45,1330.45,1329.4,1329.4,3447
9/14/2018 2:39:00 PM,1330.2,1330.45,1330.2,1330.45,1498
9/14/2018 2:38:00 PM,1331.25,1331.3,1330.1,1330.2,3359
9/14/2018 2:37:00 PM,1330.6,1331.25,1330.6,1331.25,2369
9/14/2018 2:36:00 PM,1330,1330.6,1330,1330.6,777
9/14/2018 2:35:00 PM,1330.95,1331.55,1330,1330,3200
9/14/2018 2:34:00 PM,1329.35,1330.95,1329.35,1330.95,10203
9/14/2018 2:33:00 PM,1329.85,1330.35,1328.05,1328.95,5560
9/14/2018 2:32:00 PM,1329.1,1329.7,1328.6,1329.7,7590
9/14/2018 2:31:00 PM,1329.8,1330,1329.4,1329.4,3869
9/14/2018 2:30:00 PM,1328.4,1329.75,1328.4,1329.75,2122
9/14/2018 2:29:00 PM,1326.95,1328.5,1326.95,1328.4,3800
9/14/2018 2:28:00 PM,1327,1327.85,1326.55,1326.95,4763
9/14/2018 2:27:00 PM,1327.2,1328.4,1326.3,1327,3484
9/14/2018 2:26:00 PM,1329.5,1329.5,1327,1327,3187
9/14/2018 2:25:00 PM,1329.1,1330,1329.1,1329.5,2752
9/14/2018 2:24:00 PM,1329.45,1329.5,1328.15,1329.25,4914
9/14/2018 2:23:00 PM,1331,1331,1329.15,1329.15,4001
9/14/2018 2:22:00 PM,1331.45,1331.7,1330.5,1330.5,2479
9/14/2018 2:21:00 PM,1331.1,1331.7,1331.1,1331.45,1762
9/14/2018 2:20:00 PM,1331.8,1331.8,1331.1,1331.1,1681
9/14/2018 2:19:00 PM,1331.45,1331.8,1331.45,1331.8,2536
9/14/2018 2:18:00 PM,1331,1331.45,1330.95,1331.4,1549
9/14/2018 2:17:00 PM,1330.85,1331,1330.2,1330.95,984
9/14/2018 2:16:00 PM,1331.45,1331.5,1330.95,1330.95,2697
9/14/2018 2:15:00 PM,1330.85,1331.3,1330.8,1331.1,1445
9/14/2018 2:14:00 PM,1331.25,1331.4,1330.3,1330.55,2770
9/14/2018 2:13:00 PM,1331.6,1331.6,1330.65,1331.2,2020
