Date,AUROPHARMA-EQ O,AUROPHARMA-EQ H,AUROPHARMA-EQ L,AUROPHARMA-EQ C,AUROPHARMA-EQ V
9/14/2018 3:29:00 PM,799.95,801.55,799.8,800.05,25939
9/14/2018 3:28:00 PM,800,800,799.9,799.95,29952
9/14/2018 3:27:00 PM,800,800,799.8,799.95,31166
9/14/2018 3:26:00 PM,800.5,800.5,799.7,800,68822
9/14/2018 3:25:00 PM,800.7,801.75,800.4,800.5,19167
9/14/2018 3:24:00 PM,800,800.65,799.6,800.65,51790
9/14/2018 3:23:00 PM,799.35,800,799.15,800,25203
9/14/2018 3:22:00 PM,799.65,800,799.3,799.3,20615
9/14/2018 3:21:00 PM,799.4,800,799.4,799.95,34665
9/14/2018 3:20:00 PM,799.9,800,799.25,800,26090
9/14/2018 3:19:00 PM,799.9,799.9,799,799.85,14807
9/14/2018 3:18:00 PM,800,800,799.2,799.7,26812
9/14/2018 3:17:00 PM,800,800,799.1,800,13087
9/14/2018 3:16:00 PM,799.7,800,799.15,800,45278
9/14/2018 3:15:00 PM,799.85,800,798.95,799.75,44142
9/14/2018 3:14:00 PM,799.3,799.9,799.1,799.9,19945
9/14/2018 3:13:00 PM,798.95,799.3,798.75,799.3,11592
9/14/2018 3:12:00 PM,799,799,798.25,798.9,15456
9/14/2018 3:11:00 PM,799.2,799.3,798.55,798.8,6985
9/14/2018 3:10:00 PM,799.05,799.3,798.4,799.25,20865
9/14/2018 3:09:00 PM,799.55,799.55,799,799,12767
9/14/2018 3:08:00 PM,799.4,799.8,799.05,799.5,7934
9/14/2018 3:07:00 PM,800,800,799.35,799.4,37254
9/14/2018 3:06:00 PM,799.9,800,799.65,800,15765
9/14/2018 3:05:00 PM,799.95,800,799.8,799.95,7134
9/14/2018 3:04:00 PM,799.75,800,799.5,799.85,8888
9/14/2018 3:03:00 PM,799.75,800,799.75,799.75,17754
9/14/2018 3:02:00 PM,799.85,800,799.55,799.75,6113
9/14/2018 3:01:00 PM,799.95,800,799.45,799.85,20630
9/14/2018 3:00:00 PM,799.95,800,799.4,799.95,13268
9/14/2018 2:59:00 PM,799.7,800,799.2,799.65,9348
9/14/2018 2:58:00 PM,799.75,800,799,799.65,12387
9/14/2018 2:57:00 PM,799.8,800,799.25,799.75,13784
9/14/2018 2:56:00 PM,799.9,800,799.6,799.8,10224
9/14/2018 2:55:00 PM,799.9,800,799.65,799.85,22232
9/14/2018 2:54:00 PM,799.8,800,799.35,799.9,9984
9/14/2018 2:53:00 PM,799.45,799.85,798.95,799.8,5967
9/14/2018 2:52:00 PM,799.95,800,799.05,799.45,7420
9/14/2018 2:51:00 PM,799.9,800,799.5,799.95,23370
9/14/2018 2:50:00 PM,799,799.8,798.95,799.5,14206
9/14/2018 2:49:00 PM,798.45,799.05,798.45,799,3360
9/14/2018 2:48:00 PM,798.35,798.8,797.7,798.45,4689
9/14/2018 2:47:00 PM,798.6,798.6,798,798.35,3040
9/14/2018 2:46:00 PM,797.4,798.6,797,798.6,8586
9/14/2018 2:45:00 PM,796.95,797.45,796.95,797.35,6481
9/14/2018 2:44:00 PM,796.9,797.6,796.8,796.95,8329
9/14/2018 2:43:00 PM,798.6,798.75,796.95,796.95,20839
9/14/2018 2:42:00 PM,799.4,799.45,798.5,798.75,9503
9/14/2018 2:41:00 PM,799.4,799.9,799.2,799.4,5785
9/14/2018 2:40:00 PM,799.8,799.9,799.35,799.4,4832
9/14/2018 2:39:00 PM,799.4,800,799.25,799.25,14794
9/14/2018 2:38:00 PM,799.4,800,799,800,22534
9/14/2018 2:37:00 PM,798.55,799.5,798.5,799,13346
9/14/2018 2:36:00 PM,800,800,798.5,798.55,23748
