Date,AXISBANK-EQ O,AXISBANK-EQ H,AXISBANK-EQ L,AXISBANK-EQ C,AXISBANK-EQ V
9/14/2018 3:29:00 PM,637.2,637.2,636.05,636.65,44341
9/14/2018 3:28:00 PM,637.3,637.4,636.85,636.9,31772
9/14/2018 3:27:00 PM,637.15,637.55,636.85,637.1,52446
9/14/2018 3:26:00 PM,636.95,637.4,636.95,637,51840
9/14/2018 3:25:00 PM,637.25,637.4,637,637.35,24675
9/14/2018 3:24:00 PM,636.6,637.4,636.6,637.25,70790
9/14/2018 3:23:00 PM,636.7,637.3,636.3,636.9,80658
9/14/2018 3:22:00 PM,636.55,636.95,636.3,636.9,30904
9/14/2018 3:21:00 PM,636.55,637,636.35,636.55,34833
9/14/2018 3:20:00 PM,636.7,637.25,636.5,636.55,78991
9/14/2018 3:19:00 PM,636.8,636.95,636.45,636.7,39579
9/14/2018 3:18:00 PM,636.2,636.8,636,636.7,39134
9/14/2018 3:17:00 PM,635.8,636.2,635.5,636.2,40556
9/14/2018 3:16:00 PM,636.1,636.15,634.9,636,112210
9/14/2018 3:15:00 PM,636.8,637.2,635.45,636.1,124038
9/14/2018 3:14:00 PM,637.15,637.5,636.8,636.8,30459
9/14/2018 3:13:00 PM,636.75,637.35,636.5,637.35,35282
9/14/2018 3:12:00 PM,637.85,637.9,636.5,636.9,65748
9/14/2018 3:11:00 PM,636.55,637.9,636.1,637.85,52974
9/14/2018 3:10:00 PM,637.75,637.75,636.25,636.55,103760
9/14/2018 3:09:00 PM,636.5,638.2,636.25,637.9,152600
9/14/2018 3:08:00 PM,636.5,637,636.4,636.65,42633
9/14/2018 3:07:00 PM,636.75,637.35,636.3,636.85,127558
9/14/2018 3:06:00 PM,636,636.85,635.5,636.85,130260
9/14/2018 3:05:00 PM,635.4,636,634.65,636,36218
9/14/2018 3:04:00 PM,635.15,635.85,635,635.05,27714
9/14/2018 3:03:00 PM,635.2,636.6,635,635,167624
9/14/2018 3:02:00 PM,634.3,635.2,634.05,635.2,57285
9/14/2018 3:01:00 PM,633.8,634.4,633.75,634.2,57945
9/14/2018 3:00:00 PM,632.5,634,632.45,633.6,51195
9/14/2018 2:59:00 PM,632.45,632.8,632,632.4,85338
9/14/2018 2:58:00 PM,633.5,633.65,632.2,632.7,37707
9/14/2018 2:57:00 PM,633.95,634,633.05,633.2,30677
9/14/2018 2:56:00 PM,633.85,634,633.8,633.95,7954
9/14/2018 2:55:00 PM,634,634,633.8,633.85,8054
9/14/2018 2:54:00 PM,633.95,634.15,633.8,634,15370
9/14/2018 2:53:00 PM,633.7,634,633.6,633.95,24925
9/14/2018 2:52:00 PM,633.9,633.9,633.5,633.6,8580
9/14/2018 2:51:00 PM,633.7,633.95,633.2,633.95,22080
9/14/2018 2:50:00 PM,634,634,633.55,633.7,9349
9/14/2018 2:49:00 PM,634.2,634.2,633.6,634,22126
9/14/2018 2:48:00 PM,634.5,634.5,634.1,634.2,5323
9/14/2018 2:47:00 PM,634.4,634.5,634.15,634.25,9489
9/14/2018 2:46:00 PM,634.35,634.5,634.05,634.15,8361
9/14/2018 2:45:00 PM,634.45,634.5,634.3,634.45,12933
9/14/2018 2:44:00 PM,634.45,634.55,634.4,634.5,12492
9/14/2018 2:43:00 PM,634.5,634.75,634.2,634.5,24051
9/14/2018 2:42:00 PM,634.35,634.5,634.05,634.5,6042
9/14/2018 2:41:00 PM,634.25,634.4,634,634.4,7454
9/14/2018 2:40:00 PM,634.4,634.4,634.05,634.2,3343
9/14/2018 2:39:00 PM,633.95,634.5,633.9,634.4,15717
9/14/2018 2:38:00 PM,634.05,634.05,633.65,634,11489
9/14/2018 2:37:00 PM,634.4,634.4,633.45,634.05,34140
9/14/2018 2:36:00 PM,634.4,634.45,634.15,634.4,5472
9/14/2018 2:35:00 PM,634.45,634.45,634.3,634.45,4479
9/14/2018 2:34:00 PM,634.3,634.5,634.1,634.25,6768
9/14/2018 2:33:00 PM,634.5,634.7,634.3,634.3,4531
9/14/2018 2:32:00 PM,634.5,634.6,634.15,634.6,6899
9/14/2018 2:31:00 PM,634.35,634.5,634.2,634.5,7640
9/14/2018 2:30:00 PM,634.2,634.35,634.15,634.35,4982
9/14/2018 2:29:00 PM,633.9,634.5,633.8,634.2,7219
9/14/2018 2:28:00 PM,633.75,634,633.55,633.8,7500
9/14/2018 2:27:00 PM,633.95,634.05,633.5,633.65,15214
9/14/2018 2:26:00 PM,633.9,634.5,633.7,633.7,19143
9/14/2018 2:25:00 PM,633.85,634,633.55,633.9,23193
9/14/2018 2:24:00 PM,633.85,634,633.5,633.85,12395
9/14/2018 2:23:00 PM,634.6,634.6,634,634,21282
9/14/2018 2:22:00 PM,634.7,634.7,634.35,634.6,3679
9/14/2018 2:21:00 PM,635,635,634.3,634.7,12459
9/14/2018 2:20:00 PM,635.1,635.45,634.8,635,27309
9/14/2018 2:19:00 PM,634.5,635,634.35,635,23017
9/14/2018 2:18:00 PM,634.7,634.7,634,634.4,10127
9/14/2018 2:17:00 PM,634.65,635.1,634.15,634.7,70952
9/14/2018 2:16:00 PM,634.05,634.5,633.7,634.5,19577
9/14/2018 2:15:00 PM,633.45,634.4,633.1,634.35,17171
9/14/2018 2:14:00 PM,633,633.35,632.7,633.35,17840
9/14/2018 2:13:00 PM,633,633.05,632.85,633,10731
9/14/2018 2:12:00 PM,632.8,633.2,632.8,633,15241
9/14/2018 2:11:00 PM,633,633.2,632.8,632.8,9145
9/14/2018 2:10:00 PM,632.9,633.2,632.6,633,15761
9/14/2018 2:09:00 PM,632.5,632.95,632.5,632.9,15904
9/14/2018 2:08:00 PM,633.45,633.45,632.5,632.7,20903
9/14/2018 2:07:00 PM,632.95,633.5,632.9,633.25,21868
9/14/2018 2:06:00 PM,632.4,632.8,632.4,632.75,31775
9/14/2018 2:05:00 PM,633,633,632.3,632.5,25131
9/14/2018 2:04:00 PM,633,633.05,632.6,632.85,24330
9/14/2018 2:03:00 PM,633.3,633.4,632.9,633,20373
9/14/2018 2:02:00 PM,633.9,634.1,632.55,633.05,41467
9/14/2018 2:01:00 PM,633.65,634.1,633.65,634,11175
9/14/2018 2:00:00 PM,634.35,634.5,633.35,633.85,46786
9/14/2018 1:59:00 PM,634.6,634.75,634,634.5,21885
9/14/2018 1:58:00 PM,635,635,634,634.45,26893
9/14/2018 1:57:00 PM,635,635.05,634.85,635,10647
9/14/2018 1:56:00 PM,635,635.2,634.7,634.95,19294
9/14/2018 1:55:00 PM,634.8,635,634.8,634.95,10424
9/14/2018 1:54:00 PM,635.25,635.25,634.8,634.9,18249
9/14/2018 1:53:00 PM,635.7,635.7,635.2,635.25,8903
9/14/2018 1:52:00 PM,635.6,635.9,635.45,635.75,6433
9/14/2018 1:51:00 PM,635.55,635.95,635.4,635.6,10611
9/14/2018 1:50:00 PM,635.4,635.6,635.05,635.6,7078
9/14/2018 1:49:00 PM,635.55,635.6,635.05,635.3,9245
9/14/2018 1:48:00 PM,635.3,635.55,635.1,635.35,9000
9/14/2018 1:47:00 PM,635.2,635.6,635.05,635.35,7587
9/14/2018 1:46:00 PM,635.3,635.3,635.1,635.25,7154
9/14/2018 1:45:00 PM,635.75,635.75,635.2,635.25,6503
9/14/2018 1:44:00 PM,635.75,635.85,635.45,635.45,7502
9/14/2018 1:43:00 PM,635.6,635.9,635.6,635.75,3247
9/14/2018 1:42:00 PM,636,636,635.4,635.65,8709
9/14/2018 1:41:00 PM,635.8,636,635.35,636,15692
9/14/2018 1:40:00 PM,635.85,636,635.8,635.85,10150
9/14/2018 1:39:00 PM,635.55,635.85,635.45,635.85,7957
9/14/2018 1:38:00 PM,636,636.05,635.5,635.5,36909
9/14/2018 1:37:00 PM,635.5,636,635.4,636,17509
9/14/2018 1:36:00 PM,635.5,635.65,635.45,635.5,8501
9/14/2018 1:35:00 PM,635.1,635.75,635,635.5,18662
9/14/2018 1:34:00 PM,635.35,635.35,634.95,635.1,16025
9/14/2018 1:33:00 PM,635.15,635.5,635.15,635.35,13999
9/14/2018 1:32:00 PM,635.3,635.45,635,635.1,11691
9/14/2018 1:31:00 PM,635.35,635.4,634.55,635.2,22299
9/14/2018 1:30:00 PM,635,635.55,634.85,635.35,11700
9/14/2018 1:29:00 PM,635.9,636,634.7,635,37402
9/14/2018 1:28:00 PM,635.95,635.95,635.55,635.9,6932
9/14/2018 1:27:00 PM,636,636,635.8,635.95,10880
9/14/2018 1:26:00 PM,635.9,636,635.65,636,5886
9/14/2018 1:25:00 PM,636,636,635.6,635.85,12999
9/14/2018 1:24:00 PM,635.85,636,635.55,636,8424
9/14/2018 1:23:00 PM,636,636.05,635.6,635.75,9904
9/14/2018 1:22:00 PM,635.9,636.2,635.7,636.05,12548
9/14/2018 1:21:00 PM,636,636.2,635.7,635.9,14171
9/14/2018 1:20:00 PM,636.2,636.2,635.7,636,18883
