Date,BAJAJ-AUTO-EQ O,BAJAJ-AUTO-EQ H,BAJAJ-AUTO-EQ L,BAJAJ-AUTO-EQ C,BAJAJ-AUTO-EQ V
9/14/2018 3:29:00 PM,2876,2876.5,2874.75,2874.95,1377
9/14/2018 3:28:00 PM,2877.75,2877.75,2875.95,2877.05,884
9/14/2018 3:27:00 PM,2879.5,2879.65,2875.95,2877,1961
9/14/2018 3:26:00 PM,2878.6,2879.95,2878.55,2879.45,1140
9/14/2018 3:25:00 PM,2876.75,2879,2876.75,2878.6,824
9/14/2018 3:24:00 PM,2875.35,2877.55,2873,2876.75,2035
9/14/2018 3:23:00 PM,2873.3,2875.05,2872.9,2874,3112
9/14/2018 3:22:00 PM,2875.65,2877,2874.05,2875.25,1525
9/14/2018 3:21:00 PM,2870.15,2876,2870.15,2875.65,1249
9/14/2018 3:20:00 PM,2869.85,2871,2869,2870.75,2637
9/14/2018 3:19:00 PM,2869.1,2870.85,2869.05,2869.75,794
9/14/2018 3:18:00 PM,2869.65,2871.2,2869,2869,2213
9/14/2018 3:17:00 PM,2868.6,2869.75,2868.5,2869.65,3084
9/14/2018 3:16:00 PM,2870.6,2870.8,2868,2868.75,1557
9/14/2018 3:15:00 PM,2869.55,2872,2869.55,2870.6,1516
9/14/2018 3:14:00 PM,2869.7,2871.25,2868,2870.55,3357
9/14/2018 3:13:00 PM,2872.75,2875.65,2870,2870,1996
9/14/2018 3:12:00 PM,2878.8,2878.8,2869.2,2873.3,3831
9/14/2018 3:11:00 PM,2878.2,2878.85,2875.15,2878.85,6017
9/14/2018 3:10:00 PM,2885.1,2887.05,2877.85,2878.25,4251
9/14/2018 3:09:00 PM,2888.1,2888.1,2885.1,2885.25,1602
9/14/2018 3:08:00 PM,2888.6,2888.8,2887.5,2888.1,995
9/14/2018 3:07:00 PM,2891.05,2891.5,2888,2888.6,725
9/14/2018 3:06:00 PM,2887.15,2891.2,2886.35,2891.05,743
9/14/2018 3:05:00 PM,2893.35,2893.4,2885.75,2886.55,1597
9/14/2018 3:04:00 PM,2894.5,2894.7,2893.2,2893.7,1445
9/14/2018 3:03:00 PM,2893,2894.7,2892.85,2894.5,1160
9/14/2018 3:02:00 PM,2890.95,2892.95,2890.95,2892.95,1285
9/14/2018 3:01:00 PM,2892.9,2892.9,2890,2892,1203
9/14/2018 3:00:00 PM,2887.35,2892.9,2887.35,2892.9,1574
9/14/2018 2:59:00 PM,2885.1,2887.5,2885.1,2887.45,578
9/14/2018 2:58:00 PM,2886,2888.45,2885.1,2885.1,817
9/14/2018 2:57:00 PM,2888.7,2888.7,2886,2886,440
9/14/2018 2:56:00 PM,2888.7,2889.8,2887.5,2888.7,533
9/14/2018 2:55:00 PM,2887.7,2888.7,2887.7,2888.7,429
9/14/2018 2:54:00 PM,2887,2888,2886.8,2887.7,295
9/14/2018 2:53:00 PM,2887.8,2888.75,2886.25,2887,910
9/14/2018 2:52:00 PM,2885.1,2887.8,2885,2887.8,737
9/14/2018 2:51:00 PM,2889.2,2889.2,2885.1,2885.1,1312
9/14/2018 2:50:00 PM,2890.4,2890.8,2888,2889.2,475
9/14/2018 2:49:00 PM,2890.5,2891.85,2889,2890.4,897
9/14/2018 2:48:00 PM,2890,2891.8,2890,2890.1,472
9/14/2018 2:47:00 PM,2888.15,2890,2888.1,2890,752
9/14/2018 2:46:00 PM,2887.3,2889,2886.35,2888.1,949
9/14/2018 2:45:00 PM,2892,2892.2,2888.25,2888.6,1938
9/14/2018 2:44:00 PM,2893.05,2893.15,2892,2892.2,359
9/14/2018 2:43:00 PM,2893.2,2893.5,2892.85,2893.05,213
9/14/2018 2:42:00 PM,2893.8,2894,2892,2893.2,659
9/14/2018 2:41:00 PM,2893.15,2894,2893.15,2893.8,267
9/14/2018 2:40:00 PM,2893.05,2894,2893.05,2893.15,158
9/14/2018 2:39:00 PM,2892,2894,2892,2893.05,515
9/14/2018 2:38:00 PM,2893.25,2893.25,2892,2892,514
9/14/2018 2:37:00 PM,2894.1,2894.1,2893,2893.25,934
9/14/2018 2:36:00 PM,2895,2895,2894.1,2894.1,374
9/14/2018 2:35:00 PM,2894,2898,2893.6,2895,1436
9/14/2018 2:34:00 PM,2893.35,2893.95,2892.75,2893,163
9/14/2018 2:33:00 PM,2891.5,2892.7,2891.45,2892.7,353
9/14/2018 2:32:00 PM,2892,2892,2891,2891.5,603
9/14/2018 2:31:00 PM,2890.95,2892,2890.95,2892,1007
9/14/2018 2:30:00 PM,2890.95,2891,2890.95,2890.95,686
9/14/2018 2:29:00 PM,2890.95,2891.55,2890.95,2890.95,787
9/14/2018 2:28:00 PM,2891,2892.5,2890.95,2890.95,388
9/14/2018 2:27:00 PM,2889.15,2891,2889.15,2891,512
9/14/2018 2:26:00 PM,2887,2890,2887,2889.75,647
9/14/2018 2:25:00 PM,2888.7,2889.95,2885.25,2887,999
9/14/2018 2:24:00 PM,2890,2890.55,2885,2887.95,2151
9/14/2018 2:23:00 PM,2891,2892.65,2890,2890,2007
9/14/2018 2:22:00 PM,2898,2898,2891,2891,1820
9/14/2018 2:21:00 PM,2898.95,2898.95,2898.15,2898.25,328
9/14/2018 2:20:00 PM,2898.8,2899,2897.5,2898.95,403
9/14/2018 2:19:00 PM,2902,2902,2898.8,2898.8,928
9/14/2018 2:18:00 PM,2904.4,2904.85,2900.3,2901.25,799
9/14/2018 2:17:00 PM,2904,2904.75,2902.45,2904.4,3133
9/14/2018 2:16:00 PM,2904,2904,2903,2903.9,721
9/14/2018 2:15:00 PM,2902.5,2903,2902,2903,557
9/14/2018 2:14:00 PM,2902,2902.9,2901.7,2902,417
9/14/2018 2:13:00 PM,2901.3,2901.65,2900.85,2901.55,604
9/14/2018 2:12:00 PM,2898.15,2901.4,2897.9,2900.85,2754
9/14/2018 2:11:00 PM,2896.5,2898.2,2895.65,2897.65,480
9/14/2018 2:10:00 PM,2896.85,2896.85,2895,2895.35,491
9/14/2018 2:09:00 PM,2897.55,2897.55,2896,2896,571
9/14/2018 2:08:00 PM,2897.8,2897.8,2897.7,2897.75,541
9/14/2018 2:07:00 PM,2898.25,2898.35,2897.2,2897.2,245
9/14/2018 2:06:00 PM,2895.1,2898.05,2895,2898.05,1120
9/14/2018 2:05:00 PM,2898.9,2898.9,2895,2895.1,2101
9/14/2018 2:04:00 PM,2898.9,2899,2898,2898.9,508
9/14/2018 2:03:00 PM,2900.95,2900.95,2898.9,2898.9,1194
9/14/2018 2:02:00 PM,2901.8,2903,2900.35,2900.35,1219
9/14/2018 2:01:00 PM,2897.3,2901.8,2897.25,2901.8,951
9/14/2018 2:00:00 PM,2896.05,2897.85,2896.05,2897.3,995
9/14/2018 1:59:00 PM,2902,2902,2896,2896.05,4636
9/14/2018 1:58:00 PM,2903.2,2904.95,2901.5,2901.5,1393
9/14/2018 1:57:00 PM,2904.05,2904.7,2901.5,2903.15,3149
9/14/2018 1:56:00 PM,2907.1,2907.1,2904.05,2904.05,832
9/14/2018 1:55:00 PM,2905,2907.1,2904.05,2907.1,1793
9/14/2018 1:54:00 PM,2904.05,2905,2903.6,2904,835
9/14/2018 1:53:00 PM,2904.4,2904.4,2902,2903.5,2725
9/14/2018 1:52:00 PM,2905.65,2907,2904,2905,2288
9/14/2018 1:51:00 PM,2909.05,2909.05,2905.35,2905.65,1753
9/14/2018 1:50:00 PM,2906.3,2909.9,2906.3,2909.05,3794
9/14/2018 1:49:00 PM,2904.9,2906.95,2903.65,2906.3,4600
