Date,BAJFINANCE-EQ O,BAJFINANCE-EQ H,BAJFINANCE-EQ L,BAJFINANCE-EQ C,BAJFINANCE-EQ V
9/14/2018 3:29:00 PM,2678.05,2680,2677,2680,4596
9/14/2018 3:28:00 PM,2678.15,2680,2677,2678.05,6873
9/14/2018 3:27:00 PM,2678.5,2679.6,2677.2,2678.9,7785
9/14/2018 3:26:00 PM,2678.85,2679,2677.95,2678,6413
9/14/2018 3:25:00 PM,2678,2680,2677.55,2678.85,6360
9/14/2018 3:24:00 PM,2678,2679.3,2677.45,2678,4644
9/14/2018 3:23:00 PM,2679.45,2679.45,2675.8,2677,7533
9/14/2018 3:22:00 PM,2679.8,2680.5,2678,2678.15,4202
9/14/2018 3:21:00 PM,2679.1,2682,2679.1,2680,5527
9/14/2018 3:20:00 PM,2680.65,2682,2676.75,2679.3,7044
9/14/2018 3:19:00 PM,2682.9,2682.9,2679.2,2680,6811
9/14/2018 3:18:00 PM,2679.55,2683.5,2679.55,2683.15,9489
9/14/2018 3:17:00 PM,2680.15,2682,2679,2680.95,14890
9/14/2018 3:16:00 PM,2679,2680.2,2676,2680.15,12548
9/14/2018 3:15:00 PM,2672.2,2679.7,2671.9,2678.5,33804
9/14/2018 3:14:00 PM,2671.55,2674,2670.85,2671.8,13041
9/14/2018 3:13:00 PM,2673,2674,2671.4,2671.9,10583
9/14/2018 3:12:00 PM,2665.25,2673,2665.25,2671.8,30281
9/14/2018 3:11:00 PM,2667.8,2667.85,2665,2665.8,5196
9/14/2018 3:10:00 PM,2662.05,2668.85,2660.15,2666.6,20986
9/14/2018 3:09:00 PM,2661.9,2662.5,2658,2661.8,6414
9/14/2018 3:08:00 PM,2660.9,2662.35,2660.55,2661.25,5776
9/14/2018 3:07:00 PM,2660.7,2662.05,2659.7,2660.55,2117
9/14/2018 3:06:00 PM,2660.55,2662,2658.55,2660.95,8043
9/14/2018 3:05:00 PM,2660.25,2661.7,2660.15,2660.55,3668
9/14/2018 3:04:00 PM,2664,2664,2661.2,2661.45,4419
9/14/2018 3:03:00 PM,2660,2664.5,2660,2663.05,8866
9/14/2018 3:02:00 PM,2659.25,2660.95,2657.9,2660.9,9119
9/14/2018 3:01:00 PM,2655.75,2660,2655.05,2659,6494
9/14/2018 3:00:00 PM,2652.9,2656,2652,2656,5198
9/14/2018 2:59:00 PM,2653,2654.35,2651.55,2652.9,12519
9/14/2018 2:58:00 PM,2651.85,2653.55,2649.3,2653,6113
9/14/2018 2:57:00 PM,2651.5,2652.4,2651.5,2651.85,2074
9/14/2018 2:56:00 PM,2652.6,2653,2651.5,2651.5,2925
9/14/2018 2:55:00 PM,2653.1,2654.7,2652.6,2652.6,2025
9/14/2018 2:54:00 PM,2652.95,2653.75,2652.6,2653.1,4164
9/14/2018 2:53:00 PM,2653.7,2655,2652.2,2652.95,6383
9/14/2018 2:52:00 PM,2656.2,2656.2,2651.5,2653.3,2867
9/14/2018 2:51:00 PM,2658,2658,2656,2656.2,1465
9/14/2018 2:50:00 PM,2655.9,2658.05,2655.9,2658,4839
9/14/2018 2:49:00 PM,2655.2,2656.4,2654.75,2655.9,1669
9/14/2018 2:48:00 PM,2655.5,2656,2654.1,2655.2,7138
9/14/2018 2:47:00 PM,2653.55,2655.5,2650.7,2655.5,8975
9/14/2018 2:46:00 PM,2655,2655.1,2653.55,2653.55,1265
9/14/2018 2:45:00 PM,2653.3,2655.1,2653.3,2654.15,2077
9/14/2018 2:44:00 PM,2653.25,2654,2652.6,2653.3,1742
9/14/2018 2:43:00 PM,2654,2654,2653.25,2653.25,2654
9/14/2018 2:42:00 PM,2653.2,2654,2652.65,2654,1439
9/14/2018 2:41:00 PM,2653,2654.2,2653,2653.45,1018
9/14/2018 2:40:00 PM,2652.05,2653.9,2652.05,2653,1164
9/14/2018 2:39:00 PM,2651.4,2652.5,2650.75,2652.05,1658
9/14/2018 2:38:00 PM,2652,2652,2650.65,2651.4,846
9/14/2018 2:37:00 PM,2651.3,2652,2650.35,2652,1294
9/14/2018 2:36:00 PM,2650.6,2651.7,2650.1,2651.3,627
9/14/2018 2:35:00 PM,2651,2651.95,2650.05,2650.6,786
9/14/2018 2:34:00 PM,2652.6,2652.65,2649.45,2651,3376
9/14/2018 2:33:00 PM,2652.65,2655.55,2652.65,2652.65,2444
9/14/2018 2:32:00 PM,2651.1,2652.65,2650,2652.65,2078
9/14/2018 2:31:00 PM,2649.6,2652,2648.95,2652,6854
9/14/2018 2:30:00 PM,2650.35,2650.55,2649.05,2649.6,3918
9/14/2018 2:29:00 PM,2648.9,2652.95,2648.9,2650.35,7033
9/14/2018 2:28:00 PM,2650.4,2651,2647.35,2649.55,5239
9/14/2018 2:27:00 PM,2651.5,2651.75,2650.1,2650.4,2616
9/14/2018 2:26:00 PM,2652,2653,2651.5,2651.5,1459
9/14/2018 2:25:00 PM,2652,2653.8,2652,2653,1703
9/14/2018 2:24:00 PM,2655.95,2655.95,2652.35,2652.4,2273
9/14/2018 2:23:00 PM,2653.95,2655.95,2653.15,2655.95,2614
9/14/2018 2:22:00 PM,2655.65,2655.9,2654.45,2654.45,1334
9/14/2018 2:21:00 PM,2656.5,2656.7,2655,2655.65,1444
9/14/2018 2:20:00 PM,2655.35,2658.25,2655.35,2656.5,938
9/14/2018 2:19:00 PM,2659.55,2661,2655.15,2655.35,3105
9/14/2018 2:18:00 PM,2660.45,2661,2659.7,2660.2,1275
9/14/2018 2:17:00 PM,2658.95,2661.45,2658.95,2660,1701
9/14/2018 2:16:00 PM,2660.45,2660.45,2657,2659.3,2608
9/14/2018 2:15:00 PM,2660.95,2661.9,2660,2660.45,5699
9/14/2018 2:14:00 PM,2656.8,2660.95,2656.8,2660.9,3793
9/14/2018 2:13:00 PM,2653.6,2660,2653.6,2656.8,6587
9/14/2018 2:12:00 PM,2654.2,2654.7,2653.05,2653.6,1344
9/14/2018 2:11:00 PM,2654,2654.7,2653.5,2654.15,735
9/14/2018 2:10:00 PM,2654.5,2654.5,2652.75,2654,2000
9/14/2018 2:09:00 PM,2652.75,2654.5,2652.05,2654.5,2554
9/14/2018 2:08:00 PM,2652,2655,2652,2652.8,5544
9/14/2018 2:07:00 PM,2652,2654.8,2649.6,2651.7,4773
9/14/2018 2:06:00 PM,2646.4,2651.65,2646.2,2651.65,4178
9/14/2018 2:05:00 PM,2648.95,2650,2645.35,2645.35,5977
9/14/2018 2:04:00 PM,2655.95,2655.95,2648.05,2648.05,17793
9/14/2018 2:03:00 PM,2656.5,2657.5,2654.65,2655.4,1715
9/14/2018 2:02:00 PM,2656.75,2658.45,2656.5,2656.5,2252
9/14/2018 2:01:00 PM,2658,2658.15,2656,2656.75,1495
9/14/2018 2:00:00 PM,2660.05,2660.9,2656.85,2657.2,2932
9/14/2018 1:59:00 PM,2661.9,2661.9,2660,2660.05,4824
9/14/2018 1:58:00 PM,2659.95,2661.95,2659,2661,3792
9/14/2018 1:57:00 PM,2661.9,2662,2659.5,2660.25,3121
9/14/2018 1:56:00 PM,2661.05,2662.35,2661,2661.15,1630
9/14/2018 1:55:00 PM,2661.2,2662,2659.65,2661.1,4422
9/14/2018 1:54:00 PM,2660,2663.9,2659.55,2660.45,2780
9/14/2018 1:53:00 PM,2656.35,2660.1,2656.15,2660,6843
9/14/2018 1:52:00 PM,2657.8,2658,2654.6,2656.35,2994
9/14/2018 1:51:00 PM,2659.7,2659.95,2656,2657.75,1303
9/14/2018 1:50:00 PM,2658.6,2660.35,2656.35,2659.3,1422
9/14/2018 1:49:00 PM,2661,2661.2,2658.25,2659.2,2442
9/14/2018 1:48:00 PM,2656,2661.05,2655.55,2661.05,7559
9/14/2018 1:47:00 PM,2656.5,2657,2655,2655.85,3071
9/14/2018 1:46:00 PM,2654.55,2657.35,2654.55,2656.5,1984
9/14/2018 1:45:00 PM,2655.05,2656.25,2654.1,2654.1,4063
9/14/2018 1:44:00 PM,2657.35,2657.45,2655.05,2655.05,7274
9/14/2018 1:43:00 PM,2657.7,2657.7,2656.5,2657.35,63335
9/14/2018 1:42:00 PM,2658.7,2658.95,2657.6,2657.6,966
9/14/2018 1:41:00 PM,2658,2658.9,2658,2658.65,644
9/14/2018 1:40:00 PM,2658,2658.4,2657.6,2657.8,405
9/14/2018 1:39:00 PM,2657.15,2658,2657.15,2658,1846
9/14/2018 1:38:00 PM,2659.9,2660.1,2657.15,2657.15,3425
9/14/2018 1:37:00 PM,2659.8,2659.9,2657.65,2659.45,1340
9/14/2018 1:36:00 PM,2656.4,2659.6,2656.4,2658.25,1388
9/14/2018 1:35:00 PM,2656.8,2658,2656.1,2657,5390
9/14/2018 1:34:00 PM,2659,2659.4,2656.1,2656.1,1856
9/14/2018 1:33:00 PM,2659.25,2659.9,2658.7,2659,820
9/14/2018 1:32:00 PM,2660,2660,2658,2658.7,1288
9/14/2018 1:31:00 PM,2656.4,2660,2656,2659.95,4665
9/14/2018 1:30:00 PM,2658,2658.55,2655.75,2656,1397
9/14/2018 1:29:00 PM,2656,2658.8,2655.75,2656.4,3792
9/14/2018 1:28:00 PM,2660.65,2660.75,2655.2,2656,3486
9/14/2018 1:27:00 PM,2661,2661.25,2659,2660.05,2418
9/14/2018 1:26:00 PM,2664.9,2665,2661,2661,2678
9/14/2018 1:25:00 PM,2663.9,2665,2663.35,2663.9,4539
9/14/2018 1:24:00 PM,2664.85,2667,2663.25,2663.25,6029
9/14/2018 1:23:00 PM,2663,2665,2662,2664.85,4821
9/14/2018 1:22:00 PM,2659,2663.75,2659,2663,3313
9/14/2018 1:21:00 PM,2663.85,2664,2659,2659,3272
9/14/2018 1:20:00 PM,2660.3,2664,2660,2663.85,3170
9/14/2018 1:19:00 PM,2658,2660,2656.85,2659.25,2626
9/14/2018 1:18:00 PM,2662,2662.55,2656.05,2657.95,5277
9/14/2018 1:17:00 PM,2663.5,2664.1,2661.1,2661.5,2216
9/14/2018 1:16:00 PM,2661.15,2664,2661,2662.15,4491
9/14/2018 1:15:00 PM,2664.45,2664.45,2660,2661.15,4779
9/14/2018 1:14:00 PM,2665.9,2665.95,2664,2664.45,5381
9/14/2018 1:13:00 PM,2664,2666,2664,2665.9,6382
9/14/2018 1:12:00 PM,2662.1,2666.85,2662.1,2664,19491
9/14/2018 1:11:00 PM,2664,2664.25,2662.4,2664,7382
9/14/2018 1:10:00 PM,2664.85,2665,2660.05,2663.4,10089
9/14/2018 1:09:00 PM,2660,2665,2659.95,2664.75,26232
9/14/2018 1:08:00 PM,2655.8,2660,2655.8,2660,18561
9/14/2018 1:07:00 PM,2654.9,2656.5,2654.1,2655.6,5222
9/14/2018 1:06:00 PM,2655.55,2656.95,2654.5,2655,5840
9/14/2018 1:05:00 PM,2652.95,2655.55,2652.95,2655.5,5761
9/14/2018 1:04:00 PM,2651.9,2653,2651.7,2652.7,2131
9/14/2018 1:03:00 PM,2654,2654,2651.5,2651.9,3076
9/14/2018 1:02:00 PM,2652.5,2653.35,2652,2653,2866
9/14/2018 1:01:00 PM,2654,2654.25,2651.5,2651.5,5478
9/14/2018 1:00:00 PM,2654,2655.1,2652.8,2654.1,9110
9/14/2018 12:59:00 PM,2650,2654.5,2649,2654,19840
9/14/2018 12:58:00 PM,2642.4,2649.9,2642.4,2649.9,10925
9/14/2018 12:57:00 PM,2642.9,2643,2642.1,2642.4,971
9/14/2018 12:56:00 PM,2643.5,2643.75,2642.1,2642.1,679
9/14/2018 12:55:00 PM,2643.45,2644.2,2642.65,2643.5,989
9/14/2018 12:54:00 PM,2641.2,2643.65,2641.05,2643.45,2230
9/14/2018 12:53:00 PM,2642.9,2643,2641,2641,1115
9/14/2018 12:52:00 PM,2642.4,2642.9,2642.4,2642.7,773
9/14/2018 12:51:00 PM,2641.9,2642.4,2641.9,2642.25,611
9/14/2018 12:50:00 PM,2641.25,2642.45,2641.25,2641.85,799
9/14/2018 12:49:00 PM,2641.05,2641.45,2641.05,2641.2,554
