Date,BANKBARODA-EQ O,BANKBARODA-EQ H,BANKBARODA-EQ L,BANKBARODA-EQ C,BANKBARODA-EQ V
9/14/2018 3:29:00 PM,134.3,134.45,134.25,134.25,70429
9/14/2018 3:28:00 PM,134.45,134.5,134.25,134.25,58835
9/14/2018 3:27:00 PM,134.4,134.5,134.35,134.35,80573
9/14/2018 3:26:00 PM,134.4,134.5,134.35,134.45,69461
9/14/2018 3:25:00 PM,134.35,134.4,134.3,134.35,42345
9/14/2018 3:24:00 PM,134.35,134.4,134.2,134.3,128668
9/14/2018 3:23:00 PM,134.1,134.4,134.05,134.35,229116
9/14/2018 3:22:00 PM,134.1,134.25,134.05,134.2,60749
9/14/2018 3:21:00 PM,134.1,134.25,134.05,134.1,85305
9/14/2018 3:20:00 PM,134.2,134.2,134.05,134.1,95256
9/14/2018 3:19:00 PM,134.4,134.4,134.1,134.15,87467
9/14/2018 3:18:00 PM,134.5,134.5,134.25,134.35,101684
9/14/2018 3:17:00 PM,134.5,134.55,134.4,134.45,84830
9/14/2018 3:16:00 PM,134.35,134.5,134.25,134.5,166037
9/14/2018 3:15:00 PM,134.3,134.5,134.3,134.45,118346
9/14/2018 3:14:00 PM,134.4,134.45,134.3,134.3,33785
9/14/2018 3:13:00 PM,134.35,134.5,134.35,134.35,38817
9/14/2018 3:12:00 PM,134.4,134.5,134.3,134.4,73069
9/14/2018 3:11:00 PM,134.5,134.55,134.4,134.4,68955
9/14/2018 3:10:00 PM,134.65,134.8,134.5,134.65,77482
9/14/2018 3:09:00 PM,134.7,134.8,134.65,134.7,59974
9/14/2018 3:08:00 PM,134.65,134.75,134.6,134.65,28834
9/14/2018 3:07:00 PM,134.8,134.8,134.65,134.7,14681
9/14/2018 3:06:00 PM,134.75,134.8,134.65,134.8,41847
9/14/2018 3:05:00 PM,134.65,134.8,134.6,134.75,21694
9/14/2018 3:04:00 PM,134.75,134.8,134.65,134.65,56218
9/14/2018 3:03:00 PM,134.85,134.9,134.75,134.75,60922
9/14/2018 3:02:00 PM,134.7,134.85,134.65,134.85,41788
9/14/2018 3:01:00 PM,134.7,134.85,134.65,134.7,49834
9/14/2018 3:00:00 PM,134.6,134.7,134.55,134.7,42219
9/14/2018 2:59:00 PM,134.65,134.7,134.55,134.6,35980
9/14/2018 2:58:00 PM,134.8,134.8,134.55,134.65,68657
9/14/2018 2:57:00 PM,134.9,134.9,134.75,134.8,41781
9/14/2018 2:56:00 PM,135,135,134.85,134.85,99598
9/14/2018 2:55:00 PM,134.9,135,134.9,135,22279
9/14/2018 2:54:00 PM,134.9,135,134.9,134.9,27372
9/14/2018 2:53:00 PM,135,135,134.9,134.9,177055
9/14/2018 2:52:00 PM,134.9,135,134.85,134.95,135468
9/14/2018 2:51:00 PM,134.9,134.9,134.8,134.9,21692
9/14/2018 2:50:00 PM,134.85,134.9,134.85,134.9,11123
9/14/2018 2:49:00 PM,134.85,134.9,134.8,134.85,14538
9/14/2018 2:48:00 PM,134.9,135,134.85,134.95,23418
9/14/2018 2:47:00 PM,135,135,134.85,134.9,107199
9/14/2018 2:46:00 PM,135,135,134.85,135,78270
9/14/2018 2:45:00 PM,135,135,134.95,135,147877
9/14/2018 2:44:00 PM,134.9,135,134.9,135,232203
9/14/2018 2:43:00 PM,134.8,134.95,134.75,134.9,47206
9/14/2018 2:42:00 PM,134.8,134.85,134.75,134.85,20016
9/14/2018 2:41:00 PM,134.85,134.9,134.8,134.85,5967
9/14/2018 2:40:00 PM,134.95,134.95,134.8,134.85,22463
9/14/2018 2:39:00 PM,134.8,134.95,134.7,134.95,32770
9/14/2018 2:38:00 PM,134.75,134.85,134.75,134.8,11494
9/14/2018 2:37:00 PM,134.75,134.8,134.6,134.75,37071
9/14/2018 2:36:00 PM,134.85,134.9,134.65,134.65,48578
9/14/2018 2:35:00 PM,134.85,134.95,134.85,134.85,26169
9/14/2018 2:34:00 PM,134.85,134.9,134.8,134.85,15844
9/14/2018 2:33:00 PM,134.9,134.95,134.85,134.85,20554
9/14/2018 2:32:00 PM,134.9,135,134.9,134.9,37617
9/14/2018 2:31:00 PM,134.8,134.9,134.75,134.9,45158
9/14/2018 2:30:00 PM,134.8,134.85,134.75,134.8,22876
9/14/2018 2:29:00 PM,134.9,134.9,134.75,134.75,17001
9/14/2018 2:28:00 PM,134.95,134.95,134.8,134.9,26488
9/14/2018 2:27:00 PM,134.9,135,134.75,134.95,66000
9/14/2018 2:26:00 PM,134.9,135.1,134.85,134.85,219601
9/14/2018 2:25:00 PM,134.65,134.9,134.65,134.85,123593
9/14/2018 2:24:00 PM,134.5,134.65,134.45,134.65,41514
9/14/2018 2:23:00 PM,134.5,134.5,134.45,134.5,15173
9/14/2018 2:22:00 PM,134.35,134.55,134.35,134.5,31660
9/14/2018 2:21:00 PM,134.5,134.5,134.35,134.35,13080
9/14/2018 2:20:00 PM,134.5,134.5,134.45,134.45,3371
9/14/2018 2:19:00 PM,134.5,134.55,134.45,134.5,5725
9/14/2018 2:18:00 PM,134.55,134.6,134.4,134.5,13249
9/14/2018 2:17:00 PM,134.5,134.55,134.45,134.55,12826
9/14/2018 2:16:00 PM,134.5,134.6,134.45,134.5,37933
