Date,BANKNIFTY18NOVFUT O,BANKNIFTY18NOVFUT H,BANKNIFTY18NOVFUT L,BANKNIFTY18NOVFUT C,BANKNIFTY18NOVFUT V
9/14/2018 3:29:00 PM,27375,27375,27365.2,27365.2,40
9/14/2018 3:28:00 PM,27375,27375,27375,27375,0
9/14/2018 3:27:00 PM,27381.1,27381.1,27375,27375,160
9/14/2018 3:26:00 PM,27381.1,27381.1,27381.1,27381.1,80
9/14/2018 3:25:00 PM,27390,27390,27389.85,27389.85,40
9/14/2018 3:24:00 PM,27391.05,27391.05,27390,27390,40
9/14/2018 3:23:00 PM,27380,27391.65,27380,27391.05,160
9/14/2018 3:22:00 PM,27390,27390,27380,27380,80
9/14/2018 3:21:00 PM,27390,27390,27390,27390,0
9/14/2018 3:20:00 PM,27390,27390,27390,27390,0
9/14/2018 3:19:00 PM,27390,27390,27387.9,27390,160
9/14/2018 3:18:00 PM,27390,27390,27390,27390,0
9/14/2018 3:17:00 PM,27390,27390,27390,27390,0
9/14/2018 3:16:00 PM,27390,27390,27390,27390,0
9/14/2018 3:15:00 PM,27390,27390,27390,27390,0
9/14/2018 3:14:00 PM,27390,27390,27390,27390,0
9/14/2018 3:13:00 PM,27405.55,27405.55,27390,27390,80
9/14/2018 3:12:00 PM,27405.55,27405.55,27405.55,27405.55,0
9/14/2018 3:11:00 PM,27392.4,27405.55,27392.4,27405.55,40
9/14/2018 3:10:00 PM,27423,27423,27392.4,27392.4,40
9/14/2018 3:09:00 PM,27423,27423,27423,27423,0
9/14/2018 3:08:00 PM,27423,27423,27423,27423,0
9/14/2018 3:07:00 PM,27423,27423,27423,27423,0
9/14/2018 3:06:00 PM,27423,27423,27423,27423,0
9/14/2018 3:05:00 PM,27444.75,27444.75,27419.95,27423,80
9/14/2018 3:04:00 PM,27444.75,27444.75,27444.75,27444.75,0
9/14/2018 3:03:00 PM,27425,27444.75,27425,27444.75,80
9/14/2018 3:02:00 PM,27425,27425,27425,27425,0
9/14/2018 3:01:00 PM,27374.4,27425,27374.4,27425,1280
9/14/2018 3:00:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:59:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:58:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:57:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:56:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:55:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:54:00 PM,27374.4,27374.4,27374.4,27374.4,0
9/14/2018 2:53:00 PM,27372.7,27374.4,27372.7,27374.4,120
9/14/2018 2:52:00 PM,27372.7,27372.7,27372.7,27372.7,0
9/14/2018 2:51:00 PM,27387.3,27387.3,27372.7,27372.7,80
9/14/2018 2:50:00 PM,27387.3,27387.3,27387.3,27387.3,0
9/14/2018 2:49:00 PM,27387.3,27387.3,27387.3,27387.3,0
9/14/2018 2:48:00 PM,27390,27390,27387.3,27387.3,40
9/14/2018 2:47:00 PM,27390,27390,27390,27390,0
9/14/2018 2:46:00 PM,27390,27390,27390,27390,0
9/14/2018 2:45:00 PM,27390,27390,27390,27390,0
9/14/2018 2:44:00 PM,27390,27390,27390,27390,0
9/14/2018 2:43:00 PM,27390,27390,27390,27390,0
9/14/2018 2:42:00 PM,27364.9,27390,27364.9,27390,80
9/14/2018 2:41:00 PM,27364.9,27364.9,27364.9,27364.9,0
9/14/2018 2:40:00 PM,27364.9,27364.9,27364.9,27364.9,0
9/14/2018 2:39:00 PM,27364.9,27364.9,27364.9,27364.9,40
9/14/2018 2:38:00 PM,27364.9,27364.9,27364.9,27364.9,0
9/14/2018 2:37:00 PM,27370,27370,27364.9,27364.9,40
9/14/2018 2:36:00 PM,27370,27370,27370,27370,0
9/14/2018 2:35:00 PM,27370,27370,27370,27370,0
9/14/2018 2:34:00 PM,27370,27370,27370,27370,0
9/14/2018 2:33:00 PM,27370,27370,27370,27370,0
9/14/2018 2:32:00 PM,27370,27370,27370,27370,0
9/14/2018 2:31:00 PM,27370,27370,27370,27370,0
9/14/2018 2:30:00 PM,27370,27370,27370,27370,0
9/14/2018 2:29:00 PM,27370,27370,27370,27370,0
9/14/2018 2:28:00 PM,27370,27370,27370,27370,0
9/14/2018 2:27:00 PM,27370,27370,27370,27370,0
9/14/2018 2:26:00 PM,27370,27370,27370,27370,0
9/14/2018 2:25:00 PM,27370,27370,27370,27370,0
9/14/2018 2:24:00 PM,27370,27370,27370,27370,0
9/14/2018 2:23:00 PM,27370,27370,27370,27370,0
9/14/2018 2:22:00 PM,27370,27370,27370,27370,0
9/14/2018 2:21:00 PM,27370,27370,27370,27370,0
9/14/2018 2:20:00 PM,27370,27370,27370,27370,0
9/14/2018 2:19:00 PM,27370,27370,27370,27370,0
9/14/2018 2:18:00 PM,27370,27370,27370,27370,0
9/14/2018 2:17:00 PM,27370,27370,27370,27370,0
9/14/2018 2:16:00 PM,27370,27370,27370,27370,0
9/14/2018 2:15:00 PM,27370,27370,27370,27370,0
9/14/2018 2:14:00 PM,27370,27370,27370,27370,0
9/14/2018 2:13:00 PM,27370,27370,27370,27370,40
9/14/2018 2:12:00 PM,27370,27370,27370,27370,0
9/14/2018 2:11:00 PM,27370,27370,27370,27370,600
9/14/2018 2:10:00 PM,27370,27370,27370,27370,280
9/14/2018 2:09:00 PM,27370,27370,27370,27370,0
9/14/2018 2:08:00 PM,27370,27370,27370,27370,0
9/14/2018 2:07:00 PM,27351,27370,27351,27370,80
9/14/2018 2:06:00 PM,27385,27385,27351,27351,40
9/14/2018 2:05:00 PM,27385,27385,27385,27385,0
9/14/2018 2:04:00 PM,27385,27385,27385,27385,0
9/14/2018 2:03:00 PM,27385,27385,27385,27385,0
9/14/2018 2:02:00 PM,27385,27385,27385,27385,0
9/14/2018 2:01:00 PM,27385,27385,27385,27385,0
9/14/2018 2:00:00 PM,27385,27385,27385,27385,0
9/14/2018 1:59:00 PM,27385,27385,27385,27385,0
9/14/2018 1:58:00 PM,27385,27385,27385,27385,0
9/14/2018 1:57:00 PM,27385,27385,27385,27385,0
9/14/2018 1:56:00 PM,27385,27385,27385,27385,0
9/14/2018 1:55:00 PM,27385,27385,27385,27385,0
9/14/2018 1:54:00 PM,27385,27385,27385,27385,0
