Date,BANKNIFTY18OCTFUT O,BANKNIFTY18OCTFUT H,BANKNIFTY18OCTFUT L,BANKNIFTY18OCTFUT C,BANKNIFTY18OCTFUT V
9/14/2018 3:29:00 PM,27313.1,27316,27298.85,27302.35,320
9/14/2018 3:28:00 PM,27315.4,27318.65,27310,27313.1,920
9/14/2018 3:27:00 PM,27321,27325.95,27315.35,27315.4,200
9/14/2018 3:26:00 PM,27320.05,27326.9,27320.05,27321,120
9/14/2018 3:25:00 PM,27327.95,27327.95,27320.05,27320.05,280
9/14/2018 3:24:00 PM,27329.45,27330.65,27327.95,27327.95,400
9/14/2018 3:23:00 PM,27326.15,27329.45,27320,27329.45,200
9/14/2018 3:22:00 PM,27329.45,27329.45,27322,27326.15,640
9/14/2018 3:21:00 PM,27330.05,27331.05,27329.45,27329.45,120
9/14/2018 3:20:00 PM,27336,27336,27330.05,27330.05,40
9/14/2018 3:19:00 PM,27339.15,27339.15,27325.85,27336,80
9/14/2018 3:18:00 PM,27334,27339.15,27334,27339.15,40
9/14/2018 3:17:00 PM,27322.6,27334,27322.6,27334,120
9/14/2018 3:16:00 PM,27329.85,27329.85,27322.6,27322.6,480
9/14/2018 3:15:00 PM,27327.9,27334,27327.9,27329.85,120
9/14/2018 3:14:00 PM,27327.9,27327.9,27327.9,27327.9,0
9/14/2018 3:13:00 PM,27332.1,27332.1,27325,27327.9,200
9/14/2018 3:12:00 PM,27339.3,27343.15,27332.1,27332.1,80
9/14/2018 3:11:00 PM,27329.25,27339.3,27329.25,27339.3,40
9/14/2018 3:10:00 PM,27316.65,27329.25,27316.65,27329.25,280
9/14/2018 3:09:00 PM,27356.35,27356.35,27316.65,27316.65,1080
9/14/2018 3:08:00 PM,27355.3,27356.35,27355.15,27356.35,120
9/14/2018 3:07:00 PM,27358.65,27367,27355.3,27355.3,360
9/14/2018 3:06:00 PM,27358.65,27358.65,27358.65,27358.65,0
9/14/2018 3:05:00 PM,27370.8,27370.8,27356.55,27358.65,240
9/14/2018 3:04:00 PM,27375,27375,27370.8,27370.8,160
9/14/2018 3:03:00 PM,27374.35,27385,27371.6,27375,1240
9/14/2018 3:02:00 PM,27364.2,27370,27356,27370,240
9/14/2018 3:01:00 PM,27330.9,27372.25,27330.9,27366.4,3520
9/14/2018 3:00:00 PM,27314.25,27330.9,27313.65,27330.9,320
9/14/2018 2:59:00 PM,27328.85,27328.85,27310,27314.25,240
9/14/2018 2:58:00 PM,27328.85,27328.85,27328.85,27328.85,0
9/14/2018 2:57:00 PM,27328.85,27328.85,27328.85,27328.85,0
9/14/2018 2:56:00 PM,27328.85,27328.85,27328.85,27328.85,0
9/14/2018 2:55:00 PM,27328.85,27328.85,27328.85,27328.85,0
9/14/2018 2:54:00 PM,27320,27328.85,27320,27328.85,40
9/14/2018 2:53:00 PM,27320,27320,27320,27320,0
9/14/2018 2:52:00 PM,27311.7,27320,27311.7,27320,80
9/14/2018 2:51:00 PM,27320.95,27320.95,27311.7,27311.7,40
9/14/2018 2:50:00 PM,27307.1,27320.95,27307.1,27320.95,40
9/14/2018 2:49:00 PM,27325,27325,27307.1,27307.1,40
9/14/2018 2:48:00 PM,27335.25,27335.25,27325,27325,40
9/14/2018 2:47:00 PM,27335.25,27335.25,27335.25,27335.25,0
9/14/2018 2:46:00 PM,27335.25,27335.25,27335.25,27335.25,0
9/14/2018 2:45:00 PM,27335.25,27335.25,27335.25,27335.25,0
9/14/2018 2:44:00 PM,27335.25,27335.25,27335.25,27335.25,0
9/14/2018 2:43:00 PM,27335.25,27335.25,27335.25,27335.25,0
9/14/2018 2:42:00 PM,27300,27335.25,27300,27335.25,440
9/14/2018 2:41:00 PM,27300,27300,27300,27300,0
9/14/2018 2:40:00 PM,27300,27300,27300,27300,0
9/14/2018 2:39:00 PM,27307,27307,27300,27300,80
9/14/2018 2:38:00 PM,27307,27307,27307,27307,0
9/14/2018 2:37:00 PM,27322,27322,27307,27307,120
9/14/2018 2:36:00 PM,27320.6,27322,27320.6,27322,40
9/14/2018 2:35:00 PM,27320.6,27320.6,27320.6,27320.6,0
9/14/2018 2:34:00 PM,27320.6,27320.6,27320.6,27320.6,0
9/14/2018 2:33:00 PM,27320.6,27320.6,27320.6,27320.6,0
9/14/2018 2:32:00 PM,27313.4,27320.6,27313.4,27320.6,40
9/14/2018 2:31:00 PM,27313.4,27313.4,27313.4,27313.4,0
9/14/2018 2:30:00 PM,27286.1,27313.4,27286.1,27313.4,80
9/14/2018 2:29:00 PM,27286.1,27286.1,27286.1,27286.1,0
9/14/2018 2:28:00 PM,27303.6,27303.6,27286.1,27286.1,80
9/14/2018 2:27:00 PM,27303.6,27303.6,27303.6,27303.6,0
9/14/2018 2:26:00 PM,27303.6,27303.6,27303.6,27303.6,0
9/14/2018 2:25:00 PM,27303.6,27303.6,27303.6,27303.6,0
9/14/2018 2:24:00 PM,27303.45,27303.6,27303.45,27303.6,40
9/14/2018 2:23:00 PM,27310.95,27310.95,27300,27303.45,360
9/14/2018 2:22:00 PM,27322.95,27322.95,27310.95,27310.95,40
9/14/2018 2:21:00 PM,27322.95,27322.95,27322.95,27322.95,0
9/14/2018 2:20:00 PM,27324.75,27324.75,27322.75,27322.95,160
9/14/2018 2:19:00 PM,27327.3,27327.3,27321,27324.75,120
9/14/2018 2:18:00 PM,27329.95,27329.95,27321.4,27327.3,120
9/14/2018 2:17:00 PM,27326.6,27330,27326.6,27329.95,360
9/14/2018 2:16:00 PM,27325,27326.6,27312.2,27326.6,1120
9/14/2018 2:15:00 PM,27316.6,27325,27316.6,27325,200
9/14/2018 2:14:00 PM,27312,27316.6,27309.85,27316.6,560
9/14/2018 2:13:00 PM,27312.45,27312.45,27309.1,27312,120
9/14/2018 2:12:00 PM,27312.45,27312.45,27312.45,27312.45,0
9/14/2018 2:11:00 PM,27292.95,27312.45,27292.95,27312.45,40
9/14/2018 2:10:00 PM,27304.95,27305,27292.95,27292.95,480
9/14/2018 2:09:00 PM,27305.2,27305.2,27304.95,27304.95,80
9/14/2018 2:08:00 PM,27305.2,27305.2,27305.2,27305.2,0
9/14/2018 2:07:00 PM,27291.2,27305.2,27291.2,27305.2,80
9/14/2018 2:06:00 PM,27270,27291.2,27270,27291.2,80
9/14/2018 2:05:00 PM,27281.05,27281.05,27270,27270,400
9/14/2018 2:04:00 PM,27281.05,27281.05,27281.05,27281.05,0
9/14/2018 2:03:00 PM,27281.05,27281.05,27281.05,27281.05,120
9/14/2018 2:02:00 PM,27291.65,27298.65,27281.05,27281.05,440
9/14/2018 2:01:00 PM,27291.65,27291.65,27291.65,27291.65,40
9/14/2018 2:00:00 PM,27288.15,27300,27288.15,27300,40
9/14/2018 1:59:00 PM,27295.05,27295.05,27288.15,27288.15,120
9/14/2018 1:58:00 PM,27308,27308,27308,27308,0
9/14/2018 1:57:00 PM,27308,27308,27308,27308,0
9/14/2018 1:56:00 PM,27296.75,27308,27296.75,27308,80
9/14/2018 1:55:00 PM,27310.05,27310.05,27299.15,27299.15,40
9/14/2018 1:54:00 PM,27309.95,27310.05,27309.95,27310.05,40
9/14/2018 1:53:00 PM,27311.65,27311.65,27296.7,27309.95,320
9/14/2018 1:52:00 PM,27309.5,27315,27309.5,27311.65,240
9/14/2018 1:51:00 PM,27312.75,27312.75,27309.5,27309.5,120
9/14/2018 1:50:00 PM,27320,27320,27310,27312.75,280
9/14/2018 1:49:00 PM,27310,27320,27310,27320,40
9/14/2018 1:48:00 PM,27310,27310,27310,27310,120
9/14/2018 1:47:00 PM,27303,27310,27303,27310,80
9/14/2018 1:46:00 PM,27320.6,27320.6,27303,27303,40
9/14/2018 1:45:00 PM,27320.6,27320.6,27320.6,27320.6,0
9/14/2018 1:44:00 PM,27320.6,27320.6,27320.6,27320.6,0
9/14/2018 1:43:00 PM,27320.6,27320.6,27320.6,27320.6,0
9/14/2018 1:42:00 PM,27323.25,27323.25,27320.6,27320.6,120
9/14/2018 1:41:00 PM,27323.25,27323.25,27323.25,27323.25,0
9/14/2018 1:40:00 PM,27306.55,27323.45,27306.55,27323.25,440
9/14/2018 1:39:00 PM,27328.05,27328.05,27306.55,27306.55,80
9/14/2018 1:38:00 PM,27329.75,27329.75,27328.05,27328.05,40
9/14/2018 1:37:00 PM,27298,27329.75,27298,27329.75,120
9/14/2018 1:36:00 PM,27311,27311,27298,27298,40
9/14/2018 1:35:00 PM,27309.9,27311,27303,27311,800
9/14/2018 1:34:00 PM,27301,27312.95,27301,27309.9,160
9/14/2018 1:33:00 PM,27278.95,27302,27278.95,27301,280
9/14/2018 1:32:00 PM,27291.55,27294.05,27278.95,27278.95,80
9/14/2018 1:31:00 PM,27298.05,27298.05,27284.5,27291.55,120
9/14/2018 1:30:00 PM,27255.3,27299.75,27255.3,27298.05,120
9/14/2018 1:29:00 PM,27318.9,27318.9,27255.3,27255.3,880
9/14/2018 1:28:00 PM,27321.8,27321.8,27316.05,27318.9,480
9/14/2018 1:27:00 PM,27333.55,27333.55,27321.8,27321.8,40
9/14/2018 1:26:00 PM,27330,27338.4,27321.85,27333.55,200
9/14/2018 1:25:00 PM,27338.55,27338.55,27330,27330,1960
9/14/2018 1:24:00 PM,27338.55,27338.55,27334.85,27338.55,120
9/14/2018 1:23:00 PM,27340.45,27340.65,27338.55,27338.55,120
9/14/2018 1:22:00 PM,27325.25,27335,27325.25,27335,40
9/14/2018 1:21:00 PM,27325,27325.25,27325,27325.25,80
9/14/2018 1:20:00 PM,27325,27325,27325,27325,0
9/14/2018 1:19:00 PM,27329.95,27329.95,27325,27325,40
9/14/2018 1:18:00 PM,27334.95,27335.95,27329.95,27329.95,880
9/14/2018 1:17:00 PM,27335,27335.65,27329.95,27334.95,1480
9/14/2018 1:16:00 PM,27330,27345,27330,27335,560
9/14/2018 1:15:00 PM,27300.65,27330,27300.65,27330,960
9/14/2018 1:14:00 PM,27306.4,27306.4,27300.3,27300.65,80
9/14/2018 1:13:00 PM,27301,27306.4,27301,27306.4,80
9/14/2018 1:12:00 PM,27312.7,27312.7,27300,27301,400
9/14/2018 1:11:00 PM,27303.95,27320,27295.6,27312.7,880
9/14/2018 1:10:00 PM,27303.15,27304.5,27303.15,27303.95,240
9/14/2018 1:09:00 PM,27300,27309.1,27283.65,27303.15,1240
9/14/2018 1:08:00 PM,27281.85,27300,27281.85,27300,440
9/14/2018 1:07:00 PM,27294.95,27294.95,27271.9,27281.85,240
9/14/2018 1:06:00 PM,27296.95,27296.95,27290,27294.95,1240
9/14/2018 1:05:00 PM,27279.9,27298.95,27279.9,27296.95,600
9/14/2018 1:04:00 PM,27269.4,27279.9,27269.4,27279.9,280
9/14/2018 1:03:00 PM,27284.95,27284.95,27269.4,27269.4,240
9/14/2018 1:02:00 PM,27280,27285,27280,27284.95,360
9/14/2018 1:01:00 PM,27265,27280,27265,27280,2560
9/14/2018 1:00:00 PM,27242.95,27265,27242.95,27265,1320
9/14/2018 12:59:00 PM,27242.95,27242.95,27242.95,27242.95,0
