Date,BANKNIFTY18SEPFUT O,BANKNIFTY18SEPFUT H,BANKNIFTY18SEPFUT L,BANKNIFTY18SEPFUT C,BANKNIFTY18SEPFUT V
9/14/2018 3:29:00 PM,27203.95,27212.9,27198,27202.1,30760
9/14/2018 3:28:00 PM,27209.3,27210,27200,27203.95,25960
9/14/2018 3:27:00 PM,27215.4,27216.5,27209.25,27209.6,20520
9/14/2018 3:26:00 PM,27217.1,27219,27214,27215.4,17240
9/14/2018 3:25:00 PM,27220.9,27222.35,27210.9,27217.1,20480
9/14/2018 3:24:00 PM,27219.75,27223.95,27218.35,27222,12360
9/14/2018 3:23:00 PM,27214.25,27222,27212,27218.6,17680
9/14/2018 3:22:00 PM,27221.95,27221.95,27213.25,27213.25,12520
9/14/2018 3:21:00 PM,27222.5,27224.7,27218.35,27219.05,18000
9/14/2018 3:20:00 PM,27233.35,27235,27220,27220,18400
9/14/2018 3:19:00 PM,27232,27234.25,27225.05,27232.9,13560
9/14/2018 3:18:00 PM,27232,27233.95,27228.85,27233.35,9920
9/14/2018 3:17:00 PM,27228.6,27234.95,27220.95,27233.95,15440
9/14/2018 3:16:00 PM,27222.1,27228.7,27218,27225.05,14480
9/14/2018 3:15:00 PM,27226,27232.7,27221.3,27221.3,10600
9/14/2018 3:14:00 PM,27235,27236.85,27226.85,27227.2,9720
9/14/2018 3:13:00 PM,27222.4,27231.7,27220.75,27231.7,13800
9/14/2018 3:12:00 PM,27235,27243.25,27222,27227.2,13880
9/14/2018 3:11:00 PM,27229.8,27240,27228,27235.05,13720
9/14/2018 3:10:00 PM,27224.75,27234,27216.55,27229.2,17680
9/14/2018 3:09:00 PM,27258.15,27258.5,27220,27224.8,48320
9/14/2018 3:08:00 PM,27257,27261.9,27256.4,27256.4,11080
9/14/2018 3:07:00 PM,27269.1,27269.1,27256.15,27257.75,12360
9/14/2018 3:06:00 PM,27266,27270,27261.25,27269.1,10680
