Date,BANKNIFTY19SEP1826900PE O,BANKNIFTY19SEP1826900PE H,BANKNIFTY19SEP1826900PE L,BANKNIFTY19SEP1826900PE C,BANKNIFTY19SEP1826900PE V
9/14/2018 3:29:00 PM,70.15,71.5,68.3,69.45,35880
9/14/2018 3:28:00 PM,69.55,70.5,69.3,70.5,25760
9/14/2018 3:27:00 PM,70.75,71.1,69.85,69.85,21120
9/14/2018 3:26:00 PM,71.15,71.25,70.1,70.75,15840
9/14/2018 3:25:00 PM,70.7,72.3,70.7,71.3,18320
9/14/2018 3:24:00 PM,70.9,71.2,69,70.7,17680
9/14/2018 3:23:00 PM,74.05,74.95,70.85,71.15,37720
9/14/2018 3:22:00 PM,72.9,74.45,72.9,74.05,18400
9/14/2018 3:21:00 PM,73.15,74,72.45,72.8,31880
9/14/2018 3:20:00 PM,68.25,73.75,68.25,73.75,29880
9/14/2018 3:19:00 PM,67.3,69.65,67.3,68.55,13960
9/14/2018 3:18:00 PM,67.3,67.95,66,67.3,15040
9/14/2018 3:17:00 PM,68.05,69.25,67.1,67.3,14240
9/14/2018 3:16:00 PM,69.5,70.35,67.85,68,28840
9/14/2018 3:15:00 PM,66.5,69.05,66.45,68.95,17640
9/14/2018 3:14:00 PM,66.4,66.75,65.05,66.45,15480
9/14/2018 3:13:00 PM,67.75,68,66.8,67.25,18560
9/14/2018 3:12:00 PM,64.95,68,64.05,67.95,27800
9/14/2018 3:11:00 PM,66.8,66.8,64.15,64.8,25960
9/14/2018 3:10:00 PM,66.75,67.85,64.95,67,30880
9/14/2018 3:09:00 PM,59.8,67.95,59.8,67.3,42720
9/14/2018 3:08:00 PM,60.1,60.4,59.45,59.8,17440
9/14/2018 3:07:00 PM,58.15,60.6,58,59.95,24400
9/14/2018 3:06:00 PM,56.55,58.5,56.55,58.1,43160
9/14/2018 3:05:00 PM,58.45,58.75,57.2,57.3,32520
9/14/2018 3:04:00 PM,55.65,58.55,54.8,58,45240
9/14/2018 3:03:00 PM,51.9,54.9,51,54.9,61320
9/14/2018 3:02:00 PM,57.35,57.75,52.75,52.9,48120
9/14/2018 3:01:00 PM,62.25,62.85,52.7,56.95,124000
9/14/2018 3:00:00 PM,70.7,70.85,62.75,63.75,41320
9/14/2018 2:59:00 PM,68.7,71.35,68.7,70.65,17720
9/14/2018 2:58:00 PM,67.45,69.45,67.15,68.55,12480
9/14/2018 2:57:00 PM,69.5,69.65,66.9,67.45,7120
9/14/2018 2:56:00 PM,69.05,69.95,68.25,69.5,7280
9/14/2018 2:55:00 PM,68.45,69.5,67.85,68.1,9720
9/14/2018 2:54:00 PM,67.15,68,65.95,68,13040
9/14/2018 2:53:00 PM,68.25,68.8,67.45,67.45,5120
9/14/2018 2:52:00 PM,70.35,71.4,68.5,68.7,9040
9/14/2018 2:51:00 PM,70.5,70.95,69.3,70.5,10560
9/14/2018 2:50:00 PM,67.65,70.5,67.65,70.5,13440
9/14/2018 2:49:00 PM,67.7,70.4,67.45,67.45,13560
9/14/2018 2:48:00 PM,66.8,68,66.6,67.65,5760
9/14/2018 2:47:00 PM,67.65,67.95,66.45,66.8,7880
9/14/2018 2:46:00 PM,67.45,67.95,66.2,67.65,11440
9/14/2018 2:45:00 PM,68,68.4,65.4,67.25,17040
9/14/2018 2:44:00 PM,66.6,68.5,66.6,67.85,6360
9/14/2018 2:43:00 PM,64,67.65,63.75,66.65,23680
9/14/2018 2:42:00 PM,70.75,70.75,62,63.25,48040
9/14/2018 2:41:00 PM,71.6,72.1,69.15,71,13160
9/14/2018 2:40:00 PM,73.1,74.85,71.55,71.55,15160
9/14/2018 2:39:00 PM,76.25,77.75,73,73,15720
9/14/2018 2:38:00 PM,74.35,76.35,74.1,76.35,10240
9/14/2018 2:37:00 PM,71.7,75.5,71.65,74.55,16120
9/14/2018 2:36:00 PM,71.45,72.05,70.1,71.9,13720
9/14/2018 2:35:00 PM,72.85,73.3,71.35,71.45,7240
9/14/2018 2:34:00 PM,74.35,75.4,72.85,72.85,8920
