Date,BANKNIFTY19SEP1827000CE O,BANKNIFTY19SEP1827000CE H,BANKNIFTY19SEP1827000CE L,BANKNIFTY19SEP1827000CE C,BANKNIFTY19SEP1827000CE V
9/14/2018 3:29:00 PM,244.75,250.8,241.95,244,14480
9/14/2018 3:28:00 PM,251.65,251.95,243.15,243.15,11400
9/14/2018 3:27:00 PM,257.55,257.7,251.7,251.95,8240
9/14/2018 3:26:00 PM,257.2,258.7,257.2,257.55,5680
9/14/2018 3:25:00 PM,258.9,259.25,257.25,257.55,16600
9/14/2018 3:24:00 PM,259.2,260.45,258,259.6,9280
9/14/2018 3:23:00 PM,259,260.3,258.4,259.2,16440
9/14/2018 3:22:00 PM,261.05,262.15,259,259,9440
9/14/2018 3:21:00 PM,262.75,263.9,260.95,261.05,9400
9/14/2018 3:20:00 PM,264.9,266.85,261.45,262.05,13480
9/14/2018 3:19:00 PM,265.45,265.8,262.25,264.45,4240
9/14/2018 3:18:00 PM,263.2,265.7,263.2,265.45,6400
9/14/2018 3:17:00 PM,260.35,264.7,258,263.2,7120
9/14/2018 3:16:00 PM,256.65,261.25,256.35,260.35,7800
9/14/2018 3:15:00 PM,259.95,262.45,257.2,257.2,9360
9/14/2018 3:14:00 PM,259.85,263.05,259.2,259.9,4280
9/14/2018 3:13:00 PM,259.1,260.1,256.05,259.8,5200
9/14/2018 3:12:00 PM,265.1,266.35,256.55,258.15,6760
9/14/2018 3:11:00 PM,263,267.4,261.85,264.3,5000
9/14/2018 3:10:00 PM,255.35,264.9,251.85,261.85,10560
9/14/2018 3:09:00 PM,280.05,280.15,254.8,256.1,25680
9/14/2018 3:08:00 PM,280.25,280.95,278.2,278.9,5040
9/14/2018 3:07:00 PM,285,286.2,277.65,280.25,11920
9/14/2018 3:06:00 PM,284.75,286.85,280.15,286,18640
9/14/2018 3:05:00 PM,277.65,282.35,276.7,281.65,13160
9/14/2018 3:04:00 PM,281.1,281.95,275,277.65,13960
9/14/2018 3:03:00 PM,287.65,290.95,281.2,281.2,26920
9/14/2018 3:02:00 PM,275.55,285.55,274.2,285.3,20480
9/14/2018 3:01:00 PM,259.25,281.95,259.25,276.9,59840
9/14/2018 3:00:00 PM,246.2,261,245.15,257.85,19000
9/14/2018 2:59:00 PM,250.7,250.7,244.5,246.2,2600
9/14/2018 2:58:00 PM,254.2,254.25,248.1,251.45,1920
9/14/2018 2:57:00 PM,252.6,256.9,252.3,252.75,2920
9/14/2018 2:56:00 PM,254.95,254.95,250.45,251.45,2320
9/14/2018 2:55:00 PM,255.5,255.5,251.15,253.4,7120
9/14/2018 2:54:00 PM,257.35,258,255,255.5,7640
9/14/2018 2:53:00 PM,252.3,256.3,252.3,256.3,4840
9/14/2018 2:52:00 PM,247.5,253.5,245,252.3,7080
9/14/2018 2:51:00 PM,248.7,250.2,246.1,247.5,4200
9/14/2018 2:50:00 PM,256.3,256.3,247.55,248.7,2880
9/14/2018 2:49:00 PM,257.3,258.7,249.9,256.3,9880
9/14/2018 2:48:00 PM,261,261,257.65,257.65,4000
9/14/2018 2:47:00 PM,260.9,261.5,257.35,261,3960
9/14/2018 2:46:00 PM,257.6,262,256.6,259.3,5080
9/14/2018 2:45:00 PM,256.5,262.05,254.85,258.6,4360
9/14/2018 2:44:00 PM,259.95,260,254.05,256.5,3120
9/14/2018 2:43:00 PM,263.1,265.15,258.65,261.2,8120
9/14/2018 2:42:00 PM,250.7,267,250.7,263.15,9040
