Date,BHARTIARTL-EQ O,BHARTIARTL-EQ H,BHARTIARTL-EQ L,BHARTIARTL-EQ C,BHARTIARTL-EQ V
9/14/2018 3:29:00 PM,386.6,386.7,385.05,385.25,10742
9/14/2018 3:28:00 PM,387.4,387.4,386.5,386.7,22349
9/14/2018 3:27:00 PM,387.2,387.3,386.85,387.1,19197
9/14/2018 3:26:00 PM,386.5,387.2,386.35,387.2,16997
9/14/2018 3:25:00 PM,386.7,386.7,386.45,386.5,12434
9/14/2018 3:24:00 PM,386.7,386.85,386.2,386.75,29819
9/14/2018 3:23:00 PM,386.7,387.1,386.2,386.65,26986
9/14/2018 3:22:00 PM,386.65,388.15,386.6,386.85,49502
9/14/2018 3:21:00 PM,385.9,387,385.9,386.6,15658
9/14/2018 3:20:00 PM,386,386.3,385.55,386.05,20076
9/14/2018 3:19:00 PM,384.9,386.4,384.8,385.7,20813
9/14/2018 3:18:00 PM,385.35,385.4,384.8,384.9,25261
9/14/2018 3:17:00 PM,385.2,385.5,385.05,385.4,17846
9/14/2018 3:16:00 PM,385.65,385.65,383.6,385.2,49427
9/14/2018 3:15:00 PM,385.75,386.6,385.65,385.7,46166
9/14/2018 3:14:00 PM,384.7,386.7,384.7,385.75,102626
9/14/2018 3:13:00 PM,383,385.45,383,384.75,67870
9/14/2018 3:12:00 PM,382.7,383.4,382.55,383,25025
9/14/2018 3:11:00 PM,383.75,383.75,382.5,382.7,20514
9/14/2018 3:10:00 PM,383.95,384.35,383.35,384,25637
9/14/2018 3:09:00 PM,383.5,384.5,382.9,384.1,76020
9/14/2018 3:08:00 PM,382.4,383.9,382.4,383.9,26178
9/14/2018 3:07:00 PM,382.65,382.8,382,382.6,23965
9/14/2018 3:06:00 PM,382.15,383.15,382.1,382.7,21730
9/14/2018 3:05:00 PM,382,383.4,381.85,382.15,44189
9/14/2018 3:04:00 PM,381.3,384,381.3,382,71369
9/14/2018 3:03:00 PM,377.6,383.85,377.5,381.25,192743
9/14/2018 3:02:00 PM,376.75,377.6,376.75,377.6,20883
9/14/2018 3:01:00 PM,375.95,376.85,375.9,376.75,42797
9/14/2018 3:00:00 PM,375.85,375.95,375.8,375.95,31629
9/14/2018 2:59:00 PM,375.75,375.85,375.45,375.8,5258
9/14/2018 2:58:00 PM,375.9,375.9,375.45,375.75,2588
9/14/2018 2:57:00 PM,375.9,376,375.6,375.9,5588
9/14/2018 2:56:00 PM,375.9,375.95,375.9,375.9,2680
9/14/2018 2:55:00 PM,375.85,376,375.85,375.9,4108
9/14/2018 2:54:00 PM,375.7,376,375.7,375.85,8503
9/14/2018 2:53:00 PM,375.75,375.75,375.5,375.7,3181
9/14/2018 2:52:00 PM,375.7,375.75,375.55,375.55,5331
9/14/2018 2:51:00 PM,375.7,375.75,375.7,375.7,1277
9/14/2018 2:50:00 PM,375.85,375.85,375.6,375.7,2935
9/14/2018 2:49:00 PM,375.85,375.9,375.85,375.85,2630
9/14/2018 2:48:00 PM,375.65,375.9,375.65,375.85,5805
9/14/2018 2:47:00 PM,375.65,375.7,375.5,375.65,3342
9/14/2018 2:46:00 PM,375.4,375.7,375.4,375.65,5263
9/14/2018 2:45:00 PM,375.35,375.35,375.3,375.3,1326
9/14/2018 2:44:00 PM,375.35,375.4,375.1,375.35,2596
9/14/2018 2:43:00 PM,375.7,375.7,375.3,375.35,2610
9/14/2018 2:42:00 PM,375.8,375.8,375.6,375.8,14776
9/14/2018 2:41:00 PM,375.75,375.8,375.75,375.8,1050
9/14/2018 2:40:00 PM,375.75,375.8,375.75,375.75,1425
9/14/2018 2:39:00 PM,375.7,375.8,375.55,375.75,2086
9/14/2018 2:38:00 PM,375.75,375.75,375.4,375.7,5383
9/14/2018 2:37:00 PM,375.9,375.9,375.45,375.65,2724
9/14/2018 2:36:00 PM,375.75,375.9,375.45,375.9,3743
9/14/2018 2:35:00 PM,375.8,375.9,375.75,375.75,1256
9/14/2018 2:34:00 PM,375.85,375.9,375.7,375.7,1752
9/14/2018 2:33:00 PM,375.8,375.9,375.8,375.85,908
9/14/2018 2:32:00 PM,375.9,375.95,375.65,375.8,1857
9/14/2018 2:31:00 PM,375.9,376,375.75,375.95,5490
9/14/2018 2:30:00 PM,375.8,375.9,375.35,375.9,3836
9/14/2018 2:29:00 PM,375.95,376,375.8,375.8,4025
9/14/2018 2:28:00 PM,376.1,376.1,375.95,375.95,1056
9/14/2018 2:27:00 PM,376,376.1,375.85,376.1,2273
9/14/2018 2:26:00 PM,376,376.1,375.8,376,2475
9/14/2018 2:25:00 PM,375.95,376.1,375.85,375.9,1731
9/14/2018 2:24:00 PM,375.9,376.2,375.9,375.95,2618
9/14/2018 2:23:00 PM,376.15,376.2,375.7,375.9,1893
9/14/2018 2:22:00 PM,375.9,376.2,375.9,376.15,7022
9/14/2018 2:21:00 PM,375.8,376,375.75,376,2550
9/14/2018 2:20:00 PM,376.1,376.1,375.75,375.8,908
9/14/2018 2:19:00 PM,376.2,376.3,375.95,376.1,2337
9/14/2018 2:18:00 PM,376.35,376.4,375.95,376.3,5042
9/14/2018 2:17:00 PM,376.3,376.35,375.9,376.3,5876
9/14/2018 2:16:00 PM,376.2,376.35,376.15,376.2,5937
9/14/2018 2:15:00 PM,376.2,376.25,376.05,376.2,4019
9/14/2018 2:14:00 PM,376.05,376.2,376,376.2,4979
9/14/2018 2:13:00 PM,376.05,376.2,375.8,376.05,7957
9/14/2018 2:12:00 PM,376,376.15,375.8,376,3298
9/14/2018 2:11:00 PM,375.8,376.15,375.8,376.15,6367
9/14/2018 2:10:00 PM,375.85,376,375.75,375.8,5496
9/14/2018 2:09:00 PM,375.7,375.85,375.6,375.85,2778
9/14/2018 2:08:00 PM,375.1,375.85,375.1,375.65,8045
9/14/2018 2:07:00 PM,375.2,375.2,374.85,375.15,2729
9/14/2018 2:06:00 PM,375.45,375.45,375,375.1,3492
9/14/2018 2:05:00 PM,375.55,375.55,374.8,375.35,8733
9/14/2018 2:04:00 PM,375.5,375.75,375.3,375.5,2136
9/14/2018 2:03:00 PM,375.75,375.75,375.2,375.45,13899
9/14/2018 2:02:00 PM,375.8,375.8,375.5,375.65,2425
9/14/2018 2:01:00 PM,375.9,376,375.6,375.6,4185
9/14/2018 2:00:00 PM,375.9,376,375.6,375.7,4393
9/14/2018 1:59:00 PM,375.8,376,375.8,375.9,6159
9/14/2018 1:58:00 PM,375.85,375.9,375.6,375.8,4971
9/14/2018 1:57:00 PM,375.9,375.95,375.85,375.85,1336
