Date,BOSCHLTD-EQ O,BOSCHLTD-EQ H,BOSCHLTD-EQ L,BOSCHLTD-EQ C,BOSCHLTD-EQ V
9/14/2018 3:29:00 PM,21087.55,21087.55,21025,21030,10
9/14/2018 3:28:00 PM,21070,21149.9,21070,21087.55,139
9/14/2018 3:27:00 PM,21027.15,21096.9,21027.15,21070,393
9/14/2018 3:26:00 PM,21026.5,21038.5,21025,21027.15,195
9/14/2018 3:25:00 PM,21007,21038.2,21007,21037.55,33
9/14/2018 3:24:00 PM,21003,21024.2,21003,21007,99
9/14/2018 3:23:00 PM,21012.65,21019.9,21000.15,21003,69
9/14/2018 3:22:00 PM,21050.35,21058.75,21000.1,21000.1,122
9/14/2018 3:21:00 PM,21048,21064.45,21026.45,21049.25,125
9/14/2018 3:20:00 PM,21088.5,21088.5,21000,21048,368
9/14/2018 3:19:00 PM,21081.65,21097.25,21081.65,21088.5,59
9/14/2018 3:18:00 PM,21068.4,21097.25,21056.5,21081.65,113
9/14/2018 3:17:00 PM,21045.6,21068.4,21040.6,21068.4,31
9/14/2018 3:16:00 PM,21021,21059.25,21021,21045.6,267
9/14/2018 3:15:00 PM,21071.05,21081.55,21021,21021,131
9/14/2018 3:14:00 PM,21073.9,21084,21063.4,21071.05,35
9/14/2018 3:13:00 PM,21090.05,21096,21073.9,21073.9,55
9/14/2018 3:12:00 PM,21103.6,21103.6,21090,21090.05,70
9/14/2018 3:11:00 PM,21109.45,21109.75,21094.4,21103.6,29
9/14/2018 3:10:00 PM,21098.8,21109.75,21097.6,21109.45,101
9/14/2018 3:09:00 PM,21103.55,21111.95,21098,21098.8,60
9/14/2018 3:08:00 PM,21111.15,21112.3,21098,21103.55,63
9/14/2018 3:07:00 PM,21109.6,21115,21097.65,21100.25,241
9/14/2018 3:06:00 PM,21111,21115,21090.45,21109.6,34
9/14/2018 3:05:00 PM,21128.7,21128.7,21099.65,21111,89
9/14/2018 3:04:00 PM,21121.75,21128.95,21111.6,21128.7,22
9/14/2018 3:03:00 PM,21140,21140,21111.5,21111.5,55
9/14/2018 3:02:00 PM,21126.65,21140,21126.6,21140,43
9/14/2018 3:01:00 PM,21115,21129,21112.4,21126.65,37
9/14/2018 3:00:00 PM,21101.6,21115,21077.4,21115,41
9/14/2018 2:59:00 PM,21101.85,21115.25,21094.55,21101.6,21
9/14/2018 2:58:00 PM,21094.6,21107.5,21094.55,21101.85,11
9/14/2018 2:57:00 PM,21109.15,21120,21094.6,21094.6,27
9/14/2018 2:56:00 PM,21083.55,21109.15,21080,21109.15,29
9/14/2018 2:55:00 PM,21124.45,21124.45,21082.3,21083.55,16
9/14/2018 2:54:00 PM,21125,21130,21118.95,21124.45,54
9/14/2018 2:53:00 PM,21074.45,21120,21074.45,21118.95,58
9/14/2018 2:52:00 PM,21067.6,21119.65,21067.6,21074.45,62
9/14/2018 2:51:00 PM,21048.05,21069.95,21048.05,21067.6,19
9/14/2018 2:50:00 PM,21067.75,21069.95,21047.65,21048.05,12
9/14/2018 2:49:00 PM,21037.65,21067.75,21025,21067.75,38
9/14/2018 2:48:00 PM,21030.95,21051.65,21030.95,21037.65,14
9/14/2018 2:47:00 PM,21023.45,21035.4,21021.7,21030.95,74
9/14/2018 2:46:00 PM,21023,21032.65,21022.1,21023.45,28
9/14/2018 2:45:00 PM,21030,21030,21022.05,21023,24
9/14/2018 2:44:00 PM,21055.1,21055.1,21025,21030,56
9/14/2018 2:43:00 PM,21093.45,21101.95,21055.1,21055.1,60
9/14/2018 2:42:00 PM,21085.75,21093.45,21085.55,21093.45,12
9/14/2018 2:41:00 PM,21099.15,21125,21085.75,21085.75,26
9/14/2018 2:40:00 PM,21111.5,21114,21086,21099.15,22
9/14/2018 2:39:00 PM,21098.9,21101.7,21098.9,21101.7,16
9/14/2018 2:38:00 PM,21096.15,21101.7,21085.05,21098.9,18
9/14/2018 2:37:00 PM,21095.8,21101.7,21090.6,21096.15,17
9/14/2018 2:36:00 PM,21097.65,21097.65,21085,21090.6,14
9/14/2018 2:35:00 PM,21085,21097.65,21085,21097.65,21
9/14/2018 2:34:00 PM,21102,21113.15,21085,21085,54
9/14/2018 2:33:00 PM,21119.5,21130,21102,21102,42
9/14/2018 2:32:00 PM,21124.05,21124.05,21115.05,21119.5,9
9/14/2018 2:31:00 PM,21120,21124.05,21110.05,21124.05,32
9/14/2018 2:30:00 PM,21114.9,21120,21101.15,21120,17
9/14/2018 2:29:00 PM,21101.05,21120.55,21101.05,21114.9,18
9/14/2018 2:28:00 PM,21100.5,21117.2,21100.5,21109.1,21
9/14/2018 2:27:00 PM,21100.05,21111.6,21100,21100.55,25
9/14/2018 2:26:00 PM,21125,21125,21100.05,21100.05,22
9/14/2018 2:25:00 PM,21121.55,21133.65,21104.1,21125,31
9/14/2018 2:24:00 PM,21115.1,21136.65,21115.1,21135.25,30
9/14/2018 2:23:00 PM,21115,21131.75,21115,21120,45
9/14/2018 2:22:00 PM,21137.65,21161.55,21112,21115.45,82
9/14/2018 2:21:00 PM,21165,21175,21136.15,21137.65,147
9/14/2018 2:20:00 PM,21191.65,21191.65,21165,21165,20
9/14/2018 2:19:00 PM,21191.65,21209.05,21191.65,21191.65,30
9/14/2018 2:18:00 PM,21191.55,21213.55,21191.55,21194.9,25
9/14/2018 2:17:00 PM,21210,21210,21182.6,21191.55,17
9/14/2018 2:16:00 PM,21247.05,21247.05,21190.95,21210,46
9/14/2018 2:15:00 PM,21225,21250,21214.25,21247.05,95
9/14/2018 2:14:00 PM,21199.95,21225,21191,21225,74
9/14/2018 2:13:00 PM,21190.25,21200,21187.3,21200,34
9/14/2018 2:12:00 PM,21160.9,21199.9,21160.9,21199.9,60
9/14/2018 2:11:00 PM,21160,21169.9,21160,21160.9,21
9/14/2018 2:10:00 PM,21127.4,21160,21123,21160,94
9/14/2018 2:09:00 PM,21113,21123,21105.2,21123,12
9/14/2018 2:08:00 PM,21122.7,21122.95,21105,21113,17
9/14/2018 2:07:00 PM,21121.45,21122.95,21103.65,21122.7,12
9/14/2018 2:06:00 PM,21083.35,21121.45,21083.35,21121.45,31
9/14/2018 2:05:00 PM,21126.95,21126.95,21083.35,21083.35,34
9/14/2018 2:04:00 PM,21125,21125,21111.55,21111.6,34
9/14/2018 2:03:00 PM,21104,21119,21103.2,21111.5,48
9/14/2018 2:02:00 PM,21117.95,21125,21087.05,21104,49
9/14/2018 2:01:00 PM,21120,21120,21079.6,21117.95,22
9/14/2018 2:00:00 PM,21105.8,21105.8,21073.2,21095.95,22
9/14/2018 1:59:00 PM,21122,21122,21068.3,21093.25,53
9/14/2018 1:58:00 PM,21122,21122,21110,21110,44
9/14/2018 1:57:00 PM,21105.45,21125,21105.45,21111.15,24
9/14/2018 1:56:00 PM,21117.4,21123,21100.3,21105.45,29
9/14/2018 1:55:00 PM,21090,21122.95,21090,21097.35,42
9/14/2018 1:54:00 PM,21088.3,21100,21080,21090,44
9/14/2018 1:53:00 PM,21080,21080,21068.25,21073.75,26
9/14/2018 1:52:00 PM,21072.95,21085,21068.25,21068.25,26
9/14/2018 1:51:00 PM,21068.3,21085,21068.3,21072.95,36
9/14/2018 1:50:00 PM,21068.2,21085,21068.2,21084.45,20
9/14/2018 1:49:00 PM,21085,21085,21068.2,21068.2,15
9/14/2018 1:48:00 PM,21062.8,21083.7,21062.8,21069,33
9/14/2018 1:47:00 PM,21054.2,21065.65,21054.2,21062.8,9
9/14/2018 1:46:00 PM,21041.7,21065.75,21040.05,21054.2,14
9/14/2018 1:45:00 PM,21069.75,21069.75,21040.35,21041.7,14
9/14/2018 1:44:00 PM,21040,21069.75,21040,21069.75,23
9/14/2018 1:43:00 PM,21077,21077,21040,21040,23
9/14/2018 1:42:00 PM,21077,21078.55,21077,21077,14
9/14/2018 1:41:00 PM,21076.85,21084,21073.4,21077,12
9/14/2018 1:40:00 PM,21070.05,21076.85,21070,21076.85,13
9/14/2018 1:39:00 PM,21078.55,21084.55,21070.05,21070.05,15
9/14/2018 1:38:00 PM,21072.05,21085,21072.05,21078.55,12
9/14/2018 1:37:00 PM,21085,21085,21071.3,21072.05,62
9/14/2018 1:36:00 PM,21079,21085,21077.55,21085,11
9/14/2018 1:35:00 PM,21082.9,21082.9,21079,21079,8
9/14/2018 1:34:00 PM,21088,21088,21081.15,21082.9,67
9/14/2018 1:33:00 PM,21090,21090,21088,21088,10
9/14/2018 1:32:00 PM,21091.45,21091.45,21083.55,21083.55,4
9/14/2018 1:31:00 PM,21091.4,21091.5,21091.4,21091.45,17
9/14/2018 1:30:00 PM,21085,21091.4,21081.45,21091.4,5
9/14/2018 1:29:00 PM,21085,21085,21084.6,21085,77
9/14/2018 1:28:00 PM,21076,21085,21076,21085,65
9/14/2018 1:27:00 PM,21101.95,21114.9,21076,21076,12
9/14/2018 1:26:00 PM,21115,21115,21101.95,21101.95,14
9/14/2018 1:25:00 PM,21068.95,21100,21068.95,21100,23
9/14/2018 1:24:00 PM,21095.4,21099.95,21068.95,21068.95,51
9/14/2018 1:23:00 PM,21091,21095.4,21091,21095.4,8
9/14/2018 1:22:00 PM,21105.35,21105.35,21091,21091,32
9/14/2018 1:21:00 PM,21105.65,21124.4,21105.35,21105.35,9
9/14/2018 1:20:00 PM,21105.35,21126,21105.35,21105.65,21
