Date,BPCL-EQ O,BPCL-EQ H,BPCL-EQ L,BPCL-EQ C,BPCL-EQ V
9/14/2018 3:29:00 PM,355.3,356,355.1,355.25,23425
9/14/2018 3:28:00 PM,355.2,355.5,355.05,355.3,25345
9/14/2018 3:27:00 PM,355.2,355.5,355.15,355.25,28441
9/14/2018 3:26:00 PM,355.25,355.5,355.2,355.35,21037
9/14/2018 3:25:00 PM,355.9,356,355.2,355.25,23937
9/14/2018 3:24:00 PM,355.55,356.55,355.55,355.9,100127
9/14/2018 3:23:00 PM,354.65,355.85,354.5,355.75,135892
9/14/2018 3:22:00 PM,355.2,355.2,354.3,354.65,34882
9/14/2018 3:21:00 PM,355.35,355.6,355,355.2,62412
9/14/2018 3:20:00 PM,355.05,355.7,355,355.5,72317
9/14/2018 3:19:00 PM,355.2,355.45,355.05,355.05,33495
9/14/2018 3:18:00 PM,354.85,355.5,354.55,355.3,78850
9/14/2018 3:17:00 PM,354.9,355.25,354.7,354.9,45747
9/14/2018 3:16:00 PM,354.55,355.2,354.4,354.75,115380
9/14/2018 3:15:00 PM,354.25,355,354,354.6,186883
9/14/2018 3:14:00 PM,353.9,354.3,353.65,354.05,67023
9/14/2018 3:13:00 PM,353.7,353.95,353.55,353.7,30584
9/14/2018 3:12:00 PM,354.1,354.1,353.5,353.95,83215
9/14/2018 3:11:00 PM,354,354.15,353.8,354,41257
9/14/2018 3:10:00 PM,353.7,354,353.65,354,40380
9/14/2018 3:09:00 PM,354.1,354.25,353.6,354,48760
9/14/2018 3:08:00 PM,353.8,354.3,353.65,354.3,66105
9/14/2018 3:07:00 PM,353,354.15,353,353.95,135927
9/14/2018 3:06:00 PM,352.85,353.2,352.75,353,24700
9/14/2018 3:05:00 PM,352.85,353,352.65,352.85,22642
9/14/2018 3:04:00 PM,352.75,353,352.75,352.8,15240
9/14/2018 3:03:00 PM,352.75,353,352.65,352.75,14888
9/14/2018 3:02:00 PM,352.5,352.9,352.45,352.9,27641
9/14/2018 3:01:00 PM,352.85,353,352.5,352.65,41256
9/14/2018 3:00:00 PM,352.5,353,352.35,352.85,35928
9/14/2018 2:59:00 PM,351.6,352.85,351.6,352.5,79831
9/14/2018 2:58:00 PM,351.85,351.85,351.4,351.75,34273
9/14/2018 2:57:00 PM,351.4,351.9,351.4,351.7,40230
9/14/2018 2:56:00 PM,351.2,351.5,351.05,351.2,20890
9/14/2018 2:55:00 PM,350.7,351.15,350.55,351.15,33683
9/14/2018 2:54:00 PM,350.6,351,350.55,350.7,19438
9/14/2018 2:53:00 PM,350.7,350.85,350.5,350.55,16728
9/14/2018 2:52:00 PM,350.8,350.8,350.5,350.6,10096
9/14/2018 2:51:00 PM,350.85,350.95,350.55,350.8,13570
9/14/2018 2:50:00 PM,351.1,351.1,350.8,350.8,14916
9/14/2018 2:49:00 PM,351.1,351.2,351,351.1,11416
9/14/2018 2:48:00 PM,351,351.2,351,351.1,6521
9/14/2018 2:47:00 PM,351.1,351.2,351,351,23978
9/14/2018 2:46:00 PM,351.2,351.2,350.9,351,9623
9/14/2018 2:45:00 PM,350.8,351,350.75,350.9,11107
9/14/2018 2:44:00 PM,351.05,351.25,350.75,350.95,21195
9/14/2018 2:43:00 PM,351,351.25,351,351.05,9516
9/14/2018 2:42:00 PM,350.65,351,350.6,350.8,13481
9/14/2018 2:41:00 PM,350.55,350.75,350.55,350.55,7177
9/14/2018 2:40:00 PM,350.55,350.75,350.5,350.55,11557
9/14/2018 2:39:00 PM,350.7,350.85,350.55,350.55,12730
9/14/2018 2:38:00 PM,350.5,351,350.4,350.8,12728
9/14/2018 2:37:00 PM,350.5,350.65,350.25,350.4,8438
9/14/2018 2:36:00 PM,351.1,351.2,350.6,350.6,28355
9/14/2018 2:35:00 PM,350.2,351.1,350.1,351.1,22765
9/14/2018 2:34:00 PM,350,350.3,350,350.2,22637
9/14/2018 2:33:00 PM,350.45,350.45,350,350.1,60928
9/14/2018 2:32:00 PM,350.45,350.5,350.4,350.4,25522
9/14/2018 2:31:00 PM,350.45,350.5,350.35,350.45,55845
9/14/2018 2:30:00 PM,350.25,350.45,350.2,350.4,41012
9/14/2018 2:29:00 PM,350.6,350.7,350.2,350.25,59482
9/14/2018 2:28:00 PM,350.7,350.7,350.55,350.65,15003
9/14/2018 2:27:00 PM,350.7,350.85,350.55,350.7,14460
9/14/2018 2:26:00 PM,350.9,351,350.6,350.7,24760
9/14/2018 2:25:00 PM,351,351.1,351,351.1,15735
9/14/2018 2:24:00 PM,351.3,351.35,351,351,22431
9/14/2018 2:23:00 PM,351.35,351.35,351,351.25,50225
9/14/2018 2:22:00 PM,351.35,351.5,351.3,351.3,10515
9/14/2018 2:21:00 PM,351.45,351.5,351.3,351.3,12683
9/14/2018 2:20:00 PM,351.4,351.7,351.3,351.35,17255
9/14/2018 2:19:00 PM,351.85,351.9,351.4,351.5,16180
9/14/2018 2:18:00 PM,352.2,352.3,351.75,351.8,16083
9/14/2018 2:17:00 PM,352.35,352.45,352.2,352.2,11738
9/14/2018 2:16:00 PM,352.15,352.5,352.15,352.45,10864
9/14/2018 2:15:00 PM,352.05,352.15,352,352.15,7404
9/14/2018 2:14:00 PM,352,352.1,351.85,352.05,8208
9/14/2018 2:13:00 PM,352.5,352.5,351.95,352,26543
9/14/2018 2:12:00 PM,352.35,352.65,352.3,352.45,11270
9/14/2018 2:11:00 PM,352.25,352.35,352.2,352.35,15780
9/14/2018 2:10:00 PM,352.05,352.5,351.85,352.2,18870
9/14/2018 2:09:00 PM,351.5,352.1,351.5,352.1,19576
9/14/2018 2:08:00 PM,351.5,351.7,351.45,351.5,8458
9/14/2018 2:07:00 PM,351.2,351.65,351.2,351.45,18027
9/14/2018 2:06:00 PM,351.05,351.3,351,351.2,37638
9/14/2018 2:05:00 PM,351.5,351.5,351.05,351.05,28764
9/14/2018 2:04:00 PM,351.85,351.95,351.3,351.5,43572
9/14/2018 2:03:00 PM,352.05,352.1,351.9,351.9,22409
9/14/2018 2:02:00 PM,352,352.4,351.9,352,12940
9/14/2018 2:01:00 PM,351.9,352,351.7,351.9,26525
9/14/2018 2:00:00 PM,352.8,352.8,351.9,352,50276
9/14/2018 1:59:00 PM,352.8,352.85,352.65,352.7,7562
9/14/2018 1:58:00 PM,353,353,352.7,352.7,13459
9/14/2018 1:57:00 PM,352.8,353.1,352.6,352.9,15675
9/14/2018 1:56:00 PM,352.95,353,352.6,352.8,25572
9/14/2018 1:55:00 PM,353,353.1,352.85,352.95,8655
9/14/2018 1:54:00 PM,353.1,353.15,352.9,353,14382
9/14/2018 1:53:00 PM,353,353.15,352.9,353,23321
9/14/2018 1:52:00 PM,353,353.2,352.7,352.85,31619
9/14/2018 1:51:00 PM,353.05,353.05,352.8,353.05,31455
9/14/2018 1:50:00 PM,353.1,353.1,352.95,353,38798
9/14/2018 1:49:00 PM,352.8,353.15,352.8,353.05,31051
9/14/2018 1:48:00 PM,352.6,352.8,352.6,352.7,7066
9/14/2018 1:47:00 PM,352.95,353.3,352.55,352.7,49984
9/14/2018 1:46:00 PM,352.4,353,352.3,352.95,67353
9/14/2018 1:45:00 PM,352.25,352.3,352.05,352.25,17930
9/14/2018 1:44:00 PM,352.3,352.3,352.1,352.25,10668
9/14/2018 1:43:00 PM,352.3,352.35,352.05,352.25,33509
9/14/2018 1:42:00 PM,352.15,352.4,352.05,352.25,14590
9/14/2018 1:41:00 PM,352.1,352.3,352,352.15,10684
9/14/2018 1:40:00 PM,351.6,352.35,351.55,352,31280
9/14/2018 1:39:00 PM,352.15,352.15,351.6,351.85,18140
9/14/2018 1:38:00 PM,352.25,352.4,352,352,16652
9/14/2018 1:37:00 PM,352.2,352.25,352.15,352.2,9489
9/14/2018 1:36:00 PM,352.05,352.3,352,352.2,14488
9/14/2018 1:35:00 PM,351.9,352.1,351.85,352,18880
9/14/2018 1:34:00 PM,352,352.25,352,352,19550
9/14/2018 1:33:00 PM,351.95,352.05,351.75,352,20964
9/14/2018 1:32:00 PM,352,352.2,351.75,351.95,18506
9/14/2018 1:31:00 PM,352.1,352.1,351.6,351.9,18339
9/14/2018 1:30:00 PM,352.2,352.3,352,352,15615
9/14/2018 1:29:00 PM,352,352.45,351.8,352.2,27791
9/14/2018 1:28:00 PM,352.75,352.85,352,352.05,35533
9/14/2018 1:27:00 PM,351.25,352.9,351.25,352.8,138119
9/14/2018 1:26:00 PM,350.9,351.15,350.85,351.1,16960
9/14/2018 1:25:00 PM,350.9,350.9,350.85,350.85,2961
