Date,CADILAHC-EQ O,CADILAHC-EQ H,CADILAHC-EQ L,CADILAHC-EQ C,CADILAHC-EQ V
9/14/2018 3:29:00 PM,411.8,412,411.55,411.85,9409
9/14/2018 3:28:00 PM,412,412.55,411.75,411.9,9323
9/14/2018 3:27:00 PM,411.7,412.5,411.7,412,11838
9/14/2018 3:26:00 PM,411.6,411.9,411.35,411.7,15966
9/14/2018 3:25:00 PM,410.95,411.6,410.95,411.6,11409
9/14/2018 3:24:00 PM,411.1,411.25,410.5,411,16143
9/14/2018 3:23:00 PM,411.25,411.45,410.5,411,22663
9/14/2018 3:22:00 PM,411.2,411.75,411.2,411.4,9353
9/14/2018 3:21:00 PM,411.4,411.65,411.15,411.2,28080
9/14/2018 3:20:00 PM,411.35,411.45,411.1,411.4,16665
9/14/2018 3:19:00 PM,411.45,411.45,411.2,411.4,5636
9/14/2018 3:18:00 PM,411.2,411.5,411,411.35,14673
9/14/2018 3:17:00 PM,411.25,411.5,411.2,411.2,32607
9/14/2018 3:16:00 PM,411.7,411.75,411.05,411.3,40771
9/14/2018 3:15:00 PM,411.8,411.95,411.3,411.7,23147
9/14/2018 3:14:00 PM,411.95,411.95,411.65,411.8,5598
9/14/2018 3:13:00 PM,411.9,411.95,411.7,411.75,4502
9/14/2018 3:12:00 PM,411.9,411.95,411.55,411.8,18077
9/14/2018 3:11:00 PM,412.2,412.2,411.55,411.95,6139
9/14/2018 3:10:00 PM,411.85,412.05,411.3,412,17722
9/14/2018 3:09:00 PM,412.05,412.45,411.65,411.9,9577
9/14/2018 3:08:00 PM,411.6,412.6,411.6,412.6,13140
9/14/2018 3:07:00 PM,412.9,413,411.25,411.75,18321
9/14/2018 3:06:00 PM,412.65,412.95,412.6,412.85,7431
9/14/2018 3:05:00 PM,412.55,412.95,412.55,412.65,5383
9/14/2018 3:04:00 PM,413.75,413.85,412.35,412.55,13695
9/14/2018 3:03:00 PM,413.5,413.85,413.25,413.75,10256
9/14/2018 3:02:00 PM,412.3,413.35,412.2,413.15,14619
9/14/2018 3:01:00 PM,411.5,412.25,411.15,412.25,18327
9/14/2018 3:00:00 PM,410.65,411.75,410.2,411.5,15073
9/14/2018 2:59:00 PM,411,411,410.3,410.65,12931
9/14/2018 2:58:00 PM,411.15,411.35,410.6,410.8,4983
9/14/2018 2:57:00 PM,410.95,411.15,410.8,411,16460
9/14/2018 2:56:00 PM,411.55,411.55,410.75,410.95,22736
9/14/2018 2:55:00 PM,411.5,411.55,411.25,411.55,1600
9/14/2018 2:54:00 PM,411.9,412,411.4,411.5,7416
9/14/2018 2:53:00 PM,411.85,412,411.85,411.9,875
9/14/2018 2:52:00 PM,411.8,412,411.7,411.85,5397
9/14/2018 2:51:00 PM,411.85,411.95,411.7,411.8,1421
9/14/2018 2:50:00 PM,411.9,411.95,411.65,411.85,4746
9/14/2018 2:49:00 PM,411.05,411.95,411.05,411.9,6874
9/14/2018 2:48:00 PM,410.8,411.05,410.45,411.05,13257
9/14/2018 2:47:00 PM,410.7,411.2,410.6,410.8,12065
9/14/2018 2:46:00 PM,413.3,413.3,410.55,410.9,65573
9/14/2018 2:45:00 PM,413.1,413.3,413,413,4583
9/14/2018 2:44:00 PM,413.35,413.5,413.05,413.1,4019
9/14/2018 2:43:00 PM,413.7,413.85,413.35,413.35,4378
9/14/2018 2:42:00 PM,413.4,414,413.4,413.7,8756
9/14/2018 2:41:00 PM,414.5,414.5,413.3,413.4,30135
9/14/2018 2:40:00 PM,414.85,415,414.7,414.8,493
9/14/2018 2:39:00 PM,415,415,414.6,414.8,12422
9/14/2018 2:38:00 PM,414.65,414.8,414.6,414.8,7031
9/14/2018 2:37:00 PM,414.75,415,414.6,415,7910
9/14/2018 2:36:00 PM,414.7,415,414.2,414.65,5223
9/14/2018 2:35:00 PM,415,415,414.65,414.7,1651
9/14/2018 2:34:00 PM,415,415.05,414.75,415,2250
9/14/2018 2:33:00 PM,414.75,415.35,414.75,415,3830
9/14/2018 2:32:00 PM,414.7,415.3,414.7,414.75,2333
9/14/2018 2:31:00 PM,415,415.4,414.7,415,5909
