Date,CANBK-EQ O,CANBK-EQ H,CANBK-EQ L,CANBK-EQ C,CANBK-EQ V
9/14/2018 3:29:00 PM,268.6,269.15,268.6,268.8,19704
9/14/2018 3:28:00 PM,269.2,269.2,268.6,268.6,18772
9/14/2018 3:27:00 PM,269,269.2,269,269.2,12586
9/14/2018 3:26:00 PM,269,269.15,269,269.15,17641
9/14/2018 3:25:00 PM,268.95,269.1,268.7,269,14880
9/14/2018 3:24:00 PM,268.8,269.1,268.6,268.95,46885
9/14/2018 3:23:00 PM,268.55,269.15,268.35,269.1,70863
9/14/2018 3:22:00 PM,268.9,269,268.55,268.55,12932
9/14/2018 3:21:00 PM,269,269.15,268.65,268.75,24057
9/14/2018 3:20:00 PM,269.15,269.25,268.7,268.9,41970
9/14/2018 3:19:00 PM,269.4,269.4,269.2,269.2,17557
9/14/2018 3:18:00 PM,269.5,269.5,269.3,269.4,13074
9/14/2018 3:17:00 PM,269.45,269.5,269.25,269.45,15550
9/14/2018 3:16:00 PM,269.3,269.7,269.3,269.4,36763
9/14/2018 3:15:00 PM,269.35,269.55,269.2,269.35,36617
9/14/2018 3:14:00 PM,269.4,269.4,269.25,269.35,16494
9/14/2018 3:13:00 PM,269.3,269.45,269.25,269.35,9105
9/14/2018 3:12:00 PM,269.5,269.65,269.2,269.3,20753
9/14/2018 3:11:00 PM,269.8,269.8,269.5,269.5,14882
9/14/2018 3:10:00 PM,269.65,269.9,269.6,269.7,25265
9/14/2018 3:09:00 PM,269.85,269.9,269.6,269.6,30983
9/14/2018 3:08:00 PM,269.65,270.1,269.65,269.85,14836
9/14/2018 3:07:00 PM,269.85,270,269.65,269.65,15597
9/14/2018 3:06:00 PM,270,270,269.8,270,16919
9/14/2018 3:05:00 PM,269.65,270,269.6,269.95,4666
9/14/2018 3:04:00 PM,270.05,270.05,269.65,269.65,16308
9/14/2018 3:03:00 PM,270.1,270.2,269.85,270.05,10655
9/14/2018 3:02:00 PM,269.9,270.15,269.7,270.1,20767
9/14/2018 3:01:00 PM,270,270.3,269.8,269.9,15188
9/14/2018 3:00:00 PM,269.6,270,269.55,270,7278
9/14/2018 2:59:00 PM,269.8,269.9,269.55,269.65,16039
9/14/2018 2:58:00 PM,270.2,270.2,269.6,269.8,34949
9/14/2018 2:57:00 PM,270.3,270.3,270.15,270.2,2421
9/14/2018 2:56:00 PM,270.45,270.55,270.25,270.35,28192
9/14/2018 2:55:00 PM,270.35,270.4,270.2,270.3,9807
9/14/2018 2:54:00 PM,270.45,270.85,270.35,270.4,37571
9/14/2018 2:53:00 PM,270.95,271,270.35,270.5,43623
9/14/2018 2:52:00 PM,270.25,270.9,270.15,270.8,37774
9/14/2018 2:51:00 PM,269.95,270.25,269.85,270.25,5294
9/14/2018 2:50:00 PM,269.8,270.05,269.8,269.95,5118
9/14/2018 2:49:00 PM,270.2,270.2,269.75,269.8,8804
9/14/2018 2:48:00 PM,270,270.3,269.85,270.2,9137
9/14/2018 2:47:00 PM,270.3,270.4,269.9,270,10755
9/14/2018 2:46:00 PM,269.95,270.5,269.75,270.3,24569
9/14/2018 2:45:00 PM,269.7,270.1,269.7,269.95,20085
9/14/2018 2:44:00 PM,269.55,269.7,269.55,269.7,1256
9/14/2018 2:43:00 PM,269.6,269.9,269.4,269.55,5525
9/14/2018 2:42:00 PM,269.4,269.6,269.4,269.6,3032
9/14/2018 2:41:00 PM,269.6,269.75,269.4,269.4,7263
