Date,CIPLA-EQ O,CIPLA-EQ H,CIPLA-EQ L,CIPLA-EQ C,CIPLA-EQ V
9/14/2018 3:29:00 PM,663.9,665.15,663.55,664.05,6004
9/14/2018 3:28:00 PM,664.25,664.25,663.7,663.8,4036
9/14/2018 3:27:00 PM,664.1,664.2,663.95,664.2,3356
9/14/2018 3:26:00 PM,665.05,665.15,664.05,664.1,6368
9/14/2018 3:25:00 PM,666,666,665,665.05,3062
9/14/2018 3:24:00 PM,666,666.7,665.45,666,19975
9/14/2018 3:23:00 PM,666,666.15,665.35,666,10797
9/14/2018 3:22:00 PM,666.35,666.35,665.3,665.45,5343
9/14/2018 3:21:00 PM,666.75,666.75,665.75,666.35,11015
9/14/2018 3:20:00 PM,666.7,666.75,666.25,666.35,5346
9/14/2018 3:19:00 PM,666,666.5,666,666.25,3833
9/14/2018 3:18:00 PM,667,667.6,666,666.2,16916
9/14/2018 3:17:00 PM,667.35,667.35,666.65,667,8439
9/14/2018 3:16:00 PM,666.75,667.1,666.45,667.1,8935
9/14/2018 3:15:00 PM,665.95,666.8,665.5,666.75,19586
9/14/2018 3:14:00 PM,666.15,666.2,665.9,665.95,2825
9/14/2018 3:13:00 PM,666.15,666.2,665.75,665.85,3229
9/14/2018 3:12:00 PM,666.3,666.55,665.6,666.15,7459
9/14/2018 3:11:00 PM,666.2,666.9,665.55,666.25,6050
9/14/2018 3:10:00 PM,666.05,666.5,666,666.5,6009
9/14/2018 3:09:00 PM,666.6,666.6,666.05,666.05,7231
9/14/2018 3:08:00 PM,666.8,666.85,666.5,666.65,2477
9/14/2018 3:07:00 PM,666.55,667,666.3,666.55,4768
9/14/2018 3:06:00 PM,667,667,666.25,666.55,7614
9/14/2018 3:05:00 PM,668,668.1,666.9,667,12878
9/14/2018 3:04:00 PM,668.15,668.15,668,668,7617
9/14/2018 3:03:00 PM,668.85,668.85,668.05,668.1,2965
9/14/2018 3:02:00 PM,668.5,668.8,668.25,668.8,3342
9/14/2018 3:01:00 PM,668.25,668.6,668.25,668.5,6782
9/14/2018 3:00:00 PM,668.5,668.6,667.75,668.5,8035
9/14/2018 2:59:00 PM,668.2,669,667.9,668.5,11724
9/14/2018 2:58:00 PM,667.25,668.25,667.2,668.2,9760
9/14/2018 2:57:00 PM,667.25,667.5,667.2,667.25,4618
9/14/2018 2:56:00 PM,667.05,667.5,667.05,667.25,3216
9/14/2018 2:55:00 PM,666.9,667.5,666.9,667.05,2122
9/14/2018 2:54:00 PM,666,667,665.95,666.9,11530
9/14/2018 2:53:00 PM,666.05,666.25,665.95,666,2377
9/14/2018 2:52:00 PM,665.85,666.2,665.85,666.05,1287
9/14/2018 2:51:00 PM,666,666.25,665.85,665.85,2042
9/14/2018 2:50:00 PM,666.05,666.25,666,666.2,1878
9/14/2018 2:49:00 PM,666,666.2,665.65,666.05,2708
9/14/2018 2:48:00 PM,666,666.35,665.55,666,1743
9/14/2018 2:47:00 PM,666.5,666.5,665.85,666.25,4469
9/14/2018 2:46:00 PM,665.85,666.5,665.85,666.5,3588
9/14/2018 2:45:00 PM,665.75,666,665.6,666,1882
9/14/2018 2:44:00 PM,665.5,665.9,665.5,665.75,937
9/14/2018 2:43:00 PM,665.05,665.9,665.05,665.5,10763
9/14/2018 2:42:00 PM,665,665.45,665,665.25,2202
9/14/2018 2:41:00 PM,665,665.2,665,665,1075
9/14/2018 2:40:00 PM,665,665.15,665,665.15,1061
9/14/2018 2:39:00 PM,665,665.45,665,665,856
9/14/2018 2:38:00 PM,665,665.5,665,665,1671
9/14/2018 2:37:00 PM,665.15,665.5,665,665,1733
9/14/2018 2:36:00 PM,665.05,665.3,665,665.15,825
9/14/2018 2:35:00 PM,665.05,665.3,665,665.05,914
9/14/2018 2:34:00 PM,665,665.25,665,665,922
9/14/2018 2:33:00 PM,665.3,665.3,665,665,919
9/14/2018 2:32:00 PM,664.5,665.3,664.5,665.3,1783
9/14/2018 2:31:00 PM,664.95,664.95,664.6,664.6,936
9/14/2018 2:30:00 PM,664.95,664.95,664.6,664.65,1207
9/14/2018 2:29:00 PM,665.05,665.05,664.45,664.95,1225
9/14/2018 2:28:00 PM,664.75,665.05,664.5,665.05,1526
9/14/2018 2:27:00 PM,664.75,665.1,664.65,664.75,2270
9/14/2018 2:26:00 PM,665,665.25,664.7,664.7,1131
9/14/2018 2:25:00 PM,664.7,665.4,664.7,665,1844
