Date,COALINDIA-EQ O,COALINDIA-EQ H,COALINDIA-EQ L,COALINDIA-EQ C,COALINDIA-EQ V
9/14/2018 3:29:00 PM,277.8,277.95,277.8,277.8,11608
9/14/2018 3:28:00 PM,277.75,277.85,277.65,277.8,11973
9/14/2018 3:27:00 PM,277.75,277.85,277.7,277.75,20632
9/14/2018 3:26:00 PM,277.5,277.7,277.5,277.7,15252
9/14/2018 3:25:00 PM,277.1,277.6,277.1,277.45,17541
9/14/2018 3:24:00 PM,277.2,277.3,277,277.25,53054
9/14/2018 3:23:00 PM,277.35,277.5,277.2,277.25,43583
9/14/2018 3:22:00 PM,277.25,277.45,277.2,277.3,16612
9/14/2018 3:21:00 PM,277.3,277.4,277.15,277.4,18922
9/14/2018 3:20:00 PM,277.35,277.35,277.15,277.25,16782
9/14/2018 3:19:00 PM,277.2,277.4,277.1,277.1,20415
9/14/2018 3:18:00 PM,277.05,277.3,277,277.2,21172
9/14/2018 3:17:00 PM,277.6,277.6,277.1,277.1,31165
9/14/2018 3:16:00 PM,277.4,277.8,277.3,277.6,51260
9/14/2018 3:15:00 PM,277.45,277.45,277.2,277.4,20014
9/14/2018 3:14:00 PM,277.4,277.5,277.3,277.35,18488
9/14/2018 3:13:00 PM,277.2,277.55,277.05,277.4,15988
9/14/2018 3:12:00 PM,277.05,277.2,277,277.2,35903
9/14/2018 3:11:00 PM,277.15,277.15,277,277.05,12597
9/14/2018 3:10:00 PM,277.2,277.2,277,277.15,15538
9/14/2018 3:09:00 PM,277.25,277.25,277,277.1,12783
9/14/2018 3:08:00 PM,277.1,277.25,277,277.25,15238
9/14/2018 3:07:00 PM,277.3,277.3,277,277.05,17959
9/14/2018 3:06:00 PM,277.4,277.45,277.1,277.3,13528
9/14/2018 3:05:00 PM,277.35,277.45,277.1,277.4,15635
9/14/2018 3:04:00 PM,277.6,277.7,277.15,277.25,16291
9/14/2018 3:03:00 PM,277.7,277.7,277.5,277.7,16200
9/14/2018 3:02:00 PM,277.7,277.7,277.4,277.6,12670
9/14/2018 3:01:00 PM,278.05,278.1,277.5,277.7,22230
9/14/2018 3:00:00 PM,278.15,278.15,277.75,278.1,31458
9/14/2018 2:59:00 PM,278,278.2,277.6,277.6,10321
9/14/2018 2:58:00 PM,278.35,278.35,278,278,14225
9/14/2018 2:57:00 PM,278.3,278.45,278.3,278.35,7066
9/14/2018 2:56:00 PM,278.35,278.4,278.2,278.3,10678
