Date,DIVISLAB-EQ O,DIVISLAB-EQ H,DIVISLAB-EQ L,DIVISLAB-EQ C,DIVISLAB-EQ V
9/14/2018 3:29:00 PM,1330,1330,1325.1,1328,4005
9/14/2018 3:28:00 PM,1329.55,1330,1329.55,1330,4093
9/14/2018 3:27:00 PM,1330,1331.15,1329.3,1329.55,3571
9/14/2018 3:26:00 PM,1330.95,1331.65,1330,1330,8758
9/14/2018 3:25:00 PM,1330.5,1331,1330,1331,2174
9/14/2018 3:24:00 PM,1330.45,1331.05,1329,1330,5880
9/14/2018 3:23:00 PM,1330,1332,1330,1330.45,9507
9/14/2018 3:22:00 PM,1330.5,1331,1330,1330.1,3217
9/14/2018 3:21:00 PM,1330.85,1331.2,1330.1,1330.5,5627
9/14/2018 3:20:00 PM,1330.85,1331.4,1330.2,1331.2,8706
9/14/2018 3:19:00 PM,1331.7,1331.95,1330.35,1330.75,4259
9/14/2018 3:18:00 PM,1332.25,1332.25,1330.2,1330.95,10439
9/14/2018 3:17:00 PM,1332.95,1333.2,1331.25,1332.25,10902
9/14/2018 3:16:00 PM,1329.5,1334,1329.4,1332.95,21337
9/14/2018 3:15:00 PM,1328.75,1330,1328.5,1328.6,10415
9/14/2018 3:14:00 PM,1328.35,1328.95,1328.1,1328.75,3396
9/14/2018 3:13:00 PM,1327.1,1329.45,1327.1,1328.55,5380
9/14/2018 3:12:00 PM,1328.8,1329.5,1327.05,1327.1,9138
9/14/2018 3:11:00 PM,1329.95,1329.95,1328.55,1328.55,5782
9/14/2018 3:10:00 PM,1330.15,1330.65,1329.65,1329.65,10887
9/14/2018 3:09:00 PM,1332.5,1332.5,1329.7,1330.15,14929
9/14/2018 3:08:00 PM,1330.05,1332.85,1330,1332.65,24737
9/14/2018 3:07:00 PM,1329.5,1331,1329,1330.05,17176
9/14/2018 3:06:00 PM,1330.2,1331,1329.55,1330.4,12977
9/14/2018 3:05:00 PM,1329,1330.6,1328.3,1330.1,14683
9/14/2018 3:04:00 PM,1330,1331,1329,1329,25827
9/14/2018 3:03:00 PM,1328,1330.65,1327.55,1330,35174
9/14/2018 3:02:00 PM,1326,1328.8,1324.5,1328.05,26332
9/14/2018 3:01:00 PM,1323.8,1327.55,1323.8,1325.9,29912
9/14/2018 3:00:00 PM,1320,1323.95,1320,1323.95,2365
9/14/2018 2:59:00 PM,1320.3,1321.6,1320,1320,5018
9/14/2018 2:58:00 PM,1319.85,1320.45,1319.3,1320.3,1756
9/14/2018 2:57:00 PM,1321.8,1321.9,1319.1,1319.85,11044
9/14/2018 2:56:00 PM,1321.9,1324,1321,1321.8,11588
9/14/2018 2:55:00 PM,1317.45,1322.1,1317.45,1321.9,27655
9/14/2018 2:54:00 PM,1317.1,1318.45,1317.05,1318.25,3440
9/14/2018 2:53:00 PM,1315.85,1317.5,1315.3,1317.35,3819
9/14/2018 2:52:00 PM,1316.05,1316.25,1315,1316.25,3761
9/14/2018 2:51:00 PM,1316.1,1316.5,1315.4,1316.05,1733
9/14/2018 2:50:00 PM,1316.75,1316.75,1316.1,1316.1,1378
9/14/2018 2:49:00 PM,1315.95,1316.75,1315.95,1316.75,1050
9/14/2018 2:48:00 PM,1315.3,1316,1315.3,1315.95,440
9/14/2018 2:47:00 PM,1315.3,1316.6,1315.3,1316.25,1115
9/14/2018 2:46:00 PM,1315.3,1316,1315.3,1315.3,791
9/14/2018 2:45:00 PM,1315.1,1315.9,1315.05,1315.3,556
9/14/2018 2:44:00 PM,1315.25,1316.25,1315.1,1315.1,1842
9/14/2018 2:43:00 PM,1316.75,1316.75,1315.2,1315.25,484
9/14/2018 2:42:00 PM,1316.25,1317.5,1316.25,1317.05,559
9/14/2018 2:41:00 PM,1315.85,1316.7,1315.8,1316.35,364
9/14/2018 2:40:00 PM,1315.5,1316.95,1315.5,1315.8,497
9/14/2018 2:39:00 PM,1316,1316.25,1315,1315,3841
9/14/2018 2:38:00 PM,1316.3,1316.4,1316.1,1316.1,566
9/14/2018 2:37:00 PM,1317.15,1317.2,1316.3,1316.3,835
9/14/2018 2:36:00 PM,1317,1318.45,1317,1317.1,9427
9/14/2018 2:35:00 PM,1315.5,1317.55,1315,1317.1,6140
9/14/2018 2:34:00 PM,1313.3,1315.4,1313.3,1315,2180
9/14/2018 2:33:00 PM,1313.6,1313.8,1312.65,1313.3,1854
9/14/2018 2:32:00 PM,1314.3,1314.35,1313.3,1313.6,1183
9/14/2018 2:31:00 PM,1313.3,1314.7,1313.3,1314.35,580
9/14/2018 2:30:00 PM,1314.3,1314.85,1313.45,1313.45,910
9/14/2018 2:29:00 PM,1313.6,1314.3,1313.6,1314.3,3058
9/14/2018 2:28:00 PM,1313.05,1314,1313.05,1313.6,1282
9/14/2018 2:27:00 PM,1312.55,1313.45,1312.55,1313.05,622
9/14/2018 2:26:00 PM,1312.35,1313.4,1312.35,1312.55,564
9/14/2018 2:25:00 PM,1313.95,1313.95,1312.25,1312.45,1228
9/14/2018 2:24:00 PM,1312.85,1314,1312.85,1313.95,1195
9/14/2018 2:23:00 PM,1313.5,1313.55,1313,1313,1081
9/14/2018 2:22:00 PM,1312.25,1314,1312.25,1314,2110
9/14/2018 2:21:00 PM,1312.35,1313,1312.1,1312.25,841
9/14/2018 2:20:00 PM,1313.65,1314,1313,1313.3,1079
9/14/2018 2:19:00 PM,1313.6,1314,1313.6,1313.65,793
9/14/2018 2:18:00 PM,1313.65,1314,1313.3,1313.6,2151
9/14/2018 2:17:00 PM,1313.7,1314,1313.7,1313.95,2914
9/14/2018 2:16:00 PM,1313.65,1314,1313.5,1313.7,1061
9/14/2018 2:15:00 PM,1312.25,1313.8,1312.25,1313.65,1905
9/14/2018 2:14:00 PM,1312.2,1312.45,1312,1312.2,1278
9/14/2018 2:13:00 PM,1312.05,1312.45,1311.45,1312.2,1173
9/14/2018 2:12:00 PM,1312.6,1312.95,1312.05,1312.05,1126
9/14/2018 2:11:00 PM,1312.5,1312.95,1312.5,1312.6,719
9/14/2018 2:10:00 PM,1312.65,1312.65,1312.3,1312.3,1897
9/14/2018 2:09:00 PM,1313.25,1313.25,1312.4,1312.65,790
9/14/2018 2:08:00 PM,1312.1,1313.25,1312.1,1313.25,4517
9/14/2018 2:07:00 PM,1313.25,1313.9,1312.5,1312.75,1454
9/14/2018 2:06:00 PM,1311.55,1314,1311.55,1314,2150
9/14/2018 2:05:00 PM,1312,1313,1310.55,1311.7,5533
9/14/2018 2:04:00 PM,1313.3,1313.3,1312,1312,2614
9/14/2018 2:03:00 PM,1313.15,1314,1313.1,1313.3,1500
9/14/2018 2:02:00 PM,1313.55,1314.65,1313.35,1314,1958
9/14/2018 2:01:00 PM,1313.3,1313.9,1313.3,1313.9,2074
9/14/2018 2:00:00 PM,1313.6,1313.95,1313.2,1313.3,1054
9/14/2018 1:59:00 PM,1313.6,1314,1313.1,1313.6,1577
9/14/2018 1:58:00 PM,1315.35,1316,1313.55,1313.65,2959
9/14/2018 1:57:00 PM,1315.5,1316.25,1315.4,1316,4733
9/14/2018 1:56:00 PM,1315,1316.2,1315,1315.4,4895
9/14/2018 1:55:00 PM,1313.5,1315,1312.85,1315,6193
9/14/2018 1:54:00 PM,1315,1315.1,1312.85,1313.5,1746
9/14/2018 1:53:00 PM,1313.05,1315.85,1313.05,1315,11885
9/14/2018 1:52:00 PM,1312.7,1313.75,1312.7,1313.05,924
9/14/2018 1:51:00 PM,1311.9,1313.95,1311.55,1312.65,6269
9/14/2018 1:50:00 PM,1312.45,1312.85,1311.4,1311.9,2379
9/14/2018 1:49:00 PM,1313.05,1313.95,1312.45,1312.45,3774
9/14/2018 1:48:00 PM,1314,1314.9,1313,1313,4147
9/14/2018 1:47:00 PM,1315,1315,1314,1314,5409
9/14/2018 1:46:00 PM,1315.15,1315.8,1315,1315,1342
9/14/2018 1:45:00 PM,1315.3,1315.7,1315,1315.15,3905
9/14/2018 1:44:00 PM,1315.3,1316,1315.3,1315.3,2659
9/14/2018 1:43:00 PM,1315.15,1315.95,1315.15,1315.3,465
9/14/2018 1:42:00 PM,1315.55,1316.25,1315.25,1315.95,313
9/14/2018 1:41:00 PM,1315.2,1316.4,1315.2,1315.6,686
9/14/2018 1:40:00 PM,1315.85,1315.85,1315.2,1315.5,981
9/14/2018 1:39:00 PM,1317.15,1317.25,1315,1316,8300
9/14/2018 1:38:00 PM,1317,1317.95,1317,1317.25,3774
9/14/2018 1:37:00 PM,1317,1317.4,1316.1,1317.4,1146
9/14/2018 1:36:00 PM,1316.3,1317.8,1315.75,1317.05,1437
9/14/2018 1:35:00 PM,1317.35,1317.55,1316.25,1316.3,1371
9/14/2018 1:34:00 PM,1317.95,1317.95,1317.25,1317.9,2345
9/14/2018 1:33:00 PM,1315.25,1317.95,1315.25,1317.95,6167
9/14/2018 1:32:00 PM,1316.55,1316.55,1315.2,1315.25,537
9/14/2018 1:31:00 PM,1316.25,1316.75,1316,1316.55,1533
9/14/2018 1:30:00 PM,1317,1317,1316.2,1316.25,1382
9/14/2018 1:29:00 PM,1316,1317.45,1316,1316.3,1904
9/14/2018 1:28:00 PM,1316.6,1317.6,1315.65,1316,3176
