Date,DRREDDY-EQ O,DRREDDY-EQ H,DRREDDY-EQ L,DRREDDY-EQ C,DRREDDY-EQ V
9/14/2018 3:29:00 PM,2583.4,2583.4,2579.7,2581.85,2380
9/14/2018 3:28:00 PM,2584.3,2584.3,2582,2583.45,1957
9/14/2018 3:27:00 PM,2583.8,2585,2583.7,2584,2683
9/14/2018 3:26:00 PM,2583.4,2583.7,2583.4,2583.7,2003
9/14/2018 3:25:00 PM,2583,2583.5,2582,2583.45,1892
9/14/2018 3:24:00 PM,2583.5,2583.5,2582,2582,2681
9/14/2018 3:23:00 PM,2582.85,2583.5,2581.1,2582.05,3408
9/14/2018 3:22:00 PM,2582,2583,2581.05,2582.3,2092
9/14/2018 3:21:00 PM,2582.55,2583,2581.25,2582.75,2274
9/14/2018 3:20:00 PM,2580.8,2582.85,2580.8,2582.55,5020
9/14/2018 3:19:00 PM,2582.2,2582.55,2579.8,2580.85,1194
9/14/2018 3:18:00 PM,2581.9,2582.95,2580,2582.2,5698
9/14/2018 3:17:00 PM,2581.15,2582.4,2579,2581.9,4302
9/14/2018 3:16:00 PM,2581.2,2582.95,2581.05,2581.15,3239
9/14/2018 3:15:00 PM,2580.45,2582.7,2580,2581.2,5232
9/14/2018 3:14:00 PM,2582.45,2582.45,2580.2,2580.45,1514
9/14/2018 3:13:00 PM,2581.5,2583,2581,2582.1,2207
9/14/2018 3:12:00 PM,2580.55,2583,2580.2,2581.75,3389
9/14/2018 3:11:00 PM,2581.6,2582.95,2580.25,2580.5,2094
9/14/2018 3:10:00 PM,2580.55,2583,2579,2582.95,6739
9/14/2018 3:09:00 PM,2581,2581,2580.05,2580.15,1352
9/14/2018 3:08:00 PM,2580.1,2581,2580,2580.05,1371
9/14/2018 3:07:00 PM,2582.65,2582.65,2580,2581,2762
9/14/2018 3:06:00 PM,2581,2582,2581,2581.9,2296
9/14/2018 3:05:00 PM,2583.15,2584,2581,2582,2815
9/14/2018 3:04:00 PM,2583.25,2584,2583.15,2583.15,1639
9/14/2018 3:03:00 PM,2582.65,2584.7,2582.6,2583.25,2144
9/14/2018 3:02:00 PM,2583,2583,2581.1,2582.85,1573
9/14/2018 3:01:00 PM,2580.35,2583,2579.15,2583,3843
9/14/2018 3:00:00 PM,2579,2582.2,2579,2581.7,3837
9/14/2018 2:59:00 PM,2578,2581.25,2578,2580.1,1113
9/14/2018 2:58:00 PM,2581.9,2581.9,2578,2578,3248
9/14/2018 2:57:00 PM,2581.25,2583,2580.15,2580.15,2542
9/14/2018 2:56:00 PM,2584,2585,2580.8,2581.25,5296
9/14/2018 2:55:00 PM,2581,2584.5,2580,2584,5470
9/14/2018 2:54:00 PM,2579.6,2582,2579.6,2581,4170
9/14/2018 2:53:00 PM,2579.95,2579.95,2579,2579.6,438
9/14/2018 2:52:00 PM,2577.9,2580,2577.9,2579.95,3747
9/14/2018 2:51:00 PM,2577.6,2578,2576.7,2577.9,1596
9/14/2018 2:50:00 PM,2577.55,2578.4,2577.05,2577.6,126
9/14/2018 2:49:00 PM,2578.1,2578.5,2576.75,2577.3,389
9/14/2018 2:48:00 PM,2578.15,2578.5,2576.5,2578.1,543
9/14/2018 2:47:00 PM,2578.15,2578.15,2577.35,2578.15,144
9/14/2018 2:46:00 PM,2578.3,2578.5,2578.15,2578.15,384
9/14/2018 2:45:00 PM,2577,2578.35,2577,2578.35,130
9/14/2018 2:44:00 PM,2577.05,2578.5,2577,2577.55,224
9/14/2018 2:43:00 PM,2579.05,2579.1,2576.75,2577.05,321
9/14/2018 2:42:00 PM,2578.5,2579.1,2578.3,2579.05,354
9/14/2018 2:41:00 PM,2577.2,2578.5,2577.2,2578.5,273
9/14/2018 2:40:00 PM,2577.55,2577.55,2576.7,2577.2,279
9/14/2018 2:39:00 PM,2576.95,2578.65,2576.95,2577.55,238
9/14/2018 2:38:00 PM,2577.1,2578.95,2576.25,2576.95,417
9/14/2018 2:37:00 PM,2579.15,2579.15,2577.25,2577.25,219
9/14/2018 2:36:00 PM,2579.85,2579.9,2578,2579.15,200
9/14/2018 2:35:00 PM,2579,2579.9,2578.95,2579.85,682
9/14/2018 2:34:00 PM,2577.25,2579,2577.25,2579,547
9/14/2018 2:33:00 PM,2577.25,2578.5,2577.25,2577.25,386
9/14/2018 2:32:00 PM,2576.55,2577.25,2575.4,2577.25,804
9/14/2018 2:31:00 PM,2575.55,2577,2575.5,2576.35,385
9/14/2018 2:30:00 PM,2576.9,2576.9,2574.45,2575.55,554
9/14/2018 2:29:00 PM,2576.75,2578,2575.95,2576.9,324
9/14/2018 2:28:00 PM,2576.1,2576.95,2575,2576.75,663
9/14/2018 2:27:00 PM,2577,2577,2575.05,2576.6,265
9/14/2018 2:26:00 PM,2576.75,2577.6,2576.75,2577.6,265
9/14/2018 2:25:00 PM,2576.75,2578,2576.2,2576.75,138
9/14/2018 2:24:00 PM,2579,2579,2576.75,2576.75,170
9/14/2018 2:23:00 PM,2579,2579,2576.4,2579,748
9/14/2018 2:22:00 PM,2577.25,2579,2577.25,2579,589
9/14/2018 2:21:00 PM,2578.4,2578.4,2574.85,2577.25,436
9/14/2018 2:20:00 PM,2577,2578.4,2576.35,2578.4,176
9/14/2018 2:19:00 PM,2578.3,2578.4,2577,2577,186
9/14/2018 2:18:00 PM,2579,2579.4,2578.05,2578.3,461
9/14/2018 2:17:00 PM,2577.95,2579.8,2576.7,2579,1159
9/14/2018 2:16:00 PM,2579.5,2579.5,2576.05,2576.35,1079
9/14/2018 2:15:00 PM,2574.95,2579.5,2574.05,2579.5,1152
9/14/2018 2:14:00 PM,2574.4,2574.4,2573.7,2574.4,210
9/14/2018 2:13:00 PM,2574.8,2574.8,2574,2574.4,145
9/14/2018 2:12:00 PM,2575.35,2575.5,2574.1,2574.8,224
9/14/2018 2:11:00 PM,2574.75,2575.5,2573.95,2575.35,402
9/14/2018 2:10:00 PM,2574,2575,2572.75,2574.75,239
9/14/2018 2:09:00 PM,2574,2574.5,2572.5,2572.5,343
9/14/2018 2:08:00 PM,2571.2,2574,2568.35,2573,1110
9/14/2018 2:07:00 PM,2575.8,2575.8,2569.6,2570.2,1591
9/14/2018 2:06:00 PM,2571.25,2576.45,2570.2,2575.25,1541
9/14/2018 2:05:00 PM,2570.05,2571.55,2569.65,2571.05,785
9/14/2018 2:04:00 PM,2573,2573,2570.5,2570.5,423
9/14/2018 2:03:00 PM,2571.8,2573,2570.5,2573,200
9/14/2018 2:02:00 PM,2570,2571.8,2569.75,2571.8,332
9/14/2018 2:01:00 PM,2571,2572.4,2569.7,2569.7,1869
9/14/2018 2:00:00 PM,2571,2572.4,2571,2571,936
9/14/2018 1:59:00 PM,2570.3,2571.75,2570.05,2571,251
