Date,EICHERMOT-EQ O,EICHERMOT-EQ H,EICHERMOT-EQ L,EICHERMOT-EQ C,EICHERMOT-EQ V
9/14/2018 3:29:00 PM,29393.95,29400,29350,29400,42
9/14/2018 3:28:00 PM,29411,29420,29393.95,29394.2,106
9/14/2018 3:27:00 PM,29410,29423,29410,29411,261
9/14/2018 3:26:00 PM,29415,29420,29411.5,29411.5,284
9/14/2018 3:25:00 PM,29406.2,29418,29403.55,29418,151
9/14/2018 3:24:00 PM,29399.9,29405.1,29399,29403.55,344
9/14/2018 3:23:00 PM,29392.8,29399,29392.8,29397,189
9/14/2018 3:22:00 PM,29388.1,29395,29388.1,29392.8,93
9/14/2018 3:21:00 PM,29380.35,29390,29380.35,29388.05,192
9/14/2018 3:20:00 PM,29391.95,29399.9,29366.2,29380.35,243
9/14/2018 3:19:00 PM,29384.35,29392,29376.55,29388.4,144
9/14/2018 3:18:00 PM,29370.45,29384.35,29361.7,29384.35,194
9/14/2018 3:17:00 PM,29374.95,29374.95,29352.7,29370.45,163
9/14/2018 3:16:00 PM,29349.8,29374.95,29330,29374.75,363
9/14/2018 3:15:00 PM,29365.4,29379.65,29335.05,29349.8,367
9/14/2018 3:14:00 PM,29389,29389,29330,29365.4,224
9/14/2018 3:13:00 PM,29390,29392.65,29380.1,29389,121
9/14/2018 3:12:00 PM,29390,29390,29382.15,29390,215
9/14/2018 3:11:00 PM,29380.7,29390,29371,29390,92
9/14/2018 3:10:00 PM,29390.45,29395,29370,29370,334
9/14/2018 3:09:00 PM,29395.55,29397.95,29370,29390.45,108
9/14/2018 3:08:00 PM,29389.2,29398,29384.4,29397.15,113
9/14/2018 3:07:00 PM,29398.95,29399,29370,29389.2,145
9/14/2018 3:06:00 PM,29389,29398.95,29389,29398.95,182
9/14/2018 3:05:00 PM,29390,29390,29362.05,29380.15,262
9/14/2018 3:04:00 PM,29388.95,29390,29367,29390,172
9/14/2018 3:03:00 PM,29381.9,29399,29377.9,29398.9,384
9/14/2018 3:02:00 PM,29362.9,29382,29351.8,29382,457
9/14/2018 3:01:00 PM,29363.4,29364,29339.15,29362.9,164
9/14/2018 3:00:00 PM,29341,29364,29340,29363.4,333
9/14/2018 2:59:00 PM,29340.5,29349.8,29340.5,29341,27
9/14/2018 2:58:00 PM,29348,29350.05,29340.05,29340.5,53
9/14/2018 2:57:00 PM,29349.9,29357.9,29340,29348,91
9/14/2018 2:56:00 PM,29342.15,29366.9,29341.05,29349.9,29
9/14/2018 2:55:00 PM,29350,29370,29342.15,29342.15,188
9/14/2018 2:54:00 PM,29351,29352,29341,29350,69
9/14/2018 2:53:00 PM,29351,29351,29340,29351,31
9/14/2018 2:52:00 PM,29357,29357,29350.05,29351,45
9/14/2018 2:51:00 PM,29346.85,29359.85,29346.85,29357,66
9/14/2018 2:50:00 PM,29347.7,29353.55,29341.3,29346.85,308
9/14/2018 2:49:00 PM,29347.7,29347.7,29341.3,29347.7,58
9/14/2018 2:48:00 PM,29340,29348.95,29340,29347.7,23
9/14/2018 2:47:00 PM,29350,29350,29340.45,29345,18
9/14/2018 2:46:00 PM,29340,29357,29339.15,29350,105
9/14/2018 2:45:00 PM,29343,29353.85,29339.15,29340,21
9/14/2018 2:44:00 PM,29343.1,29344,29343,29343,32
9/14/2018 2:43:00 PM,29364.55,29364.55,29343.05,29343.1,14
9/14/2018 2:42:00 PM,29339.3,29364.9,29339.3,29364.55,129
9/14/2018 2:41:00 PM,29341,29342.45,29339.15,29339.3,20
9/14/2018 2:40:00 PM,29350,29350,29341,29341,25
9/14/2018 2:39:00 PM,29352.2,29352.2,29350,29350,9
9/14/2018 2:38:00 PM,29365,29365,29349.35,29352.2,47
9/14/2018 2:37:00 PM,29363.85,29369.95,29363.85,29365,277
9/14/2018 2:36:00 PM,29341.1,29363.9,29341.1,29363.85,85
9/14/2018 2:35:00 PM,29343.75,29349,29340,29349,14
9/14/2018 2:34:00 PM,29340,29350,29340,29343.75,118
9/14/2018 2:33:00 PM,29321.85,29340,29321.85,29340,102
9/14/2018 2:32:00 PM,29339.85,29340,29321.85,29321.85,52
9/14/2018 2:31:00 PM,29339.55,29340,29339.55,29339.85,63
9/14/2018 2:30:00 PM,29340,29340,29311.9,29330.7,129
9/14/2018 2:29:00 PM,29329.2,29340,29329.2,29340,53
9/14/2018 2:28:00 PM,29337.95,29340,29328,29340,74
9/14/2018 2:27:00 PM,29335,29338,29328,29337.95,96
9/14/2018 2:26:00 PM,29328,29335,29328,29335,36
9/14/2018 2:25:00 PM,29328.55,29338,29328,29328,58
9/14/2018 2:24:00 PM,29319.25,29338,29312.75,29338,44
9/14/2018 2:23:00 PM,29331.2,29340,29312.75,29319.25,39
