Date,EURINR18OCTFUT O,EURINR18OCTFUT H,EURINR18OCTFUT L,EURINR18OCTFUT C,EURINR18OCTFUT V
9/14/2018 4:59:00 PM,84.7775,84.7775,84.7225,84.7225,319
9/14/2018 4:58:00 PM,84.7775,84.7775,84.77,84.7775,9
9/14/2018 4:57:00 PM,84.785,84.785,84.7775,84.7775,24
9/14/2018 4:56:00 PM,84.7875,84.7875,84.775,84.785,11
9/14/2018 4:55:00 PM,84.775,84.7875,84.7725,84.7875,9
9/14/2018 4:54:00 PM,84.775,84.775,84.775,84.775,0
9/14/2018 4:53:00 PM,84.8075,84.8075,84.775,84.775,147
9/14/2018 4:52:00 PM,84.805,84.8075,84.805,84.8075,3
9/14/2018 4:51:00 PM,84.82,84.82,84.805,84.805,13
9/14/2018 4:50:00 PM,84.84,84.84,84.82,84.82,20
9/14/2018 4:49:00 PM,84.84,84.84,84.83,84.84,110
9/14/2018 4:48:00 PM,84.84,84.84,84.84,84.84,0
9/14/2018 4:47:00 PM,84.82,84.84,84.82,84.84,5
9/14/2018 4:46:00 PM,84.81,84.82,84.81,84.82,1
9/14/2018 4:45:00 PM,84.805,84.8175,84.805,84.81,52
9/14/2018 4:44:00 PM,84.805,84.805,84.8,84.805,2
9/14/2018 4:43:00 PM,84.78,84.805,84.78,84.805,13
9/14/2018 4:42:00 PM,84.78,84.78,84.78,84.78,0
9/14/2018 4:41:00 PM,84.745,84.78,84.745,84.78,17
9/14/2018 4:40:00 PM,84.745,84.745,84.745,84.745,0
9/14/2018 4:39:00 PM,84.7425,84.745,84.74,84.745,12
9/14/2018 4:38:00 PM,84.75,84.75,84.7425,84.7425,47
9/14/2018 4:37:00 PM,84.74,84.75,84.74,84.75,5
9/14/2018 4:36:00 PM,84.745,84.7475,84.74,84.74,9
9/14/2018 4:35:00 PM,84.7775,84.7775,84.745,84.745,11
9/14/2018 4:34:00 PM,84.77,84.7825,84.77,84.7775,35
9/14/2018 4:33:00 PM,84.77,84.7875,84.7675,84.77,65
9/14/2018 4:32:00 PM,84.775,84.79,84.77,84.77,48
9/14/2018 4:31:00 PM,84.7625,84.7825,84.7625,84.775,2
9/14/2018 4:30:00 PM,84.72,84.7625,84.72,84.7625,1
9/14/2018 4:29:00 PM,84.72,84.72,84.72,84.72,1
9/14/2018 4:28:00 PM,84.7475,84.7475,84.72,84.72,3
9/14/2018 4:27:00 PM,84.77,84.77,84.74,84.7475,32
9/14/2018 4:26:00 PM,84.77,84.77,84.77,84.77,0
9/14/2018 4:25:00 PM,84.77,84.77,84.77,84.77,142
9/14/2018 4:24:00 PM,84.76,84.7725,84.76,84.77,19
9/14/2018 4:23:00 PM,84.77,84.77,84.76,84.76,40
9/14/2018 4:22:00 PM,84.785,84.7875,84.77,84.77,34
9/14/2018 4:21:00 PM,84.8125,84.8125,84.785,84.785,3
9/14/2018 4:20:00 PM,84.7975,84.8125,84.7975,84.8125,5
9/14/2018 4:19:00 PM,84.79,84.7975,84.79,84.7975,1
9/14/2018 4:18:00 PM,84.8275,84.8275,84.78,84.79,20
9/14/2018 4:17:00 PM,84.8275,84.8275,84.8275,84.8275,0
9/14/2018 4:16:00 PM,84.8275,84.8275,84.8275,84.8275,0
9/14/2018 4:15:00 PM,84.875,84.875,84.8275,84.8275,1
9/14/2018 4:14:00 PM,84.875,84.875,84.875,84.875,0
9/14/2018 4:13:00 PM,84.84,84.875,84.84,84.875,38
9/14/2018 4:12:00 PM,84.825,84.84,84.825,84.84,50
9/14/2018 4:11:00 PM,84.8025,84.825,84.8025,84.825,1
9/14/2018 4:10:00 PM,84.8075,84.8075,84.8025,84.8025,18
9/14/2018 4:09:00 PM,84.805,84.81,84.805,84.8075,11
9/14/2018 4:08:00 PM,84.805,84.805,84.805,84.805,0
9/14/2018 4:07:00 PM,84.8225,84.8225,84.8025,84.805,6
9/14/2018 4:06:00 PM,84.8225,84.8225,84.8225,84.8225,0
9/14/2018 4:05:00 PM,84.8225,84.8225,84.8125,84.8225,19
9/14/2018 4:04:00 PM,84.8225,84.8225,84.8225,84.8225,0
9/14/2018 4:03:00 PM,84.83,84.83,84.82,84.8225,203
9/14/2018 4:02:00 PM,84.85,84.85,84.83,84.83,10
