Date,EURINR18SEPFUT O,EURINR18SEPFUT H,EURINR18SEPFUT L,EURINR18SEPFUT C,EURINR18SEPFUT V
9/14/2018 4:59:00 PM,84.23,84.23,84.2125,84.23,665
9/14/2018 4:58:00 PM,84.235,84.2375,84.22,84.23,660
9/14/2018 4:57:00 PM,84.24,84.24,84.2325,84.235,24
9/14/2018 4:56:00 PM,84.2325,84.24,84.2325,84.24,81
9/14/2018 4:55:00 PM,84.2325,84.2375,84.23,84.2325,52
9/14/2018 4:54:00 PM,84.2275,84.24,84.2275,84.2325,100
9/14/2018 4:53:00 PM,84.26,84.26,84.2275,84.2275,252
9/14/2018 4:52:00 PM,84.255,84.26,84.2525,84.26,156
9/14/2018 4:51:00 PM,84.27,84.2725,84.255,84.255,72
9/14/2018 4:50:00 PM,84.29,84.295,84.27,84.27,81
9/14/2018 4:49:00 PM,84.285,84.295,84.285,84.29,47
9/14/2018 4:48:00 PM,84.285,84.285,84.28,84.285,15
9/14/2018 4:47:00 PM,84.2625,84.3,84.2625,84.285,275
9/14/2018 4:46:00 PM,84.2675,84.275,84.26,84.2625,277
9/14/2018 4:45:00 PM,84.27,84.27,84.2575,84.2675,101
9/14/2018 4:44:00 PM,84.2675,84.275,84.26,84.265,73
9/14/2018 4:43:00 PM,84.245,84.27,84.24,84.2675,113
9/14/2018 4:42:00 PM,84.23,84.2475,84.23,84.245,225
9/14/2018 4:41:00 PM,84.2175,84.23,84.2175,84.23,87
9/14/2018 4:40:00 PM,84.1975,84.2175,84.1975,84.2175,70
9/14/2018 4:39:00 PM,84.2075,84.2075,84.1975,84.1975,32
9/14/2018 4:38:00 PM,84.205,84.2075,84.1925,84.2075,65
9/14/2018 4:37:00 PM,84.205,84.205,84.2025,84.205,4
9/14/2018 4:36:00 PM,84.205,84.215,84.19,84.205,38
9/14/2018 4:35:00 PM,84.2375,84.2375,84.195,84.205,202
9/14/2018 4:34:00 PM,84.2225,84.24,84.2225,84.2375,76
9/14/2018 4:33:00 PM,84.2275,84.2425,84.22,84.2225,368
9/14/2018 4:32:00 PM,84.2275,84.24,84.2225,84.2275,490
9/14/2018 4:31:00 PM,84.2225,84.24,84.2225,84.24,63
9/14/2018 4:30:00 PM,84.2075,84.2225,84.2075,84.2225,56
9/14/2018 4:29:00 PM,84.17,84.21,84.17,84.21,177
9/14/2018 4:28:00 PM,84.1875,84.205,84.16,84.17,361
