Date,EURUSD18OCTFUT O,EURUSD18OCTFUT H,EURUSD18OCTFUT L,EURUSD18OCTFUT C,EURUSD18OCTFUT V
9/14/2018 7:29:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:28:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:27:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:26:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:25:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:24:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:23:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:22:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:21:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:20:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:19:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:18:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:17:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:16:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:15:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:14:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:13:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:12:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:11:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:10:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:09:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:08:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:07:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:06:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:05:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:04:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:03:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:02:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:01:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 7:00:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:59:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:58:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:57:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:56:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:55:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:54:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:53:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:52:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:51:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:50:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:49:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:48:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:47:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:46:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:45:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:44:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:43:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:42:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:41:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:40:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:39:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:38:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:37:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:36:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:35:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:34:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:33:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:32:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:31:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:30:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:29:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:28:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:27:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:26:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:25:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:24:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:23:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:22:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:21:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:20:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:19:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:18:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:17:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:16:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:15:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:14:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:13:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:12:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:11:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:10:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:09:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:08:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:07:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:06:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:05:00 PM,1.1724,1.1724,1.1724,1.1724,0
9/14/2018 6:04:00 PM,1.1744,1.1744,1.1724,1.1724,30
9/14/2018 6:03:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 6:02:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 6:01:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 6:00:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:59:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:58:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:57:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:56:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:55:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:54:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:53:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:52:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:51:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:50:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:49:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:48:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:47:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:46:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:45:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:44:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:43:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:42:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:41:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:40:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:39:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:38:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:37:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:36:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:35:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:34:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:33:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:32:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:31:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:30:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:29:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:28:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:27:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:26:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:25:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:24:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:23:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:22:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:21:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:20:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:19:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:18:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:17:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:16:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:15:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:14:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:13:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:12:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:11:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:10:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:09:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:08:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:07:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:06:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:05:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:04:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:03:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:02:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:01:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 5:00:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:59:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:58:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:57:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:56:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:55:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:54:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:53:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:52:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:51:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:50:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:49:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:48:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:47:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:46:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:45:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:44:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:43:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:42:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:41:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:40:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:39:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:38:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:37:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:36:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:35:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:34:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:33:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:32:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:31:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:30:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:29:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:28:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:27:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:26:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:25:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:24:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:23:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:22:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:21:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:20:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:19:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:18:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:17:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:16:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:15:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:14:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:13:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:12:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:11:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:10:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:09:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:08:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:07:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:06:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:05:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:04:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:03:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:02:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:01:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 4:00:00 PM,1.1744,1.1744,1.1744,1.1744,0
9/14/2018 3:59:00 PM,1.1744,1.1744,1.1744,1.1744,0
