Date,EURUSD18SEPFUT O,EURUSD18SEPFUT H,EURUSD18SEPFUT L,EURUSD18SEPFUT C,EURUSD18SEPFUT V
9/14/2018 7:29:00 PM,1.1675,1.1675,1.1675,1.1675,5
9/14/2018 7:28:00 PM,1.1674,1.1676,1.1674,1.1675,101
9/14/2018 7:27:00 PM,1.1674,1.1675,1.1674,1.1674,7
9/14/2018 7:26:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 7:25:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 7:24:00 PM,1.1677,1.1677,1.1676,1.1676,211
9/14/2018 7:23:00 PM,1.1678,1.1678,1.1677,1.1677,32
9/14/2018 7:22:00 PM,1.1677,1.1678,1.1677,1.1678,2
9/14/2018 7:21:00 PM,1.168,1.168,1.1677,1.1677,50
9/14/2018 7:20:00 PM,1.168,1.168,1.168,1.168,0
9/14/2018 7:19:00 PM,1.168,1.168,1.168,1.168,250
9/14/2018 7:18:00 PM,1.168,1.168,1.168,1.168,144
9/14/2018 7:17:00 PM,1.168,1.168,1.168,1.168,0
9/14/2018 7:16:00 PM,1.1679,1.1682,1.1679,1.168,510
9/14/2018 7:15:00 PM,1.1679,1.1679,1.1679,1.1679,30
9/14/2018 7:14:00 PM,1.1678,1.168,1.1678,1.1679,260
9/14/2018 7:13:00 PM,1.1678,1.1678,1.1678,1.1678,1
9/14/2018 7:12:00 PM,1.1678,1.1678,1.1678,1.1678,2
9/14/2018 7:11:00 PM,1.1678,1.1678,1.1677,1.1677,62
9/14/2018 7:10:00 PM,1.1678,1.1678,1.1678,1.1678,0
9/14/2018 7:09:00 PM,1.168,1.168,1.1676,1.1678,10
9/14/2018 7:08:00 PM,1.168,1.168,1.168,1.168,0
9/14/2018 7:07:00 PM,1.168,1.168,1.168,1.168,0
9/14/2018 7:06:00 PM,1.168,1.168,1.168,1.168,0
9/14/2018 7:05:00 PM,1.1676,1.168,1.1676,1.168,2
9/14/2018 7:04:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 7:03:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 7:02:00 PM,1.1675,1.1676,1.1675,1.1676,2
9/14/2018 7:01:00 PM,1.1677,1.1677,1.1675,1.1675,63
9/14/2018 7:00:00 PM,1.1677,1.1677,1.1677,1.1677,0
9/14/2018 6:59:00 PM,1.1677,1.1677,1.1677,1.1677,0
9/14/2018 6:58:00 PM,1.1673,1.1677,1.1673,1.1677,5
9/14/2018 6:57:00 PM,1.1673,1.1673,1.1673,1.1673,0
9/14/2018 6:56:00 PM,1.1673,1.1673,1.1673,1.1673,0
9/14/2018 6:55:00 PM,1.1673,1.1673,1.1673,1.1673,0
9/14/2018 6:54:00 PM,1.1675,1.1675,1.1673,1.1673,3
9/14/2018 6:53:00 PM,1.1672,1.1675,1.1672,1.1675,4
9/14/2018 6:52:00 PM,1.1676,1.1676,1.1672,1.1672,3
9/14/2018 6:51:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 6:50:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 6:49:00 PM,1.1676,1.1676,1.1676,1.1676,0
9/14/2018 6:48:00 PM,1.1678,1.1678,1.1676,1.1676,2
9/14/2018 6:47:00 PM,1.1679,1.1679,1.1678,1.1678,2
9/14/2018 6:46:00 PM,1.1674,1.1681,1.1674,1.1679,28
9/14/2018 6:45:00 PM,1.1674,1.1674,1.1674,1.1674,0
9/14/2018 6:44:00 PM,1.1674,1.1674,1.1674,1.1674,0
9/14/2018 6:43:00 PM,1.1674,1.1674,1.1674,1.1674,0
9/14/2018 6:42:00 PM,1.1674,1.1674,1.1674,1.1674,0
9/14/2018 6:41:00 PM,1.1671,1.1674,1.1671,1.1674,4
9/14/2018 6:40:00 PM,1.1673,1.1673,1.1671,1.1671,9
9/14/2018 6:39:00 PM,1.1675,1.1675,1.1673,1.1673,50
9/14/2018 6:38:00 PM,1.1672,1.1675,1.1672,1.1675,51
9/14/2018 6:37:00 PM,1.1672,1.1672,1.1672,1.1672,0
9/14/2018 6:36:00 PM,1.1678,1.1678,1.1672,1.1672,2
9/14/2018 6:35:00 PM,1.1678,1.1678,1.1678,1.1678,0
9/14/2018 6:34:00 PM,1.1678,1.1678,1.1678,1.1678,5
9/14/2018 6:33:00 PM,1.1676,1.1678,1.1676,1.1678,96
9/14/2018 6:32:00 PM,1.1678,1.1678,1.1676,1.1676,3
9/14/2018 6:31:00 PM,1.1675,1.1678,1.1675,1.1678,3
9/14/2018 6:30:00 PM,1.1677,1.1677,1.1675,1.1675,1
9/14/2018 6:29:00 PM,1.1685,1.1685,1.1677,1.1677,407
9/14/2018 6:28:00 PM,1.1689,1.1689,1.1685,1.1685,42
9/14/2018 6:27:00 PM,1.1688,1.1689,1.1688,1.1689,4
9/14/2018 6:26:00 PM,1.169,1.169,1.1688,1.1688,4
9/14/2018 6:25:00 PM,1.1689,1.169,1.1689,1.169,100
9/14/2018 6:24:00 PM,1.1689,1.1689,1.1689,1.1689,0
9/14/2018 6:23:00 PM,1.1689,1.1689,1.1689,1.1689,0
9/14/2018 6:22:00 PM,1.1689,1.1689,1.1689,1.1689,0
9/14/2018 6:21:00 PM,1.1688,1.1689,1.1688,1.1689,254
9/14/2018 6:20:00 PM,1.1689,1.1689,1.1688,1.1688,5
