Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
9/14/2018 3:29:00 PM,77.7,77.8,77.7,77.7,19904
9/14/2018 3:28:00 PM,77.75,77.75,77.65,77.7,16825
9/14/2018 3:27:00 PM,77.85,77.9,77.7,77.75,61552
9/14/2018 3:26:00 PM,77.8,77.85,77.75,77.8,24840
9/14/2018 3:25:00 PM,77.95,77.95,77.75,77.8,44432
9/14/2018 3:24:00 PM,77.85,77.9,77.75,77.9,65215
9/14/2018 3:23:00 PM,77.85,77.9,77.75,77.8,55797
9/14/2018 3:22:00 PM,77.85,77.9,77.8,77.85,34183
9/14/2018 3:21:00 PM,77.9,77.9,77.8,77.9,27190
9/14/2018 3:20:00 PM,77.95,77.95,77.85,77.9,47676
9/14/2018 3:19:00 PM,77.85,77.95,77.85,77.9,16499
9/14/2018 3:18:00 PM,77.9,77.95,77.85,77.9,32733
9/14/2018 3:17:00 PM,77.9,77.95,77.85,77.9,34742
9/14/2018 3:16:00 PM,77.8,77.95,77.8,77.9,58013
9/14/2018 3:15:00 PM,77.85,77.85,77.75,77.8,44663
9/14/2018 3:14:00 PM,77.85,77.85,77.75,77.85,38582
9/14/2018 3:13:00 PM,77.9,77.9,77.8,77.8,27264
9/14/2018 3:12:00 PM,77.8,77.85,77.8,77.85,22369
9/14/2018 3:11:00 PM,77.85,77.9,77.8,77.85,20467
9/14/2018 3:10:00 PM,77.8,77.85,77.8,77.8,34484
9/14/2018 3:09:00 PM,77.9,77.9,77.8,77.8,15571
9/14/2018 3:08:00 PM,77.85,77.9,77.8,77.9,12194
9/14/2018 3:07:00 PM,77.9,77.95,77.85,77.9,42675
9/14/2018 3:06:00 PM,77.8,77.9,77.8,77.85,28731
9/14/2018 3:05:00 PM,77.8,77.85,77.75,77.8,23588
9/14/2018 3:04:00 PM,77.8,77.85,77.75,77.8,10162
9/14/2018 3:03:00 PM,77.8,77.85,77.8,77.8,15133
9/14/2018 3:02:00 PM,77.85,77.9,77.8,77.85,37129
9/14/2018 3:01:00 PM,77.8,77.9,77.8,77.85,40779
9/14/2018 3:00:00 PM,77.75,77.85,77.7,77.8,37052
9/14/2018 2:59:00 PM,77.8,77.8,77.75,77.75,15607
9/14/2018 2:58:00 PM,77.75,77.8,77.65,77.8,21690
9/14/2018 2:57:00 PM,77.7,77.75,77.7,77.75,9027
9/14/2018 2:56:00 PM,77.75,77.75,77.7,77.7,18438
9/14/2018 2:55:00 PM,77.7,77.75,77.65,77.75,37883
9/14/2018 2:54:00 PM,77.7,77.7,77.65,77.7,12515
9/14/2018 2:53:00 PM,77.65,77.7,77.65,77.7,10962
9/14/2018 2:52:00 PM,77.6,77.7,77.6,77.65,51987
9/14/2018 2:51:00 PM,77.6,77.6,77.55,77.6,5393
9/14/2018 2:50:00 PM,77.65,77.65,77.55,77.6,24231
9/14/2018 2:49:00 PM,77.65,77.65,77.55,77.6,13731
9/14/2018 2:48:00 PM,77.65,77.7,77.6,77.65,21990
9/14/2018 2:47:00 PM,77.6,77.7,77.6,77.65,25157
9/14/2018 2:46:00 PM,77.7,77.7,77.6,77.6,19124
9/14/2018 2:45:00 PM,77.65,77.75,77.65,77.7,22047
