Date,GAIL-EQ O,GAIL-EQ H,GAIL-EQ L,GAIL-EQ C,GAIL-EQ V
9/14/2018 3:29:00 PM,370.05,370.25,369.55,369.55,26592
9/14/2018 3:28:00 PM,369.7,370,369.7,370,15016
9/14/2018 3:27:00 PM,369.8,370,369.6,369.75,15600
9/14/2018 3:26:00 PM,369.8,370,369.75,369.95,25061
9/14/2018 3:25:00 PM,369.7,369.95,369.55,369.8,22533
9/14/2018 3:24:00 PM,369.85,370,369.5,369.7,28656
9/14/2018 3:23:00 PM,369.8,370.05,369.8,370,45562
9/14/2018 3:22:00 PM,369.85,369.95,369.8,369.8,12780
9/14/2018 3:21:00 PM,369.85,370,369.75,369.95,22943
9/14/2018 3:20:00 PM,369.9,369.9,369.5,369.85,22724
9/14/2018 3:19:00 PM,369.9,370,369.7,369.95,21504
9/14/2018 3:18:00 PM,369.85,370.1,369.6,369.9,44978
9/14/2018 3:17:00 PM,369.8,369.9,369.6,369.65,16206
9/14/2018 3:16:00 PM,370,370.05,369.65,369.8,36134
9/14/2018 3:15:00 PM,370.1,370.15,369.85,370.05,28400
9/14/2018 3:14:00 PM,369.4,370.15,369.3,370.1,38641
9/14/2018 3:13:00 PM,369.6,369.85,369.35,369.4,15596
9/14/2018 3:12:00 PM,369.8,370,369.6,369.7,30459
9/14/2018 3:11:00 PM,369.7,369.85,369.5,369.8,25267
9/14/2018 3:10:00 PM,369.25,369.85,369.15,369.65,35697
9/14/2018 3:09:00 PM,369.9,370,369.1,369.25,41269
9/14/2018 3:08:00 PM,370.15,370.2,369.75,370,33203
9/14/2018 3:07:00 PM,370.4,370.45,370.15,370.15,24447
9/14/2018 3:06:00 PM,370.2,370.45,370.2,370.45,23108
9/14/2018 3:05:00 PM,370.2,370.25,370,370.15,32054
9/14/2018 3:04:00 PM,370.45,370.5,370.2,370.25,39567
9/14/2018 3:03:00 PM,370.7,370.75,370.45,370.45,17626
9/14/2018 3:02:00 PM,370.65,370.85,370.4,370.85,34456
9/14/2018 3:01:00 PM,370.4,370.9,370.4,370.65,28808
9/14/2018 3:00:00 PM,370.2,370.45,370.15,370.45,31446
9/14/2018 2:59:00 PM,370.35,370.85,370.2,370.2,42419
9/14/2018 2:58:00 PM,370.4,370.45,370.3,370.3,8469
9/14/2018 2:57:00 PM,370.45,370.5,370.4,370.45,8052
9/14/2018 2:56:00 PM,370.1,370.45,370.1,370.4,5677
9/14/2018 2:55:00 PM,370.65,370.65,370.05,370.1,43283
9/14/2018 2:54:00 PM,370.45,370.65,370.4,370.65,6204
9/14/2018 2:53:00 PM,370.4,370.45,370.35,370.45,8094
9/14/2018 2:52:00 PM,370.4,370.5,370.35,370.35,7790
9/14/2018 2:51:00 PM,370.4,370.45,370.4,370.4,3466
9/14/2018 2:50:00 PM,370.2,370.5,370.15,370.4,14089
9/14/2018 2:49:00 PM,370.6,370.6,370.15,370.15,4300
9/14/2018 2:48:00 PM,370.4,370.6,370.2,370.6,19929
9/14/2018 2:47:00 PM,370.45,370.45,370.4,370.4,4810
9/14/2018 2:46:00 PM,370.3,370.55,370.3,370.4,10742
9/14/2018 2:45:00 PM,370.65,370.7,370.1,370.25,25032
9/14/2018 2:44:00 PM,370.5,370.7,370.5,370.65,8647
9/14/2018 2:43:00 PM,370.6,370.85,370.5,370.5,19710
9/14/2018 2:42:00 PM,370.75,371,370.55,370.55,10257
9/14/2018 2:41:00 PM,370.4,370.9,370.3,370.75,9670
9/14/2018 2:40:00 PM,370.75,370.75,370.35,370.35,5624
9/14/2018 2:39:00 PM,370.9,370.9,370.75,370.75,5875
9/14/2018 2:38:00 PM,370.9,370.9,370.85,370.9,1647
9/14/2018 2:37:00 PM,370.6,370.9,370.55,370.85,4463
9/14/2018 2:36:00 PM,371.05,371.05,370.3,370.6,16504
9/14/2018 2:35:00 PM,370.55,371.2,370.5,371,16893
9/14/2018 2:34:00 PM,370.9,370.9,370.5,370.5,7473
9/14/2018 2:33:00 PM,371.4,371.4,370.8,370.95,9703
9/14/2018 2:32:00 PM,371.35,371.4,371.35,371.4,2083
9/14/2018 2:31:00 PM,371.15,371.5,371.1,371.35,7480
9/14/2018 2:30:00 PM,371.65,371.7,371.1,371.1,21113
9/14/2018 2:29:00 PM,371.85,372.15,371.65,371.65,30932
9/14/2018 2:28:00 PM,371.6,371.9,371.55,371.85,8233
9/14/2018 2:27:00 PM,371.6,371.85,371.45,371.6,15879
9/14/2018 2:26:00 PM,370.95,371.6,370.9,371.6,26768
9/14/2018 2:25:00 PM,370.8,370.95,370.8,370.9,2904
9/14/2018 2:24:00 PM,370.85,370.85,370.65,370.8,5219
9/14/2018 2:23:00 PM,371.05,371.05,370.85,370.85,8163
9/14/2018 2:22:00 PM,370.9,371.4,370.9,371,25466
9/14/2018 2:21:00 PM,370.85,371,370.8,370.9,3948
9/14/2018 2:20:00 PM,370.85,370.85,370.6,370.8,10870
9/14/2018 2:19:00 PM,371.15,371.2,370.8,370.9,23683
9/14/2018 2:18:00 PM,370.65,371.15,370.6,371.15,10256
9/14/2018 2:17:00 PM,371.25,371.25,370.3,370.65,33725
