Date,GBPINR18OCTFUT O,GBPINR18OCTFUT H,GBPINR18OCTFUT L,GBPINR18OCTFUT C,GBPINR18OCTFUT V
9/14/2018 4:59:00 PM,94.95,94.9525,94.92,94.92,7
9/14/2018 4:58:00 PM,94.955,94.96,94.95,94.95,65
9/14/2018 4:57:00 PM,94.95,94.9525,94.95,94.9525,5
9/14/2018 4:56:00 PM,94.95,94.95,94.9425,94.95,4
9/14/2018 4:55:00 PM,94.95,94.95,94.95,94.95,44
9/14/2018 4:54:00 PM,94.93,94.95,94.93,94.95,2
9/14/2018 4:53:00 PM,94.96,94.96,94.93,94.93,18
9/14/2018 4:52:00 PM,94.9575,94.96,94.9575,94.96,1
9/14/2018 4:51:00 PM,95.015,95.015,94.9575,94.9575,50
9/14/2018 4:50:00 PM,95.01,95.015,95.01,95.015,45
9/14/2018 4:49:00 PM,95.01,95.015,95.01,95.01,6
9/14/2018 4:48:00 PM,95,95.01,95,95.01,3
9/14/2018 4:47:00 PM,94.985,95,94.9775,95,43
9/14/2018 4:46:00 PM,94.975,94.985,94.975,94.985,1
9/14/2018 4:45:00 PM,94.9725,94.975,94.9675,94.975,3
9/14/2018 4:44:00 PM,94.96,94.9725,94.96,94.9725,21
9/14/2018 4:43:00 PM,94.94,94.96,94.94,94.96,1
9/14/2018 4:42:00 PM,94.92,94.94,94.92,94.94,11
9/14/2018 4:41:00 PM,94.92,94.93,94.91,94.92,72
9/14/2018 4:40:00 PM,94.9125,94.92,94.9125,94.92,20
9/14/2018 4:39:00 PM,94.91,94.9125,94.91,94.9125,1
9/14/2018 4:38:00 PM,94.92,94.92,94.91,94.91,5
9/14/2018 4:37:00 PM,94.9,94.92,94.9,94.92,20
9/14/2018 4:36:00 PM,94.93,94.93,94.9,94.9,37
9/14/2018 4:35:00 PM,94.93,94.93,94.93,94.93,0
9/14/2018 4:34:00 PM,94.95,94.95,94.93,94.93,11
9/14/2018 4:33:00 PM,94.94,94.95,94.935,94.95,8
9/14/2018 4:32:00 PM,94.9475,94.955,94.935,94.94,32
9/14/2018 4:31:00 PM,94.9325,94.95,94.9325,94.9475,2
9/14/2018 4:30:00 PM,94.91,94.94,94.91,94.9325,21
9/14/2018 4:29:00 PM,94.85,94.91,94.85,94.91,27
9/14/2018 4:28:00 PM,94.89,94.89,94.8425,94.85,40
9/14/2018 4:27:00 PM,94.9425,94.9425,94.8875,94.89,39
9/14/2018 4:26:00 PM,94.9175,94.9425,94.9175,94.9425,10
9/14/2018 4:25:00 PM,94.94,94.94,94.9175,94.9175,9
9/14/2018 4:24:00 PM,94.94,94.94,94.94,94.94,0
9/14/2018 4:23:00 PM,94.965,94.965,94.93,94.94,32
9/14/2018 4:22:00 PM,94.965,94.965,94.965,94.965,0
9/14/2018 4:21:00 PM,94.965,94.965,94.965,94.965,1
9/14/2018 4:20:00 PM,94.9675,94.9675,94.9675,94.9675,0
9/14/2018 4:19:00 PM,94.9775,94.9775,94.9675,94.9675,1
9/14/2018 4:18:00 PM,95.02,95.02,94.9475,94.9775,65
9/14/2018 4:17:00 PM,95.01,95.02,95.01,95.02,1
9/14/2018 4:16:00 PM,95.0475,95.0475,95.01,95.01,30
9/14/2018 4:15:00 PM,95.0475,95.0475,95.0475,95.0475,0
9/14/2018 4:14:00 PM,95.065,95.065,95.0475,95.0475,7
9/14/2018 4:13:00 PM,95.0075,95.07,95.0075,95.065,17
9/14/2018 4:12:00 PM,95.0075,95.0075,95.0075,95.0075,0
9/14/2018 4:11:00 PM,95.0075,95.0075,95.0075,95.0075,0
9/14/2018 4:10:00 PM,94.985,95.0075,94.985,95.0075,43
9/14/2018 4:09:00 PM,95,95,94.9825,94.985,78
9/14/2018 4:08:00 PM,94.9925,95,94.9925,95,1
9/14/2018 4:07:00 PM,95.01,95.01,94.9925,94.9925,33
9/14/2018 4:06:00 PM,95.0125,95.0125,95.01,95.01,1
9/14/2018 4:05:00 PM,95.0075,95.0125,95.005,95.0125,4
9/14/2018 4:04:00 PM,95.0275,95.0275,95.0075,95.0075,5
9/14/2018 4:03:00 PM,95.0275,95.0275,95.0275,95.0275,0
9/14/2018 4:02:00 PM,95.0275,95.0275,95.025,95.0275,12
9/14/2018 4:01:00 PM,95.05,95.05,95.0275,95.0275,5
9/14/2018 4:00:00 PM,95.06,95.06,95.05,95.05,12
9/14/2018 3:59:00 PM,95.0625,95.0625,95.06,95.06,1
9/14/2018 3:58:00 PM,95.0625,95.0625,95.0625,95.0625,0
9/14/2018 3:57:00 PM,95.065,95.065,95.0625,95.0625,1
9/14/2018 3:56:00 PM,95.065,95.0675,95.065,95.065,34
9/14/2018 3:55:00 PM,95.0675,95.0675,95.065,95.065,1
9/14/2018 3:54:00 PM,95.0575,95.08,95.0575,95.0675,14
9/14/2018 3:53:00 PM,95.0575,95.0575,95.0575,95.0575,0
9/14/2018 3:52:00 PM,95.0575,95.0575,95.0575,95.0575,1
