Date,GBPINR18SEPFUT O,GBPINR18SEPFUT H,GBPINR18SEPFUT L,GBPINR18SEPFUT C,GBPINR18SEPFUT V
9/14/2018 4:59:00 PM,94.415,94.4425,94.4,94.4,188
9/14/2018 4:58:00 PM,94.4325,94.485,94.415,94.415,342
9/14/2018 4:57:00 PM,94.44,94.44,94.4325,94.4325,86
9/14/2018 4:56:00 PM,94.45,94.4525,94.4325,94.44,94
9/14/2018 4:55:00 PM,94.43,94.45,94.43,94.45,133
9/14/2018 4:54:00 PM,94.44,94.44,94.425,94.43,81
9/14/2018 4:53:00 PM,94.455,94.4575,94.42,94.44,132
9/14/2018 4:52:00 PM,94.45,94.4575,94.45,94.455,145
9/14/2018 4:51:00 PM,94.465,94.47,94.45,94.45,272
9/14/2018 4:50:00 PM,94.505,94.5075,94.4575,94.4575,258
9/14/2018 4:49:00 PM,94.48,94.505,94.48,94.505,77
9/14/2018 4:48:00 PM,94.4975,94.4975,94.485,94.485,78
9/14/2018 4:47:00 PM,94.465,94.4975,94.4625,94.4975,390
9/14/2018 4:46:00 PM,94.4675,94.47,94.455,94.465,252
9/14/2018 4:45:00 PM,94.4675,94.4675,94.4475,94.4675,134
9/14/2018 4:44:00 PM,94.45,94.4675,94.45,94.46,124
9/14/2018 4:43:00 PM,94.425,94.4525,94.415,94.4525,65
9/14/2018 4:42:00 PM,94.405,94.4375,94.405,94.425,52
9/14/2018 4:41:00 PM,94.4,94.42,94.3975,94.405,79
9/14/2018 4:40:00 PM,94.3975,94.41,94.39,94.4,84
9/14/2018 4:39:00 PM,94.3925,94.3975,94.3925,94.3975,45
9/14/2018 4:38:00 PM,94.395,94.4,94.38,94.3925,50
9/14/2018 4:37:00 PM,94.405,94.41,94.395,94.395,56
9/14/2018 4:36:00 PM,94.4,94.405,94.38,94.405,49
9/14/2018 4:35:00 PM,94.4175,94.435,94.4,94.4,55
9/14/2018 4:34:00 PM,94.4125,94.44,94.4125,94.4175,29
9/14/2018 4:33:00 PM,94.435,94.445,94.41,94.4125,191
9/14/2018 4:32:00 PM,94.4425,94.4425,94.4225,94.435,332
9/14/2018 4:31:00 PM,94.4225,94.4425,94.4225,94.4375,93
9/14/2018 4:30:00 PM,94.4075,94.4225,94.4,94.4225,122
9/14/2018 4:29:00 PM,94.33,94.4075,94.3225,94.4075,257
9/14/2018 4:28:00 PM,94.37,94.375,94.325,94.33,228
9/14/2018 4:27:00 PM,94.4175,94.4175,94.37,94.37,254
9/14/2018 4:26:00 PM,94.405,94.4325,94.405,94.4175,64
9/14/2018 4:25:00 PM,94.425,94.4325,94.405,94.405,63
9/14/2018 4:24:00 PM,94.43,94.4375,94.42,94.425,89
9/14/2018 4:23:00 PM,94.42,94.43,94.405,94.43,345
9/14/2018 4:22:00 PM,94.4375,94.45,94.42,94.42,136
9/14/2018 4:21:00 PM,94.455,94.4575,94.4375,94.4375,62
9/14/2018 4:20:00 PM,94.45,94.4725,94.45,94.4575,45
9/14/2018 4:19:00 PM,94.47,94.47,94.45,94.45,172
9/14/2018 4:18:00 PM,94.5,94.5,94.4275,94.4575,299
9/14/2018 4:17:00 PM,94.495,94.51,94.495,94.5,138
9/14/2018 4:16:00 PM,94.5025,94.505,94.495,94.495,56
9/14/2018 4:15:00 PM,94.5275,94.5275,94.5025,94.5025,19
9/14/2018 4:14:00 PM,94.5425,94.5425,94.525,94.5275,9
9/14/2018 4:13:00 PM,94.54,94.56,94.53,94.5425,242
9/14/2018 4:12:00 PM,94.505,94.54,94.505,94.54,42
9/14/2018 4:11:00 PM,94.5,94.5125,94.5,94.505,7
9/14/2018 4:10:00 PM,94.485,94.4975,94.475,94.49,281
9/14/2018 4:09:00 PM,94.4775,94.485,94.465,94.485,359
9/14/2018 4:08:00 PM,94.48,94.49,94.4775,94.4775,33
9/14/2018 4:07:00 PM,94.5,94.5,94.48,94.48,397
9/14/2018 4:06:00 PM,94.5225,94.5225,94.5,94.5,196
9/14/2018 4:05:00 PM,94.5,94.5075,94.5,94.5075,126
9/14/2018 4:04:00 PM,94.52,94.52,94.5,94.5,78
9/14/2018 4:03:00 PM,94.52,94.53,94.5125,94.525,99
9/14/2018 4:02:00 PM,94.51,94.5225,94.5025,94.52,233
9/14/2018 4:01:00 PM,94.5225,94.5275,94.515,94.5175,73
9/14/2018 4:00:00 PM,94.5525,94.5525,94.5225,94.5225,22
9/14/2018 3:59:00 PM,94.5575,94.5575,94.545,94.5525,11
9/14/2018 3:58:00 PM,94.5475,94.5575,94.5475,94.5575,35
9/14/2018 3:57:00 PM,94.56,94.56,94.5475,94.5475,189
9/14/2018 3:56:00 PM,94.56,94.56,94.55,94.56,105
9/14/2018 3:55:00 PM,94.555,94.56,94.555,94.56,1
9/14/2018 3:54:00 PM,94.5425,94.5625,94.5425,94.555,93
9/14/2018 3:53:00 PM,94.545,94.55,94.5325,94.5425,167
9/14/2018 3:52:00 PM,94.5425,94.5475,94.5375,94.545,209
9/14/2018 3:51:00 PM,94.5375,94.55,94.535,94.5425,62
9/14/2018 3:50:00 PM,94.53,94.54,94.53,94.5375,8
9/14/2018 3:49:00 PM,94.55,94.55,94.53,94.53,9
9/14/2018 3:48:00 PM,94.5775,94.5775,94.545,94.55,55
9/14/2018 3:47:00 PM,94.58,94.58,94.56,94.5775,7
9/14/2018 3:46:00 PM,94.5825,94.59,94.58,94.58,356
9/14/2018 3:45:00 PM,94.5675,94.585,94.5675,94.5825,56
9/14/2018 3:44:00 PM,94.59,94.59,94.5675,94.5675,18
9/14/2018 3:43:00 PM,94.59,94.59,94.58,94.59,35
9/14/2018 3:42:00 PM,94.59,94.59,94.5825,94.59,52
9/14/2018 3:41:00 PM,94.6,94.6,94.59,94.59,61
9/14/2018 3:40:00 PM,94.5875,94.6,94.585,94.6,305
9/14/2018 3:39:00 PM,94.5825,94.595,94.58,94.5875,141
9/14/2018 3:38:00 PM,94.5775,94.5825,94.5625,94.5825,127
9/14/2018 3:37:00 PM,94.555,94.5775,94.5525,94.5775,165
9/14/2018 3:36:00 PM,94.5875,94.5875,94.555,94.555,90
9/14/2018 3:35:00 PM,94.58,94.6,94.575,94.5875,429
9/14/2018 3:34:00 PM,94.5825,94.59,94.545,94.58,342
9/14/2018 3:33:00 PM,94.5675,94.5875,94.5675,94.5775,235
9/14/2018 3:32:00 PM,94.5375,94.575,94.5375,94.555,336
9/14/2018 3:31:00 PM,94.5275,94.55,94.51,94.54,194
9/14/2018 3:30:00 PM,94.5025,94.53,94.5025,94.5275,117
9/14/2018 3:29:00 PM,94.525,94.525,94.495,94.5025,463
9/14/2018 3:28:00 PM,94.525,94.525,94.505,94.525,89
9/14/2018 3:27:00 PM,94.515,94.53,94.51,94.525,129
9/14/2018 3:26:00 PM,94.5225,94.5325,94.505,94.515,522
9/14/2018 3:25:00 PM,94.4675,94.525,94.4625,94.525,1106
9/14/2018 3:24:00 PM,94.415,94.4675,94.415,94.4675,740
9/14/2018 3:23:00 PM,94.4,94.42,94.4,94.4075,128
9/14/2018 3:22:00 PM,94.3925,94.4,94.3925,94.4,150
9/14/2018 3:21:00 PM,94.365,94.3925,94.365,94.3925,40
9/14/2018 3:20:00 PM,94.3825,94.3825,94.365,94.365,29
9/14/2018 3:19:00 PM,94.3825,94.385,94.3825,94.3825,22
9/14/2018 3:18:00 PM,94.3675,94.39,94.3675,94.3825,95
9/14/2018 3:17:00 PM,94.36,94.37,94.36,94.3675,58
9/14/2018 3:16:00 PM,94.3875,94.3875,94.3625,94.3625,34
9/14/2018 3:15:00 PM,94.3775,94.39,94.3775,94.3875,152
9/14/2018 3:14:00 PM,94.3825,94.4,94.3775,94.3775,171
9/14/2018 3:13:00 PM,94.37,94.3825,94.37,94.3825,38
9/14/2018 3:12:00 PM,94.3675,94.37,94.3675,94.37,24
9/14/2018 3:11:00 PM,94.3875,94.3875,94.3675,94.3675,41
9/14/2018 3:10:00 PM,94.36,94.3725,94.36,94.3725,25
9/14/2018 3:09:00 PM,94.36,94.36,94.35,94.36,9
9/14/2018 3:08:00 PM,94.37,94.3725,94.35,94.36,145
9/14/2018 3:07:00 PM,94.4,94.4,94.37,94.37,96
9/14/2018 3:06:00 PM,94.36,94.4075,94.36,94.4,535
9/14/2018 3:05:00 PM,94.3475,94.3625,94.3425,94.36,82
9/14/2018 3:04:00 PM,94.3575,94.3575,94.3425,94.3475,301
9/14/2018 3:03:00 PM,94.3675,94.3675,94.345,94.3575,127
9/14/2018 3:02:00 PM,94.365,94.3675,94.36,94.3675,87
9/14/2018 3:01:00 PM,94.365,94.3675,94.3575,94.365,56
9/14/2018 3:00:00 PM,94.34,94.365,94.34,94.365,62
9/14/2018 2:59:00 PM,94.3175,94.36,94.3175,94.34,73
9/14/2018 2:58:00 PM,94.32,94.32,94.3175,94.3175,1
9/14/2018 2:57:00 PM,94.31,94.32,94.3025,94.32,74
9/14/2018 2:56:00 PM,94.345,94.35,94.32,94.32,219
9/14/2018 2:55:00 PM,94.335,94.3475,94.335,94.345,37
9/14/2018 2:54:00 PM,94.335,94.335,94.3325,94.335,26
9/14/2018 2:53:00 PM,94.3475,94.3525,94.33,94.335,92
9/14/2018 2:52:00 PM,94.34,94.3475,94.3275,94.3475,25
9/14/2018 2:51:00 PM,94.325,94.34,94.3175,94.34,142
9/14/2018 2:50:00 PM,94.33,94.33,94.32,94.325,207
9/14/2018 2:49:00 PM,94.29,94.33,94.29,94.33,28
9/14/2018 2:48:00 PM,94.2925,94.2925,94.29,94.29,11
9/14/2018 2:47:00 PM,94.3,94.3,94.29,94.2925,87
9/14/2018 2:46:00 PM,94.31,94.31,94.3,94.3,18
9/14/2018 2:45:00 PM,94.3225,94.33,94.31,94.31,44
9/14/2018 2:44:00 PM,94.3025,94.3225,94.3,94.3225,19
9/14/2018 2:43:00 PM,94.28,94.3025,94.28,94.3025,217
9/14/2018 2:42:00 PM,94.29,94.29,94.2775,94.28,122
9/14/2018 2:41:00 PM,94.3,94.3175,94.29,94.29,109
9/14/2018 2:40:00 PM,94.315,94.315,94.29,94.3,44
9/14/2018 2:39:00 PM,94.32,94.32,94.3025,94.315,15
9/14/2018 2:38:00 PM,94.33,94.33,94.32,94.32,33
9/14/2018 2:37:00 PM,94.3175,94.33,94.315,94.33,105
9/14/2018 2:36:00 PM,94.32,94.3225,94.3125,94.3175,78
