Date,GLAXO-EQ O,GLAXO-EQ H,GLAXO-EQ L,GLAXO-EQ C,GLAXO-EQ V
9/14/2018 3:29:00 PM,1720,1722.05,1711.65,1711.65,194
9/14/2018 3:28:00 PM,1724,1724,1719.7,1720,169
9/14/2018 3:27:00 PM,1720,1724,1719.95,1722.55,188
9/14/2018 3:26:00 PM,1717,1720.8,1717,1720.8,145
9/14/2018 3:25:00 PM,1718,1718,1716,1717,163
9/14/2018 3:24:00 PM,1717,1718,1716.8,1718,48
9/14/2018 3:23:00 PM,1716.8,1718,1716.8,1717,63
9/14/2018 3:22:00 PM,1718,1718,1715.95,1716.8,292
9/14/2018 3:21:00 PM,1714,1719,1714,1718,286
9/14/2018 3:20:00 PM,1715,1715,1711.15,1714,120
9/14/2018 3:19:00 PM,1713.5,1715,1708,1715,314
9/14/2018 3:18:00 PM,1714,1714,1713.5,1713.5,48
9/14/2018 3:17:00 PM,1713,1714,1713,1714,81
9/14/2018 3:16:00 PM,1716.5,1719,1710,1710,190
9/14/2018 3:15:00 PM,1712.9,1716.5,1712.9,1716.5,86
9/14/2018 3:14:00 PM,1710.15,1712.9,1710.15,1712.9,33
9/14/2018 3:13:00 PM,1719.3,1719.35,1712.1,1712.1,1071
9/14/2018 3:12:00 PM,1717,1719.3,1717,1719.3,85
9/14/2018 3:11:00 PM,1717,1718.55,1717,1717,234
9/14/2018 3:10:00 PM,1720.85,1720.85,1717,1717,916
9/14/2018 3:09:00 PM,1720.15,1720.85,1720,1720.85,94
9/14/2018 3:08:00 PM,1720,1720.15,1720,1720.15,101
9/14/2018 3:07:00 PM,1719.5,1719.9,1718.35,1718.35,61
9/14/2018 3:06:00 PM,1720.5,1720.5,1719.5,1719.5,12
9/14/2018 3:05:00 PM,1720,1720.5,1719.9,1720.5,126
9/14/2018 3:04:00 PM,1720.5,1720.5,1719.8,1720,18
9/14/2018 3:03:00 PM,1720,1720.5,1720,1720.5,26
9/14/2018 3:02:00 PM,1720,1720,1720,1720,30
9/14/2018 3:01:00 PM,1720,1720,1720,1720,10
9/14/2018 3:00:00 PM,1718.4,1720,1718.4,1720,2
9/14/2018 2:59:00 PM,1720,1720,1718.4,1718.4,20
9/14/2018 2:58:00 PM,1720.9,1720.9,1720,1720,1
9/14/2018 2:57:00 PM,1720.9,1720.9,1720.9,1720.9,0
9/14/2018 2:56:00 PM,1720.9,1720.9,1720.9,1720.9,8
9/14/2018 2:55:00 PM,1720.9,1720.9,1720.9,1720.9,6
9/14/2018 2:54:00 PM,1721,1721,1720.9,1720.9,3
9/14/2018 2:53:00 PM,1721,1721,1721,1721,0
9/14/2018 2:52:00 PM,1720.6,1721,1720.6,1721,122
9/14/2018 2:51:00 PM,1718.9,1718.9,1718.8,1718.8,10
9/14/2018 2:50:00 PM,1720,1721,1720,1721,257
9/14/2018 2:49:00 PM,1718.1,1720.4,1718,1720.4,59
9/14/2018 2:48:00 PM,1717.7,1718.1,1717.7,1718.1,10
9/14/2018 2:47:00 PM,1717.1,1717.7,1717.1,1717.7,16
9/14/2018 2:46:00 PM,1716.8,1716.9,1715.1,1716.9,95
9/14/2018 2:45:00 PM,1716.8,1716.8,1716.8,1716.8,0
9/14/2018 2:44:00 PM,1716.8,1716.8,1716.8,1716.8,0
9/14/2018 2:43:00 PM,1716,1716.8,1716,1716.8,13
9/14/2018 2:42:00 PM,1716,1716.3,1714,1716,705
9/14/2018 2:41:00 PM,1720,1720,1716,1716,438
9/14/2018 2:40:00 PM,1718,1720,1718,1720,30
9/14/2018 2:39:00 PM,1718,1719.65,1718,1718,46
9/14/2018 2:38:00 PM,1718,1718,1717.9,1717.9,27
9/14/2018 2:37:00 PM,1719.7,1719.7,1718.3,1718.3,12
9/14/2018 2:36:00 PM,1719.7,1719.7,1719.7,1719.7,1
9/14/2018 2:35:00 PM,1718,1720,1718,1718.05,117
9/14/2018 2:34:00 PM,1719.1,1719.9,1719.1,1719.9,102
9/14/2018 2:33:00 PM,1719.8,1719.8,1719.1,1719.8,144
9/14/2018 2:32:00 PM,1720.15,1720.15,1719.8,1719.8,125
9/14/2018 2:31:00 PM,1720.15,1720.15,1720.15,1720.15,0
9/14/2018 2:30:00 PM,1720.1,1722,1720.1,1720.15,30
9/14/2018 2:29:00 PM,1720.1,1720.1,1720.1,1720.1,0
9/14/2018 2:28:00 PM,1721.95,1721.95,1720.1,1720.1,21
9/14/2018 2:27:00 PM,1721.95,1721.95,1721.95,1721.95,0
9/14/2018 2:26:00 PM,1721.95,1721.95,1721.95,1721.95,1
9/14/2018 2:25:00 PM,1721.95,1721.95,1721.95,1721.95,15
9/14/2018 2:24:00 PM,1721.9,1722,1720.05,1721.95,24
9/14/2018 2:23:00 PM,1721.95,1721.95,1719.7,1719.7,20
9/14/2018 2:22:00 PM,1720.05,1720.05,1720.05,1720.05,0
9/14/2018 2:21:00 PM,1721.95,1722,1720.05,1720.05,105
9/14/2018 2:20:00 PM,1720,1720,1720,1720,0
9/14/2018 2:19:00 PM,1724,1724,1720,1720,218
9/14/2018 2:18:00 PM,1724,1724,1724,1724,0
9/14/2018 2:17:00 PM,1724,1724,1724,1724,0
9/14/2018 2:16:00 PM,1724,1724,1724,1724,81
9/14/2018 2:15:00 PM,1722,1724,1722,1724,19
9/14/2018 2:14:00 PM,1723.95,1723.95,1722,1722,7
9/14/2018 2:13:00 PM,1724,1724,1723.95,1723.95,50
9/14/2018 2:12:00 PM,1724,1724,1724,1724,0
9/14/2018 2:11:00 PM,1724,1724,1724,1724,45
9/14/2018 2:10:00 PM,1724,1724,1723.55,1723.55,47
9/14/2018 2:09:00 PM,1723.55,1723.55,1723.55,1723.55,0
9/14/2018 2:08:00 PM,1723.55,1723.55,1723.55,1723.55,0
9/14/2018 2:07:00 PM,1723.55,1723.55,1723.55,1723.55,0
9/14/2018 2:06:00 PM,1723.55,1723.55,1723.55,1723.55,0
9/14/2018 2:05:00 PM,1723.55,1723.55,1723.55,1723.55,1
9/14/2018 2:04:00 PM,1723.55,1723.9,1723.55,1723.9,1
9/14/2018 2:03:00 PM,1723.55,1723.55,1723.55,1723.55,0
9/14/2018 2:02:00 PM,1723.55,1723.55,1723.55,1723.55,0
9/14/2018 2:01:00 PM,1723.85,1723.85,1723.55,1723.55,3
9/14/2018 2:00:00 PM,1723.9,1723.9,1723.9,1723.9,8
9/14/2018 1:59:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:58:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:57:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:56:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:55:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:54:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:53:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:52:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:51:00 PM,1721.6,1721.6,1721.6,1721.6,0
9/14/2018 1:50:00 PM,1721.8,1723.65,1721.6,1721.6,6
9/14/2018 1:49:00 PM,1721.8,1721.8,1721.8,1721.8,4
9/14/2018 1:48:00 PM,1726.25,1726.25,1721.9,1721.9,105
9/14/2018 1:47:00 PM,1725,1725,1724.25,1724.25,7
9/14/2018 1:46:00 PM,1725,1726.2,1725,1726.2,41
9/14/2018 1:45:00 PM,1724.4,1725.2,1724.4,1725,28
