Date,GLENMARK-EQ O,GLENMARK-EQ H,GLENMARK-EQ L,GLENMARK-EQ C,GLENMARK-EQ V
9/14/2018 3:29:00 PM,692.95,693,690,691.25,2584
9/14/2018 3:28:00 PM,692.7,693,692.65,693,3984
9/14/2018 3:27:00 PM,692.8,693,692,692.95,4204
9/14/2018 3:26:00 PM,692.75,692.9,692.3,692.9,4113
9/14/2018 3:25:00 PM,692.75,692.8,692.3,692.75,2217
9/14/2018 3:24:00 PM,692.55,692.95,692.35,692.75,6755
9/14/2018 3:23:00 PM,692.35,692.9,691.7,692.1,5651
9/14/2018 3:22:00 PM,692.8,693,692.8,693,1329
9/14/2018 3:21:00 PM,692.8,692.9,692.45,692.8,2913
9/14/2018 3:20:00 PM,692.15,692.8,692.15,692.8,4508
9/14/2018 3:19:00 PM,692,692.55,691.55,692.15,3819
9/14/2018 3:18:00 PM,691.95,692.7,691.95,692.05,2379
9/14/2018 3:17:00 PM,691.7,692.3,691.7,692.3,3914
9/14/2018 3:16:00 PM,691.4,692.35,691.05,691.7,9075
9/14/2018 3:15:00 PM,691.7,692,691.15,691.45,5193
9/14/2018 3:14:00 PM,691.5,691.95,691.45,691.7,4840
9/14/2018 3:13:00 PM,691.1,691.25,690.8,691.05,3143
9/14/2018 3:12:00 PM,692.1,692.2,691,691.05,4802
9/14/2018 3:11:00 PM,691.95,692.5,691.7,692.1,2491
9/14/2018 3:10:00 PM,691.95,692.4,691.55,692.4,2551
9/14/2018 3:09:00 PM,691.55,692.6,691.5,691.95,2651
9/14/2018 3:08:00 PM,691,691.6,691,691.6,1670
9/14/2018 3:07:00 PM,691.55,692.25,691,691,5422
9/14/2018 3:06:00 PM,691.05,692.05,691.05,692.05,2484
9/14/2018 3:05:00 PM,693.25,693.3,691.1,691.1,4122
9/14/2018 3:04:00 PM,693.5,693.6,693,693.6,2512
9/14/2018 3:03:00 PM,693.7,694,693.4,693.95,2653
9/14/2018 3:02:00 PM,693.45,693.7,693.2,693.7,2156
9/14/2018 3:01:00 PM,693.05,693.85,693,693.85,4583
9/14/2018 3:00:00 PM,691.3,693.45,691.3,693.45,6596
9/14/2018 2:59:00 PM,690.7,691.4,690.7,691.3,2093
9/14/2018 2:58:00 PM,690.85,691,690.6,690.7,1485
9/14/2018 2:57:00 PM,691,691.45,690.85,690.85,2467
9/14/2018 2:56:00 PM,691,691,690.65,691,2098
9/14/2018 2:55:00 PM,691.7,691.7,690.85,691,2346
9/14/2018 2:54:00 PM,691.55,691.7,691.55,691.7,1405
9/14/2018 2:53:00 PM,691.7,692,691.55,691.55,1873
9/14/2018 2:52:00 PM,691.55,692,691.5,691.7,3542
9/14/2018 2:51:00 PM,690.95,692,690.6,691.55,3960
9/14/2018 2:50:00 PM,689.95,691,689.95,690.95,7844
9/14/2018 2:49:00 PM,689.5,689.9,689.25,689.75,1893
9/14/2018 2:48:00 PM,689.7,689.7,689.25,689.5,851
9/14/2018 2:47:00 PM,689.35,689.7,689.15,689.7,1493
9/14/2018 2:46:00 PM,688.45,689.5,688.35,689.5,2365
9/14/2018 2:45:00 PM,688.5,688.7,688.05,688.45,931
9/14/2018 2:44:00 PM,688.5,688.5,687.85,688.5,863
9/14/2018 2:43:00 PM,688.45,688.5,688.25,688.5,272
9/14/2018 2:42:00 PM,688.7,688.7,688.45,688.45,254
9/14/2018 2:41:00 PM,688.2,688.8,688.2,688.7,1299
9/14/2018 2:40:00 PM,687.9,688.2,687.85,688.2,983
