Date,HCLTECH-EQ O,HCLTECH-EQ H,HCLTECH-EQ L,HCLTECH-EQ C,HCLTECH-EQ V
9/14/2018 3:29:00 PM,1071.05,1071.9,1070.25,1071.45,6115
9/14/2018 3:28:00 PM,1070.9,1071.5,1070.75,1071.05,2916
9/14/2018 3:27:00 PM,1070.65,1071.1,1070.4,1070.65,10993
9/14/2018 3:26:00 PM,1070.25,1071,1070.2,1070.65,8928
9/14/2018 3:25:00 PM,1070.85,1071.05,1070,1070.2,11042
9/14/2018 3:24:00 PM,1071.4,1072.15,1070.6,1070.8,18154
9/14/2018 3:23:00 PM,1071.15,1071.45,1071,1071.05,16036
9/14/2018 3:22:00 PM,1071.05,1071.7,1070.95,1071.1,8951
9/14/2018 3:21:00 PM,1070.65,1073.1,1070.65,1071,24548
9/14/2018 3:20:00 PM,1070.7,1071.45,1070.35,1070.7,13562
9/14/2018 3:19:00 PM,1070,1070.5,1070,1070.15,10198
9/14/2018 3:18:00 PM,1070.55,1070.55,1070,1070,10535
9/14/2018 3:17:00 PM,1070,1070.85,1070,1070.35,9999
9/14/2018 3:16:00 PM,1070,1070.8,1069.75,1070,16874
9/14/2018 3:15:00 PM,1070.1,1070.4,1069.95,1070,20273
9/14/2018 3:14:00 PM,1070.05,1070.15,1070,1070.1,9110
9/14/2018 3:13:00 PM,1070.15,1070.2,1070,1070.1,8509
9/14/2018 3:12:00 PM,1070,1071,1070,1070.2,10738
9/14/2018 3:11:00 PM,1071.2,1071.25,1070,1070,8600
9/14/2018 3:10:00 PM,1071,1071.65,1070.5,1071.2,9450
9/14/2018 3:09:00 PM,1070.6,1071,1070,1071,11305
9/14/2018 3:08:00 PM,1070.55,1071,1069.9,1070.55,8008
9/14/2018 3:07:00 PM,1070.35,1071,1069.95,1070.6,15218
9/14/2018 3:06:00 PM,1070.6,1071.85,1070.1,1070.35,13274
9/14/2018 3:05:00 PM,1070.95,1070.95,1070.25,1070.35,9989
9/14/2018 3:04:00 PM,1072.2,1072.25,1070.8,1071,10108
9/14/2018 3:03:00 PM,1072.65,1073,1071.65,1072.35,8787
9/14/2018 3:02:00 PM,1071.2,1072.65,1070.8,1072.65,9509
9/14/2018 3:01:00 PM,1072.7,1072.75,1071.05,1071.2,10082
9/14/2018 3:00:00 PM,1069.3,1073,1069.3,1072.6,12782
9/14/2018 2:59:00 PM,1069.45,1069.45,1069.3,1069.35,4099
9/14/2018 2:58:00 PM,1069.25,1069.45,1069.25,1069.45,1923
9/14/2018 2:57:00 PM,1069.7,1069.75,1069.2,1069.25,7635
9/14/2018 2:56:00 PM,1069.7,1069.75,1069.7,1069.7,4534
9/14/2018 2:55:00 PM,1069.85,1069.85,1069.7,1069.7,4953
9/14/2018 2:54:00 PM,1069.8,1070,1069.8,1069.85,2551
9/14/2018 2:53:00 PM,1069.4,1070,1069.3,1069.8,5693
9/14/2018 2:52:00 PM,1068.5,1070,1067.95,1069.4,98056
9/14/2018 2:51:00 PM,1069.05,1069.05,1068.5,1068.5,5164
9/14/2018 2:50:00 PM,1070,1070,1068.95,1068.95,4814
9/14/2018 2:49:00 PM,1069.45,1070,1069.05,1070,5252
9/14/2018 2:48:00 PM,1069.8,1069.8,1069,1069.45,5685
9/14/2018 2:47:00 PM,1068.6,1070,1068.6,1069.8,16155
9/14/2018 2:46:00 PM,1068.8,1068.8,1068.1,1068.6,9277
9/14/2018 2:45:00 PM,1067.8,1069.5,1067.8,1068.8,11738
9/14/2018 2:44:00 PM,1067.1,1067.9,1067.1,1067.8,5647
9/14/2018 2:43:00 PM,1066.55,1067.1,1066.5,1067.1,6013
9/14/2018 2:42:00 PM,1065.8,1066.75,1065.8,1066.55,17853
9/14/2018 2:41:00 PM,1065.7,1066.1,1065.7,1065.8,14356
9/14/2018 2:40:00 PM,1065.3,1066,1065.2,1065.75,5281
9/14/2018 2:39:00 PM,1065.9,1065.9,1065.3,1065.3,7166
9/14/2018 2:38:00 PM,1065.6,1066.15,1065.6,1065.9,7797
9/14/2018 2:37:00 PM,1067.1,1067.15,1065.6,1065.6,9817
9/14/2018 2:36:00 PM,1067.3,1067.7,1067.1,1067.1,9733
9/14/2018 2:35:00 PM,1067.35,1067.35,1067.15,1067.15,6424
9/14/2018 2:34:00 PM,1067.9,1067.9,1067.35,1067.35,6808
9/14/2018 2:33:00 PM,1067.55,1068,1067.5,1067.9,5387
9/14/2018 2:32:00 PM,1067.4,1067.6,1067.4,1067.5,5362
9/14/2018 2:31:00 PM,1068,1068,1067.4,1067.4,6812
9/14/2018 2:30:00 PM,1068.4,1068.45,1068.05,1068.05,7011
9/14/2018 2:29:00 PM,1068.05,1068.85,1068,1068.4,5952
9/14/2018 2:28:00 PM,1067.45,1068.2,1067.45,1068,6743
9/14/2018 2:27:00 PM,1067.85,1067.85,1067.45,1067.45,4175
9/14/2018 2:26:00 PM,1068.25,1068.25,1067.85,1067.85,4068
9/14/2018 2:25:00 PM,1067.95,1068.9,1067.95,1068.25,5577
9/14/2018 2:24:00 PM,1067.25,1068,1067.25,1067.95,5580
9/14/2018 2:23:00 PM,1067.15,1067.3,1067.15,1067.3,5115
9/14/2018 2:22:00 PM,1067.25,1067.35,1067.15,1067.15,7193
9/14/2018 2:21:00 PM,1067.5,1067.5,1067.25,1067.25,8433
9/14/2018 2:20:00 PM,1067.5,1067.55,1067.45,1067.45,4959
9/14/2018 2:19:00 PM,1067.55,1067.55,1067.5,1067.5,2922
9/14/2018 2:18:00 PM,1067.5,1067.55,1067.45,1067.55,6583
9/14/2018 2:17:00 PM,1068.35,1068.35,1067.5,1067.5,5318
9/14/2018 2:16:00 PM,1068.9,1068.9,1068.3,1068.3,5768
9/14/2018 2:15:00 PM,1067.1,1068.9,1067.1,1068.35,6539
