Date,HDFC-EQ O,HDFC-EQ H,HDFC-EQ L,HDFC-EQ C,HDFC-EQ V
9/14/2018 3:29:00 PM,1923,1925.85,1920,1920,6166
9/14/2018 3:28:00 PM,1926.05,1926.05,1923.65,1924.15,5604
9/14/2018 3:27:00 PM,1925.35,1926.95,1924.5,1926.05,15360
9/14/2018 3:26:00 PM,1925.3,1925.85,1923.4,1925.85,17723
9/14/2018 3:25:00 PM,1926.5,1926.85,1924.6,1925.85,19929
9/14/2018 3:24:00 PM,1924.15,1926.45,1924.1,1926.45,23821
9/14/2018 3:23:00 PM,1924.15,1925.25,1924,1924.15,20830
9/14/2018 3:22:00 PM,1926.4,1927.1,1924.4,1925.25,23743
9/14/2018 3:21:00 PM,1925.05,1927,1924.7,1926.3,18709
9/14/2018 3:20:00 PM,1925.6,1926.35,1923.7,1925.35,26765
9/14/2018 3:19:00 PM,1927,1927.45,1925.3,1926,24952
9/14/2018 3:18:00 PM,1927.6,1928.05,1926.15,1927.2,21695
9/14/2018 3:17:00 PM,1928.4,1928.85,1926.85,1927.6,29546
9/14/2018 3:16:00 PM,1928.45,1928.5,1925.7,1927.2,25227
9/14/2018 3:15:00 PM,1927.9,1928.55,1926.55,1927.4,27198
9/14/2018 3:14:00 PM,1926.5,1928.1,1925.7,1928.1,17563
9/14/2018 3:13:00 PM,1924.35,1926.55,1923.6,1926.55,18209
9/14/2018 3:12:00 PM,1924,1924.35,1922.75,1924.35,23991
9/14/2018 3:11:00 PM,1923.35,1924.35,1922.4,1924,21895
9/14/2018 3:10:00 PM,1924.45,1924.85,1923.3,1923.55,17544
9/14/2018 3:09:00 PM,1927.15,1927.15,1924,1924.45,21276
9/14/2018 3:08:00 PM,1925.6,1928.35,1925.6,1927.15,25872
9/14/2018 3:07:00 PM,1927.95,1927.95,1924.3,1926,25616
9/14/2018 3:06:00 PM,1927,1928.55,1926.6,1927.95,20339
9/14/2018 3:05:00 PM,1924.95,1927,1924.95,1926.85,29832
9/14/2018 3:04:00 PM,1924.75,1925,1924.75,1924.95,22981
9/14/2018 3:03:00 PM,1923.55,1925,1923.55,1924.75,15032
9/14/2018 3:02:00 PM,1924.2,1924.9,1923.95,1923.95,15847
9/14/2018 3:01:00 PM,1922.95,1924.9,1922.1,1924.9,17477
9/14/2018 3:00:00 PM,1920,1923.4,1919.9,1922.95,17644
9/14/2018 2:59:00 PM,1918.9,1920,1918.75,1920,9069
9/14/2018 2:58:00 PM,1917.05,1919.8,1917.05,1918.9,11961
9/14/2018 2:57:00 PM,1914.05,1917,1914,1917,12878
9/14/2018 2:56:00 PM,1915.85,1917,1913.4,1915.05,23417
9/14/2018 2:55:00 PM,1916.7,1917,1915.5,1915.85,7750
9/14/2018 2:54:00 PM,1915.9,1917,1915.85,1916.3,6525
9/14/2018 2:53:00 PM,1916.5,1916.5,1915.35,1915.9,11652
9/14/2018 2:52:00 PM,1917,1917.3,1916.3,1916.45,6598
9/14/2018 2:51:00 PM,1917.25,1917.7,1916.8,1917.3,9163
9/14/2018 2:50:00 PM,1917.7,1918,1917.15,1917.8,9365
9/14/2018 2:49:00 PM,1916.4,1917.8,1916.4,1917.8,6546
9/14/2018 2:48:00 PM,1918.5,1918.6,1916.3,1916.4,12823
9/14/2018 2:47:00 PM,1918.45,1918.65,1915.6,1918.5,19946
9/14/2018 2:46:00 PM,1917.65,1918.9,1915.55,1918.5,23032
9/14/2018 2:45:00 PM,1917.9,1918,1916.4,1917.65,12580
9/14/2018 2:44:00 PM,1919,1920,1917.65,1917.9,13993
9/14/2018 2:43:00 PM,1922.7,1922.75,1918.8,1919,10737
9/14/2018 2:42:00 PM,1922.25,1923.55,1922.25,1922.3,7619
9/14/2018 2:41:00 PM,1922,1922.95,1921.95,1922.95,9696
9/14/2018 2:40:00 PM,1923.35,1923.35,1921.45,1922,13630
9/14/2018 2:39:00 PM,1923.5,1923.55,1922.95,1923.15,8857
9/14/2018 2:38:00 PM,1923.5,1924.3,1922.9,1923.1,8483
9/14/2018 2:37:00 PM,1923.3,1923.5,1921.45,1923.5,10416
9/14/2018 2:36:00 PM,1924,1924,1922.6,1923.3,12668
9/14/2018 2:35:00 PM,1924.3,1924.4,1923.95,1924,5190
9/14/2018 2:34:00 PM,1924.95,1924.95,1924.3,1924.3,6072
9/14/2018 2:33:00 PM,1924.95,1925,1924.6,1924.95,14335
9/14/2018 2:32:00 PM,1924.95,1925,1924.75,1924.95,5923
9/14/2018 2:31:00 PM,1924.95,1925,1924.7,1924.9,8422
9/14/2018 2:30:00 PM,1924,1925,1924,1924.95,9836
9/14/2018 2:29:00 PM,1924.85,1924.85,1923.65,1924,5626
9/14/2018 2:28:00 PM,1924.2,1924.9,1924.2,1924.5,5964
