Date,HDFCBANK-EQ O,HDFCBANK-EQ H,HDFCBANK-EQ L,HDFCBANK-EQ C,HDFCBANK-EQ V
9/14/2018 3:29:00 PM,2027.25,2028.7,2025.25,2027.75,5282
9/14/2018 3:28:00 PM,2026.15,2028.05,2026,2027.4,5209
9/14/2018 3:27:00 PM,2026.65,2027,2025.75,2026.15,6179
9/14/2018 3:26:00 PM,2028.05,2028.15,2026.3,2026.65,3562
9/14/2018 3:25:00 PM,2028.45,2028.45,2028.05,2028.15,3377
9/14/2018 3:24:00 PM,2028.1,2029.3,2028.1,2028.45,5741
9/14/2018 3:23:00 PM,2028.2,2028.35,2028,2028.2,3482
9/14/2018 3:22:00 PM,2027.7,2028.5,2027.65,2028.35,3956
9/14/2018 3:21:00 PM,2028.5,2028.5,2027.55,2027.65,7800
9/14/2018 3:20:00 PM,2030,2030.05,2028.3,2028.5,5566
9/14/2018 3:19:00 PM,2028.6,2030.05,2028.6,2030.05,4129
9/14/2018 3:18:00 PM,2028.65,2029.4,2028.6,2028.6,6424
9/14/2018 3:17:00 PM,2027.85,2029,2027.85,2028.75,2847
9/14/2018 3:16:00 PM,2029.4,2029.8,2027.85,2027.85,5892
9/14/2018 3:15:00 PM,2030.5,2030.6,2028.95,2028.95,6314
9/14/2018 3:14:00 PM,2029,2030.6,2029,2030.45,3585
9/14/2018 3:13:00 PM,2028.4,2028.7,2028.4,2028.7,3176
9/14/2018 3:12:00 PM,2028.95,2028.95,2028.1,2028.4,4265
9/14/2018 3:11:00 PM,2029.3,2029.5,2028.9,2028.9,2470
9/14/2018 3:10:00 PM,2029,2029.8,2028.65,2029.45,5325
9/14/2018 3:09:00 PM,2033.25,2033.25,2028.25,2028.25,5194
9/14/2018 3:08:00 PM,2032.9,2033.1,2032.6,2032.6,4869
9/14/2018 3:07:00 PM,2032.3,2033.1,2032.2,2032.95,14557
9/14/2018 3:06:00 PM,2032.45,2032.55,2032,2032.2,2480
9/14/2018 3:05:00 PM,2031.6,2032.45,2031.05,2032.45,4849
9/14/2018 3:04:00 PM,2032.85,2032.85,2031.6,2031.6,2117
9/14/2018 3:03:00 PM,2032.7,2032.85,2031.6,2032.85,2175
9/14/2018 3:02:00 PM,2031.85,2032.7,2031.65,2032.7,3806
9/14/2018 3:01:00 PM,2030.65,2032.3,2030.45,2031.85,4796
9/14/2018 3:00:00 PM,2029.25,2030.75,2029.25,2030.15,4986
9/14/2018 2:59:00 PM,2029.5,2029.5,2029.15,2029.25,1522
9/14/2018 2:58:00 PM,2029.85,2029.85,2028.8,2028.8,2477
9/14/2018 2:57:00 PM,2030.85,2030.85,2029.8,2029.85,2299
9/14/2018 2:56:00 PM,2031.95,2031.95,2030.1,2030.85,3905
9/14/2018 2:55:00 PM,2032,2032.15,2031.95,2031.95,16351
9/14/2018 2:54:00 PM,2031.5,2032.15,2031.5,2032,3478
9/14/2018 2:53:00 PM,2031,2031.5,2031,2031.4,3045
9/14/2018 2:52:00 PM,2031.05,2031.15,2030.9,2031,8493
9/14/2018 2:51:00 PM,2031.05,2031.25,2030.9,2031,6855
9/14/2018 2:50:00 PM,2031,2031.15,2031,2031,2267
9/14/2018 2:49:00 PM,2031,2031.2,2031,2031,6675
9/14/2018 2:48:00 PM,2030.4,2031.25,2030.25,2031,13286
9/14/2018 2:47:00 PM,2030.05,2030.85,2030.05,2030.25,2495
9/14/2018 2:46:00 PM,2029.85,2030.4,2029.75,2030.05,7080
9/14/2018 2:45:00 PM,2029.8,2029.85,2029.7,2029.75,1950
9/14/2018 2:44:00 PM,2029.85,2029.85,2029.75,2029.8,1454
9/14/2018 2:43:00 PM,2029.9,2029.9,2029.75,2029.85,2209
9/14/2018 2:42:00 PM,2029.75,2029.9,2029.7,2029.85,1936
9/14/2018 2:41:00 PM,2029.8,2029.85,2029.7,2029.75,1571
9/14/2018 2:40:00 PM,2029.75,2029.85,2029.7,2029.75,1603
9/14/2018 2:39:00 PM,2029.65,2029.9,2029.65,2029.75,1373
9/14/2018 2:38:00 PM,2029.2,2029.75,2029.15,2029.65,1802
9/14/2018 2:37:00 PM,2029.75,2029.75,2028.1,2029.25,4037
9/14/2018 2:36:00 PM,2030.25,2030.35,2029.65,2029.65,2319
9/14/2018 2:35:00 PM,2030.4,2030.45,2030.25,2030.3,1909
9/14/2018 2:34:00 PM,2029.1,2030.45,2029.1,2030.15,2047
9/14/2018 2:33:00 PM,2028.8,2029.5,2028.55,2029.1,2506
9/14/2018 2:32:00 PM,2028.95,2029.45,2028.8,2028.8,3439
9/14/2018 2:31:00 PM,2029.5,2030,2028.95,2028.95,3717
9/14/2018 2:30:00 PM,2028.6,2029.5,2028.6,2029.5,2205
9/14/2018 2:29:00 PM,2027.4,2028.75,2027.4,2028.6,1899
9/14/2018 2:28:00 PM,2028,2028.1,2027.2,2027.4,5823
9/14/2018 2:27:00 PM,2028.7,2028.7,2028.15,2028.35,3891
9/14/2018 2:26:00 PM,2029.1,2029.1,2028.55,2028.7,2362
9/14/2018 2:25:00 PM,2030.2,2030.3,2028.45,2029.1,2397
9/14/2018 2:24:00 PM,2030.95,2030.95,2029.65,2030.2,3534
9/14/2018 2:23:00 PM,2031,2031,2030.25,2030.95,3263
9/14/2018 2:22:00 PM,2030.5,2031.75,2030.5,2031,3176
9/14/2018 2:21:00 PM,2031.3,2031.3,2030.3,2030.6,4448
9/14/2018 2:20:00 PM,2032,2032,2031.15,2031.3,1487
9/14/2018 2:19:00 PM,2032.45,2033,2032.2,2032.2,3634
