Date,HEROMOTOCO-EQ O,HEROMOTOCO-EQ H,HEROMOTOCO-EQ L,HEROMOTOCO-EQ C,HEROMOTOCO-EQ V
9/14/2018 3:29:00 PM,3185.4,3190.75,3184,3190.75,4558
9/14/2018 3:28:00 PM,3186.8,3186.95,3185,3186,744
9/14/2018 3:27:00 PM,3187,3187.4,3186.1,3186.8,999
9/14/2018 3:26:00 PM,3186.4,3187,3185.3,3187,1024
9/14/2018 3:25:00 PM,3186.3,3187,3186.05,3186.4,821
9/14/2018 3:24:00 PM,3186.45,3187.45,3185.85,3186.3,1007
9/14/2018 3:23:00 PM,3186,3188.95,3184.55,3186,1256
9/14/2018 3:22:00 PM,3187.9,3188.65,3185.35,3186,1386
9/14/2018 3:21:00 PM,3187.85,3188,3185.55,3187.5,1636
9/14/2018 3:20:00 PM,3187.4,3187.9,3186.6,3187.35,1368
9/14/2018 3:19:00 PM,3185.7,3187.9,3184.35,3187.3,1680
9/14/2018 3:18:00 PM,3183.45,3187.45,3182.6,3187.45,2328
9/14/2018 3:17:00 PM,3182.5,3184.05,3182.5,3183.2,1694
9/14/2018 3:16:00 PM,3184.7,3185.6,3181.3,3183.2,4724
9/14/2018 3:15:00 PM,3184.95,3185.75,3182.5,3184.7,2972
9/14/2018 3:14:00 PM,3186.65,3188.85,3184.7,3184.95,2477
9/14/2018 3:13:00 PM,3188.95,3189.65,3187,3187,1490
9/14/2018 3:12:00 PM,3189,3189,3184.55,3188.95,2450
9/14/2018 3:11:00 PM,3188.25,3189.95,3186.1,3189,1137
9/14/2018 3:10:00 PM,3189,3189,3186.75,3188.2,2049
9/14/2018 3:09:00 PM,3188.2,3190,3188.2,3189,2232
9/14/2018 3:08:00 PM,3187.3,3188.9,3187.3,3188.2,1817
9/14/2018 3:07:00 PM,3188,3188.45,3187.3,3187.45,1324
9/14/2018 3:06:00 PM,3188,3188,3187.2,3188,470
9/14/2018 3:05:00 PM,3189.75,3189.75,3187.5,3187.5,1721
9/14/2018 3:04:00 PM,3187.7,3190,3187.05,3189.7,810
9/14/2018 3:03:00 PM,3188,3188.75,3187.75,3188,1386
9/14/2018 3:02:00 PM,3189,3189.6,3187.35,3188,963
9/14/2018 3:01:00 PM,3186,3189,3185.75,3188.75,833
9/14/2018 3:00:00 PM,3182.35,3186,3182.35,3186,1409
9/14/2018 2:59:00 PM,3182.65,3182.7,3182,3182.35,746
9/14/2018 2:58:00 PM,3182.75,3182.75,3182.55,3182.65,152
9/14/2018 2:57:00 PM,3182,3183.35,3182,3182.75,377
9/14/2018 2:56:00 PM,3183.2,3184.15,3182,3182,463
9/14/2018 2:55:00 PM,3185,3185,3183.05,3183.2,941
9/14/2018 2:54:00 PM,3184.5,3185,3184.5,3185,422
9/14/2018 2:53:00 PM,3184.5,3185,3184.25,3184.5,232
9/14/2018 2:52:00 PM,3184.8,3185,3183.1,3184.5,184
9/14/2018 2:51:00 PM,3182,3184.9,3182,3184.8,1267
9/14/2018 2:50:00 PM,3181.25,3182.2,3177,3182,1540
9/14/2018 2:49:00 PM,3182.95,3184.8,3181.5,3181.5,1148
9/14/2018 2:48:00 PM,3184.15,3185.65,3182.9,3182.95,695
9/14/2018 2:47:00 PM,3183.6,3184.7,3181,3184.15,693
9/14/2018 2:46:00 PM,3188.95,3189,3183.15,3183.65,2147
9/14/2018 2:45:00 PM,3188.3,3188.95,3188,3188.95,193
9/14/2018 2:44:00 PM,3187.9,3188.3,3187.35,3188.3,272
9/14/2018 2:43:00 PM,3185.85,3188,3185.85,3187.4,416
9/14/2018 2:42:00 PM,3188.45,3189,3188,3188,1816
9/14/2018 2:41:00 PM,3186.65,3189,3186.65,3188.45,2036
9/14/2018 2:40:00 PM,3186.25,3187.85,3185.85,3186.65,535
9/14/2018 2:39:00 PM,3185,3189,3185,3186.25,2607
9/14/2018 2:38:00 PM,3183.9,3185,3183,3185,2971
9/14/2018 2:37:00 PM,3177.5,3184,3177.5,3184,3367
9/14/2018 2:36:00 PM,3174.7,3177.5,3173.05,3177.5,1722
9/14/2018 2:35:00 PM,3175.35,3176.4,3174.7,3174.7,2187
9/14/2018 2:34:00 PM,3180.1,3180.4,3175.3,3175.35,855
9/14/2018 2:33:00 PM,3182.9,3182.95,3180.1,3181.3,1435
9/14/2018 2:32:00 PM,3182.15,3183,3182.15,3182.9,169
9/14/2018 2:31:00 PM,3179.65,3182.15,3179.2,3182.15,835
9/14/2018 2:30:00 PM,3178.8,3180,3178.6,3179.65,401
9/14/2018 2:29:00 PM,3177.9,3179.15,3177.9,3178.8,287
9/14/2018 2:28:00 PM,3179.9,3179.95,3177.9,3177.9,559
9/14/2018 2:27:00 PM,3175.65,3179.9,3175.65,3179.9,494
9/14/2018 2:26:00 PM,3174,3175,3173.35,3174.55,406
9/14/2018 2:25:00 PM,3173.95,3174.95,3173,3174,1015
9/14/2018 2:24:00 PM,3175,3175,3173.1,3173.95,1510
9/14/2018 2:23:00 PM,3177,3177.1,3175,3175,858
9/14/2018 2:22:00 PM,3177.05,3177.05,3177,3177,405
9/14/2018 2:21:00 PM,3179.35,3179.4,3177,3177.05,697
9/14/2018 2:20:00 PM,3179.5,3180,3179.2,3179.35,400
9/14/2018 2:19:00 PM,3180.45,3180.8,3179.2,3179.5,405
9/14/2018 2:18:00 PM,3179.2,3180.25,3179,3179.15,233
9/14/2018 2:17:00 PM,3182.7,3182.7,3178.05,3178.05,265
9/14/2018 2:16:00 PM,3181.45,3182.85,3181.45,3182.7,295
9/14/2018 2:15:00 PM,3183.95,3185,3180,3181.45,33558
9/14/2018 2:14:00 PM,3180.05,3182.5,3179.75,3182.35,365
9/14/2018 2:13:00 PM,3178.35,3181.15,3178.35,3180.05,443
9/14/2018 2:12:00 PM,3180,3180.05,3175,3178.35,2505
9/14/2018 2:11:00 PM,3182,3185,3180.35,3180.35,3321
9/14/2018 2:10:00 PM,3177.5,3181.1,3173,3181.1,4052
9/14/2018 2:09:00 PM,3181,3181,3177.05,3177.5,3352
9/14/2018 2:08:00 PM,3182.1,3182.1,3180.95,3181.05,254
9/14/2018 2:07:00 PM,3183.95,3184,3181.7,3182,525
9/14/2018 2:06:00 PM,3180.3,3183.95,3180.3,3183.95,922
9/14/2018 2:05:00 PM,3183.05,3183.05,3180.1,3180.15,865
9/14/2018 2:04:00 PM,3184.95,3184.95,3182.2,3183.05,766
9/14/2018 2:03:00 PM,3184.55,3185,3183.05,3184.95,200
9/14/2018 2:02:00 PM,3182.25,3183,3182,3183,918
9/14/2018 2:01:00 PM,3182.3,3182.3,3182,3182.25,1761
9/14/2018 2:00:00 PM,3182.25,3182.6,3182.25,3182.25,384
9/14/2018 1:59:00 PM,3182.95,3184.1,3182.25,3182.25,438
9/14/2018 1:58:00 PM,3184.95,3186.6,3182.95,3182.95,1090
9/14/2018 1:57:00 PM,3182.95,3186.95,3182.95,3184.95,1476
9/14/2018 1:56:00 PM,3181.75,3184.2,3181.75,3182.95,897
9/14/2018 1:55:00 PM,3184.75,3184.75,3181.75,3181.75,1317
9/14/2018 1:54:00 PM,3183,3184.45,3183,3184.35,461
9/14/2018 1:53:00 PM,3181.75,3183.5,3181.7,3183,487
9/14/2018 1:52:00 PM,3182.1,3182.95,3181.45,3181.75,473
9/14/2018 1:51:00 PM,3183,3184,3180.6,3182.1,1026
9/14/2018 1:50:00 PM,3182.5,3183,3182.35,3182.65,967
9/14/2018 1:49:00 PM,3181.45,3182.75,3181.4,3182.5,316
9/14/2018 1:48:00 PM,3179.95,3181.45,3179.4,3180.7,858
9/14/2018 1:47:00 PM,3182.75,3182.75,3179.95,3179.95,519
9/14/2018 1:46:00 PM,3182.9,3182.95,3182.1,3182.1,1981
9/14/2018 1:45:00 PM,3181.35,3182.95,3181.25,3182.9,810
9/14/2018 1:44:00 PM,3179.75,3182.95,3178.1,3181.35,3433
9/14/2018 1:43:00 PM,3177,3180,3176.75,3179.75,2637
9/14/2018 1:42:00 PM,3175.4,3177,3175,3176.8,794
9/14/2018 1:41:00 PM,3176.65,3176.7,3175,3175,422
9/14/2018 1:40:00 PM,3175.75,3176.95,3175.7,3176.95,293
9/14/2018 1:39:00 PM,3175.9,3175.9,3175.55,3175.75,296
9/14/2018 1:38:00 PM,3177.55,3177.65,3175.55,3175.9,363
9/14/2018 1:37:00 PM,3177.5,3177.65,3177.5,3177.55,358
9/14/2018 1:36:00 PM,3175.25,3177.4,3175.25,3177.4,298
9/14/2018 1:35:00 PM,3177.2,3177.2,3175.25,3175.25,275
9/14/2018 1:34:00 PM,3177,3177.75,3177,3177.15,396
9/14/2018 1:33:00 PM,3175.15,3177.05,3175.1,3177,471
9/14/2018 1:32:00 PM,3174.8,3175.15,3174.8,3175.15,569
9/14/2018 1:31:00 PM,3174.8,3175.15,3174.75,3174.8,205
9/14/2018 1:30:00 PM,3174.7,3174.95,3174.7,3174.75,351
9/14/2018 1:29:00 PM,3174.75,3174.75,3174.7,3174.7,182
9/14/2018 1:28:00 PM,3175,3175,3173.6,3174.7,271
9/14/2018 1:27:00 PM,3173.85,3175,3173.4,3174.75,268
9/14/2018 1:26:00 PM,3175.05,3175.05,3173.3,3173.85,390
9/14/2018 1:25:00 PM,3173.85,3175.5,3173.85,3175,343
9/14/2018 1:24:00 PM,3173.55,3175.9,3173.55,3173.85,228
9/14/2018 1:23:00 PM,3175,3175,3173,3173.7,717
9/14/2018 1:22:00 PM,3174.2,3175,3174.15,3175,344
9/14/2018 1:21:00 PM,3175,3175,3173.95,3174.2,135
9/14/2018 1:20:00 PM,3175.05,3175.05,3173.1,3173.15,5457
9/14/2018 1:19:00 PM,3175.05,3175.05,3175,3175.05,1010
9/14/2018 1:18:00 PM,3176.35,3176.35,3175,3175,693
9/14/2018 1:17:00 PM,3177,3177,3176.75,3176.75,1813
9/14/2018 1:16:00 PM,3177,3177,3176.7,3176.8,706
9/14/2018 1:15:00 PM,3175.95,3177,3175.35,3176.65,448
9/14/2018 1:14:00 PM,3176,3176.8,3175.3,3175.3,263
9/14/2018 1:13:00 PM,3176.9,3176.9,3176,3176,288
9/14/2018 1:12:00 PM,3175.2,3177,3175.2,3176.85,348
9/14/2018 1:11:00 PM,3175.2,3175.2,3175.15,3175.2,246
9/14/2018 1:10:00 PM,3175.55,3176.95,3175.15,3175.15,150
9/14/2018 1:09:00 PM,3175,3175.55,3174,3175.55,1050
