Date,HINDPETRO-EQ O,HINDPETRO-EQ H,HINDPETRO-EQ L,HINDPETRO-EQ C,HINDPETRO-EQ V
9/14/2018 3:29:00 PM,254.25,254.3,253.3,253.85,22696
9/14/2018 3:28:00 PM,254.35,254.35,254,254.25,106929
9/14/2018 3:27:00 PM,253.85,254.35,253.7,254.3,111903
9/14/2018 3:26:00 PM,253.45,253.85,253.4,253.7,91923
9/14/2018 3:25:00 PM,253.5,253.55,253.3,253.35,98619
9/14/2018 3:24:00 PM,253,253.55,252.85,253.5,73653
9/14/2018 3:23:00 PM,252.1,252.95,252.05,252.85,114242
9/14/2018 3:22:00 PM,252.15,252.2,252,252.1,25189
9/14/2018 3:21:00 PM,252.45,252.45,252.05,252.15,27253
9/14/2018 3:20:00 PM,252.7,252.85,252.15,252.15,42964
9/14/2018 3:19:00 PM,252.3,252.7,252.3,252.7,53253
9/14/2018 3:18:00 PM,252.15,252.35,251.9,252.35,33678
9/14/2018 3:17:00 PM,252.25,252.35,252,252.15,19126
9/14/2018 3:16:00 PM,251.95,252.4,251.85,252.4,35700
9/14/2018 3:15:00 PM,251.45,252.15,251.45,252.15,94701
9/14/2018 3:14:00 PM,251.85,251.9,251.45,251.45,22652
9/14/2018 3:13:00 PM,251.8,251.9,251.8,251.85,12918
9/14/2018 3:12:00 PM,251.75,251.9,251.75,251.8,32903
9/14/2018 3:11:00 PM,251.65,251.85,251.55,251.75,22475
9/14/2018 3:10:00 PM,251.5,251.8,251.5,251.65,18759
9/14/2018 3:09:00 PM,251.75,251.8,251.5,251.5,17240
9/14/2018 3:08:00 PM,251.6,252,251.5,251.75,37532
9/14/2018 3:07:00 PM,251.5,251.8,251.4,251.65,34603
9/14/2018 3:06:00 PM,251.2,251.45,251.15,251.4,12972
9/14/2018 3:05:00 PM,251.2,251.4,251.15,251.3,12638
9/14/2018 3:04:00 PM,251.25,251.4,251.1,251.2,17317
9/14/2018 3:03:00 PM,251.3,251.45,251.25,251.4,11439
9/14/2018 3:02:00 PM,251.2,251.35,251.1,251.3,11432
9/14/2018 3:01:00 PM,251.1,251.55,251.1,251.4,42103
9/14/2018 3:00:00 PM,250.85,251.2,250.75,251.15,28544
9/14/2018 2:59:00 PM,250.8,250.95,250.6,250.85,32794
9/14/2018 2:58:00 PM,250.95,250.95,250.8,250.8,9985
9/14/2018 2:57:00 PM,250.6,250.95,250.5,250.95,12220
9/14/2018 2:56:00 PM,250.4,250.6,250.4,250.6,3913
9/14/2018 2:55:00 PM,250.45,250.45,250.35,250.4,4202
9/14/2018 2:54:00 PM,250.45,250.6,250.35,250.45,8405
9/14/2018 2:53:00 PM,250.35,250.5,250.35,250.45,13216
9/14/2018 2:52:00 PM,250.4,250.45,250.3,250.35,11080
9/14/2018 2:51:00 PM,250.45,250.5,250.2,250.4,13830
9/14/2018 2:50:00 PM,250.5,250.6,250.4,250.4,4570
9/14/2018 2:49:00 PM,250.55,250.8,250.5,250.5,6224
9/14/2018 2:48:00 PM,250.5,250.75,250.45,250.55,7134
9/14/2018 2:47:00 PM,250.3,250.75,250.25,250.5,5428
9/14/2018 2:46:00 PM,250.3,250.45,250.15,250.3,12199
9/14/2018 2:45:00 PM,250.2,250.4,250.05,250.25,5347
9/14/2018 2:44:00 PM,250.5,250.6,250.15,250.2,11233
9/14/2018 2:43:00 PM,250.5,250.55,250.4,250.5,4738
9/14/2018 2:42:00 PM,250.35,250.85,250.35,250.5,16404
9/14/2018 2:41:00 PM,250.05,250.5,250,250.35,9235
9/14/2018 2:40:00 PM,250.1,250.2,250,250.05,4309
9/14/2018 2:39:00 PM,250.1,250.2,250,250.1,4762
9/14/2018 2:38:00 PM,249.95,250.1,249.85,250.1,6977
9/14/2018 2:37:00 PM,250.1,250.2,249.9,249.95,9366
9/14/2018 2:36:00 PM,250.1,250.15,250,250.1,11709
9/14/2018 2:35:00 PM,249.85,250.1,249.75,250.1,21328
9/14/2018 2:34:00 PM,249.8,249.85,249.75,249.85,17018
9/14/2018 2:33:00 PM,250.1,250.15,249.85,249.85,14098
9/14/2018 2:32:00 PM,250.2,250.2,250,250.1,4334
9/14/2018 2:31:00 PM,249.8,250.3,249.8,250.1,24311
9/14/2018 2:30:00 PM,249.85,249.85,249.75,249.8,5519
9/14/2018 2:29:00 PM,249.95,249.95,249.75,249.85,2650
9/14/2018 2:28:00 PM,249.8,250.05,249.7,249.95,13936
9/14/2018 2:27:00 PM,249.8,249.9,249.6,249.8,23696
9/14/2018 2:26:00 PM,250.35,250.35,249.75,249.75,36878
9/14/2018 2:25:00 PM,250.2,250.4,250.2,250.35,4962
9/14/2018 2:24:00 PM,250.35,250.5,250.2,250.2,11669
9/14/2018 2:23:00 PM,250.4,250.4,250.2,250.4,4906
9/14/2018 2:22:00 PM,250.2,250.55,250.1,250.4,12600
9/14/2018 2:21:00 PM,250.35,250.4,250.1,250.2,12209
