Date,HINDUNILVR-EQ O,HINDUNILVR-EQ H,HINDUNILVR-EQ L,HINDUNILVR-EQ C,HINDUNILVR-EQ V
9/14/2018 3:29:00 PM,1628.9,1632,1626.05,1630,14519
9/14/2018 3:28:00 PM,1628.4,1629.25,1627.25,1628.6,3876
9/14/2018 3:27:00 PM,1629.55,1630.15,1628,1628,8301
9/14/2018 3:26:00 PM,1630.1,1630.2,1629.55,1629.55,11068
9/14/2018 3:25:00 PM,1630.3,1630.35,1630,1630.15,6280
9/14/2018 3:24:00 PM,1630.7,1630.7,1630,1630.35,8479
9/14/2018 3:23:00 PM,1630.35,1630.5,1630,1630.05,12267
9/14/2018 3:22:00 PM,1630.85,1630.85,1630,1630.05,6698
9/14/2018 3:21:00 PM,1630.9,1630.9,1630.65,1630.85,5788
9/14/2018 3:20:00 PM,1629.75,1630.85,1628.95,1630.85,9501
9/14/2018 3:19:00 PM,1629.85,1629.85,1629.5,1629.8,5754
9/14/2018 3:18:00 PM,1628.4,1629.9,1628.3,1629.35,8674
9/14/2018 3:17:00 PM,1629.5,1630,1628.15,1628.4,9886
9/14/2018 3:16:00 PM,1630.2,1630.75,1629.2,1630,11362
9/14/2018 3:15:00 PM,1631,1631,1630.05,1630.75,6774
9/14/2018 3:14:00 PM,1629.25,1631,1629,1630.5,11493
9/14/2018 3:13:00 PM,1629.8,1629.8,1629.3,1629.3,6806
9/14/2018 3:12:00 PM,1630.95,1630.95,1629.5,1629.8,8362
9/14/2018 3:11:00 PM,1630.05,1630.95,1630.05,1630.95,7410
9/14/2018 3:10:00 PM,1629.7,1630.95,1629.15,1630.3,8800
9/14/2018 3:09:00 PM,1629,1630,1628.5,1629.7,10008
9/14/2018 3:08:00 PM,1629.9,1629.9,1628.95,1629,6447
9/14/2018 3:07:00 PM,1630,1630,1629.9,1629.9,5827
9/14/2018 3:06:00 PM,1629.75,1630,1629.6,1630,6868
9/14/2018 3:05:00 PM,1629.6,1629.8,1629.1,1629.6,6268
9/14/2018 3:04:00 PM,1628.9,1629.7,1628,1629.6,8858
9/14/2018 3:03:00 PM,1629.5,1630,1628.85,1628.9,8604
9/14/2018 3:02:00 PM,1627.55,1629.9,1627.4,1629.9,10158
9/14/2018 3:01:00 PM,1627,1627.65,1626.95,1627.4,9763
9/14/2018 3:00:00 PM,1623.7,1626.95,1623.6,1626.95,12657
9/14/2018 2:59:00 PM,1625.05,1625.05,1623.6,1623.7,10111
9/14/2018 2:58:00 PM,1626.4,1626.8,1625,1625,5235
9/14/2018 2:57:00 PM,1624.25,1626.95,1623.05,1626.4,12686
9/14/2018 2:56:00 PM,1623.05,1624.2,1623,1624.15,3501
9/14/2018 2:55:00 PM,1623.05,1623.5,1623,1623.05,3556
9/14/2018 2:54:00 PM,1623.95,1623.95,1622.75,1623,3445
9/14/2018 2:53:00 PM,1622.85,1624,1622.75,1623.9,4084
9/14/2018 2:52:00 PM,1623,1623,1622.85,1622.85,3613
9/14/2018 2:51:00 PM,1623.9,1623.9,1622.95,1622.95,1969
9/14/2018 2:50:00 PM,1623.75,1623.8,1623.6,1623.8,2945
9/14/2018 2:49:00 PM,1623.35,1623.75,1622.85,1623.75,2933
9/14/2018 2:48:00 PM,1623.4,1623.4,1622.85,1623.35,3004
9/14/2018 2:47:00 PM,1623.2,1623.4,1622.85,1623.4,2527
9/14/2018 2:46:00 PM,1623.05,1623.3,1622.85,1623.3,3934
9/14/2018 2:45:00 PM,1622.25,1623.05,1622.15,1623.05,4823
9/14/2018 2:44:00 PM,1622.5,1622.55,1622.1,1622.25,3087
9/14/2018 2:43:00 PM,1621.95,1622.8,1621.15,1622.55,4913
9/14/2018 2:42:00 PM,1623.1,1623.1,1621.95,1621.95,3416
9/14/2018 2:41:00 PM,1623.45,1623.5,1623.05,1623.1,2361
9/14/2018 2:40:00 PM,1622.35,1623.7,1622.05,1623.45,4022
9/14/2018 2:39:00 PM,1623.05,1623.05,1622.15,1622.35,3807
9/14/2018 2:38:00 PM,1624.9,1624.9,1623,1623.05,2593
9/14/2018 2:37:00 PM,1625.55,1625.75,1623.05,1624,10342
9/14/2018 2:36:00 PM,1623.95,1626.4,1623.95,1625.55,18605
9/14/2018 2:35:00 PM,1622,1624,1621.95,1624,6324
9/14/2018 2:34:00 PM,1621.15,1622,1621,1622,4401
9/14/2018 2:33:00 PM,1623,1623,1621,1621.15,1887
9/14/2018 2:32:00 PM,1622,1623,1620.8,1622.95,5262
9/14/2018 2:31:00 PM,1620.9,1622.3,1620.4,1622,4221
9/14/2018 2:30:00 PM,1620.55,1620.9,1620.05,1620.9,2685
9/14/2018 2:29:00 PM,1621.6,1621.6,1620.5,1620.5,1696
9/14/2018 2:28:00 PM,1620.05,1621.6,1619.75,1621.6,4613
9/14/2018 2:27:00 PM,1620.2,1620.25,1620,1620.05,2309
9/14/2018 2:26:00 PM,1620.2,1620.35,1620,1620.25,2245
9/14/2018 2:25:00 PM,1620.05,1620.2,1620,1620.2,1640
9/14/2018 2:24:00 PM,1620.2,1620.3,1620,1620,2075
9/14/2018 2:23:00 PM,1620.1,1620.2,1620,1620.15,3026
9/14/2018 2:22:00 PM,1620.25,1620.25,1620,1620.15,1895
9/14/2018 2:21:00 PM,1620.5,1620.5,1620.05,1620.2,2661
9/14/2018 2:20:00 PM,1620.25,1621.25,1620.2,1620.5,2059
9/14/2018 2:19:00 PM,1621.05,1621.05,1620.15,1620.25,3077
9/14/2018 2:18:00 PM,1620.5,1621.15,1620,1621.15,3133
9/14/2018 2:17:00 PM,1621,1621.5,1620.5,1620.5,2926
9/14/2018 2:16:00 PM,1621,1621,1620.5,1621,1700
9/14/2018 2:15:00 PM,1621.5,1622.1,1620.75,1621,2534
9/14/2018 2:14:00 PM,1620.7,1622,1620.6,1621.5,2691
9/14/2018 2:13:00 PM,1622,1622.05,1620.6,1620.7,1367
9/14/2018 2:12:00 PM,1621.25,1621.95,1621,1621.9,2547
9/14/2018 2:11:00 PM,1621.2,1621.25,1620.5,1621,2060
9/14/2018 2:10:00 PM,1622.05,1622.05,1620.3,1621.2,3082
9/14/2018 2:09:00 PM,1621.5,1622.05,1621.5,1622.05,5611
9/14/2018 2:08:00 PM,1621.5,1621.65,1621.25,1621.5,2310
9/14/2018 2:07:00 PM,1621.35,1622,1620.3,1621.5,1974
9/14/2018 2:06:00 PM,1621.8,1621.8,1621,1621.35,1434
9/14/2018 2:05:00 PM,1621.45,1622.1,1621.1,1621.1,1703
9/14/2018 2:04:00 PM,1622.05,1622.15,1621.25,1621.5,1843
9/14/2018 2:03:00 PM,1622.05,1622.2,1622,1622.05,1490
9/14/2018 2:02:00 PM,1622.05,1622.3,1621.8,1622.2,2271
9/14/2018 2:01:00 PM,1622.1,1622.3,1622,1622.05,1390
9/14/2018 2:00:00 PM,1622.3,1622.3,1621.75,1622.1,2684
9/14/2018 1:59:00 PM,1622.1,1622.35,1622,1622.3,2375
9/14/2018 1:58:00 PM,1622.25,1622.3,1621.1,1622.15,3385
9/14/2018 1:57:00 PM,1620.35,1622.3,1620.35,1622.3,4387
9/14/2018 1:56:00 PM,1621.25,1622,1620.1,1620.1,3169
9/14/2018 1:55:00 PM,1622.8,1622.8,1621,1621.25,1964
9/14/2018 1:54:00 PM,1621.15,1622.9,1621.15,1622.8,4219
9/14/2018 1:53:00 PM,1622.15,1622.15,1621,1621.1,2330
9/14/2018 1:52:00 PM,1621.55,1622.15,1620.7,1622.15,3823
9/14/2018 1:51:00 PM,1622.05,1622.3,1621.35,1621.6,3334
9/14/2018 1:50:00 PM,1620.1,1622.1,1620,1622.05,3951
9/14/2018 1:49:00 PM,1621.65,1621.65,1620,1620,2364
9/14/2018 1:48:00 PM,1621.4,1621.5,1621.15,1621.5,2415
9/14/2018 1:47:00 PM,1622.5,1622.5,1620.4,1621.4,2766
9/14/2018 1:46:00 PM,1620.95,1622.9,1620.15,1622.5,3744
9/14/2018 1:45:00 PM,1623,1623,1620.95,1620.95,4095
9/14/2018 1:44:00 PM,1622.2,1624,1622.2,1623,10053
9/14/2018 1:43:00 PM,1620.3,1622,1620.25,1621.8,5844
9/14/2018 1:42:00 PM,1621.2,1621.25,1620,1620.25,2672
9/14/2018 1:41:00 PM,1621.05,1621.6,1620.8,1621.2,1957
9/14/2018 1:40:00 PM,1620.4,1621.9,1620.25,1621.05,2712
9/14/2018 1:39:00 PM,1621.5,1621.5,1620.05,1620.4,2244
9/14/2018 1:38:00 PM,1621.65,1621.9,1620.8,1621.3,2572
9/14/2018 1:37:00 PM,1620.8,1621.6,1620.65,1621.55,3062
9/14/2018 1:36:00 PM,1620.75,1620.8,1620,1620.75,1882
9/14/2018 1:35:00 PM,1620.1,1620.85,1620,1620.8,2451
9/14/2018 1:34:00 PM,1620.9,1620.95,1620.1,1620.1,2327
9/14/2018 1:33:00 PM,1620.3,1620.8,1620.05,1620.8,2186
9/14/2018 1:32:00 PM,1620.8,1620.8,1620,1620.5,2183
9/14/2018 1:31:00 PM,1620.2,1620.7,1619.4,1620.7,2378
9/14/2018 1:30:00 PM,1620.7,1621.5,1619.95,1620.35,2582
9/14/2018 1:29:00 PM,1620.05,1621,1619.35,1621,2573
9/14/2018 1:28:00 PM,1620.35,1621,1619.55,1620.05,2854
9/14/2018 1:27:00 PM,1619.35,1620.2,1619.15,1620.2,2831
9/14/2018 1:26:00 PM,1620.95,1620.95,1619.1,1619.6,2788
9/14/2018 1:25:00 PM,1620.8,1621,1620.35,1620.9,2125
9/14/2018 1:24:00 PM,1619.7,1621,1619.7,1620.5,2847
9/14/2018 1:23:00 PM,1619.5,1619.7,1619.4,1619.7,2152
9/14/2018 1:22:00 PM,1621,1621,1619.15,1619.4,3474
9/14/2018 1:21:00 PM,1620.9,1621.15,1620.05,1621,2773
9/14/2018 1:20:00 PM,1620.95,1621.5,1620.85,1620.85,2629
9/14/2018 1:19:00 PM,1619.95,1621,1619.95,1621,2332
9/14/2018 1:18:00 PM,1620.65,1620.65,1619.5,1620,56642
9/14/2018 1:17:00 PM,1621.35,1621.35,1619.5,1620.65,4232
9/14/2018 1:16:00 PM,1620.8,1621.45,1619.05,1621.05,5826
9/14/2018 1:15:00 PM,1620.25,1621.5,1620.25,1620.65,12891
9/14/2018 1:14:00 PM,1619.3,1620.5,1619.25,1620.25,6848
9/14/2018 1:13:00 PM,1619.05,1619.35,1618.95,1619.35,2824
9/14/2018 1:12:00 PM,1619,1619.9,1619,1619.05,7032
9/14/2018 1:11:00 PM,1618.3,1619,1617.5,1619,2675
9/14/2018 1:10:00 PM,1618.5,1618.55,1617.65,1618.15,2400
9/14/2018 1:09:00 PM,1618.15,1618.55,1617.7,1618.5,2504
9/14/2018 1:08:00 PM,1617.65,1618.55,1617,1618.15,5498
9/14/2018 1:07:00 PM,1618.3,1618.3,1617.6,1617.65,2151
9/14/2018 1:06:00 PM,1618,1618.45,1617.65,1618.3,2348
9/14/2018 1:05:00 PM,1618.5,1618.55,1617.6,1617.6,2577
9/14/2018 1:04:00 PM,1617.65,1618.5,1617.6,1618.5,1807
