Date,IBULHSGFIN-EQ O,IBULHSGFIN-EQ H,IBULHSGFIN-EQ L,IBULHSGFIN-EQ C,IBULHSGFIN-EQ V
9/14/2018 3:29:00 PM,1227,1227.35,1225,1225,8523
9/14/2018 3:28:00 PM,1227.5,1230,1226.5,1227,20967
9/14/2018 3:27:00 PM,1227,1227.5,1226.1,1226.6,10699
9/14/2018 3:26:00 PM,1228,1228.5,1227,1227.5,13282
9/14/2018 3:25:00 PM,1229.85,1229.85,1227.1,1228,13343
9/14/2018 3:24:00 PM,1229.3,1232,1229.2,1229.4,27780
9/14/2018 3:23:00 PM,1229.35,1229.9,1228,1229.3,23871
9/14/2018 3:22:00 PM,1230.55,1230.65,1228.6,1228.6,20573
9/14/2018 3:21:00 PM,1229.8,1231.15,1229.8,1230.65,13577
9/14/2018 3:20:00 PM,1228.8,1230.4,1228.6,1229.9,28782
9/14/2018 3:19:00 PM,1230.1,1230.15,1228.75,1228.75,11067
9/14/2018 3:18:00 PM,1228,1230.75,1228,1230.1,26637
9/14/2018 3:17:00 PM,1229.85,1230,1227.7,1228.15,16706
9/14/2018 3:16:00 PM,1229.35,1231.35,1228.45,1230,44385
9/14/2018 3:15:00 PM,1228.45,1230.4,1227.75,1229,77750
9/14/2018 3:14:00 PM,1227.55,1228.3,1226.35,1228.25,14855
9/14/2018 3:13:00 PM,1226.65,1228.1,1226,1227.55,12577
9/14/2018 3:12:00 PM,1226.1,1227.6,1224.25,1226.65,33563
9/14/2018 3:11:00 PM,1225.5,1229,1225.35,1226.4,60212
9/14/2018 3:10:00 PM,1224,1226.15,1223.4,1226.15,38555
9/14/2018 3:09:00 PM,1223.45,1224.5,1223.45,1224.2,14224
9/14/2018 3:08:00 PM,1223.25,1224.4,1222.7,1223.45,24006
9/14/2018 3:07:00 PM,1224,1224.5,1222.7,1223.4,16920
9/14/2018 3:06:00 PM,1222.15,1224,1222.05,1223.5,10552
9/14/2018 3:05:00 PM,1223.05,1223.05,1221,1222.2,9575
9/14/2018 3:04:00 PM,1222.95,1223.1,1222.3,1223,8575
9/14/2018 3:03:00 PM,1222.95,1224,1221.5,1222.95,20912
9/14/2018 3:02:00 PM,1220.85,1223,1220.85,1222.95,6208
