Date,ICICIBANK-EQ O,ICICIBANK-EQ H,ICICIBANK-EQ L,ICICIBANK-EQ C,ICICIBANK-EQ V
9/14/2018 3:29:00 PM,328.45,328.95,328.05,328.75,238530
9/14/2018 3:28:00 PM,329.35,329.4,328.15,328.25,29039
9/14/2018 3:27:00 PM,329.2,329.5,329.05,329.4,95638
9/14/2018 3:26:00 PM,329,329.2,329,329.2,26879
9/14/2018 3:25:00 PM,328.95,329.1,328.95,329,38011
9/14/2018 3:24:00 PM,329,329,328.75,328.95,49770
9/14/2018 3:23:00 PM,328.3,328.95,328.3,328.75,68766
9/14/2018 3:22:00 PM,328.3,328.5,328.3,328.4,28488
9/14/2018 3:21:00 PM,328.3,328.6,328.25,328.3,36408
9/14/2018 3:20:00 PM,328.35,328.45,328.15,328.3,34472
9/14/2018 3:19:00 PM,328.35,328.4,328.2,328.2,38921
9/14/2018 3:18:00 PM,328.3,328.55,328.2,328.35,55122
9/14/2018 3:17:00 PM,327.9,328.2,327.85,328.15,38190
9/14/2018 3:16:00 PM,327.6,327.9,327.5,327.9,50841
9/14/2018 3:15:00 PM,327.65,327.75,327.35,327.5,80682
9/14/2018 3:14:00 PM,327.8,327.8,327.55,327.65,26377
9/14/2018 3:13:00 PM,327.65,327.8,327.55,327.75,28644
9/14/2018 3:12:00 PM,327.75,327.8,327.25,327.65,55797
9/14/2018 3:11:00 PM,327.85,327.85,327.55,327.75,36426
9/14/2018 3:10:00 PM,327.2,327.95,327.2,327.9,43312
9/14/2018 3:09:00 PM,327.5,327.65,327.2,327.2,40555
9/14/2018 3:08:00 PM,327.9,327.95,327.5,327.5,46803
9/14/2018 3:07:00 PM,327.75,328,327.75,327.9,27645
9/14/2018 3:06:00 PM,327.8,327.8,327.75,327.8,29824
9/14/2018 3:05:00 PM,327.8,327.8,327.75,327.8,26010
9/14/2018 3:04:00 PM,328.3,328.3,327.75,327.75,42820
9/14/2018 3:03:00 PM,328.45,328.65,328.4,328.4,45178
9/14/2018 3:02:00 PM,328.55,328.55,328.15,328.45,42894
9/14/2018 3:01:00 PM,327.95,328.65,327.95,328.5,69850
9/14/2018 3:00:00 PM,327.5,328,327.45,327.95,41403
9/14/2018 2:59:00 PM,327.5,327.55,327.45,327.5,17749
9/14/2018 2:58:00 PM,328.05,328.05,327.45,327.5,28302
9/14/2018 2:57:00 PM,327.95,328.2,327.9,328.05,125226
9/14/2018 2:56:00 PM,327.1,327.9,327.1,327.9,93255
9/14/2018 2:55:00 PM,327.05,327.15,327.05,327.05,11285
9/14/2018 2:54:00 PM,327.05,327.2,327.05,327.05,17375
9/14/2018 2:53:00 PM,327.05,327.1,327,327.1,12397
9/14/2018 2:52:00 PM,327.1,327.15,326.95,327.05,27581
