Date,INDUSINDBK-EQ O,INDUSINDBK-EQ H,INDUSINDBK-EQ L,INDUSINDBK-EQ C,INDUSINDBK-EQ V
9/14/2018 3:29:00 PM,1865.65,1865.75,1860.6,1860.6,8753
9/14/2018 3:28:00 PM,1866.25,1866.3,1864.75,1865.65,3399
9/14/2018 3:27:00 PM,1867.55,1867.65,1866,1866.25,6995
9/14/2018 3:26:00 PM,1866.65,1867.65,1866.25,1867.6,4571
9/14/2018 3:25:00 PM,1867.8,1867.8,1866.5,1866.5,3918
9/14/2018 3:24:00 PM,1868.35,1869.15,1867.5,1867.8,6338
9/14/2018 3:23:00 PM,1869.05,1869.9,1868.1,1868.2,7093
9/14/2018 3:22:00 PM,1870.05,1870.3,1869.3,1869.65,4203
9/14/2018 3:21:00 PM,1870.9,1870.9,1870.05,1870.05,4217
9/14/2018 3:20:00 PM,1871,1871.3,1870.5,1870.95,4758
9/14/2018 3:19:00 PM,1871.7,1871.75,1870.35,1871,5484
9/14/2018 3:18:00 PM,1870.9,1872.15,1870.8,1871.7,6006
9/14/2018 3:17:00 PM,1870.2,1870.9,1870.15,1870.9,6154
9/14/2018 3:16:00 PM,1871.7,1871.7,1869.35,1870.2,7614
9/14/2018 3:15:00 PM,1872.85,1873.1,1870.9,1871.5,7742
9/14/2018 3:14:00 PM,1873.45,1873.45,1872.15,1872.8,8980
9/14/2018 3:13:00 PM,1875.95,1875.95,1873.45,1873.45,6436
9/14/2018 3:12:00 PM,1876,1876.6,1873.9,1875.4,28196
9/14/2018 3:11:00 PM,1876,1876.45,1875.45,1876,4295
9/14/2018 3:10:00 PM,1876.25,1876.4,1874,1875.45,6813
9/14/2018 3:09:00 PM,1878.5,1878.65,1876.05,1876.1,3887
9/14/2018 3:08:00 PM,1879,1879,1877.6,1878.5,2960
9/14/2018 3:07:00 PM,1880.1,1880.7,1878.8,1879,3977
9/14/2018 3:06:00 PM,1878.35,1880.55,1878.3,1880.1,3666
9/14/2018 3:05:00 PM,1877.25,1878.8,1877,1878.35,4604
9/14/2018 3:04:00 PM,1877.05,1877.25,1876.6,1877.25,2604
9/14/2018 3:03:00 PM,1878.8,1879.55,1876.95,1877,3542
9/14/2018 3:02:00 PM,1877.6,1879.9,1877.5,1879.75,2506
9/14/2018 3:01:00 PM,1877.25,1879.75,1877,1877.6,3911
9/14/2018 3:00:00 PM,1877.4,1877.95,1876.3,1877.95,3269
9/14/2018 2:59:00 PM,1877.55,1877.55,1877,1877.45,2513
9/14/2018 2:58:00 PM,1876.9,1877.85,1876.9,1877.55,2076
