Date,INFY-EQ O,INFY-EQ H,INFY-EQ L,INFY-EQ C,INFY-EQ V
9/14/2018 3:29:00 PM,734.7,735,734.2,734.9,22121
9/14/2018 3:28:00 PM,734.35,734.85,734.25,734.75,14161
9/14/2018 3:27:00 PM,734.25,734.95,734.15,734.85,34107
9/14/2018 3:26:00 PM,734.85,734.85,734.1,734.15,30027
9/14/2018 3:25:00 PM,734.85,735,734.8,734.8,19776
9/14/2018 3:24:00 PM,735,735,734.65,734.9,31608
9/14/2018 3:23:00 PM,734.85,735,734.6,734.9,44379
9/14/2018 3:22:00 PM,735,735,734.45,734.95,31568
9/14/2018 3:21:00 PM,734.95,735,734.8,735,35987
9/14/2018 3:20:00 PM,734.9,735,734.35,735,45179
9/14/2018 3:19:00 PM,734.25,734.95,734.15,734.85,27715
9/14/2018 3:18:00 PM,734.95,734.95,734.1,734.2,36190
9/14/2018 3:17:00 PM,734.25,734.95,733.65,734.95,43037
9/14/2018 3:16:00 PM,733.9,734.25,733.1,734.15,39963
9/14/2018 3:15:00 PM,732.8,734,732.4,733.9,52587
9/14/2018 3:14:00 PM,733.4,733.4,732.7,732.7,31696
9/14/2018 3:13:00 PM,734.5,734.5,733.25,733.45,27505
9/14/2018 3:12:00 PM,733.5,734.5,733.4,734.45,32327
9/14/2018 3:11:00 PM,733.95,734,733.35,733.45,27958
9/14/2018 3:10:00 PM,733.3,734,733.3,734,34618
9/14/2018 3:09:00 PM,733.9,733.9,733.35,733.35,24938
9/14/2018 3:08:00 PM,733.25,733.95,733.25,733.9,26109
9/14/2018 3:07:00 PM,733.2,733.3,732.9,733.3,24589
9/14/2018 3:06:00 PM,732,733.5,731.75,733.25,36085
9/14/2018 3:05:00 PM,733.05,733.1,732,732.05,33041
9/14/2018 3:04:00 PM,734.35,734.35,733,733.25,30580
9/14/2018 3:03:00 PM,733.95,734.4,733.55,734.4,36718
9/14/2018 3:02:00 PM,732.95,733.95,732.4,733.95,45216
9/14/2018 3:01:00 PM,732.3,733,731.55,732.95,31409
9/14/2018 3:00:00 PM,730.85,733,730.55,731.9,80952
9/14/2018 2:59:00 PM,730.85,730.95,730.5,730.85,7490
9/14/2018 2:58:00 PM,730.9,731,730.85,730.95,15700
9/14/2018 2:57:00 PM,730.8,731,730.65,730.95,11220
9/14/2018 2:56:00 PM,730.75,730.95,730.7,730.75,9547
9/14/2018 2:55:00 PM,730.85,731,730.5,730.8,10941
9/14/2018 2:54:00 PM,730.75,730.95,730.75,730.95,10910
9/14/2018 2:53:00 PM,730.7,730.95,730.7,730.8,15854
9/14/2018 2:52:00 PM,730.9,730.95,730.4,730.75,11114
9/14/2018 2:51:00 PM,730.7,730.95,730.7,730.95,8516
9/14/2018 2:50:00 PM,731,731,730,730.65,22427
9/14/2018 2:49:00 PM,730.6,731,730.35,731,11189
9/14/2018 2:48:00 PM,732.6,732.6,730.6,730.6,100136
9/14/2018 2:47:00 PM,733.4,733.7,732.25,732.6,15491
9/14/2018 2:46:00 PM,732.9,733.45,732.55,733.45,16613
9/14/2018 2:45:00 PM,732.2,732.9,732.2,732.9,12490
9/14/2018 2:44:00 PM,731.9,732.25,731.75,732.1,14482
9/14/2018 2:43:00 PM,731.65,732,731.55,731.9,22229
9/14/2018 2:42:00 PM,732.4,733,731.65,731.65,44408
9/14/2018 2:41:00 PM,731.9,732.45,731.45,732.45,18508
9/14/2018 2:40:00 PM,730.7,731.95,730.65,731.95,25907
9/14/2018 2:39:00 PM,730.75,730.85,730.55,730.65,9806
9/14/2018 2:38:00 PM,730.6,731,730.6,730.8,30242
9/14/2018 2:37:00 PM,730.65,730.7,730.45,730.65,8491
9/14/2018 2:36:00 PM,730.6,730.7,730.25,730.65,8850
9/14/2018 2:35:00 PM,730.35,730.65,730.35,730.6,8717
9/14/2018 2:34:00 PM,730.25,730.9,730.1,730.9,11058
9/14/2018 2:33:00 PM,730.95,730.95,730.25,730.5,11320
9/14/2018 2:32:00 PM,730.45,730.95,730.35,730.9,10839
9/14/2018 2:31:00 PM,730.45,730.65,730.25,730.5,12057
9/14/2018 2:30:00 PM,731,731,729.35,730.35,68612
9/14/2018 2:29:00 PM,730.8,731,730.5,730.95,11189
9/14/2018 2:28:00 PM,731,731.3,730.3,730.8,22491
9/14/2018 2:27:00 PM,731.8,731.8,731,731,40460
9/14/2018 2:26:00 PM,732.25,732.7,731.85,731.85,23547
9/14/2018 2:25:00 PM,732.5,732.65,732.1,732.25,11226
9/14/2018 2:24:00 PM,732.3,732.75,732.25,732.5,10206
9/14/2018 2:23:00 PM,732.35,732.7,732.2,732.35,9454
9/14/2018 2:22:00 PM,732.2,732.45,732.05,732.4,6217
9/14/2018 2:21:00 PM,731.8,732.05,731.55,732,9965
9/14/2018 2:20:00 PM,732.65,732.9,731.8,731.8,12748
9/14/2018 2:19:00 PM,732.6,732.9,732.6,732.75,7529
9/14/2018 2:18:00 PM,732.8,732.9,732.55,732.8,6396
9/14/2018 2:17:00 PM,733,733.1,732.5,732.8,13012
9/14/2018 2:16:00 PM,732.6,733,732.45,733,5128
9/14/2018 2:15:00 PM,732.95,733.4,732.6,732.9,9113
