Date,IOC-EQ O,IOC-EQ H,IOC-EQ L,IOC-EQ C,IOC-EQ V
9/14/2018 3:29:00 PM,155.7,155.7,155.5,155.5,20907
9/14/2018 3:28:00 PM,155.7,155.8,155.65,155.7,27138
9/14/2018 3:27:00 PM,155.7,155.8,155.65,155.65,26658
9/14/2018 3:26:00 PM,155.65,155.8,155.6,155.65,25122
9/14/2018 3:25:00 PM,155.7,155.75,155.65,155.65,34831
9/14/2018 3:24:00 PM,155.45,156,155.45,155.7,161323
9/14/2018 3:23:00 PM,155.3,155.6,155.2,155.5,70727
9/14/2018 3:22:00 PM,155.3,155.45,155.2,155.3,28624
9/14/2018 3:21:00 PM,155.4,155.4,155.25,155.35,36223
9/14/2018 3:20:00 PM,155.35,155.5,155.35,155.4,51743
9/14/2018 3:19:00 PM,155.3,155.5,155.25,155.35,50750
9/14/2018 3:18:00 PM,155.1,155.35,155.1,155.3,82844
9/14/2018 3:17:00 PM,155.15,155.2,155.1,155.1,26976
9/14/2018 3:16:00 PM,155.15,155.3,155.1,155.2,62461
9/14/2018 3:15:00 PM,154.9,155.2,154.9,155.15,73402
9/14/2018 3:14:00 PM,154.95,155,154.9,154.9,24037
9/14/2018 3:13:00 PM,155.1,155.15,154.9,154.95,23855
9/14/2018 3:12:00 PM,154.95,155.15,154.9,155.05,45832
9/14/2018 3:11:00 PM,155.15,155.2,154.9,154.9,25935
9/14/2018 3:10:00 PM,155.05,155.25,154.85,155.15,60897
9/14/2018 3:09:00 PM,155.25,155.25,155.05,155.1,39337
9/14/2018 3:08:00 PM,155.2,155.3,155.2,155.25,26546
9/14/2018 3:07:00 PM,155.1,155.25,155.05,155.2,44031
9/14/2018 3:06:00 PM,155,155.1,154.95,155.05,23459
9/14/2018 3:05:00 PM,155,155.05,155,155,17249
9/14/2018 3:04:00 PM,155,155.15,154.9,155,90795
9/14/2018 3:03:00 PM,154.7,155,154.7,154.9,24447
9/14/2018 3:02:00 PM,154.8,154.85,154.7,154.75,17832
9/14/2018 3:01:00 PM,154.7,154.9,154.65,154.8,45543
9/14/2018 3:00:00 PM,154.4,154.6,154.4,154.6,36676
9/14/2018 2:59:00 PM,154.5,154.5,154.4,154.4,7738
9/14/2018 2:58:00 PM,154.45,154.5,154.4,154.5,12634
9/14/2018 2:57:00 PM,154.35,154.5,154.3,154.45,16054
9/14/2018 2:56:00 PM,154.3,154.4,154.25,154.35,9210
9/14/2018 2:55:00 PM,154.35,154.35,154.15,154.3,10672
9/14/2018 2:54:00 PM,154.3,154.35,154.2,154.35,15857
9/14/2018 2:53:00 PM,154.35,154.4,154.3,154.3,7134
9/14/2018 2:52:00 PM,154.3,154.4,154.25,154.4,16756
9/14/2018 2:51:00 PM,154.35,154.35,154.25,154.3,8815
9/14/2018 2:50:00 PM,154.3,154.4,154.3,154.3,10043
9/14/2018 2:49:00 PM,154.35,154.4,154.3,154.35,11465
9/14/2018 2:48:00 PM,154.3,154.4,154.25,154.35,11959
9/14/2018 2:47:00 PM,154.4,154.4,154.3,154.3,5695
9/14/2018 2:46:00 PM,154.3,154.5,154.3,154.4,11199
9/14/2018 2:45:00 PM,154.25,154.4,154.2,154.3,7089
9/14/2018 2:44:00 PM,154.5,154.5,154.2,154.25,8657
9/14/2018 2:43:00 PM,154.55,154.55,154.4,154.5,23963
9/14/2018 2:42:00 PM,154.5,154.55,154.4,154.55,12437
9/14/2018 2:41:00 PM,154.2,154.45,154.15,154.45,62140
9/14/2018 2:40:00 PM,154.15,154.2,154.1,154.2,11863
9/14/2018 2:39:00 PM,154.2,154.2,154.05,154.15,14397
9/14/2018 2:38:00 PM,154,154.2,154,154.2,16245
9/14/2018 2:37:00 PM,154.05,154.1,154,154.1,30089
9/14/2018 2:36:00 PM,154,154.15,154,154.1,10836
9/14/2018 2:35:00 PM,154,154,153.95,154,8427
9/14/2018 2:34:00 PM,154,154.05,153.95,154,20784
9/14/2018 2:33:00 PM,154,154.1,153.95,154,6823
