Date,ITC-EQ O,ITC-EQ H,ITC-EQ L,ITC-EQ C,ITC-EQ V
9/14/2018 3:29:00 PM,306.8,307,306.6,306.85,25946
9/14/2018 3:28:00 PM,306.9,307,306.9,306.9,40643
9/14/2018 3:27:00 PM,306.95,307,306.9,306.9,33156
9/14/2018 3:26:00 PM,306.95,307,306.9,306.9,42851
9/14/2018 3:25:00 PM,306.85,307,306.75,306.95,37206
9/14/2018 3:24:00 PM,306.6,307,306.6,306.85,64407
9/14/2018 3:23:00 PM,306.85,307,306.6,306.6,70386
9/14/2018 3:22:00 PM,306.95,307,306.85,306.85,46777
9/14/2018 3:21:00 PM,307,307,306.8,306.85,57446
9/14/2018 3:20:00 PM,306.9,307,306.9,306.9,69725
9/14/2018 3:19:00 PM,307,307,306.9,306.95,39832
9/14/2018 3:18:00 PM,306.9,307.1,306.85,307,56579
9/14/2018 3:17:00 PM,306.9,307.05,306.9,306.9,33008
9/14/2018 3:16:00 PM,307,307,306.85,306.9,45105
9/14/2018 3:15:00 PM,307,307.05,306.8,306.8,72909
9/14/2018 3:14:00 PM,307,307.15,306.95,307,39615
9/14/2018 3:13:00 PM,307.05,307.1,306.95,306.95,40053
9/14/2018 3:12:00 PM,307.2,307.4,307,307.05,51340
9/14/2018 3:11:00 PM,306.95,307.2,306.85,307.2,35529
9/14/2018 3:10:00 PM,307.05,307.3,306.85,306.9,50843
9/14/2018 3:09:00 PM,307.05,307.25,306.55,307.1,117364
9/14/2018 3:08:00 PM,307.55,307.55,307.1,307.1,86454
9/14/2018 3:07:00 PM,307.5,307.55,307.45,307.55,56199
9/14/2018 3:06:00 PM,307.65,307.7,307.45,307.45,60789
9/14/2018 3:05:00 PM,307.9,308,307.5,307.7,69417
9/14/2018 3:04:00 PM,307.7,307.9,307.7,307.85,62706
9/14/2018 3:03:00 PM,307.4,307.8,307.35,307.75,54086
9/14/2018 3:02:00 PM,307.4,307.5,307.2,307.4,56100
9/14/2018 3:01:00 PM,307.3,307.5,307.3,307.45,78293
9/14/2018 3:00:00 PM,307.1,307.35,307.05,307.3,73135
