Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 4:59:00 PM,64.38,64.38,64.3,64.335,243
9/14/2018 4:58:00 PM,64.385,64.39,64.37,64.38,57
9/14/2018 4:57:00 PM,64.3825,64.385,64.3725,64.385,48
9/14/2018 4:56:00 PM,64.375,64.3825,64.37,64.3825,48
9/14/2018 4:55:00 PM,64.37,64.375,64.3675,64.375,27
9/14/2018 4:54:00 PM,64.365,64.375,64.365,64.37,27
9/14/2018 4:53:00 PM,64.38,64.38,64.3625,64.365,38
9/14/2018 4:52:00 PM,64.37,64.38,64.37,64.38,15
9/14/2018 4:51:00 PM,64.39,64.39,64.3675,64.37,36
9/14/2018 4:50:00 PM,64.4,64.4,64.385,64.39,71
9/14/2018 4:49:00 PM,64.395,64.4,64.395,64.4,25
9/14/2018 4:48:00 PM,64.395,64.395,64.395,64.395,11
9/14/2018 4:47:00 PM,64.3875,64.3975,64.385,64.395,71
9/14/2018 4:46:00 PM,64.385,64.3875,64.37,64.3875,170
9/14/2018 4:45:00 PM,64.38,64.3875,64.38,64.385,19
9/14/2018 4:44:00 PM,64.385,64.385,64.375,64.38,35
9/14/2018 4:43:00 PM,64.365,64.385,64.365,64.385,37
9/14/2018 4:42:00 PM,64.35,64.365,64.35,64.365,30
9/14/2018 4:41:00 PM,64.3525,64.3525,64.35,64.35,6
9/14/2018 4:40:00 PM,64.3425,64.3525,64.34,64.3525,79
9/14/2018 4:39:00 PM,64.3475,64.3475,64.3425,64.3425,1
9/14/2018 4:38:00 PM,64.3425,64.3475,64.3425,64.3475,28
9/14/2018 4:37:00 PM,64.35,64.35,64.3425,64.3425,1
9/14/2018 4:36:00 PM,64.34,64.35,64.34,64.35,2
9/14/2018 4:35:00 PM,64.355,64.355,64.34,64.34,100
9/14/2018 4:34:00 PM,64.3525,64.355,64.3525,64.355,1
9/14/2018 4:33:00 PM,64.3625,64.3625,64.3525,64.3525,30
9/14/2018 4:32:00 PM,64.3675,64.3675,64.3575,64.3625,750
9/14/2018 4:31:00 PM,64.3625,64.3675,64.36,64.3675,21
9/14/2018 4:30:00 PM,64.3475,64.3625,64.3475,64.3625,55
9/14/2018 4:29:00 PM,64.3425,64.35,64.34,64.3475,4
9/14/2018 4:28:00 PM,64.3575,64.3575,64.3375,64.3425,85
9/14/2018 4:27:00 PM,64.3925,64.3925,64.3575,64.3575,146
9/14/2018 4:26:00 PM,64.3925,64.3925,64.3925,64.3925,0
9/14/2018 4:25:00 PM,64.395,64.4,64.3925,64.3925,8
9/14/2018 4:24:00 PM,64.3975,64.3975,64.395,64.395,1
9/14/2018 4:23:00 PM,64.375,64.3975,64.375,64.3975,2
9/14/2018 4:22:00 PM,64.385,64.3925,64.375,64.375,169
9/14/2018 4:21:00 PM,64.4075,64.4075,64.385,64.385,18
9/14/2018 4:20:00 PM,64.4,64.4075,64.4,64.4075,3
9/14/2018 4:19:00 PM,64.385,64.4,64.385,64.4,15
9/14/2018 4:18:00 PM,64.4325,64.4325,64.385,64.385,166
9/14/2018 4:17:00 PM,64.4225,64.4325,64.4225,64.4325,51
9/14/2018 4:16:00 PM,64.435,64.435,64.4225,64.4225,36
9/14/2018 4:15:00 PM,64.45,64.45,64.435,64.435,2
9/14/2018 4:14:00 PM,64.455,64.455,64.45,64.45,30
9/14/2018 4:13:00 PM,64.46,64.47,64.455,64.455,34
9/14/2018 4:12:00 PM,64.4475,64.46,64.4475,64.46,49
9/14/2018 4:11:00 PM,64.435,64.4475,64.435,64.4475,24
9/14/2018 4:10:00 PM,64.4325,64.435,64.43,64.435,15
9/14/2018 4:09:00 PM,64.43,64.4325,64.43,64.4325,2
9/14/2018 4:08:00 PM,64.44,64.44,64.4225,64.43,81
9/14/2018 4:07:00 PM,64.44,64.445,64.44,64.44,27
9/14/2018 4:06:00 PM,64.45,64.45,64.44,64.44,51
9/14/2018 4:05:00 PM,64.4375,64.45,64.4375,64.45,112
9/14/2018 4:04:00 PM,64.435,64.445,64.435,64.4375,12
9/14/2018 4:03:00 PM,64.435,64.435,64.435,64.435,0
9/14/2018 4:02:00 PM,64.45,64.45,64.435,64.435,10
9/14/2018 4:01:00 PM,64.4625,64.4625,64.45,64.45,2
9/14/2018 4:00:00 PM,64.46,64.4675,64.46,64.4625,69
9/14/2018 3:59:00 PM,64.4575,64.465,64.4575,64.46,41
9/14/2018 3:58:00 PM,64.4525,64.47,64.4525,64.4575,159
9/14/2018 3:57:00 PM,64.4425,64.4475,64.4425,64.4475,9
9/14/2018 3:56:00 PM,64.44,64.4425,64.4325,64.4425,59
9/14/2018 3:55:00 PM,64.4425,64.445,64.4375,64.44,93
9/14/2018 3:54:00 PM,64.435,64.445,64.435,64.4425,77
9/14/2018 3:53:00 PM,64.425,64.435,64.425,64.435,500
9/14/2018 3:52:00 PM,64.42,64.425,64.42,64.425,124
9/14/2018 3:51:00 PM,64.4375,64.4375,64.42,64.42,53
9/14/2018 3:50:00 PM,64.445,64.445,64.44,64.44,41
9/14/2018 3:49:00 PM,64.45,64.45,64.44,64.445,38
9/14/2018 3:48:00 PM,64.47,64.47,64.45,64.45,47
9/14/2018 3:47:00 PM,64.46,64.47,64.46,64.47,11
9/14/2018 3:46:00 PM,64.4675,64.4675,64.46,64.46,10
9/14/2018 3:45:00 PM,64.4675,64.4675,64.4575,64.4675,448
9/14/2018 3:44:00 PM,64.48,64.48,64.4675,64.4675,31
9/14/2018 3:43:00 PM,64.48,64.48,64.48,64.48,0
9/14/2018 3:42:00 PM,64.485,64.485,64.48,64.48,14
9/14/2018 3:41:00 PM,64.48,64.49,64.48,64.485,23
9/14/2018 3:40:00 PM,64.48,64.48,64.48,64.48,19
9/14/2018 3:39:00 PM,64.4725,64.48,64.4725,64.48,57
9/14/2018 3:38:00 PM,64.46,64.47,64.46,64.47,42
9/14/2018 3:37:00 PM,64.4625,64.4625,64.455,64.46,165
9/14/2018 3:36:00 PM,64.485,64.485,64.4625,64.4625,182
9/14/2018 3:35:00 PM,64.4725,64.485,64.4725,64.485,87
9/14/2018 3:34:00 PM,64.4825,64.49,64.465,64.4725,218
9/14/2018 3:33:00 PM,64.49,64.5,64.4825,64.4825,198
9/14/2018 3:32:00 PM,64.475,64.5025,64.475,64.49,154
9/14/2018 3:31:00 PM,64.4525,64.48,64.4525,64.475,417
9/14/2018 3:30:00 PM,64.435,64.4525,64.4325,64.4525,176
9/14/2018 3:29:00 PM,64.4325,64.435,64.4275,64.435,95
9/14/2018 3:28:00 PM,64.4325,64.4425,64.4325,64.4325,185
9/14/2018 3:27:00 PM,64.4225,64.435,64.4225,64.4325,166
9/14/2018 3:26:00 PM,64.43,64.4375,64.4225,64.4225,519
9/14/2018 3:25:00 PM,64.405,64.43,64.4025,64.43,196
9/14/2018 3:24:00 PM,64.355,64.4075,64.355,64.405,221
9/14/2018 3:23:00 PM,64.36,64.36,64.355,64.355,5
9/14/2018 3:22:00 PM,64.36,64.36,64.36,64.36,0
9/14/2018 3:21:00 PM,64.345,64.36,64.345,64.36,41
9/14/2018 3:20:00 PM,64.345,64.345,64.345,64.345,30
9/14/2018 3:19:00 PM,64.345,64.35,64.345,64.345,50
9/14/2018 3:18:00 PM,64.345,64.345,64.345,64.345,0
