Date,KOTAKBANK-EQ O,KOTAKBANK-EQ H,KOTAKBANK-EQ L,KOTAKBANK-EQ C,KOTAKBANK-EQ V
9/14/2018 3:29:00 PM,1237.8,1239.55,1235.75,1239.2,21177
9/14/2018 3:28:00 PM,1238,1238.05,1236.8,1237.45,22102
9/14/2018 3:27:00 PM,1238.6,1238.85,1238,1238,4329
9/14/2018 3:26:00 PM,1238.5,1238.8,1238,1238.6,5244
9/14/2018 3:25:00 PM,1238.5,1238.6,1236.85,1238.5,25629
9/14/2018 3:24:00 PM,1238,1238.55,1238,1238,6880
9/14/2018 3:23:00 PM,1238.15,1238.6,1237.45,1238,11992
9/14/2018 3:22:00 PM,1238.6,1238.75,1237.3,1238.25,8083
9/14/2018 3:21:00 PM,1239.5,1239.5,1238.55,1238.6,7440
9/14/2018 3:20:00 PM,1239.85,1240,1238.95,1239.5,7711
9/14/2018 3:19:00 PM,1239.5,1240,1239.5,1239.85,2984
9/14/2018 3:18:00 PM,1239.5,1239.7,1239.5,1239.5,3996
9/14/2018 3:17:00 PM,1239.5,1239.9,1239.45,1239.5,2597
9/14/2018 3:16:00 PM,1239.55,1240.1,1239,1239.5,4423
9/14/2018 3:15:00 PM,1239.6,1240.45,1239.15,1240.3,14859
9/14/2018 3:14:00 PM,1240,1240.25,1239.05,1239.6,5338
9/14/2018 3:13:00 PM,1239,1240.65,1239,1240,3848
9/14/2018 3:12:00 PM,1240.5,1240.75,1239,1239.5,8170
9/14/2018 3:11:00 PM,1240.25,1240.85,1240.25,1240.65,6958
9/14/2018 3:10:00 PM,1241,1241.7,1240.25,1240.3,7316
9/14/2018 3:09:00 PM,1242.1,1242.75,1240.8,1240.9,12336
9/14/2018 3:08:00 PM,1242.3,1242.5,1242.05,1242.1,4280
9/14/2018 3:07:00 PM,1242.5,1242.55,1242,1242.3,5503
9/14/2018 3:06:00 PM,1242.2,1242.5,1242.2,1242.4,2972
9/14/2018 3:05:00 PM,1242,1242.5,1242,1242.2,4071
