Date,LUPIN-EQ O,LUPIN-EQ H,LUPIN-EQ L,LUPIN-EQ C,LUPIN-EQ V
9/14/2018 3:29:00 PM,966,966.85,964,964,11030
9/14/2018 3:28:00 PM,965.85,966.5,965.55,965.95,12216
9/14/2018 3:27:00 PM,964,965.85,963.95,965.85,12908
9/14/2018 3:26:00 PM,964.35,964.85,963.95,964.4,10094
9/14/2018 3:25:00 PM,965.15,965.9,964.3,964.3,6021
9/14/2018 3:24:00 PM,965.95,966.4,964.4,965.3,17198
9/14/2018 3:23:00 PM,965.5,966,964.5,965.3,15536
9/14/2018 3:22:00 PM,965.5,966,965.35,965.8,6164
9/14/2018 3:21:00 PM,965.1,966,964.55,965.35,22724
9/14/2018 3:20:00 PM,965.65,967.7,965.1,965.15,21747
9/14/2018 3:19:00 PM,966.85,967,965.6,965.8,14014
9/14/2018 3:18:00 PM,968.3,968.3,966.35,966.35,19963
9/14/2018 3:17:00 PM,968.1,968.6,967.2,968,10598
9/14/2018 3:16:00 PM,968.35,969,967.55,968.2,31480
9/14/2018 3:15:00 PM,968.9,969.3,968.2,968.35,24716
9/14/2018 3:14:00 PM,970.15,970.15,968.9,969.1,11043
9/14/2018 3:13:00 PM,970.25,971,970,970.15,9164
9/14/2018 3:12:00 PM,971.05,971.7,970,970.7,15181
9/14/2018 3:11:00 PM,971.15,971.8,970.85,971.5,9934
9/14/2018 3:10:00 PM,971,971.95,971,971.45,16367
9/14/2018 3:09:00 PM,971.8,972.3,971,971,7248
9/14/2018 3:08:00 PM,972.5,972.85,971.65,972.25,7351
9/14/2018 3:07:00 PM,972.7,973,972.35,972.9,9479
9/14/2018 3:06:00 PM,972.4,972.8,972.2,972.8,8433
9/14/2018 3:05:00 PM,971.65,973,971.65,972.4,7083
9/14/2018 3:04:00 PM,973.4,973.65,971.65,971.65,11819
9/14/2018 3:03:00 PM,972.8,973.7,972.8,973.35,19586
9/14/2018 3:02:00 PM,972.4,973,972.35,972.8,11835
9/14/2018 3:01:00 PM,971.95,972.4,971.5,972.35,13702
9/14/2018 3:00:00 PM,971.4,972,971.05,971.95,22565
9/14/2018 2:59:00 PM,971.25,971.8,970.65,971.35,12416
9/14/2018 2:58:00 PM,971.3,971.7,970.95,971.2,4700
9/14/2018 2:57:00 PM,971.3,971.95,971.3,971.3,6848
9/14/2018 2:56:00 PM,972,972,971.35,971.5,9338
9/14/2018 2:55:00 PM,971.45,972,971.45,972,4506
9/14/2018 2:54:00 PM,970.4,971.5,970.4,971.45,4269
9/14/2018 2:53:00 PM,971.35,971.35,970.4,970.65,3875
9/14/2018 2:52:00 PM,970.95,971.85,970.95,971.7,4862
9/14/2018 2:51:00 PM,970.5,971,970.2,971,2794
9/14/2018 2:50:00 PM,969.55,970.65,969.5,970.5,5531
9/14/2018 2:49:00 PM,969.5,969.65,969.5,969.55,2940
9/14/2018 2:48:00 PM,969.9,970,969.45,969.5,3334
9/14/2018 2:47:00 PM,969.55,970,969.45,969.9,1821
9/14/2018 2:46:00 PM,969.7,970,969.45,969.55,4213
9/14/2018 2:45:00 PM,969.65,970,969.4,970,5622
9/14/2018 2:44:00 PM,970.4,970.65,969.4,969.4,7405
9/14/2018 2:43:00 PM,971.35,971.35,970.45,970.45,6931
9/14/2018 2:42:00 PM,971.9,971.95,971.35,971.45,3461
9/14/2018 2:41:00 PM,971.7,972.05,971.7,971.9,4688
9/14/2018 2:40:00 PM,972.2,972.2,971.55,971.65,5026
9/14/2018 2:39:00 PM,971.2,972.2,971,972.1,7798
9/14/2018 2:38:00 PM,971.5,971.7,971.05,971.35,5487
9/14/2018 2:37:00 PM,972,972,971.1,971.7,7746
9/14/2018 2:36:00 PM,972.45,972.65,971.55,972.2,11442
9/14/2018 2:35:00 PM,969.85,972.85,969.85,972.4,23641
9/14/2018 2:34:00 PM,969.95,970,969.6,970,7013
9/14/2018 2:33:00 PM,968,970.6,968,969.9,18456
9/14/2018 2:32:00 PM,968,968.4,968,968.4,2219
9/14/2018 2:31:00 PM,967.85,968.45,967.85,968.45,3199
9/14/2018 2:30:00 PM,967.75,968.15,967,967.85,6686
9/14/2018 2:29:00 PM,968.15,968.45,967.65,967.65,4351
9/14/2018 2:28:00 PM,968.45,968.5,967.9,968.15,3552
9/14/2018 2:27:00 PM,968.9,969,968.5,968.5,4315
9/14/2018 2:26:00 PM,968.8,969,968.5,969,2921
9/14/2018 2:25:00 PM,968.6,969,968.5,969,2899
9/14/2018 2:24:00 PM,968.95,969,968.5,968.6,2157
9/14/2018 2:23:00 PM,969,969.4,968.5,968.95,2783
9/14/2018 2:22:00 PM,968.2,969.45,968.2,969.45,2384
9/14/2018 2:21:00 PM,968.8,969.15,968.15,968.3,5198
9/14/2018 2:20:00 PM,968.6,969,968.25,968.8,1242
9/14/2018 2:19:00 PM,969.6,969.85,968.3,968.6,6423
9/14/2018 2:18:00 PM,969.85,970,969,969.8,5465
9/14/2018 2:17:00 PM,969.25,970,969.15,970,4508
9/14/2018 2:16:00 PM,969.65,969.95,969,969.25,4304
9/14/2018 2:15:00 PM,969,970,968.9,969.65,13635
9/14/2018 2:14:00 PM,968.15,969,968.15,968.8,3355
9/14/2018 2:13:00 PM,967.95,968.7,967.5,968.7,1697
9/14/2018 2:12:00 PM,968.45,968.9,968,968,3292
9/14/2018 2:11:00 PM,968.15,968.7,967.9,968.45,3349
9/14/2018 2:10:00 PM,968.9,968.9,968.15,968.15,5428
9/14/2018 2:09:00 PM,968.8,968.9,968.5,968.9,4325
9/14/2018 2:08:00 PM,968,968.8,968,968.75,3373
9/14/2018 2:07:00 PM,968.7,968.7,968,968,4421
9/14/2018 2:06:00 PM,968,969,968,968.35,2882
9/14/2018 2:05:00 PM,967,967.8,966.85,967.75,8861
9/14/2018 2:04:00 PM,968.3,968.7,967,967,9482
9/14/2018 2:03:00 PM,968.5,968.85,968.2,968.3,3964
9/14/2018 2:02:00 PM,968.15,968.4,968.15,968.4,2685
9/14/2018 2:01:00 PM,968.75,968.75,968,968.15,4026
9/14/2018 2:00:00 PM,969.25,969.4,968.3,968.75,5117
9/14/2018 1:59:00 PM,968.65,969.6,968.6,969.25,4869
9/14/2018 1:58:00 PM,968.4,968.95,968.4,968.65,3817
9/14/2018 1:57:00 PM,968.8,968.95,968.2,968.4,4106
9/14/2018 1:56:00 PM,968,968.9,967.7,968.4,3153
9/14/2018 1:55:00 PM,967.6,968,967.6,968,2610
9/14/2018 1:54:00 PM,967.35,968.3,967.3,967.55,4817
9/14/2018 1:53:00 PM,967.15,967.8,966.75,967.25,5864
9/14/2018 1:52:00 PM,968.55,968.55,966,967.55,22155
9/14/2018 1:51:00 PM,968.7,968.7,967.9,968.55,5703
9/14/2018 1:50:00 PM,968.6,969.05,968.6,968.85,4552
9/14/2018 1:49:00 PM,968.7,968.85,968.35,968.45,2442
9/14/2018 1:48:00 PM,968,968.7,968,968.7,2415
9/14/2018 1:47:00 PM,968.6,969.4,968,968.1,6650
9/14/2018 1:46:00 PM,968,968.85,967.75,968.6,2969
9/14/2018 1:45:00 PM,969.2,969.2,967.65,968,10816
9/14/2018 1:44:00 PM,969.25,969.55,969.15,969.35,2529
9/14/2018 1:43:00 PM,969.25,969.8,969.25,969.3,3046
9/14/2018 1:42:00 PM,969,969.65,968.8,969.25,3957
9/14/2018 1:41:00 PM,968.85,968.85,968.5,968.5,3190
9/14/2018 1:40:00 PM,968.95,969,968.6,968.75,1886
9/14/2018 1:39:00 PM,969.1,969.85,968.05,969,5082
9/14/2018 1:38:00 PM,969.25,969.9,968.3,969.05,5564
9/14/2018 1:37:00 PM,968.05,969.25,967.9,969.25,5163
9/14/2018 1:36:00 PM,968.35,968.35,967.5,967.65,6770
9/14/2018 1:35:00 PM,968.75,969.25,968.25,968.25,6048
9/14/2018 1:34:00 PM,968.65,969,968.25,968.75,2860
9/14/2018 1:33:00 PM,968.6,969.35,968.4,968.65,7097
9/14/2018 1:32:00 PM,968,968.7,968,968.7,5236
9/14/2018 1:31:00 PM,967.55,968.45,967.25,967.95,7958
9/14/2018 1:30:00 PM,969.4,969.4,967.55,967.6,10536
9/14/2018 1:29:00 PM,969.15,969.9,969.05,969.05,2834
9/14/2018 1:28:00 PM,969.4,969.75,968.95,969.15,3584
9/14/2018 1:27:00 PM,969.85,969.85,968.8,969.1,10050
9/14/2018 1:26:00 PM,971,971,969.6,969.6,7439
9/14/2018 1:25:00 PM,970,971,969.65,971,10527
9/14/2018 1:24:00 PM,969.9,970,969.2,969.95,4606
9/14/2018 1:23:00 PM,969.2,969.9,969,969.9,5817
9/14/2018 1:22:00 PM,967.95,969.2,967.5,968.85,17171
9/14/2018 1:21:00 PM,971.6,971.7,968.3,968.65,29006
9/14/2018 1:20:00 PM,971.25,971.85,971.25,971.6,2423
9/14/2018 1:19:00 PM,971.3,971.6,971.1,971.25,3116
9/14/2018 1:18:00 PM,972.45,972.45,971.15,971.3,6101
9/14/2018 1:17:00 PM,973,973,972.2,972.2,5476
9/14/2018 1:16:00 PM,972.45,973,972.2,972.65,2205
9/14/2018 1:15:00 PM,971.35,972.8,971.35,972.2,4145
9/14/2018 1:14:00 PM,971.3,971.45,971.3,971.3,2369
9/14/2018 1:13:00 PM,973,973,970.35,971.3,11189
9/14/2018 1:12:00 PM,972.8,973,972.7,972.9,4539
9/14/2018 1:11:00 PM,972.7,972.8,972.05,972.7,4323
9/14/2018 1:10:00 PM,973.3,973.3,972.7,972.7,2352
9/14/2018 1:09:00 PM,973.5,973.65,973.15,973.25,1632
9/14/2018 1:08:00 PM,972.9,973.5,972.8,973.25,2821
9/14/2018 1:07:00 PM,974,974,972.8,972.9,2124
9/14/2018 1:06:00 PM,974.25,974.35,973.4,973.9,2777
9/14/2018 1:05:00 PM,973.85,974.6,973.55,974.1,12177
9/14/2018 1:04:00 PM,972.9,973.9,972.65,973.9,1639
9/14/2018 1:03:00 PM,973.85,973.85,972.7,972.9,5303
9/14/2018 1:02:00 PM,973.75,974,973.35,973.35,3697
9/14/2018 1:01:00 PM,973.85,974,973.55,973.75,2279
9/14/2018 1:00:00 PM,974.25,974.3,973.85,973.85,3288
9/14/2018 12:59:00 PM,974.2,974.45,974.05,974.25,3922
9/14/2018 12:58:00 PM,974.35,974.35,974,974.05,4560
9/14/2018 12:57:00 PM,974.45,974.7,974.2,974.35,2816
9/14/2018 12:56:00 PM,975,975,974,974.45,8255
9/14/2018 12:55:00 PM,973.9,975,973.65,974.9,11524
9/14/2018 12:54:00 PM,973.7,973.9,973.2,973.9,1769
9/14/2018 12:53:00 PM,973.7,973.9,973.05,973.05,5981
9/14/2018 12:52:00 PM,973.9,973.9,973.35,973.65,5438
9/14/2018 12:51:00 PM,973.2,973.9,972.9,973.9,6725
9/14/2018 12:50:00 PM,972.5,973.2,972.35,972.9,3626
9/14/2018 12:49:00 PM,972.7,972.7,972.05,972.5,2744
9/14/2018 12:48:00 PM,973.2,973.25,972.5,972.5,8342
9/14/2018 12:47:00 PM,973,973.3,972.85,973.2,5002
9/14/2018 12:46:00 PM,973,973.6,973,973.35,11377
9/14/2018 12:45:00 PM,972.6,973.65,972.6,973,9612
9/14/2018 12:44:00 PM,972.25,972.6,972,972.6,6001
9/14/2018 12:43:00 PM,971.6,972.5,971.6,972.25,5049
