Date,MARUTI-EQ O,MARUTI-EQ H,MARUTI-EQ L,MARUTI-EQ C,MARUTI-EQ V
9/14/2018 3:29:00 PM,8629.9,8630,8599.55,8600.15,8105
9/14/2018 3:28:00 PM,8630.2,8634,8628,8629.9,2601
9/14/2018 3:27:00 PM,8635,8635,8630.3,8630.3,3676
9/14/2018 3:26:00 PM,8631.1,8635,8631.1,8634.2,2286
9/14/2018 3:25:00 PM,8635,8635,8630.2,8631.1,1602
9/14/2018 3:24:00 PM,8635,8635,8633.75,8635,3566
9/14/2018 3:23:00 PM,8634.75,8635,8633.75,8634.45,3117
9/14/2018 3:22:00 PM,8635,8635,8632.85,8635,1421
9/14/2018 3:21:00 PM,8631.35,8635,8630.65,8634.75,1917
9/14/2018 3:20:00 PM,8632,8633,8630.05,8631.7,3062
9/14/2018 3:19:00 PM,8632,8634,8632,8632,2009
9/14/2018 3:18:00 PM,8627.1,8632,8627.1,8632,2170
9/14/2018 3:17:00 PM,8634.95,8634.95,8626.3,8628.2,1689
9/14/2018 3:16:00 PM,8621.5,8635,8620.15,8634.85,3196
9/14/2018 3:15:00 PM,8634.9,8634.9,8620.1,8624.95,7793
9/14/2018 3:14:00 PM,8636.9,8637.45,8631,8632.35,1969
9/14/2018 3:13:00 PM,8637.1,8637.1,8630.95,8637.05,1751
9/14/2018 3:12:00 PM,8640,8640.05,8627.85,8638.85,2159
9/14/2018 3:11:00 PM,8643.9,8645,8636.55,8640.05,1718
9/14/2018 3:10:00 PM,8627.3,8647.5,8626.9,8644,3077
9/14/2018 3:09:00 PM,8628.75,8629.2,8625,8626.85,1197
9/14/2018 3:08:00 PM,8625,8630,8625,8628.8,1828
9/14/2018 3:07:00 PM,8623.5,8626.7,8623.5,8625,1224
9/14/2018 3:06:00 PM,8623.75,8627,8622.05,8625.2,2262
9/14/2018 3:05:00 PM,8621.75,8625,8620.75,8623.75,2891
9/14/2018 3:04:00 PM,8616.35,8622,8616.35,8622,1821
9/14/2018 3:03:00 PM,8617.1,8619.5,8615.8,8616.55,2473
9/14/2018 3:02:00 PM,8616.3,8619.5,8615,8617.25,2348
9/14/2018 3:01:00 PM,8618.5,8619,8611.45,8616.3,4877
9/14/2018 3:00:00 PM,8603.6,8619,8600.7,8618.65,2845
9/14/2018 2:59:00 PM,8606.2,8611.05,8599.55,8603.6,2374
9/14/2018 2:58:00 PM,8606.9,8612.55,8599.55,8600.1,3400
9/14/2018 2:57:00 PM,8645.7,8645.7,8590,8600.85,18856
9/14/2018 2:56:00 PM,8648.65,8649.15,8646,8646,2046
9/14/2018 2:55:00 PM,8648.7,8648.75,8646.05,8648.5,1562
9/14/2018 2:54:00 PM,8649.3,8650,8648.55,8648.7,508
9/14/2018 2:53:00 PM,8651,8652.4,8648.5,8649.3,576
9/14/2018 2:52:00 PM,8648.7,8652,8648.1,8650.1,871
9/14/2018 2:51:00 PM,8649.2,8650,8648,8648.8,453
9/14/2018 2:50:00 PM,8651,8652,8648.1,8649.95,463
9/14/2018 2:49:00 PM,8650,8652,8648,8651,550
9/14/2018 2:48:00 PM,8650.45,8652,8648.15,8650,554
9/14/2018 2:47:00 PM,8650.45,8650.5,8648,8650.45,485
9/14/2018 2:46:00 PM,8652,8652.3,8649.85,8650.5,864
9/14/2018 2:45:00 PM,8648,8652,8648,8651.95,979
9/14/2018 2:44:00 PM,8648.9,8650,8648,8648.3,560
9/14/2018 2:43:00 PM,8647.2,8649.1,8647,8648.9,1421
9/14/2018 2:42:00 PM,8649.15,8649.15,8647.05,8647.25,470
9/14/2018 2:41:00 PM,8645.7,8651,8645.65,8649.1,1002
9/14/2018 2:40:00 PM,8645.6,8647.4,8645.55,8645.7,406
9/14/2018 2:39:00 PM,8645.7,8645.7,8645.5,8645.6,510
9/14/2018 2:38:00 PM,8646.4,8647,8645.25,8646.1,711
9/14/2018 2:37:00 PM,8650.65,8650.65,8646.4,8646.4,346
9/14/2018 2:36:00 PM,8648.3,8650.75,8647.55,8650.7,761
9/14/2018 2:35:00 PM,8650.9,8650.95,8645.25,8648.3,266
