Date,NIFTY18NOV11800PE O,NIFTY18NOV11800PE H,NIFTY18NOV11800PE L,NIFTY18NOV11800PE C,NIFTY18NOV11800PE V
9/14/2018 3:29:00 PM,340,340,340,340,0
9/14/2018 3:28:00 PM,340,340,340,340,0
9/14/2018 3:27:00 PM,340,340,340,340,0
9/14/2018 3:26:00 PM,340,340,340,340,0
9/14/2018 3:25:00 PM,340,340,340,340,0
9/14/2018 3:24:00 PM,340,340,340,340,0
9/14/2018 3:23:00 PM,340,340,340,340,0
9/14/2018 3:22:00 PM,340,340,340,340,0
9/14/2018 3:21:00 PM,340,340,340,340,0
9/14/2018 3:20:00 PM,340,340,340,340,0
9/14/2018 3:19:00 PM,340,340,340,340,0
9/14/2018 3:18:00 PM,340,340,340,340,0
9/14/2018 3:17:00 PM,340,340,340,340,0
9/14/2018 3:16:00 PM,340,340,340,340,0
9/14/2018 3:15:00 PM,340,340,340,340,75
9/14/2018 3:14:00 PM,345,345,345,345,0
9/14/2018 3:13:00 PM,345,345,345,345,0
9/14/2018 3:12:00 PM,345,345,345,345,0
9/14/2018 3:11:00 PM,345,345,345,345,0
9/14/2018 3:10:00 PM,345,345,345,345,0
9/14/2018 3:09:00 PM,345,345,345,345,0
9/14/2018 3:08:00 PM,345,345,345,345,0
9/14/2018 3:07:00 PM,345,345,345,345,0
9/14/2018 3:06:00 PM,345,345,345,345,0
9/14/2018 3:05:00 PM,345,345,345,345,0
9/14/2018 3:04:00 PM,345,345,345,345,0
9/14/2018 3:03:00 PM,345,345,345,345,0
9/14/2018 3:02:00 PM,345,345,345,345,0
9/14/2018 3:01:00 PM,345,345,345,345,0
9/14/2018 3:00:00 PM,345,345,345,345,0
9/14/2018 2:59:00 PM,345,345,345,345,0
9/14/2018 2:58:00 PM,345,345,345,345,0
9/14/2018 2:57:00 PM,345,345,345,345,0
9/14/2018 2:56:00 PM,345,345,345,345,0
9/14/2018 2:55:00 PM,345,345,345,345,0
9/14/2018 2:54:00 PM,345,345,345,345,0
9/14/2018 2:53:00 PM,345,345,345,345,0
9/14/2018 2:52:00 PM,355,355,345,345,75
9/14/2018 2:51:00 PM,355,355,355,355,0
9/14/2018 2:50:00 PM,355,355,355,355,0
9/14/2018 2:49:00 PM,355,355,355,355,0
9/14/2018 2:48:00 PM,355,355,355,355,0
9/14/2018 2:47:00 PM,355,355,355,355,0
9/14/2018 2:46:00 PM,355,355,355,355,0
9/14/2018 2:45:00 PM,355,355,355,355,0
9/14/2018 2:44:00 PM,355,355,355,355,0
9/14/2018 2:43:00 PM,355,355,355,355,0
9/14/2018 2:42:00 PM,355,355,355,355,0
9/14/2018 2:41:00 PM,355,355,355,355,0
9/14/2018 2:40:00 PM,355,355,355,355,0
9/14/2018 2:39:00 PM,355,355,355,355,0
9/14/2018 2:38:00 PM,355,355,355,355,0
9/14/2018 2:37:00 PM,355,355,355,355,0
9/14/2018 2:36:00 PM,355,355,355,355,0
9/14/2018 2:35:00 PM,355,355,355,355,0
9/14/2018 2:34:00 PM,355,355,355,355,0
9/14/2018 2:33:00 PM,355,355,355,355,0
9/14/2018 2:32:00 PM,355,355,355,355,0
9/14/2018 2:31:00 PM,355,355,355,355,0
9/14/2018 2:30:00 PM,355,355,355,355,0
9/14/2018 2:29:00 PM,355,355,355,355,0
9/14/2018 2:28:00 PM,355,355,355,355,0
9/14/2018 2:27:00 PM,355,355,355,355,0
9/14/2018 2:26:00 PM,355,355,355,355,0
9/14/2018 2:25:00 PM,355,355,355,355,0
9/14/2018 2:24:00 PM,355,355,355,355,0
9/14/2018 2:23:00 PM,355,355,355,355,0
9/14/2018 2:22:00 PM,355,355,355,355,0
9/14/2018 2:21:00 PM,355,355,355,355,0
9/14/2018 2:20:00 PM,355,355,355,355,0
9/14/2018 2:19:00 PM,355,355,355,355,0
9/14/2018 2:18:00 PM,355,355,355,355,0
9/14/2018 2:17:00 PM,355,355,355,355,0
9/14/2018 2:16:00 PM,355,355,355,355,0
9/14/2018 2:15:00 PM,360,360,355,355,300
9/14/2018 2:14:00 PM,360,360,360,360,0
9/14/2018 2:13:00 PM,360,360,360,360,750
9/14/2018 2:12:00 PM,360,360,360,360,0
9/14/2018 2:11:00 PM,360,360,360,360,750
