Date,NIFTY18OCT11450PE O,NIFTY18OCT11450PE H,NIFTY18OCT11450PE L,NIFTY18OCT11450PE C,NIFTY18OCT11450PE V
9/14/2018 3:23:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:22:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:21:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:20:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:19:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:18:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:17:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:16:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:15:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:14:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:13:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:12:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:11:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:10:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:09:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:08:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:07:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:06:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:05:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:04:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:03:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:02:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:01:00 PM,143.3,143.3,143.3,143.3,0
9/14/2018 3:00:00 PM,143.3,143.3,143.3,143.3,75
