Date,NIFTY18SEP11200PE O,NIFTY18SEP11200PE H,NIFTY18SEP11200PE L,NIFTY18SEP11200PE C,NIFTY18SEP11200PE V
9/14/2018 3:29:00 PM,22.7,23.5,22.6,23.25,48075
9/14/2018 3:28:00 PM,22.4,22.65,22.4,22.55,30900
9/14/2018 3:27:00 PM,22.25,22.45,22.25,22.4,23025
9/14/2018 3:26:00 PM,22,22.3,22,22.25,32175
9/14/2018 3:25:00 PM,22.15,22.25,22.1,22.1,19425
9/14/2018 3:24:00 PM,22,22.3,21.95,22.15,27450
9/14/2018 3:23:00 PM,22.05,22.2,21.8,22,11775
9/14/2018 3:22:00 PM,21.95,22.2,21.9,22.2,21900
9/14/2018 3:21:00 PM,21.95,22,21.85,21.9,27675
9/14/2018 3:20:00 PM,21.5,21.9,21.45,21.9,35400
9/14/2018 3:19:00 PM,21.35,21.75,21.35,21.45,25800
9/14/2018 3:18:00 PM,21.65,21.65,21.25,21.35,24825
9/14/2018 3:17:00 PM,21.7,21.85,21.55,21.65,19200
9/14/2018 3:16:00 PM,21.9,22,21.65,21.7,15750
9/14/2018 3:15:00 PM,21.75,21.9,21.75,21.9,16950
9/14/2018 3:14:00 PM,21.9,22,21.7,21.7,15600
9/14/2018 3:13:00 PM,22.2,22.2,21.9,21.95,35700
9/14/2018 3:12:00 PM,22,22.3,22,22.15,19875
9/14/2018 3:11:00 PM,22.1,22.3,22,22,11850
9/14/2018 3:10:00 PM,22.2,22.2,21.8,22.1,27600
9/14/2018 3:09:00 PM,21.75,22.2,21.75,22.2,16575
9/14/2018 3:08:00 PM,21.95,22.05,21.65,21.75,23325
9/14/2018 3:07:00 PM,21.85,22.2,21.8,22,35400
9/14/2018 3:06:00 PM,22,22.35,21.9,21.95,38100
9/14/2018 3:05:00 PM,22.15,22.3,22,22.15,34425
9/14/2018 3:04:00 PM,22,22.25,21.85,22.1,46650
9/14/2018 3:03:00 PM,22.2,22.4,21.8,21.85,64575
9/14/2018 3:02:00 PM,22.6,22.9,22.2,22.2,45525
9/14/2018 3:01:00 PM,23.35,23.45,22.55,22.75,60000
9/14/2018 3:00:00 PM,24.6,24.75,23.05,23.4,61950
9/14/2018 2:59:00 PM,24.05,24.6,24,24.6,25950
9/14/2018 2:58:00 PM,23.65,24.05,23.55,24.05,16800
9/14/2018 2:57:00 PM,24,24.1,23.55,23.65,10650
9/14/2018 2:56:00 PM,23.8,24.1,23.55,24,33450
9/14/2018 2:55:00 PM,23.95,24.2,23.8,23.8,6300
9/14/2018 2:54:00 PM,23.9,24,23.65,23.95,3375
9/14/2018 2:53:00 PM,24,24,23.6,23.9,6300
9/14/2018 2:52:00 PM,23.9,24.05,23.9,24,8625
9/14/2018 2:51:00 PM,23.75,24,23.75,23.9,7800
9/14/2018 2:50:00 PM,23.3,23.7,23.3,23.7,4350
9/14/2018 2:49:00 PM,23.65,23.9,23.3,23.3,6150
9/14/2018 2:48:00 PM,23.3,23.8,23.3,23.65,15075
9/14/2018 2:47:00 PM,23.55,23.8,23.3,23.3,15750
9/14/2018 2:46:00 PM,23.55,23.85,23.45,23.55,6900
9/14/2018 2:45:00 PM,23.85,23.9,23.5,23.65,18150
9/14/2018 2:44:00 PM,24.15,24.15,23.6,23.9,37875
9/14/2018 2:43:00 PM,24.35,24.35,23.9,24.15,32100
9/14/2018 2:42:00 PM,24.75,24.75,24,24.35,48450
9/14/2018 2:41:00 PM,24.75,24.85,24.4,24.75,41250
9/14/2018 2:40:00 PM,24.8,25.1,24.75,24.8,39375
9/14/2018 2:39:00 PM,25.15,25.45,24.7,24.8,12975
9/14/2018 2:38:00 PM,25.2,25.4,24.8,25.15,13275
9/14/2018 2:37:00 PM,25.1,25.4,24.9,25.2,13800
9/14/2018 2:36:00 PM,24.55,25.15,24.4,25.15,24225
9/14/2018 2:35:00 PM,24.8,24.95,24.4,24.4,4800
9/14/2018 2:34:00 PM,25,25.25,24.85,24.95,18150
9/14/2018 2:33:00 PM,24.4,24.9,24.4,24.9,3750
9/14/2018 2:32:00 PM,24.85,24.85,24.25,24.4,20850
9/14/2018 2:31:00 PM,24.85,24.85,24.5,24.7,8475
9/14/2018 2:30:00 PM,25.55,25.6,24.85,24.85,14175
9/14/2018 2:29:00 PM,25.55,25.6,25.25,25.5,11250
9/14/2018 2:28:00 PM,25.9,26.1,25.5,25.55,30075
9/14/2018 2:27:00 PM,25.45,26,25.45,25.95,17775
9/14/2018 2:26:00 PM,25.45,25.75,25.3,25.45,11475
9/14/2018 2:25:00 PM,25.9,25.95,25.45,25.45,14100
9/14/2018 2:24:00 PM,26.1,26.5,25.9,25.9,10350
9/14/2018 2:23:00 PM,25.75,26.3,25.75,25.95,15075
9/14/2018 2:22:00 PM,25.65,25.85,25.5,25.75,8850
9/14/2018 2:21:00 PM,25.75,26,25.65,25.75,8550
9/14/2018 2:20:00 PM,25.6,25.75,25.45,25.6,6450
9/14/2018 2:19:00 PM,25.2,25.65,25.15,25.6,9600
9/14/2018 2:18:00 PM,24.9,25.5,24.9,25.3,6900
9/14/2018 2:17:00 PM,25.05,25.05,24.7,24.8,8850
9/14/2018 2:16:00 PM,25.2,25.35,24.95,25.05,15375
9/14/2018 2:15:00 PM,25.15,25.25,25,25.2,10425
9/14/2018 2:14:00 PM,25.9,26.05,25.15,25.15,18000
9/14/2018 2:13:00 PM,25.85,25.95,25.5,25.9,2850
9/14/2018 2:12:00 PM,25.9,25.95,25.65,25.85,2775
9/14/2018 2:11:00 PM,25.95,26.05,25.7,25.9,14325
9/14/2018 2:10:00 PM,26.5,26.55,25.95,25.95,4725
9/14/2018 2:09:00 PM,26.4,26.5,26.25,26.5,22125
9/14/2018 2:08:00 PM,25.95,26.75,25.85,26.5,29325
9/14/2018 2:07:00 PM,26,26.25,25.5,26,28800
9/14/2018 2:06:00 PM,26.7,26.8,26,26,18600
9/14/2018 2:05:00 PM,26.6,27.4,26.55,26.85,32700
9/14/2018 2:04:00 PM,26.1,26.65,26.1,26.6,11625
9/14/2018 2:03:00 PM,26.3,26.3,25.9,26.1,6300
9/14/2018 2:02:00 PM,25.9,26.3,25.7,26.3,5550
9/14/2018 2:01:00 PM,26,26.15,25.85,25.9,11850
9/14/2018 2:00:00 PM,25.6,26,25.45,25.95,9750
9/14/2018 1:59:00 PM,25.45,25.65,25.3,25.6,9525
9/14/2018 1:58:00 PM,25.05,25.5,25,25.45,6225
9/14/2018 1:57:00 PM,25.1,25.3,25,25.05,9150
9/14/2018 1:56:00 PM,25.2,25.2,25,25.1,3675
9/14/2018 1:55:00 PM,25,25.4,24.95,25.2,7275
9/14/2018 1:54:00 PM,25,25.15,24.55,25,30150
9/14/2018 1:53:00 PM,25.35,25.5,25,25,15450
9/14/2018 1:52:00 PM,24.9,25.35,24.85,25.35,3825
9/14/2018 1:51:00 PM,24.8,25.2,24.6,24.9,8100
9/14/2018 1:50:00 PM,25.05,25.05,24.5,24.8,12900
9/14/2018 1:49:00 PM,25,25.05,24.4,25.05,15450
9/14/2018 1:48:00 PM,25.35,25.4,24.7,24.95,20475
9/14/2018 1:47:00 PM,25.1,25.45,25.05,25.35,2625
9/14/2018 1:46:00 PM,25.5,25.5,25,25.1,12750
9/14/2018 1:45:00 PM,24.8,25.5,24.8,25.5,6825
9/14/2018 1:44:00 PM,24.95,25.25,24.8,24.8,19200
9/14/2018 1:43:00 PM,25.05,25.2,24.7,25.1,8100
9/14/2018 1:42:00 PM,24.75,25.15,24.75,25.05,4500
9/14/2018 1:41:00 PM,24.7,24.75,24.3,24.75,9375
9/14/2018 1:40:00 PM,24.5,24.75,24.3,24.6,15225
9/14/2018 1:39:00 PM,24.5,24.7,24.3,24.5,6375
9/14/2018 1:38:00 PM,24.1,24.7,23.75,24.5,15975
9/14/2018 1:37:00 PM,24.7,24.7,23.95,24,11325
9/14/2018 1:36:00 PM,25.05,25.05,24.45,24.55,6525
9/14/2018 1:35:00 PM,24.7,25.15,24.55,25.05,12525
9/14/2018 1:34:00 PM,24.55,24.85,24.5,24.65,13875
9/14/2018 1:33:00 PM,25.15,25.15,24.6,24.6,4425
9/14/2018 1:32:00 PM,25,25.3,24.7,25.2,9375
9/14/2018 1:31:00 PM,25,25.5,25,25,12450
9/14/2018 1:30:00 PM,24.85,25.15,24.65,25,17175
9/14/2018 1:29:00 PM,24.4,25.15,24.35,24.85,25500
9/14/2018 1:28:00 PM,24.2,24.5,24,24.4,6600
9/14/2018 1:27:00 PM,24,24.35,24,24.2,9000
9/14/2018 1:26:00 PM,23.8,24.1,23.4,24,7050
