Date,NTPC-EQ O,NTPC-EQ H,NTPC-EQ L,NTPC-EQ C,NTPC-EQ V
9/14/2018 3:29:00 PM,174.75,175,174.75,174.95,11493
9/14/2018 3:28:00 PM,174.85,174.85,174.7,174.8,20797
9/14/2018 3:27:00 PM,174.9,174.95,174.8,174.85,26758
9/14/2018 3:26:00 PM,174.95,175,174.85,174.85,22556
9/14/2018 3:25:00 PM,175,175,174.85,174.95,71963
9/14/2018 3:24:00 PM,174.95,175,174.8,174.85,80070
9/14/2018 3:23:00 PM,174.9,175,174.7,174.95,33843
9/14/2018 3:22:00 PM,174.9,175,174.85,174.9,31904
9/14/2018 3:21:00 PM,175,175.05,174.9,174.9,23126
9/14/2018 3:20:00 PM,175,175.05,174.95,174.95,29552
9/14/2018 3:19:00 PM,175,175.05,175,175,23122
9/14/2018 3:18:00 PM,175,175.05,174.9,175,52038
9/14/2018 3:17:00 PM,174.95,175.05,174.95,175,126545
9/14/2018 3:16:00 PM,175,175,174.85,175,422856
9/14/2018 3:15:00 PM,174.95,175,174.8,174.85,49682
9/14/2018 3:14:00 PM,174.8,174.95,174.8,174.8,55141
9/14/2018 3:13:00 PM,174.9,175,174.75,175,45880
9/14/2018 3:12:00 PM,174.75,175.05,174.75,174.9,25758
9/14/2018 3:11:00 PM,175.05,175.1,174.75,174.8,53567
9/14/2018 3:10:00 PM,174.9,175.1,174.9,175.05,26019
9/14/2018 3:09:00 PM,174.95,175,174.9,174.95,14280
9/14/2018 3:08:00 PM,174.95,175.05,174.9,175,22853
9/14/2018 3:07:00 PM,174.75,175.1,174.7,175,36174
9/14/2018 3:06:00 PM,174.85,174.85,174.65,174.75,21202
9/14/2018 3:05:00 PM,174.9,174.95,174.85,174.85,19941
9/14/2018 3:04:00 PM,174.85,175,174.8,174.9,179423
9/14/2018 3:03:00 PM,174.6,174.9,174.6,174.9,35006
9/14/2018 3:02:00 PM,174.6,174.6,174.5,174.6,22662
9/14/2018 3:01:00 PM,174.45,174.55,174.35,174.5,19003
9/14/2018 3:00:00 PM,173.9,174.45,173.9,174.35,27661
9/14/2018 2:59:00 PM,173.9,173.95,173.9,173.9,4732
9/14/2018 2:58:00 PM,173.9,173.95,173.9,173.9,2078
9/14/2018 2:57:00 PM,173.95,173.95,173.9,173.9,12402
9/14/2018 2:56:00 PM,173.95,173.95,173.9,173.9,4035
9/14/2018 2:55:00 PM,174,174,173.9,173.9,8028
9/14/2018 2:54:00 PM,173.9,174,173.9,173.95,4388
9/14/2018 2:53:00 PM,174,174.05,173.9,173.9,7420
9/14/2018 2:52:00 PM,174,174.05,173.95,174,3933
9/14/2018 2:51:00 PM,174.05,174.1,173.95,174,10147
9/14/2018 2:50:00 PM,173.95,174.1,173.9,174.05,9547
9/14/2018 2:49:00 PM,173.9,174,173.8,173.95,16482
9/14/2018 2:48:00 PM,173.9,173.95,173.85,173.85,5904
9/14/2018 2:47:00 PM,173.9,173.95,173.9,173.95,7064
9/14/2018 2:46:00 PM,173.95,173.95,173.85,173.9,4802
9/14/2018 2:45:00 PM,173.9,174,173.85,173.95,9338
9/14/2018 2:44:00 PM,173.9,173.95,173.85,173.85,3795
9/14/2018 2:43:00 PM,173.95,174,173.9,173.9,7623
9/14/2018 2:42:00 PM,173.85,174,173.85,173.95,11586
9/14/2018 2:41:00 PM,173.9,174,173.85,173.9,6584
9/14/2018 2:40:00 PM,174,174.1,173.9,173.9,5415
9/14/2018 2:39:00 PM,173.85,174,173.85,174,15636
9/14/2018 2:38:00 PM,174.05,174.05,173.85,173.85,19668
9/14/2018 2:37:00 PM,174.15,174.2,174.05,174.05,4042
9/14/2018 2:36:00 PM,174.15,174.35,174.15,174.15,10423
9/14/2018 2:35:00 PM,174.05,174.05,174,174,11264
9/14/2018 2:34:00 PM,174.3,174.3,174,174.05,7802
9/14/2018 2:33:00 PM,174.45,174.5,174.3,174.3,10065
9/14/2018 2:32:00 PM,174.25,174.5,174.25,174.5,18708
9/14/2018 2:31:00 PM,173.95,174.3,173.9,174.25,22202
9/14/2018 2:30:00 PM,174.35,174.35,173.95,173.95,24569
9/14/2018 2:29:00 PM,174.35,174.45,174.3,174.35,14546
9/14/2018 2:28:00 PM,174.55,174.55,174.3,174.35,46926
9/14/2018 2:27:00 PM,174.2,174.5,174.15,174.45,78882
9/14/2018 2:26:00 PM,173.7,174.3,173.6,174.2,124080
9/14/2018 2:25:00 PM,173.7,173.7,173.55,173.6,20304
9/14/2018 2:24:00 PM,173.9,173.9,173.6,173.7,21703
9/14/2018 2:23:00 PM,173.7,173.95,173.65,173.9,33875
9/14/2018 2:22:00 PM,173.7,174,173.6,173.65,93603
9/14/2018 2:21:00 PM,173.1,173.7,172.95,173.7,43180
9/14/2018 2:20:00 PM,172.9,173.1,172.85,173.1,17567
9/14/2018 2:19:00 PM,172.95,172.95,172.85,172.9,1842
9/14/2018 2:18:00 PM,172.9,172.95,172.8,172.95,7245
9/14/2018 2:17:00 PM,172.75,172.95,172.55,172.85,6930
9/14/2018 2:16:00 PM,172.75,172.75,172.7,172.75,3924
9/14/2018 2:15:00 PM,172.65,172.7,172.6,172.7,4000
9/14/2018 2:14:00 PM,172.65,172.65,172.6,172.65,2656
9/14/2018 2:13:00 PM,172.65,172.65,172.6,172.65,2820
9/14/2018 2:12:00 PM,172.6,172.6,172.55,172.6,3282
9/14/2018 2:11:00 PM,172.6,172.65,172.55,172.55,2684
9/14/2018 2:10:00 PM,172.4,172.65,172.4,172.6,5563
9/14/2018 2:09:00 PM,172.35,172.5,172.3,172.4,4912
9/14/2018 2:08:00 PM,172.4,172.4,172.3,172.3,3776
9/14/2018 2:07:00 PM,172.4,172.4,172.3,172.35,15694
9/14/2018 2:06:00 PM,172.45,172.45,172.35,172.35,12872
9/14/2018 2:05:00 PM,172.65,172.65,172.35,172.45,17734
9/14/2018 2:04:00 PM,172.7,172.7,172.6,172.65,5109
