Date,ONGC-EQ O,ONGC-EQ H,ONGC-EQ L,ONGC-EQ C,ONGC-EQ V
9/14/2018 3:29:00 PM,173.1,173.25,173,173,22606
9/14/2018 3:28:00 PM,173.05,173.2,173.05,173.2,43261
9/14/2018 3:27:00 PM,173.1,173.3,173.1,173.1,30095
9/14/2018 3:26:00 PM,172.95,173,172.95,173,30241
9/14/2018 3:25:00 PM,172.85,172.95,172.85,172.95,19367
9/14/2018 3:24:00 PM,172.7,173,172.6,172.85,40582
9/14/2018 3:23:00 PM,172.7,172.75,172.55,172.55,28676
9/14/2018 3:22:00 PM,172.75,172.8,172.7,172.7,21544
9/14/2018 3:21:00 PM,172.95,173,172.75,172.75,24019
9/14/2018 3:20:00 PM,172.9,173,172.85,173,20966
9/14/2018 3:19:00 PM,172.8,172.95,172.75,172.85,32212
9/14/2018 3:18:00 PM,172.55,172.8,172.55,172.8,28647
9/14/2018 3:17:00 PM,172.65,172.7,172.6,172.6,24924
9/14/2018 3:16:00 PM,172.65,172.7,172.5,172.65,29779
9/14/2018 3:15:00 PM,172.6,172.75,172.55,172.55,20947
9/14/2018 3:14:00 PM,172.3,172.75,172.3,172.6,48835
9/14/2018 3:13:00 PM,172.3,172.35,172.25,172.3,47216
9/14/2018 3:12:00 PM,172.2,172.3,172.2,172.25,27682
9/14/2018 3:11:00 PM,172.3,172.3,172.25,172.25,14478
9/14/2018 3:10:00 PM,172.1,172.3,172.1,172.3,23745
9/14/2018 3:09:00 PM,172.25,172.3,172.1,172.1,43501
9/14/2018 3:08:00 PM,172.3,172.3,172.25,172.25,25909
9/14/2018 3:07:00 PM,172.2,172.25,172.2,172.25,18521
9/14/2018 3:06:00 PM,172.1,172.25,172.1,172.2,31396
9/14/2018 3:05:00 PM,172.2,172.25,172.1,172.1,17516
9/14/2018 3:04:00 PM,172.3,172.3,172.15,172.2,18366
9/14/2018 3:03:00 PM,172.35,172.35,172.25,172.25,18917
9/14/2018 3:02:00 PM,172.5,172.5,172.35,172.35,17781
9/14/2018 3:01:00 PM,172.45,172.5,172.3,172.45,26882
9/14/2018 3:00:00 PM,171.9,172.4,171.9,172.3,53508
9/14/2018 2:59:00 PM,171.9,171.95,171.8,171.95,5597
9/14/2018 2:58:00 PM,172.05,172.05,171.9,171.9,10762
9/14/2018 2:57:00 PM,171.9,172.15,171.85,172.05,12080
9/14/2018 2:56:00 PM,171.85,171.9,171.85,171.9,4498
9/14/2018 2:55:00 PM,171.9,171.9,171.85,171.85,2785
9/14/2018 2:54:00 PM,172,172,171.85,171.9,5252
9/14/2018 2:53:00 PM,171.95,172,171.95,172,4268
9/14/2018 2:52:00 PM,172.1,172.1,171.9,171.95,13352
9/14/2018 2:51:00 PM,172.1,172.15,172,172.1,12060
9/14/2018 2:50:00 PM,171.75,172.1,171.7,172.1,27936
9/14/2018 2:49:00 PM,171.75,171.75,171.6,171.75,35015
9/14/2018 2:48:00 PM,171.65,171.75,171.6,171.75,41242
9/14/2018 2:47:00 PM,171.8,171.8,171.6,171.65,36465
9/14/2018 2:46:00 PM,171.8,171.8,171.75,171.8,22467
9/14/2018 2:45:00 PM,171.9,171.9,171.75,171.75,36025
9/14/2018 2:44:00 PM,172.15,172.15,171.85,171.9,26651
9/14/2018 2:43:00 PM,172.15,172.15,172.05,172.15,3297
9/14/2018 2:42:00 PM,172.25,172.25,172.1,172.15,9350
9/14/2018 2:41:00 PM,172.1,172.25,172.05,172.25,8766
9/14/2018 2:40:00 PM,172.1,172.15,172.1,172.1,6562
9/14/2018 2:39:00 PM,172.4,172.4,172.1,172.1,9684
9/14/2018 2:38:00 PM,172.35,172.4,172.3,172.4,5998
9/14/2018 2:37:00 PM,172.5,172.5,172.35,172.35,6146
9/14/2018 2:36:00 PM,172.45,172.55,172.4,172.5,7511
9/14/2018 2:35:00 PM,172.5,172.6,172.4,172.4,12401
9/14/2018 2:34:00 PM,172.2,172.7,172.2,172.7,16198
9/14/2018 2:33:00 PM,172,172.2,172,172.2,10198
9/14/2018 2:32:00 PM,172.1,172.1,171.95,172,12449
9/14/2018 2:31:00 PM,172.1,172.25,172.05,172.1,4320
9/14/2018 2:30:00 PM,172.1,172.1,171.95,172.1,13164
9/14/2018 2:29:00 PM,172.2,172.25,172.15,172.15,4555
